| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1.2.1 | הַמָּקוֹר הָפַךְ לְאָמִין | *ha-maqor hafakh le-ʾamin* | [CORE] | *hafakh le-* is the natural inchoative construction; describes a shift in assessed credibility |
| 1.2.2 | הָעֵד נִמְצָא מְהֵימָן | *ha-ʿed nimtsa mehiman* | [CORE] | Standard legal formula for recording a court's finding on credibility |
| 1.2.3 | הוּא הָפַךְ לְנֶאֱמָן לְ- | *hu hafakh le-neʾeman le-* | [CORE] | Describes a shift in relational loyalty; less common than static attribution but attested in narrative and political discourse |
| 1.2.4 | הִתְבָּרֵר שֶׁהַמָּקוֹר מְהֵימָן | *hitbarer she-ha-meqor meheymen* | [CORE] | Common in journalistic and legal registers |
| 1.2.5 | הָאֲמִינוּת הִתְבַּסְּסָה עִם הַזְּמַן | *ha-ʾaminut hitbasesah ʿim ha-zman* | [CORE] | Expresses gradual inchoative process of credibility coming into being |
| 1.2.6 | הָאֱמוּן נִבְנָה לְאַט | *ha-ʾimun nivnaʾh le-ʾat* | [CORE] | Passive *nivnaʾh* expresses gradual inchoative process of trust coming into being |
| 1.3.1 | זֶה הָפַךְ לְנָכוֹן | *ze hafakh le-nakhon* | [CORE] | Used when a statement previously incorrect or uncertain is subsequently confirmed as accurate |
| 1.3.2 | הַתַּחֲזִית הִתְגַּלְּתָה כְּנְכוֹנָה | *ha-taḥazit hitgaleta ke-nekhona* | [CORE] | Used when correctness of a prediction or claim is revealed by subsequent events |
| 1.3.3 | הַתַּחֲזִית הָפְכָה לִנְכוֹנָה | *ha-taḥazit hafkhah li-nekhonah* | [CORE] | Used when a prediction or claim is subsequently confirmed as correct |
| 1.3.4 | זֶה הָפַךְ לְאֱמֶת | *ze hafakh le-ʾemet* | [CORE] | Used when a claim, prediction, or rumor is subsequently confirmed as true |
| 1.3.5 | הִתְבָּרֵר שֶׁהוּא צָדַק | *hitbarer she-hu tsadak* | [CORE] | Extremely common in everyday and journalistic discourse |
| 1.4.1 | הַיַּחַס שֶׁלּוֹ הָפַךְ לְאֲמִתִּי יוֹתֵר עִם הַזְּמַן | *ha-yaḥas shello hafakh le-ʾamitī yoter ʿim ha-zman* | [CORE] | Used in psychological and interpersonal contexts to describe gradual development toward greater genuineness |
| 1.4.2 | הַמִּסְמָךְ הִתְגַּלָּה כְּאוֹתֶנְטִי | *ha-mismakh hitgalaʾh ke-ʾotenti* | [CORE] | Primary construction for expressing inchoative discovery that something is genuine |
| 1.4.3 | הַצִּיּוּר הִתְגַּלָּה כְּמְקוֹרִי | *ha-tsiyur hitgalaʾh ke-meqori* | [CORE] | Same *lehitgalaʾh ke-* construction applies to *meqori* |
| 1.4.4 | הַמִּסְמָךְ אֻמַּת | *ha-mismakh ummat* | [CORE] | Pi'el passive expresses result of an authentication process |
| 1.5.1 | הַהַחְלָטָה הָפְכָה לְמוּצְדֶּקֶת | *ha-haḥlata hafekha le-mutsdddeqet* | [CORE] | Used in legal and moral discourse when a decision initially questionable is subsequently shown to be warranted |
| 1.5.2 | הַבִּיקֹּרֶת נִמְצֵאת מוּצְדֶּקֶת | *ha-biqqoret nimtset mutsdddeqet* | [CORE] | *nimtsa* + *mutsdddaq* adds sense of a finding or determination; common in evaluative and legal contexts |
| 1.6.1 | הַחֹזֶה הָפַךְ לְתָקֵף | *ha-ḥoze hafakh le-taqef* | [CORE] | Natural inchoative for legal validity; describes moment at which a document acquires legal force |
