| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | प्रमा जायते | *pramā jāyate* | [CORE] | Standard formula in Nyāya literature for the production of valid cognition as result of a *pramāṇa*; *jāyate* not freely substitutable with *bhavati* here |
| 2 | प्रमा उत्पद्यते | *pramā utpadyate* | [CORE] | Standard construction for cognitive events in epistemological literature; *utpad-* and *jā-* are interchangeable in this construction |
| 3 | प्रमाणभूत | *pramāṇabhūta* | [CORE] | Lexicalized compound encoding inchoative result; compounding preferred over periphrasis |
| 4 | प्रमाणभूतः (भवति) | *pramāṇabhūtaḥ (bhavati)* | [CORE] | Full periphrastic construction with *bhavati* expressing change-of-state for a person or source attaining the status of a valid means of cognition |
| 5 | सत्ये प्रतिष्ठितः | *satye pratiṣṭhitaḥ* | [CORE] | Attested in epic and Purāṇic literature; locative + *pratiṣṭhita* pattern productive across ethical vocabulary |
| 6 | धर्मे स्थितः | *dharme sthitaḥ* | [CORE] | Attested in epic and Dharmaśāstra literature; locative + *sthita* construction encodes stable resultant state |
| 7 | मिथ्येति निश्चितम् | *mithyeti niścitam* | [CORE] | Attested for *mithyā* specifically; *iti niścitam* pattern structurally available for other predicates but no parallel instances with other truth-domain items documented |
| 8 | भ्रमः जायते | *bhramaḥ jāyate* | [CORE] | Structurally parallel to *pramā utpadyate* and explicitly contrasted with it in epistemological texts |
| 9 | भ्रान्तिः जायते / भ्रान्तिः उत्पद्यते | *bhrāntiḥ jāyate* / *bhrāntiḥ utpadyate* | [CORE] | No difference in construction behavior from *bhrama* documented |
| 10 | विपर्ययः जायते | *viparyayaḥ jāyate* | [MARGINAL] | Confined to Sāṃkhya-Yoga philosophical discourse |
| 11 | सतः जायते | *sataḥ jāyate* | [CORE] | Confined to Vedāntic and Upaniṣadic philosophical discourse; expresses ontological principle rather than change of state in an individual |
| 12 | असतः न जायते | *asataḥ na jāyate* | [CORE] | Negated counterpart of *sataḥ jāyate*; denies possibility of a specific kind of ontological arising |
| 13 | (वचनम्) सत्यापितम् भवति | *(vacanam) satyāpitam bhavati* | [CORE] | Full periphrastic construction with *bhavati* expressing resultant state of a verified statement |
| 14 | मिथ्याज्ञानं निवर्तते | *mithyājñānaṃ nivartate* | [CORE] | Attested in Vedāntic literature; *nivartate* marks cessation of a negative epistemic state |
| 15 | भ्रमो निवर्तते | *bhramo nivartate* | [CORE] | *Nivartate* is the conventional verb for the removal of error in this literature |
| 16 | भ्रान्तिः निवर्तते | *bhrāntiḥ nivartate* | [CORE] | Parallel to *bhramo nivartate*; *nivartate* is the conventional verb for the removal of error |
| 17 | बाधेन भ्रान्तिः निवर्तते | *bādhena bhrāntiḥ nivartate* | [CORE] | Instrumental *bādhena* marks sublation as the causal instrument of the cessation |
| 18 | भ्रमः निरस्यते | *bhramaḥ nirasyate* | [CORE] | Alternate to *bhramaḥ nivartate*; *niras-* takes the erroneous cognitive state as subject |
| 19 | निर्भ्रान्तः भवति | *nirbhrāntaḥ bhavati* | [MARGINAL] | Appears in descriptions of liberated or enlightened states |
| 20 | विपर्ययात् निवृत्तिः | *viparyayāt nivṛttiḥ* | [MARGINAL] | Used in Sāṃkhya-Yoga literature; nominal construction rather than verbal |
| 21 | बाधितम् | *bādhitam* | [CORE] | Past passive participle encoding completed transition from erroneous to corrected cognitive state |
| 22 | सत्यात् विचलति | *satyāt vicalati* | [CORE] | Documented in its negated form (*satyāt na vicalati*) in epic literature; positive form expresses the opposed state |
| 23 | धर्मात् चलति | *dharmāt calati* | [CORE] | Documented in its negated form (*dharmāt na calati*); ablative construction with verbs of motion is standard pattern for expressing departure from a normative standard |
| 24 | सत्यात् न प्रमदितव्यम् | *satyāt na pramaditavyam* | [CORE] | Gerundive form expresses stronger prohibition than the optative; attested as a prescriptive formula |
| 25 | न्यायात् न विचलति | *nyāyāt na vicalati* | [CORE] | Parallel in structure to *satyāt na calati* and *dharmāt na calati* |
| 26 | औचित्यात् च्युतम् | *aucityāt cyutam* | [CORE] | Attested in Sanskrit aesthetic literature as standard formula for deviation from the standard of fittingness |
| 27 | अनृतेन परिवृत्तः | *anṛtena parivṛttaḥ* | [MARGINAL] | Attested for *anṛta* only; no parallel construction with *asatya*, *mithyā*, or *adharma* documented |
| 28 | अधर्मेण वर्धते | *adharmeṇa vardhate* | [CORE] | Attested in *Manusmṛti* 4.174; instrumental of *adharma* encodes the means of the change of state |
