| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| chiqaq | chiqap | chiqap | derived adverbial form related to *chiqaq* | truly; really; in truth | Used adverbially to reinforce that something is actually the case. It commonly appears when a speaker insists on truth, seriousness, or sincerity. | [CORE] |
| chiqaq | chiqaq kay | chiqaq kay | *chiqaq* ‘true, real’ + *kay* ‘being, existence’ | truth; reality; true nature | Used in reflective or elevated discourse for truth or reality as such. It can also refer to the real nature of something as opposed to mere appearance. | [MARGINAL] |
| chiqaq | chiqaqta | chiqaqta | *chiqaq* + *-ta* | truly; really; in a true way | Used adverbially in some usage to mark that something is said or done truly or genuinely. It overlaps functionally with *chiqap* in emphatic assertion. | [UNCERTAIN] |
| chiqaq | chiqaq simi | chiqaq simi | *chiqaq* ‘true’ + *simi* ‘word, speech’ | true word; truthful speech | Used for truthful utterance or speech that is not deceptive. It belongs more to moral, rhetorical, or religious discourse than to basic everyday evaluation. | [UNCERTAIN] |
| llulla | llullakuy | llullakuy | *llulla* + verbal/reflexive derivation | to lie; to tell lies; to deceive | Used for the act of lying or engaging in deception. It is common in everyday accusation and moral instruction about honesty. | [CORE] |
| llulla | llullasqa | llullasqa | *llulla* + participial *-sqa* | false; deceptive; lied-about | Used for a report, claim, or representation judged false or deceitful. It can also characterize a person or account as marked by deception. | [MARGINAL] |
| llulla | llulla runa | llulla runa | *llulla* ‘false, lying’ + *runa* ‘person’ | liar; deceitful person | A common characterological expression for a person known to lie or deceive. It is used in everyday moral judgment and social criticism. | [CORE] |
| llulla | llulla simi | llulla simi | *llulla* ‘false, lying’ + *simi* ‘word, speech’ | lie; false speech; deceitful word | Used for lying speech or false statements, especially in moralizing or rhetorical contexts. It directly contrasts with truthful speech. | [MARGINAL] |
| llulla | llullaq | llullaq | *llulla* + *-q* | liar; one who lies | Used for a habitual liar or one characterized by deception. It overlaps with *llulla runa* but is more compact. | [UNCERTAIN] |
| pantay | pantasqa | pantasqa | *pantay* + participial *-sqa* | mistaken; wrong; incorrect | Used of a statement, belief, answer, or action judged incorrect. It is a common descriptive form for identifying error. | [CORE] |
| pantay | pantachiy | pantachiy | *panta-* + causative *-chi(y)* | to mislead; to cause to err; to confuse | Used when one person causes another to make a mistake or adopt a false understanding. It is relevant in interpersonal, pedagogical, and moral contexts. | [CORE] |
| pantay | pantachisqa | pantachisqa | *pantachiy* + participial *-sqa* | misled; mistaken through deception or confusion | Used of a person or judgment that has been led into error. It appears where responsibility for confusion or misinformation is at issue. | [MARGINAL] |
| pantay | pantayniyuq | pantayniyuq | *pantay* ‘error’ + linking/possessive element + *-yuq* ‘having’ | erroneous; having mistakes; faulty | Used for something containing errors, such as a text, calculation, account, or judgment. It is especially relevant in corrective or evaluative contexts. | [UNCERTAIN] |
| pantay | pantayman churay | pantayman churay | *pantay-man* ‘into error’ + *churay* ‘put’ | to lead into error; to misdirect | Used for causing someone to go wrong in judgment or action. It overlaps semantically with *pantachiy* but is more phrasal. | [UNCERTAIN] |
| allin | allinmi | allinmi | *allin* + evidential/assertive enclitic *-mi* | it is right; it is good indeed; correct | A frequent discourse form used to affirm that something is acceptable, correct, or in good order. It often functions as a direct evaluative response. | [CORE] |
| allin | mana allin | mana allin | *mana* ‘not’ + *allin* | bad; wrong; improper; not right | A conventional negative evaluative expression for conduct, decisions, and sometimes statements judged improper or incorrect. It is widely used in moral, social, and practical criticism. | [CORE] |
| chanin | chaninnaq | chaninnaq | derived from *chanin* | valuable; worthy; proper | Used for persons, objects, or actions considered worthy or of real value. It can extend from economic worth to moral or social esteem. | [MARGINAL] |
| iñiy | iñisqa | iñisqa | *iñiy* + participial *-sqa* | believed; trusted; credible | Used of a person, statement, or report that is accepted or trusted. In context it can imply that something is regarded as credible or reliable. | [MARGINAL] |
| hucha | huchayuq | huchayuq | *hucha* ‘fault, guilt’ + *-yuq* ‘having’ | guilty; culpable; sinful | Used of a person who bears guilt, fault, or sin. It is especially relevant in moral and quasi-legal evaluation of responsibility and blame. | [CORE] |
