# G7b — Empirical vs AOML Constraint Comparison

---

## Preliminary Notes

The empirical matrix (G7a) was derived inductively from F-phase cross-linguistic data across 8 languages (ka, yo, fi, eu, ta, id, tr, ko). The AOML matrix is a theoretical model with 7 primary axes, 2 meta-axes, 7 core operators, 4 levels, and 6 structural rules. The comparison below maps empirical dimensions (D1–D12) and constructional functions (CF1–CF12) against AOML structures where mappings are supportable. Where no mapping is supportable, this is stated explicitly.

The two systems are not isomorphic. The empirical system has 12 semantic dimensions and 12 constructional functions. AOML has 7 primary axes, 7 operators, and 6 structural rules. Several empirical dimensions map to subregions within a single AOML axis; several AOML axes have no direct empirical dimension counterpart; several empirical constructional functions have no AOML operator equivalent.

---

## Comparison Table

| Empirical Dimension | Construction | Empirical Result | AOML Prediction | Alignment Type | Notes |
|---|---|---|---|---|---|
| D1: Propositional Correspondence | CF1: Predicative Attribution | ALLOWED across all 8 languages | ATTR × VER: licensed | MATCH | Direct correspondence. AOML licenses ATTR universally; empirical data confirms unrestricted availability across all 8 languages. |
| D1: Propositional Correspondence | CF2: Negative Attribution | ALLOWED across all 8 languages | CONTR × VER: licensed | MATCH | AOML licenses CONTR universally. Negation is a surface realization of CONTR. Confirmed across all 8 languages. |
| D1: Propositional Correspondence | CF3: Adnominal Modification | ALLOWED across all 8 languages | ATTR × VER in modifier position | MATCH | Adnominal modification is a positional variant of ATTR. AOML does not specify position but licenses the function. Confirmed across all 8 languages. |
| D1: Propositional Correspondence | CF4: Inchoative / Change-of-State | ALLOWED (periphrastic universal; morphological restricted) | BECOME × VER: restricted; positive emergence natural, negative marked (Rule R4) | MATCH | Empirical data confirms positive emergence is natural (truth comes to light) and more consistently documented than negative emergence. Rule R4 predicts this asymmetry. |
| D1: Propositional Correspondence | CF5: Causative | ALLOWED (with variation across languages) | CAUSE × VER: restricted (factual target, generally licensed) | PARTIAL | AOML licenses CAUSE on factual targets. Empirical data shows causation of truth-states is available but less consistently documented than for D4. The restriction is real but the specific conditions are not fully specified in AOML. |
| D1: Propositional Correspondence | CF6: Abstract Nominalization | ALLOWED across all 8 languages | ABSTR × VER: licensed | MATCH | AOML licenses ABSTR on VER. Empirical data confirms universal productivity of truth nominals. |
| D1: Propositional Correspondence | CF7: Agentive Nominalization (negative: liar) | ALLOWED across all 8 languages | Consistent with CAUSE(−) × VER being licensed for violation contexts | PARTIAL | AOML does not model agentive nominalization as a distinct operator. The negative agentive (liar) is consistent with CAUSE(−) being licensed for factual and sincerity-violation contexts. The positive agentive block is the more theoretically significant finding (see below). |
| D1: Propositional Correspondence | CF7: Agentive Nominalization (positive: truth-teller) | BLOCKED across all 8 languages | No direct AOML prediction | NO ALIGNMENT | AOML does not model agentive nominalization as a distinct operator and does not predict this asymmetry. This is an unmodeled empirical finding. |
| D1: Propositional Correspondence | CF8: Discourse Framing | ALLOWED across all 8 languages | No direct AOML operator | NO ALIGNMENT | AOML does not model discourse-level framing constructions. This is a pragmatic-level phenomenon not captured by the operator system. |
| D1: Propositional Correspondence | CF9: Existential / Scalar Predication | VARIABLE (most systematic in ko) | DEG × VER: licensed as meta-axis modulation; Rule R5 prohibits DEG[VER] substituting for VER | PARTIAL | AOML licenses DEG as a meta-axis modulator of VER. Scalar predication constructions (accuracy is high/low) are consistent with DEG[VER]. However, AOML's primary concern with DEG is the substitution prohibition (R5), not the licensing of scalar evaluation itself. The empirical data confirms scalar evaluation is available but does not directly test the substitution prohibition. |
| D1: Propositional Correspondence | CF10: Truth-Revelation / Concealment | ALLOWED across all 8 languages | REVEAL (provisional) × VER: licensed; RESULT × VER: licensed | MATCH (with provisional note) | The intransitive truth-revelation construction (truth as grammatical subject of emergence verb) is the primary empirical evidence for REVEAL as a candidate primitive. AOML provisionally licenses REVEAL on VER. RESULT × VER also covers some of this territory. The construction is documented in all 8 languages. |
| D1: Propositional Correspondence | CF11: Parallel Morphological Opposition | VARIABLE (fully productive only in tr) | No direct AOML prediction | NO ALIGNMENT | AOML does not model morphological productivity patterns. The tr *doğrulamak/yanlışlamak* pair is a language-specific elaboration not captured by the operator system. |
| D1: Propositional Correspondence | CF12: Proverbial / Fixed Moral Assertion | ALLOWED across all 8 languages | No direct AOML operator | NO ALIGNMENT | AOML does not model proverbial or fixed moral assertion constructions. This is a pragmatic-register phenomenon not captured by the operator system. |
| D2: Personal Honesty and Integrity | CF1: Predicative Attribution | ALLOWED across all 8 languages | ATTR × SINC: licensed | MATCH | AOML licenses ATTR on SINC. Empirical data confirms universal availability. |
| D2: Personal Honesty and Integrity | CF2: Negative Attribution | ALLOWED across all 8 languages | CONTR × SINC: licensed | MATCH | AOML licenses CONTR on SINC. Confirmed across all 8 languages. |
| D2: Personal Honesty and Integrity | CF3: Adnominal Modification | ALLOWED across all 8 languages | ATTR × SINC in modifier position | MATCH | Same reasoning as D1/CF3. |
| D2: Personal Honesty and Integrity | CF4: Inchoative / Change-of-State | VARIABLE | BECOME × SINC: restricted (dispositional target — character development is internally driven) | PARTIAL | AOML restricts BECOME × SINC because dispositional targets are internally cultivated, not simple state transitions. Empirical data shows inchoative constructions for honesty/dishonesty are attested but less productive than for factual dimensions. The restriction is real but AOML's R1 targets CAUSE, not BECOME directly. The empirical VARIABLE rating is consistent with restriction rather than blocking. |
| D2: Personal Honesty and Integrity | CF5: Causative | BLOCKED (direct causation of dispositional state) | CAUSE × SINC: universally blocked (Rule R1, p < 1e-9, 16/16 languages) | MATCH | This is the strongest single empirical-AOML alignment in the dataset. R1 predicts universal blocking of direct causation of dispositional character traits. Empirical data confirms: no natural construction for "make someone honest" is documented in any of the 8 languages. Some indirect facilitation constructions are attested in eu and ko, but these cause conditions for the state rather than the state itself. |
| D2: Personal Honesty and Integrity | CF6: Abstract Nominalization | ALLOWED across all 8 languages | ABSTR × SINC: licensed | MATCH | AOML licenses ABSTR on SINC. Empirical data confirms universal productivity of honesty nominals. |
| D2: Personal Honesty and Integrity | CF7: Agentive Nominalization (negative: liar) | ALLOWED across all 8 languages | Consistent with CAUSE(−) × SINC being licensed for violation-of-sincerity contexts | PARTIAL | The negative agentive is available. AOML does not directly model agentive nominalization but the licensing of CAUSE(−) × SINC for violation contexts is consistent with the availability of liar agentives. |
| D2: Personal Honesty and Integrity | CF7: Agentive Nominalization (positive: honest person as role noun) | BLOCKED across all 8 languages | No direct AOML prediction | NO ALIGNMENT | Same as D1/CF7 positive block. Unmodeled empirical finding. |
| D2: Personal Honesty and Integrity | CF8: Discourse Framing | ALLOWED (frank disclosure markers) | No direct AOML operator | NO ALIGNMENT | Same as D1/CF8. |
| D2: Personal Honesty and Integrity | CF12: Proverbial / Fixed Moral Assertion | ALLOWED across all 8 languages | No direct AOML operator | NO ALIGNMENT | Same as D1/CF12. |
| D3: Source Trustworthiness vs. Content Credibility | CF1: Predicative Attribution | ALLOWED across all 8 languages | ATTR × SINC (source trustworthiness subregion: reliability, faithfulness) and ATTR × VER (content credibility) | PARTIAL | The empirical source/content distinction maps onto two different AOML axes: source trustworthiness is a SINC subregion (reliability, faithfulness); content credibility is a VER subregion. AOML does not model this as a single dimension but the two-axis mapping is coherent. The empirical distinction is finer-grained than AOML's axis structure. |
| D3: Source Trustworthiness vs. Content Credibility | CF3: Adnominal Modification | ALLOWED across all 8 languages | ATTR × SINC and ATTR × VER in modifier position | PARTIAL | Same two-axis mapping as CF1. |
| D3: Source Trustworthiness vs. Content Credibility | CF6: Abstract Nominalization | ALLOWED across all 8 languages | ABSTR × SINC (reliability) and ABSTR × VER (credibility) | PARTIAL | Same two-axis mapping. |
| D3: Source Trustworthiness vs. Content Credibility | CF9: Existential / Scalar Predication | ALLOWED (most systematic in ko) | DEG × SINC and DEG × VER as meta-axis modulation | PARTIAL | Scalar evaluation of trustworthiness and credibility is consistent with DEG modulating SINC and VER respectively. |
| D3: Source Trustworthiness vs. Content Credibility | CF8: Discourse Framing | INSUFFICIENT DATA | No direct AOML operator | NO ALIGNMENT | No discourse-framing construction specifically for source trustworthiness or content credibility is documented. |
| D3: Source Trustworthiness vs. Content Credibility | CF10: Truth-Revelation / Concealment | INSUFFICIENT DATA | REVEAL × SINC: provisionally licensed; REVEAL × VER: provisionally licensed | NO ALIGNMENT | The truth-revelation construction is not documented for D3 nominals. The absence is consistent across languages. |
| D4: Genuineness of Objects vs. Fraudulent Imitation | CF1: Predicative Attribution | ALLOWED across all 8 languages | ATTR × AUTH: licensed | MATCH | AOML licenses ATTR on AUTH. Empirical data confirms universal availability. |
| D4: Genuineness of Objects vs. Fraudulent Imitation | CF2: Negative Attribution | ALLOWED across all 8 languages | CONTR × AUTH: licensed | MATCH | AOML licenses CONTR on AUTH. |
| D4: Genuineness of Objects vs. Fraudulent Imitation | CF3: Adnominal Modification | ALLOWED across all 8 languages | ATTR × AUTH in modifier position | MATCH | |
| D4: Genuineness of Objects vs. Fraudulent Imitation | CF4: Inchoative / Change-of-State | ALLOWED | BECOME × AUTH: restricted; positive emergence natural (Rule R4) | MATCH | Empirical data confirms: "turned out to be genuine/fake" is natural across languages. Rule R4 predicts positive emergence is natural. |
| D4: Genuineness of Objects vs. Fraudulent Imitation | CF5: Causative (positive: manufacture authenticity) | BLOCKED across all 8 languages | CAUSE(+) × AUTH: blocked (Rule R3) | MATCH | Rule R3 predicts that authenticity cannot be manufactured or externally created. Empirical data confirms: no natural construction for manufacturing genuine authenticity is documented in any of the 8 languages. Certification constructions confirm pre-existing authenticity rather than manufacture it; this distinction is maintained across languages. This is a strong empirical-AOML alignment. |
| D4: Genuineness of Objects vs. Fraudulent Imitation | CF5: Causative (negative: forge/destroy authenticity) | ALLOWED across all 8 languages | CAUSE(−) × AUTH: licensed (Rule R3) | MATCH | Rule R3 predicts that authenticity can be destroyed or forged. Empirical data confirms: "forge the document," "destroy its authenticity" are natural across all 8 languages. |
| D4: Genuineness of Objects vs. Fraudulent Imitation | CF6: Abstract Nominalization | ALLOWED across all 8 languages | ABSTR × AUTH: licensed | MATCH | AOML licenses ABSTR on AUTH. |
