# CLCA Protocol v3.4 — F4 Construction Table
# Language: Tagalog (tl)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | Ang balita ay totoo. | ang balita ay totoo | "The news is true." | Both word orders (topic-initial with **ay** and predicate-initial) are fully productive. Predicate-initial (e.g., *Totoo ang balita*) is more common in everyday speech; topic-initial with **ay** is more formal or emphatic. | [CORE] |
| ATTRIBUTION | Tama ang sagot mo. | tama ang sagot mo | "Your answer is correct." | Predicate-initial pattern shown here is the unmarked, most frequent order for simple truth attributions in conversational contexts. | [CORE] |
| NEGATIVE ATTRIBUTION | Hindi totoo ang sinabi niya. | hindi totoo ang sinabi niya | "What he/she said is not true." | Standard negation pattern with **hindi** is fully productive and unrestricted. Used in all registers for denying truth claims. | [CORE] |
| NEGATIVE ATTRIBUTION | Walang katotohanan ang balita. | walang katotohanan ang balita | "The news has no truth / is baseless." | **Walang** + nominalization creates stronger, more categorical negation than **hindi**. Common in formal contexts and emphatic denials. Implies complete absence rather than simple negation. | [CORE] |
| ADNOMINAL MODIFICATION | tunay na pagmamahal | tunay na pagmamahal | "true love / genuine love" | Highly productive pattern. The linker **-ng/-na** is obligatory and phonologically conditioned. Some combinations are lexicalized collocations (e.g., *tunay na pagmamahal*, *tamang panahon*). | [CORE] |
| ADNOMINAL MODIFICATION | tamang sagot | tamang sagot | "correct answer" | Modifier-noun combinations with truth-domain terms are unrestricted and productive across all semantic domains. | [CORE] |
| BECOME / INCHOATIVE | Magkatotoo ang pangarap ko. | magkatotoo ang pangarap ko | "My dream came true / was realized." | **Mag-ka-** inchoative is highly productive with truth-domain roots. Marks achievement or transition into a state. Aspect marking is regular: **nag-ka-** (completed), **mag-ka-** (future/contemplated). | [CORE] |
| BECOME / INCHOATIVE | Nagkamali ako. | nagkamali ako | "I made a mistake / I became wrong." | Common in everyday speech for describing errors or mistakes. The inchoative reading ("became wrong") is the standard interpretation. | [CORE] |
| CAUSATIVE | Patunayan mo ang sinabi mo. | patunayan mo ang sinabi mo | "Prove what you said / Make it verified." | **Pa-...-an** causative is fully productive with truth-domain terms. Object-focus morphology is standard. Common in directives and requests for verification. | [CORE] |
| CAUSATIVE | Itama mo ang pagkakamali. | itama mo ang pagkakamali | "Correct the mistake / Make it right." | **I-** causative (directional) is used specifically with **tama** and **wasto**. Productive and unrestricted in imperative and directive contexts. | [CORE] |
| ABSTRACT NOMINALIZATION | katotohanan | katotohanan | "truth, reality, fact" | **Ka-...-an** is the primary productive pattern for abstract nouns from truth-domain roots. These forms often serve as the lexicalized abstract noun for the concept. | [CORE] |
| ABSTRACT NOMINALIZATION | katapatan | katapatan | "honesty, sincerity, loyalty" | Fully productive pattern. The **ka-...-an** nominalizations are used in all registers and contexts requiring abstract reference to the quality. | [CORE] |
| AGENTIVE NOMINALIZATION | sinungaling | sinungaling | "liar (one who lies)" | Limited productivity. **Sinungaling** appears morphologically complex but the pattern is not productive for other truth-domain terms. No common single-word agentive for "truth-teller" exists; periphrastic expressions are used instead. | [MARGINAL] |
| RECIPROCAL / MUTUAL ACTION | Magtapatan na tayo. | magtapatan na tayo | "Let's be honest with each other." | **Mag-...-an** reciprocal is productive with honesty/dishonesty terms (**tapat**, **bulaán**). Common in contexts involving mutual disclosure or interpersonal honesty. | [CORE] |
| RECIPROCAL / MUTUAL ACTION | Magbulaan sila. | magbulaan sila | "They lie to each other." | Productive with deception terms. Not commonly used with factual truth terms (**totoo**), showing semantic restrictions on the pattern. | [CORE] |
| INTENSIFICATION / DEGREE | napakatotoo | napakatotoo | "very true, extremely real" | **Napaka-** superlative prefix is fully productive with truth-domain adjectives. Used for emphatic or extreme degree marking in all registers. | [CORE] |
| INTENSIFICATION / DEGREE | tamang-tama | tamang-tama | "exactly right, just perfect" | Reduplication with linker marks intensification or precision. Common in everyday speech for emphasizing exact correctness or perfect fit. | [CORE] |
| QUESTION FORMATION | Totoo ba yan? | totoo ba yan | "Is that true?" | **Ba** particle for polar questions is fully productive and unrestricted. Extremely common in conversational contexts for seeking confirmation of truth claims. | [CORE] |
| QUESTION FORMATION | Tama ba ang sagot ko? | tama ba ang sagot ko | "Is my answer correct?" | Standard question formation pattern. **Ba** follows the predicate in predicate-initial order. Used across all registers. | [CORE] |
| CONDITIONAL | Kung totoo ang sinabi mo... | kung totoo ang sinabi mo | "If what you said is true..." | **Kung** conditional marker is fully productive with truth-domain terms. Common in hypothetical reasoning, hedging, and conditional statements across all contexts. | [CORE] |
| CONDITIONAL | Kung tama ako... | kung tama ako | "If I'm correct..." | Unrestricted pattern for expressing hypothetical truth conditions. Frequently used for hedging or qualifying claims in discourse. | [CORE] |
| EMPHATIC CONFIRMATION | Totoo nga! | totoo nga | "It really is true! / Indeed!" | **Nga** provides strong emphatic confirmation. Extremely common in conversational contexts for affirming or insisting on truth. | [CORE] |
| EMPHATIC CONFIRMATION | Tama naman. | tama naman | "It is correct though / You're right but..." | **Naman** adds concessive or contrastive nuance. Common in acknowledging a point before introducing a qualification or contrast. | [CORE] |
| CESSATION / SUFFICIENCY MARKER | Tama na! | tama na | "That's enough! / Stop now!" | Highly frequent discourse marker for signaling sufficiency or requesting cessation. Represents semantic shift from correctness to sufficiency. Restricted to **tama** and **hustó**; does not extend to other truth-domain terms. | [CORE] |
| CESSATION / SUFFICIENCY MARKER | Hustó na yan. | hustó na yan | "That's enough of that / That's sufficient." | Same pattern as **tama na** but slightly less common. Used in similar contexts for marking sufficiency or completion. | [CORE] |
| PROGRESSIVE ASPECT | Itinatama ko ang mali. | itinatama ko ang mali | "I am correcting the error." | Progressive aspect with reduplication and **-in-** infix is fully productive. Common for describing ongoing processes of correction, verification, or proof. | [CORE] |
| PROGRESSIVE ASPECT | Pinapatunayan niya ang katotohanan. | pinapatunayan niya ang katotohanan | "He/she is proving the truth." | Progressive causative forms are unrestricted. Used in formal and informal contexts for ongoing verification or proof activities. | [CORE] |
| COMPARISON | Katulad mo siya. | katulad mo siya | "He/she is like you / similar to you." | **Katulad** marks general similarity and is fully productive. Takes genitive complements. Common in all registers for expressing resemblance. | [CORE] |
| COMPARISON | Kamukha niya ang tatay niya. | kamukha niya ang tatay niya | "He/she looks like his/her father." | **Kamukha** specifically marks physical resemblance. Productive but semantically restricted to appearance. Both forms appear lexicalized rather than transparently derived. | [CORE] |
| LACK / ABSENCE | Walang katotohanan ang akusasyon. | walang katotohanan ang akusasyon | "The accusation has no truth / is baseless." | **Walang** + **ka-...-an** nominalization is highly productive. Stronger than simple negation, implying complete absence. Common in formal accusations and denials. | [CORE] |
| LACK / ABSENCE | Walang katapatan ang taong iyon. | walang katapatan ang taong iyon | "That person has no honesty / is dishonest." | Fully productive pattern for character assessment. Used across registers for categorical statements about absence of qualities. | [CORE] |
| IMPERATIVE / DIRECTIVE | Magtapat ka! | magtapat ka | "Be honest! / Confess!" | Bare verb stem imperative is fully productive. Common in directives involving honesty, confession, or disclosure. Enclitic pronouns are standard. | [CORE] |
| IMPERATIVE / DIRECTIVE | Itama mo yan! | itama mo yan | "Correct that! / Fix that!" | Unrestricted imperative pattern. Very common in everyday directives for correction or verification. | [CORE] |
| FIXED DISCOURSE MARKERS | Sa totoo lang, hindi ko alam. | sa totoo lang hindi ko alam | "To be honest, I don't know." | **Sa totoo lang** is a fully grammaticalized discourse marker for framing honest statements or admissions. Extremely common in conversational contexts. Functions as epistemic/evidential marker rather than truth claim. | [CORE] |
| FIXED DISCOURSE MARKERS | Ang totoo... | ang totoo | "The truth is... / Actually..." | Grammaticalized phrase for introducing corrections or clarifications. Common discourse marker in narrative and explanatory contexts. | [CORE] |
| POSSESSION OF QUALITY | May katotohanan ang sinabi niya. | may katotohanan ang sinabi niya | "What he/she said has truth / is truthful." | **May** + nominalization is productive for acknowledging presence of a quality. Common in contexts requiring nuanced assessment of partial truth or validity. | [CORE] |
| POSSESSION OF QUALITY | May tama ka. | may tama ka | "You have a point / You're partially correct." | Idiomatic expression for acknowledging partial correctness. Very common in conversational contexts for conceding points in discussion or argument. | [CORE] |
| EVIDENCE / PROOF CONSTRUCTIONS | Ano ang katunayan mo? | ano ang katunayan mo | "What is your proof / evidence?" | **Katunayan** (proof/evidence) is the standard nominalization for proof. Common in formal and informal contexts requiring evidence or verification. | [CORE] |
| EVIDENCE / PROOF CONSTRUCTIONS | Patunayan mo! | patunayan mo | "Prove it!" | Causative verb for proving is fully productive. Common in challenges, debates, and verification contexts. Shows lexical specialization with **tunay** root rather than **totoo**. | [CORE] |
