| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| உண்மை | உண்மையைச் சொல் | uṇmaiyaic col | tell the truth | A very common everyday expression used in conversation, parenting, confrontation, and narrative dialogue. It directly urges someone to state what is factually true. | [CORE] |
| உண்மை | உண்மை பேசு | uṇmai pēcu | speak the truth | Common in moral instruction and interpersonal situations where honesty is demanded. It overlaps with உண்மையைச் சொல் but can sound slightly more general or habitual. | [CORE] |
| உண்மை | உண்மை தெரிந்து கொள் | uṇmai terintu koḷ | learn the truth; come to know the truth | Used when someone is urged to find out what really happened or what is actually the case. Common in conversation, journalism, and reflective prose. | [CORE] |
| உண்மை | உண்மை வெளிவரு | uṇmai veḷivaru | the truth comes out | A common expression for hidden facts becoming known. It is frequent in media language, crime reporting, and dramatic narration. | [CORE] |
| உண்மை | உண்மை தெரியவரு | uṇmai teriyavaru | the truth becomes known | Very similar to உண்மை வெளிவரு, often used when facts gradually emerge. Common in reporting and narrative contexts. | [CORE] |
| உண்மை | உண்மைக்கு புறம்பாக | uṇmaikku puṟampāka | contrary to the truth; contrary to fact | A standard formal expression used for statements, allegations, or portrayals that do not match facts. It is especially common in legal, journalistic, and public-discourse contexts. | [CORE] |
| உண்மை | உண்மைக்கு மாறாக | uṇmaikku māṟāka | against the truth; contrary to fact | Another common formal evaluative construction for factual contradiction. It is used in criticism, argument, and official prose. | [CORE] |
| உண்மை | உண்மையின் அடிப்படையில் | uṇmaiyin aṭippaṭaiyil | on the basis of truth; on the basis of facts | Used in formal reasoning, reporting, and argumentation when emphasizing factual grounding. More common in written and institutional registers than in casual speech. | [MARGINAL] |
| உண்மை | உண்மையை அடிப்படையாகக் கொண்டு | uṇmaiyai aṭippaṭaiyāka koṇṭu | taking truth/fact as the basis | Common in formal prose, especially when discussing factual analysis, reporting, or principled argument. It frames truth as the basis for judgment or narration. | [MARGINAL] |
| உண்மை | உண்மையை மறை | uṇmaiyai maṟai | hide the truth | A natural and common expression for concealing facts. It appears in everyday speech, journalism, and political criticism. | [CORE] |
| உண்மை | உண்மையை ஒப்பு கொள் | uṇmaiyai oppu koḷ | admit the truth | Used when someone is urged to acknowledge facts they had denied or concealed. Common in interpersonal conflict and public commentary. | [CORE] |
| உண்மை | உண்மையை ஏற்று கொள் | uṇmaiyai ēṟṟu koḷ | accept the truth | Used both literally and rhetorically for accepting reality or facts. It is common in reflective, interpersonal, and motivational contexts. | [CORE] |
| மெய் | மெய்ப்பொருள் காண் | meypporuḷ kāṇ | perceive the true meaning; grasp the essential reality | A literary and philosophical expression used in interpretation, exegesis, and reflective prose. It refers to understanding what lies beneath surface appearance. | [CORE] |
| மெய் | மெய்யுணர்வு அடை | meyyuṇarvu aṭai | attain true realization | Common in religious and philosophical discourse for coming to direct realization of truth or ultimate reality. It is not everyday colloquial usage. | [CORE] |
| மெய் | மெய்ஞ்ஞானம் பெறு | meyññāṉam peṟu | attain true knowledge; gain spiritual knowledge | A standard religious-philosophical construction, especially in devotional and Saiva contexts. It refers to higher knowledge rather than ordinary factual learning. | [CORE] |
| மெய் | மெய்யென்று கொள் | meyyeṉṟu koḷ | take as true | Used in literary and argumentative prose when something is accepted or treated as true. It is more formal than everyday உண்மை-based phrasing. | [MARGINAL] |
| மெய் | மெய்யல்ல என்று கூறு | meyyalla eṉṟu kūṟu | say that it is not true | A natural formal/literary negating construction. It is less colloquial than உண்மையில்லை என்று சொல் but clearly established. | [MARGINAL] |
| மெய் | மெய்மறந்து போ | meymaṟantu pō | become beside oneself; lose oneself in ecstasy or emotion | A common literary and spoken expression for intense emotional absorption. Here மெய் extends toward bodily awareness rather than simple truth evaluation. | [CORE] |
