| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | [Clause/claim] + jẹ́ òtítọ́; sometimes strengthened by ó dájú or supported by fi ẹ̀rí hàn | [Clause/claim] + jẹ́ òtítọ́; sometimes strengthened by ó dájú or supported by fi ẹ̀rí hàn | [CORE] | The supplied material supports predicative expressions for a truth state, especially **jẹ́ òtítọ́** and **òtítọ́ ni**. These can describe a claim as true, including cases where something is established as true in discourse. However, the context does **not** clearly establish a dedicated inchoative construction specifically meaning “become true.” So the safest statement is that Yoruba here uses ordinary predication of truth, sometimes with evidential support, rather than a special “become true” form. |
| 2 | [Clause/claim] + kì í ṣe òtítọ́; [Clause/claim] + irọ́ ni | [Clause/claim] + kì í ṣe òtítọ́; [Clause/claim] + irọ́ ni | [CORE] | These expressions encode the resulting evaluation that a claim is false or not true. Again, the context does **not** clearly provide a special inchoative expression meaning “become false.” What is clearly attested is the state attribution or reclassification of a claim as false: either softer **kì í ṣe òtítọ́** or stronger **irọ́ ni**. |
| 3 | [X] + tọ́ / ó tọ́ | [X] + tọ́ / ó tọ́ | [CORE] | The context supports **tọ́** as a predicate of correctness, propriety, or rightness. This can describe the state an action, judgment, or statement has. But there is **NO COMMON EXPRESSION IDENTIFIED** in the supplied material for a dedicated “become right/correct” construction. The attested pattern is simple predication, not a special change-of-state form. |
| 4 | [X] + kò tọ́ | [X] + kò tọ́ | [CORE] | This is the standard negative counterpart to **tọ́** in the supplied material. It covers moral wrongness, impropriety, and factual/practical incorrectness. As above, the context does **not** clearly establish a dedicated “become wrong” expression; it supports only the resulting evaluative state. |
| 5 | fi òtítọ́ hàn | fi òtítọ́ hàn | [CORE] | This is the clearest dynamic causative-type expression in the truth domain from the supplied material. It does not mean “make something true,” but rather “cause the truth to become visible/manifest/known.” So the causation here is epistemic and evidential, not ontological. |
| 6 | fi ẹ̀rí hàn | fi ẹ̀rí hàn | [CORE] | This is another strong analytic causative-like construction. It means causing evidence to be displayed or made available in discourse, argument, investigation, or court-like settings. It often functions as the practical route by which a claim comes to be treated as **òtítọ́** or **ó dájú**. |
| 7 | rí i dájú; also rí i pé | rí i dájú; also rí i pé | [CORE] | These are important dynamic expressions in the broader truth-related domain. **Rí i dájú** means to make something certain, secure, or checked. **Rí i pé** means to ensure that something is the case. These do not directly mean “make true,” but they encode active verification, confirmation, and procedural establishment. |
| 8 | sọ òtítọ́ / mọ̀ òtítọ́ / fẹ́ òtítọ́ / máa sọ òtítọ́ | sọ òtítọ́ / mọ̀ òtítọ́ / fẹ́ òtítọ́ / máa sọ òtítọ́ | [CORE] | These are dynamic in the sense of actions and dispositions involving truth: - **sọ òtítọ́** = produce truthful speech - **mọ̀ òtítọ́** = come to possess truth as knowledge/state - **fẹ́ òtítọ́** = value truth - **máa sọ òtítọ́** = habitual truth-speaking They do not encode change-of-state morphology, but they are central truth-related event expressions. |
| 9 | ní ẹ̀rí / kò sí ẹ̀rí / jẹ́ ẹlẹ́rìí / pe ẹlẹ́rìí | ní ẹ̀rí / kò sí ẹ̀rí / jẹ́ ẹlẹ́rìí / pe ẹlẹ́rìí | [CORE] | These expressions encode the dynamics of support and verification: - evidence can be possessed or absent, - a person can function as witness, - a witness can be called. This is not “truth becoming true,” but it is a central pathway by which truth claims are stabilized, challenged, or established. |
| 10 | ojúlówó; ẹ̀rí ìdánimọ̀; bá mu; rí i dájú | ojúlówó; ẹ̀rí ìdánimọ̀; bá mu; rí i dájú | [CORE] | The context supports authenticity and matching as a practical truth-related domain. But there is **NO COMMON EXPRESSION IDENTIFIED** in the supplied material for a dedicated causative like “make it authentic” or an inchoative like “become authentic.” What is clearly supported is: - predicating authenticity (**ojúlówó**), - checking identity/documentation (**ẹ̀rí ìdánimọ̀**), - matching/correspondence (**bá mu**), - verification (**rí i dájú**). |
| 11 | ṣe òdodo / dúró fún òdodo / fẹ́ òdodo / tẹ̀lé òdodo | ṣe òdodo / dúró fún òdodo / fẹ́ òdodo / tẹ̀lé òdodo | [CORE] | In the **òdodo** domain, the dynamic expressions are mainly actional and dispositional rather than change-of-state. Yoruba here encodes righteousness/justice through doing, standing for, loving, or following it. There is **NO COMMON EXPRESSION IDENTIFIED** in the supplied material for a dedicated “become righteous/just” construction. |
| 12 | ó dájú / ní ẹ̀rí / kò sí ẹ̀rí | ó dájú / ní ẹ̀rí / kò sí ẹ̀rí | [CORE] | A stable truth-related state in the supplied material is often encoded not by a special verb meaning “stabilize,” but by: - certainty (**ó dájú**), - possession of evidence (**ní ẹ̀rí**), - or denial of support (**kò sí ẹ̀rí**). So stability is expressed through settled evaluation and evidential grounding, not through a distinct grammatical category of stabilization. |
| 13 | fi òtítọ́ hàn; fi ẹ̀rí hàn; rí i dájú; rí i pé; sọ òtítọ́; mọ̀ òtítọ́; ṣe òdodo; dúró fún òdodo; pe ẹlẹ́rìí | fi òtítọ́ hàn; fi ẹ̀rí hàn; rí i dájú; rí i pé; sọ òtítọ́; mọ̀ òtítọ́; ṣe òdodo; dúró fún òdodo; pe ẹlẹ́rìí | [CORE] | Clearly attested dynamic patterns: - **fi òtítọ́ hàn** — reveal/show the truth - **fi ẹ̀rí hàn** — present/show evidence - **rí i dájú** — make sure, ascertain - **rí i pé** — ensure that - **sọ òtítọ́** — tell the truth - **mọ̀ òtítọ́** — know the truth - **ṣe òdodo** — act justly - **dúró fún òdodo** — stand for justice - **pe ẹlẹ́rìí** — call a witness Not clearly attested as dedicated constructions: - “become true” as a special inchoative form - “become false” as a special inchoative form - “make something true” as a dedicated causative - “become authentic” as a dedicated inchoative - “make something authentic” as a dedicated causative - “become righteous” as a dedicated inchoative Overall note: The supplied Yoruba material encodes truth dynamics mainly through: 1. **predication of states** — *jẹ́ òtítọ́, kì í ṣe òtítọ́, ó tọ́, kò tọ́, ó dájú* 2. **analytic showing/verification constructions** — *fi òtítọ́ hàn, fi ẹ̀rí hàn, rí i dájú, rí i pé* 3. **action expressions involving truth or justice** — *sọ òtítọ́, mọ̀ òtítọ́, ṣe òdodo* |
