| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| Subject + 是 + truth/authenticity adjective + 的 | 这是真的。 | Zhè shì zhēn de. | "This is true / genuine." | Ubiquitous in spoken and written Chinese across all registers; the 是…的 frame is the default predicate construction for truth-domain attribution. Applies to the full truth-domain vocabulary (真, 假, 正确, 错误, 可靠, 客观, etc.). Degree adverbs (很, 完全, 根本) insert before the adjective. | [CORE] |
| Subject + 是 + truth/authenticity adjective + 的 | 这份报告是真实的。 | Zhè fèn bàogào shì zhēnshí de. | "This report is truthful / accurate." | Standard in both spoken and written registers; disyllabic adjectives (真实, 准确) are more typical of formal contexts than monosyllabic ones (真). | [CORE] |
| Subject + 是 + truth/authenticity adjective + 的 | 这份报告是虚假的。 | Zhè fèn bàogào shì xūjiǎ de. | "This report is false / fraudulent." | More formal register than 这是真的; 虚假 is characteristic of written, administrative, and journalistic contexts. No restriction on noun type as subject. | [CORE] |
| Subject + 是 + truth/authenticity adjective + 的 | 这条消息是真实的。 | Zhè tiáo xiāoxi shì zhēnshí de. | "This piece of news is truthful/accurate." | Widely used across registers for predicating truth-domain adjectives; the 是…的 frame is the default spoken and written form. No observable restriction on noun type. | [CORE] |
| Bare predicate (formal/written) | 他的陈述属实。 | Tā de chénshù shǔshí. | "His statement is confirmed as accurate." | Restricted to formal, legal, and administrative registers; 属实 is a fixed predicate and does not appear in the 是…的 frame. The bare adjectival predicate (without 是) is more assertive and formal than the copular form. | [CORE] |
| Bare predicate (formal/written) | 报道失实 | bàodào shīshí | (reporting is inaccurate) | Restricted to formal/written registers and fixed expressions; not a free productive alternate in spoken Chinese. | [CORE] |
| Subject + 不是 + truth/authenticity adjective + 的 | 这不是真的。 | Zhè bú shì zhēn de. | "This is not true / not genuine." | Emphatic or contrastive negation; commonly used in spoken and written registers when contradicting a prior claim. More pragmatically marked than direct negation. The standard spoken negation of the attribution frame; unrestricted across registers and contexts. No observable constraints on the truth-domain adjectives it combines with. | [CORE] |
| Subject + 不是 + truth/authenticity adjective + 的 (paired) | 这份文件不是真的，是假的。 | Zhè fèn wénjiàn bù shì zhēn de, shì jiǎ de. | "This document is not genuine; it is fake." | Common in everyday and journalistic registers for genuineness judgments; the paired structure (不是真的，是假的) is a natural reinforcement pattern. Applies primarily to concrete objects and documents. | [CORE] |
| Subject + 不 + adjective | 他的判断不准确。 | Tā de pànduàn bù zhǔnquè. | "His judgment is not accurate." | Neutral negation; more common in analytical and evaluative prose. Applies productively across gradable truth-domain adjectives. 没有 is not used for property negation in this domain. | [CORE] |
| Lexicalized negative compound | 这篇报道严重失实。 | Zhè piān bàodào yánzhòng shīshí. | "This report is seriously inaccurate." | Characteristic of journalistic and legal registers; 失实 is a lexicalized negative compound and does not take 不. Degree modification (严重) is common and attested. | [CORE] |
| Formal written negation (并非) | 该陈述并非属实。 | Gāi chénshù bìngfēi shǔshí. | "The statement is not confirmed as factual." | Restricted to formal written registers (legal, journalistic, administrative); 并非 does not occur freely in casual speech. The demonstrative 该 further marks this as a formal register item. | [MARGINAL] |
| Truth/authenticity adjective + 的 + Noun | 可靠的证据 | kěkào de zhèngjù | "reliable evidence" | Highly productive across the full vocabulary; attested with 真实的报道, 虚假的信息, 正确的方法, 准确的描述, 道地的北京话. Standard pattern in all registers. | [CORE] |
| Truth/authenticity adjective + 的 + Noun | 客观的评价 | kèguān de píngjià | "an objective evaluation" | Same pattern; 客观 is characteristic of formal, analytical, and academic registers. No register restriction on the construction itself. | [CORE] |
| Truth/authenticity adjective + 的 + Noun | 真实的情况 | zhēnshí de qíngkuàng | "the true / actual situation" | The modifier + 的 + noun pattern is the standard attributive construction in Chinese; no register restriction. Disyllabic modifiers require 的; monosyllabic modifiers may omit it in fixed compounds. | [CORE] |
| Truth/authenticity adjective + 的 + Noun | 虚假的广告 | xūjiǎ de guǎnggào | "false / fraudulent advertising" | Common in consumer, legal, and media contexts; 虚假 is a standard collocate with 广告, 信息, 宣传 in regulatory and journalistic discourse. | [CORE] |
| 成语 + 的 + Noun | 名副其实的专家 | míng fù qí shí de zhuānjiā | "a genuine expert; an expert who truly deserves the name" | Four-character expressions used attributively require 的; this pattern is common in written and formal registers. The 成语 itself carries evaluative force beyond simple modification. | [CORE] |
| 成语 + 的 + Noun | 货真价实的好东西 | huò zhēn jià shí de hǎo dōngxi | "something that is genuinely what it claims to be" | Four-character expressions used attributively require 的; this pattern is common in written and formal registers. The 成语 itself carries evaluative force beyond simple modification. | [CORE] |
| 变得 + adjective | 情况变得更加复杂，真相变得难以查明。 | Qíngkuàng biàn de gèngjiā fùzá, zhēnxiàng biàn de nányǐ chámíng. | "The situation became more complex; the truth became harder to establish." | Applies to gradable truth-domain adjectives (准确, 可靠, 客观); semantically odd with categorical 真/假, which do not readily admit of becoming. Characteristic of narrative and analytical registers. | [CORE] |
| 变得 + adjective + 了 | 报道变得失实了。 | Bàodào biàn de shīshí le. | "The reporting has become inaccurate." | Syntactically well-formed but less common than direct predication; inchoative framing of truth-domain adjectives is not a high-frequency pattern. More natural with negative-outcome predicates (失实, 失真) than with positive ones. | [MARGINAL] |
| Lexicalized inchoative: 弄假成真 | 弄假成真 | nòng jiǎ chéng zhēn | "What began as pretense became real." | Fixed four-character expression; encodes the specific inchoative meaning of a false state transitioning to a genuine one. Used idiomatically to describe unintended or ironic transitions from pretense to reality. Not decomposable as a productive construction; no parallel forms are attested. | [CORE] |
| Lexicalized inchoative: 假戏真做 | 假戏真做 | jiǎ xì zhēn zuò | (fiction/pretense enacted as real) | Fixed four-character expression; parallel to 弄假成真 in encoding pretense-to-reality transition. Not a productive open pattern. | [CORE] |
| 化 suffix (inchoative/resultative) | 合法化 | héfǎhuà | "to legalize / to become lawful" | The 化 suffix is productive with disyllabic stative bases in formal and written registers; common in political, legal, and policy discourse. Application is not uniform: monosyllabic truth-domain bases (真, 假) do not take 化 productively. | [CORE] |
| 使/让 + NP + adjective/verb | 这种做法使报道失真。 | Zhè zhǒng zuòfǎ shǐ bàodào shīzhēn. | "This practice causes the reporting to become distorted." | Productive periphrastic causative; 使 is more formal than 让 in this domain. Characteristic of critical, analytical, and regulatory registers (使数据失真, 让判断更客观). In the truth domain, this frame is most commonly attested with distortion/negative-outcome predicates (失真, 失实) rather than truth-positive ones. | [CORE] |
| 使/让 + NP + adjective/verb | 这使报道失真。 | Zhè shǐ bàodào shīzhēn. | "This caused the report to become distorted." | 使 is the formal causative coverb; 让 is more colloquial. In the truth domain, this frame is most commonly attested with distortion/negative-outcome predicates (失真, 失实) rather than truth-positive ones. | [CORE] |
| Verb + NP object (implicit causative) | 掩盖真相 | yǎngài zhēnxiàng | "to cover up the truth" | Highly productive verb-object pattern; causative force is implicit in the semantics of the verb rather than marked syntactically. Common across journalistic, legal, and everyday registers. | [CORE] |
| Lexicalized causative: 以假乱真 | 以假乱真 | yǐ jiǎ luàn zhēn | "using fakes to confuse [what is] genuine" | Fixed four-character expression encoding causative meaning lexically; not a productive open construction. Attested in contexts of deliberate deception and fraud. | [CORE] |
| Resultative complement: verb + 真/实 | 逼真 | bīzhēn | "lifelike" (approach + genuine) | Attested in 逼真 and 属实 but not a productive open construction in this domain. These are better treated as lexicalized compounds than as instances of a generative pattern. | [MARGINAL] |
| No dedicated causative construction | — | — | — | No dedicated causative construction is attested for this domain beyond the periphrastic 使/让 frame and transitive verbs (证实, 核实); no separate structurally distinct causative pattern can be reported. | [UNCERTAIN] |
| Verb/adjective base + 者 | 伪善者 | wěishànzhě | "a hypocrite; one who practices false virtue" | Productive agentive suffix in Chinese; in this domain attaches predominantly to negative-pole bases (伪善者, 造假者, 作假者). Characteristic of formal, written, and critical registers. | [CORE] |
| Verb/adjective base + 者 | 造假者 | zàojiǎzhě | "a fabricator; one who manufactures fakes or falsifies data" | Same pattern; 造假者 is frequent in journalistic, legal, and regulatory contexts. The asymmetry — agentives for falsifiers but not for truth-tellers via 者-suffixation — is supported by the data. | [CORE] |
| Verb/adjective base + 者 | 欺骗者 | qīpiànzhě | "deceiver; one who deceives" | Formal and written register; -者 forms are grammatically productive but less frequent in everyday speech, where 骗子 is preferred. Restricted to verbal compound bases; does not attach to adjectival items. | [MARGINAL] |
