# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1 | Albistea egiaztatu da | albistea egiaztatu da | [CORE] | Standard intransitive perfect construction. Most natural expression for something becoming established as true. |
| 1 | Susmo hura egiaztu zen | susmo hura egiaztu zen | [CORE] | Same construction, past tense. Fully idiomatic. |
| 1 | Istorioa egia bihurtu da | istorioa egia bihurtu da | [MARGINAL] | Generic inchoative exists but less common/idiomatic than egiaztatu da. |
| 2 | Haren esana gezurra zela frogatu zen | haren esana gezurra zela frogatu zen | [CORE] | Standard complementizer construction for expressing revelation of falsity. |
| 2 | Istorioa gezurra dela agertu da | istorioa gezurra dela agertu da | [CORE] | Alternative with agertu (appear/become evident). Equally natural. |
| 3 | Akatsa zuzendu da | akatsa zuzendu da | [CORE] | Standard intransitive construction for correction. Fully productive. |
| 3 | Egoera zuzendu zen | egoera zuzendu zen | [CORE] | Same construction applied to different noun. Unrestricted usage. |
| 4 | Plana okertu da | plana okertu da | [CORE] | Standard intransitive for going wrong. Most natural expression. |
| 4 | Dena okertu zen | dena okertu zen | [CORE] | Common expression for everything going wrong. Fully idiomatic. |
| 5 | Egia agerian jarri da | egia agerian jarri da | [CORE] | Standard passive/intransitive of agerian jarri. Natural for exposure. |
| 5 | Gezurra agertu da | gezurra agertu da | [CORE] | Standard intransitive for appearing/becoming evident. Fully productive. |
| 6 | Egia ezkutatu da | egia ezkutatu da | [CORE] | Standard intransitive/passive for being hidden. Natural expression. |
| 6 | Informazioa ezkutuan jarri zen | informazioa ezkutuan jarri zen | [CORE] | Parallel to agerian jarri. Fully productive construction. |
| 7 | Datua ziurtatu da | datua ziurtatu da | [CORE] | Standard intransitive for being confirmed. Most natural expression. |
| 7 | Haren parte-hartzea ziurtatu zen | haren parte-hartzea ziurtatu zen | [CORE] | Same construction. Unrestricted usage. |
| 8 | Haren zintzotasuna zalantzan jarri da | haren zintzotasuna zalantzan jarri da | [CORE] | Standard passive construction. Most natural way to express being questioned. |
| 8 | Teoria zalantzan jarri zen | teoria zalantzan jarri zen | [CORE] | Same construction. Fully productive. |
| 9 | Bi istorioak elkarri antzetu zaizkio | bi istorioak elkarri antzetu zaizkio | [MARGINAL] | Verb antzetu exists but less common than adjectival forms. |
| 9 | Kopia originala bezain antzeko bihurtu da | kopia originala bezain antzeko bihurtu da | [CORE] | Construction with bihurtu + antzeko more frequently attested. |
| 10 | Puntuazioak berdindu dira | puntuazioak berdindu dira | [CORE] | Standard intransitive for equalization. Common in sports contexts. |
| 10 | Bi kopiak berdindu dira | bi kopiak berdindu dira | [CORE] | Same construction. Fully productive. |
| 11 | Arauak egoerara egokitu dira | arauak egoerara egokitu dira | [CORE] | Standard intransitive for adaptation. Natural expression. |
| 11 | Proposamena baldintzetara egokitu da | proposamena baldintzetara egokitu da | [CORE] | Same construction with allative marking target. Unrestricted. |
| 12 | Xehetasunak zehaztu dira | xehetasunak zehaztu dira | [CORE] | Standard intransitive/passive for specification. Natural expression. |
| 12 | Data zehaztu zen | data zehaztu zen | [CORE] | Same construction. Fully productive. |
