| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| 진실 | 진실하다 | jinsilhada | 眞實 “truth” + 하다 | be truthful; be sincere; be true | Used for persons, speech, attitudes, or emotional expression judged to be truthful or sincere. It is more literary and evaluative than plain everyday spoken wording. | [CORE] |
| 진실 | 진실성 | jinsilseong | 眞實 “truthfulness” + 性 “quality” | sincerity; truthfulness; authenticity | Common in criticism, politics, ethics, and public discourse. It evaluates whether a person, statement, or expression feels honest and genuine. | [CORE] |
| 진실 | 진실되다 | jinsildoeda | 眞實 “truth” + 되다 | be truthful; be genuine | Attested but less common than 진실하다. It appears mainly in literary, moral, or descriptive prose for character, speech, or attitude. | [MARGINAL] |
| 진실 | 진실로 | jinsillo | 眞實 “truth” + 로 | truly; indeed | A literary or formal adverbial form found in elevated prose, sermons, and essays. It is not a neutral everyday spoken equivalent of “really.” | [MARGINAL] |
| 참 | 참되다 | chamdoeda | 참 “true” + 되다 | be true; be genuine; be sincere | Used for values, teachings, attitudes, or persons judged to be genuinely right or sincere. It is more formal and literary than casual spoken predicates. | [CORE] |
| 참 | 참됨 | chamdoem | 참되다 “be true/genuine” + -ㅁ | truthfulness; genuineness; sincerity | A nominalized form used in moral, philosophical, or religious writing. It refers to the quality or state of being true or genuine. | [MARGINAL] |
| 참되다 | 참됨 | chamdoem | 참되다 + -ㅁ | truthfulness; genuineness; sincerity | Used as an abstract noun in formal writing, especially in ethical or philosophical contexts. It names the quality expressed by 참되다. | [MARGINAL] |
| 진정하다 | 진정한 | jinjeonghan | 眞正하다 attributive form | true; genuine; authentic | Extremely common as an attributive modifier in phrases such as 진정한 사랑 and 진정한 의미. In actual usage this attributive form is often more frequent than the citation form. | [CORE] |
| 진정하다 | 진정성 | jinjeongseong | 眞正 “genuine” + 性 “quality” | authenticity; sincerity; genuineness | Very common in contemporary public discourse, criticism, branding, and politics. It is used to assess whether motives, expression, or style are genuine rather than performative. | [CORE] |
| 진정하다 | 진정 | jinjeong | 眞正 | genuineness; authenticity | Attested mainly as a formal lexical element in compounds or elevated writing rather than as an everyday free noun. Its independent use is limited. | [MARGINAL] |
| 진짜 | 진짜배기 | jinjjabaegi | 진짜 “real” + 배기 | the real thing; genuine article | A colloquial emphatic form used for something unmistakably authentic or first-rate. It can be used for goods, performances, or even people. | [CORE] |
| 가짜 | 가짜배기 | gajjabaegi | 가짜 “fake” + 배기 | complete fake; bogus thing | A colloquial emphatic form used to stress that something is thoroughly fake or sham. It is less neutral than plain 가짜 and often carries a dismissive tone. | [MARGINAL] |
| 사실 | 사실상 | sasilsang | 事實 “fact” + 上 | in fact; virtually; effectively | Very common in journalism, academic prose, and formal speech. It is used when something is true in practical effect even if not formally stated. | [CORE] |
| 사실 | 사실적 | sasiljeok | 事實 “fact” + 的 | factual; realistic | Used in reporting, criticism, and legal or academic writing. Depending on context, it can refer to factual basis or realistic depiction. | [CORE] |
| 사실 | 사실성 | sasilseong | 事實 “fact” + 性 | factuality; realism; plausibility | Used in journalism, criticism, and argumentation. It refers either to factual grounding or to the sense of realism in representation. | [CORE] |
| 사실 | 사실혼 | sasilhon | 事實 “de facto” + 婚 “marriage” | de facto marriage; common-law marriage | A legal and social term for a marriage-like union without formal registration. Here 사실 contributes the sense of de facto actuality rather than truth evaluation. | [CORE] |
| 사실 | 사실무근 | sasilmugeun | 事實 “fact” + 無根 “without basis” | baseless; groundless; unfounded | Very common in denials of rumors, allegations, and reports. It is especially frequent in media statements and official responses. | [CORE] |
| 사실이다 | (no common derivation identified) |  |  |  |  |  |
| 허위 | 허위성 | heowiseong | 虛僞 “falsehood/falsity” + 性 | falsity; false character | Attested in legal, administrative, and evaluative writing when discussing whether a statement, claim, or representation is false. It is much less common than fixed compounds like 허위 사실. | [MARGINAL] |
| 거짓 | 거짓말 | geojinmal | 거짓 “falsehood” + 말 “speech” | lie | One of the most common everyday words for a lie. It refers to false speech and is central in ordinary conversation and child-directed language as well as adult discourse. | [CORE] |
| 거짓 | 거짓되다 | geojitdoeda | 거짓 “false” + 되다 | become false; be false | Attested but not common in contemporary everyday usage. It appears mainly in literary, religious, or formal prose. | [MARGINAL] |
| 거짓 | 거짓됨 | geojitdoem | 거짓되다 + -ㅁ | falseness; falsehood | A formal nominalized form found mainly in literary or philosophical writing. It is not a common everyday noun compared with 거짓 or 거짓말. | [MARGINAL] |
| 정확하다 | 정확성 | jeonghwakseong | 正確 “accuracy” + 性 | accuracy; precision | Common in technical, academic, media, and professional evaluation. It refers to the quality or degree of being accurate. | [CORE] |
| 정확하다 | 정확도 | jeonghwakdo | 正確 “accurate” + 度 “degree” | degree of accuracy; accuracy rate | Common in statistics, engineering, medicine, testing, and machine learning. It quantifies how accurate a result, instrument, or system is. | [CORE] |
| 정확하다 | 정확히 | jeonghwakhi | 정확하다 + -히 | accurately; exactly; precisely | A very common adverb used for speaking, measuring, remembering, timing, and describing. It is the ordinary adverbial counterpart of 정확하다. | [CORE] |
| 정확성 | (no common derivation identified) |  |  |  |  |  |
| 올바르다 | 올바름 | olbareum | 올바르다 + -ㅁ | correctness; rightness; propriety | Used as an abstract noun in formal or reflective writing. It can refer to moral, procedural, or conceptual rightness depending on context. | [MARGINAL] |
| 올바르다 | 올바로 | olbaro | 올바르다 adverbial form | correctly; properly; rightly | A standard adverb used for doing, saying, or understanding something properly. It is common in both spoken and written Korean. | [CORE] |
| 옳다 | 옳음 | oreum | 옳다 + -음 | rightness; correctness; justice | Used in philosophical, moral, and argumentative writing as an abstract noun. It refers to the state or quality of being right. | [MARGINAL] |
| 옳다 | 옳게 | olke | 옳다 + -게 | rightly; correctly; justly | An adverbial form used in formal and ordinary contexts for acting or judging rightly. It is less frequent than some other adverbials but clearly attested. | [CORE] |
| 정당하다 | 정당성 | jeongdangseong | 正當 “legitimate/justified” + 性 | legitimacy; justifiability | Very common in law, politics, ethics, and institutional critique. It refers to whether an action, authority, or claim is justified. | [CORE] |
| 정당하다 | 정당방위 | jeongdangbangwi | 正當 “justified” + 防衛 “defense” | self-defense; justified defense | A common legal term in criminal law and news reporting. It refers to defensive action recognized as justified under legal standards. | [CORE] |
| 정당하다 | 정당행위 | jeongdanghaengwi | 正當 “justified” + 行爲 “act” | justifiable act | A technical legal term for acts exempted from wrongfulness under certain conditions. It is used in formal legal analysis rather than everyday speech. | [CORE] |
| 타당하다 | 타당성 | tadangseong | 妥當 “valid/sound” + 性 | validity; soundness; appropriateness | Very common in academic, legal, and evaluative writing. It refers to whether an argument, interpretation, or decision is well-founded. | [CORE] |
| 타당하다 | 타당히 | tadanghi | 타당하다 + -히 | validly; reasonably; appropriately | Attested in formal writing, though much less common than the noun 타당성. It is used when describing reasoning or evaluation as sound or appropriate. | [MARGINAL] |
| 유효하다 | 유효성 | yuhyoseong | 有效 “valid/effective” + 性 | validity; effectiveness | Common in law, administration, medicine, science, and technical evaluation. It refers to whether something is valid, operative, or effective. | [CORE] |
| 유효하다 | 유효기간 | yuhyogigan | 有效 “valid” + 期間 “period” | validity period; expiration period | Very common for documents, tickets, licenses, coupons, medicines, and products. It refers to the period during which something remains valid. | [CORE] |
| 무효 | 무효하다 | muhyohada | 無效 “invalidity” + 하다 | be invalid; be null | Used in legal, administrative, and procedural contexts for contracts, votes, acts, or decisions that do not count as valid. It is formal and common in institutional language. | [CORE] |
| 무효 | 무효화 | muhyohwa | 無效 “invalid” + 化 | invalidation; nullification | Common in law, policy, and administration for making something invalid. It can refer to the nullification of agreements, decisions, or procedures. | [CORE] |
| 신뢰하다 | 신뢰성 | silloeseong | 信賴 “trust/reliance” + 性 | reliability; trustworthiness; credibility | Common for data, systems, institutions, witnesses, and media sources. It evaluates how dependable something is. | [CORE] |
| 신뢰하다 | 신뢰도 | silloedo | 信賴 “trust/reliance” + 度 | reliability level; credibility rating | Used in statistics, surveys, engineering, and evaluation. It quantifies or grades the degree of reliability. | [CORE] |
| 신뢰성 | (no common derivation identified) |  |  |  |  |  |
| 믿을 만하다 | (no common derivation identified) |  |  |  |  |  |
