| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Factual Correspondence Terms | Terms used to affirm or deny that statements, beliefs, or representations correspond to actual states of affairs or reality. These expressions are invoked when verifying information, checking facts, or distinguishing what actually exists or occurred from what does not. Commonly appear in contexts of confirmation, denial, investigation, and reporting. | totoo (true, real), katotohanan (truth, reality), hindi totoo (not true, untrue), di-totoo (untrue, false), totoo ba? (is it true?), may katotohanan (has truth, there is truth to it), walang katotohanan (without truth, baseless), batay sa katotohanan (based on truth, factual), ayon sa katotohanan (according to truth, actually), makatotohanan (realistic, plausible, true-to-life) | sa katunayan (in fact, actually) - overlaps with evidential/proof terms; totoo nga (it's really true) - overlaps with emphatic affirmation patterns; nagtotoo/tumutuoo/magkatotoo (coming true, being realized) - extends to realization/manifestation rather than simple factual correspondence | Temporal/aspectual forms extend beyond simple factual correspondence into realization/manifestation domain |
| GROUP 2: Authenticity and Genuineness Terms | Terms used to distinguish what is genuine, authentic, or essential from what is imitation, fake, or superficial. These expressions emphasize the true nature or identity of persons, objects, relationships, or emotions, often contrasting inner reality with outer appearance. Frequently used to evaluate sincerity, identify counterfeits, or affirm essential character. | tunay (genuine, authentic, true), tunay na (truly, genuinely), tunay na tunay (very genuine, absolutely true), tunay na pag-ibig (true love), tunay na kaibigan (true friend), tunay na kulay (true colors, real character), tunay na pangalan (real name), tunay na ama/ina (real father/mother, biological parent), pagkatunay (genuineness, authenticity), peke (fake, counterfeit), peke-peke (very fake, obviously fake), huwad (false, counterfeit), huwad na huwad (completely false) | tunay na dahilan/layunin (true reason/purpose) - overlaps with hidden vs. stated motives; hindi tunay (not genuine) - simple negation, less specific than dedicated falsity terms; gawâ-gawâ (made-up, fabricated) - overlaps with fabrication/invention terms | Includes both positive (genuine) and negative (fake) poles of the authenticity dimension |
| GROUP 3: Correctness and Error Terms | Terms used to evaluate whether statements, answers, actions, or judgments are correct or incorrect according to standards, facts, or norms. These expressions appear in contexts of verification, testing, problem-solving, and moral evaluation. They mark alignment or misalignment with what is proper, accurate, or right. | tama (correct, right, proper), tama ba? (is it correct?), tama ka/ako/siya (you're/I'm/he's right), hindi tama (not correct, wrong), tama nga (indeed correct, that's right), mali (wrong, incorrect), mali ka/ako/siya (you're/I'm/he's wrong), pagkakamali (mistake, error), magkamali (to make a mistake), nagkakamali (is making mistakes), kamali-mali (very wrong, full of errors), wasto (correct, proper), wastuhan (to correct, to rectify), tumpak (accurate, precise, exact) | tama na (enough, stop) - semantic shift to cessation/sufficiency rather than correctness; hustó (exact, just right) - overlaps with precision and appropriateness; tumama (to be correct / to hit) - polysemy with physical contact sense; katamaan (correctness / being hit) - polysemy issue | Some forms show polysemy with physical contact meanings; semantic extension to cessation domain in "tama na" |
| GROUP 4: Deception and Lying Terms | Terms used to characterize dishonest communication, deliberate falsehoods, or acts of deceiving others. These expressions identify lies, liars, and lying behavior, often appearing in accusations, denials, or moral judgments about truthfulness. They focus on intentional misrepresentation in speech or behavior. | sinungaling (liar, deceitful), sinungaling ka/siya (you're/he's a liar), kasinungalingan (lie, falsehood), magsinungaling (to lie, to tell lies), nagsisinungaling (is lying), sinungaling na sinungaling (complete liar, habitual liar), bulaán (false, deceitful, lying), bulaan (to lie to, to deceive), magbulaan (to lie to each other), binubulaan (is being lied to) | puro kasinungalingan (all lies) - emphatic construction; walang kasinungalingan (no lies) - negation pattern | Focus on verbal deception and dishonest communication |
| GROUP 5: Cheating and Fraud Terms | Terms used to identify dishonest practices in transactions, games, competitions, or relationships involving trickery, fraud, or unfair advantage. These expressions emphasize deceptive actions rather than just false statements, often appearing in contexts of fairness, justice, and rule-following. | dáyà (cheat, fraud, deceit), mandaya (to cheat, to deceive), dayain (to cheat on, to defraud), pagdadaya (cheating, deception, fraud), nandadaya (is cheating), madaya (deceitful, fraudulent, unfair), dáyà yan (that's cheating), walang dáyà (no cheating, fair) | None noted | Emphasizes deceptive actions in competitive or transactional contexts |
| GROUP 6: Illusion and Deceptive Appearance Terms | Terms used to describe misleading appearances, visual deception, or situations where things are not as they seem. These expressions focus on perceptual or representational deception rather than verbal lies, often appearing in contexts of revelation, unmasking, or distinguishing appearance from reality. | linlang (deception, illusion, delusion), manlinlang (to deceive, to trick), linlangin (to deceive, to fool), paglilinlang (deception, trickery), nanlilinlang (is deceiving), malinlang (to be deceived, to be fooled), palabás (pretense, show, facade), magpalabas (to pretend, to put on a show), palabas-labas (all show, pure pretense), kunwari (pretend, feign, as if), magkunwari (to pretend, to feign), nagkukunwari (is pretending), kunwari lang (just pretending, only joking) | gawâ-gawâ (made-up, fabricated) - overlaps with fabrication and inauthenticity; palabás lang (just for show) - emphatic construction | Focus on perceptual and representational deception rather than verbal lies |
| GROUP 7: Fabrication and Invention Terms | Terms used to characterize things that are created, invented, or made up rather than naturally occurring or factually based. These expressions distinguish creative or dishonest fabrication from reality, appearing in contexts of fiction, imagination, and false claims. | kathâ (fiction, invention, fabrication), kumatha (to create fiction, to invent), kathain (to invent, to fabricate), pagkakatha (invention, creation, fabrication), kathang-isip (imaginary, fictional, figment of imagination), kathang-isip lang (just imaginary, merely fictional), gawâ-gawâ (made-up, fabricated, artificial), gawâ-gawâ lang (just made-up, merely fabricated) | kathâ lamang (merely fiction) - emphatic construction; kathang-isip lang yan (that's just imaginary) - demonstrative construction | Covers both creative fiction and dishonest fabrication |
| GROUP 8: Evidence and Proof Terms | Terms used to refer to evidence, proof, or demonstration that establishes truth or genuineness. These expressions appear in legal, investigative, and argumentative contexts where claims must be supported or verified through evidence. They focus on the means of establishing truth rather than truth itself. | katunayan (proof, evidence, fact), patunayan (to prove, to verify), pagpapatunay (proving, verification), mapatunayan (can be proven, provable), napatunayan (was proven, has been verified), pinatunayan (proved, verified), katunayan nito (proof of this), bilang katunayan (as proof, as evidence), walang katunayan (without proof, unproven), may katunayan (has proof, there is evidence) | sa katunayan (in fact, actually) - functions as discourse marker rather than referring to evidence per se | Focus on means of establishing truth rather than truth itself |
| GROUP 9: Concealment and Revelation Terms | Terms used to describe what is hidden or secret versus what is exposed or evident. These expressions mark the distinction between concealed and revealed information, appearing in contexts of disclosure, privacy, transparency, and discovery. | lihim (secret, hidden, concealed), ilihim (to hide, to keep secret), paglilihim (hiding, concealment, secrecy), inililihim (is being hidden, is being kept secret), lihiman (secretly, in secret), sa lihim (in secret, secretly), walang lihim (no secrets, nothing hidden), may lihim (has a secret), lantád (exposed, open, evident), ilantad (to expose, to reveal), paglalantad (exposure, revelation), inilalantad (is being exposed), lantaran (openly, publicly), lantád na (already exposed, now evident) | lihim na pag-ibig (secret love) - collocation pattern; lantád sa lahat (exposed to all) - emphatic construction | Covers both concealment and revelation poles |
| GROUP 10: Honesty and Sincerity Terms | Terms used to characterize persons or communications as honest, sincere, and truthful versus dishonest or insincere. These expressions evaluate character and communicative intent, often appearing in contexts of trust, integrity, and moral evaluation. They focus on the disposition to tell truth rather than truth-value of specific statements. | tapat (sincere, honest, truthful, faithful), katapatan (honesty, sincerity, loyalty), magtapat (to be honest, to confess), nagtapat (was honest, confessed), tapat na tapat (very honest, completely sincere), tapat na tao (honest person), tapat sa (faithful to, loyal to), hindi tapat (not honest, unfaithful), walang katapatan (without honesty, disloyal), may katapatan (has honesty, has loyalty), sinsero (sincere, honest) | pagtapat (honesty, confession) - nominalized form; tapat sa salita (true to one's word) - collocation extending to reliability | Focus on disposition to tell truth rather than truth-value of specific statements |
| GROUP 11: Appropriateness and Fit Terms | Terms used to evaluate whether something is fitting, suitable, or appropriate for a particular context, purpose, or person. These expressions assess contextual fit rather than absolute correctness, appearing in judgments of suitability, propriety, and matching. | akma (fitting, appropriate, suitable), umakma (to fit, to be appropriate), akmaín (to fit, to adjust), pag-akma (fitting, adjustment), akma sa (fitting for, appropriate to), hindi akma (not fitting, inappropriate), dapat (should, ought, must, proper), dapat lang (as it should be, only proper), dapat-dapat (very proper, highly appropriate), kadapat-dapat (most appropriate, highly deserving), hindi dapat (should not, improper), hustó (exact, just right, fitting), hustó lang (just right, just enough), hustó na hustó (exactly right, perfectly fitting) | tama lang (just right, appropriate) - overlaps with correctness terms but emphasizes sufficiency; dapat na (should already) - temporal aspect | Assess contextual fit rather than absolute correctness |
| GROUP 12: Discourse Management and Hedging Expressions | Expressions that function primarily to manage conversational flow, introduce statements, or modify illocutionary force rather than directly asserting truth-values. These appear as discourse markers, hedges, or pragmatic particles that frame how utterances should be interpreted. | totoo lang (honestly, to be honest), sa totoo lang (to be honest, truthfully speaking), totóhanán (seriously, in earnest, for real), totoo naman (it is true though, admittedly), sa katunayan (in fact, actually, as a matter of fact), kung totoo (if true), totoo man (even if true, though it be true), kunwari (pretend, as if, supposedly), para kunwari (as if, as though) | totoo ba? (is it true?) - interrogative function but also discourse marker expressing surprise; totoo nga (it's really true) - emphatic affirmation overlapping with factual assertion | Pragmatic function has diverged from or supplements literal meaning |
| GROUP 13: Emphatic and Intensifying Constructions | Reduplicated or particle-modified forms that intensify or emphasize the degree, certainty, or completeness of the base meaning. These constructions add emphasis rather than changing core semantic content, appearing across multiple semantic domains. | totoong-totoo (very true, absolutely real), tunay na tunay (very genuine, absolutely true), tapat na tapat (very honest, completely sincere), sinungaling na sinungaling (complete liar, habitual liar), huwad na huwad (completely false, thoroughly counterfeit), peke-peke (very fake, obviously fake), kamali-mali (very wrong, full of errors), palabas-labas (all show, pure pretense), tama-tama (just right, exactly right, coincidentally), hustó na hustó (exactly right, perfectly fitting), totoo nga (indeed true, really true), tama nga (indeed correct, that's right), tunay nga (indeed genuine, really true), sobrang totoo (very true, extremely real), sobrang mali (very wrong, extremely incorrect), sobrang tama (very correct, exactly right) | None noted | Grouped by formal pattern rather than semantic content since they apply across domains |
| GROUP 14: Comparative and Superlative Constructions | Constructions that express relative degrees of truth, correctness, genuineness, or other qualities within the domain. These appear in contexts of comparison, ranking, or identifying extremes. | mas totoo (more true, more real), mas tunay (more genuine, more authentic), mas tama (more correct), mas mali (more wrong), pinakatotoo (most true, truest), pinakatunay (most genuine, most authentic), pinakatama (most correct), pinakamali (most wrong) | None noted | Express relative degrees across the domain |
| GROUP 15: Cessation and Sufficiency Expressions | Expressions derived from correctness terms but semantically shifted to indicate sufficiency, completion, or requests to stop. These appear primarily in directive contexts requesting cessation of actions or indicating that a threshold has been reached. | tama na (enough, that's enough, stop now), tama na yan (that's enough, stop that), tama na po (that's enough [polite], please stop) | None noted | Represents semantic extension from correctness domain into quantity/cessation domains, specific to "tama" |
| (Ungrouped Items) | Items with multiple group membership or unclear grouping | gawâ-gawâ (belongs to both GROUP 2 and GROUP 7), sa katunayan (functions as discourse marker GROUP 12 but etymologically related to GROUP 8), makatotohanan (overlaps GROUP 1 but emphasizes verisimilitude), tunay na dahilan/layunin (could belong to GROUP 2 or GROUP 9), nagtotoo/tumutuoo/magkatotoo (extend beyond GROUP 1 into realization/manifestation), tumama/tamaan (polysemous with physical contact sense), particle combinations with ba/nga/lang/naman (productive patterns distributed across domains) | All items listed are ambiguous or have multiple group membership as noted in CONTEXT | Overlap between groups is natural and reflects actual semantic relationships; some items may warrant separate grouping if more examples emerge |
