| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| true | N/A | From Old English trēowe "faithful, trustworthy" | true, truthful, accurate, genuine | Used to evaluate statements as corresponding to reality or facts. Also applied to objects or representations as authentic or genuine (e.g., "true gold," "true copy"). Common in both everyday and philosophical discourse. | [CORE] |
| false | N/A | From Latin falsus "deceived, erroneous" | false, untrue, incorrect, fake | Used to evaluate statements as not corresponding to reality. Also describes objects or representations as counterfeit or inauthentic. Standard negation of truth in logical and everyday contexts. | [CORE] |
| right | N/A | From Old English riht "just, good, proper" | right, correct, proper, just | Applied to statements, actions, or judgments as correct or morally acceptable. Used in moral evaluation ("the right thing to do") and factual correctness ("the right answer"). Highly polysemous across epistemic and moral domains. | [CORE] |
| wrong | N/A | From Old English wrang "crooked, twisted" | wrong, incorrect, improper, unjust | Evaluates statements as incorrect or actions as morally unacceptable. Functions as antonym to "right" in both epistemic and moral contexts. Common in everyday evaluative discourse. | [CORE] |
| correct | N/A | From Latin correctus "made straight, amended" | correct, accurate, right, proper | Used primarily for factual accuracy of statements or appropriateness of conduct. More formal register than "right" in epistemic contexts. Common in educational and technical settings. | [CORE] |
| accurate | N/A | From Latin accuratus "done with care" | accurate, precise, exact, faithful | Evaluates representations or statements for precision and correspondence to reality. Emphasizes careful attention to detail. Frequently used for measurements, descriptions, and reproductions. | [CORE] |
| genuine | N/A | From Latin genuinus "native, natural, innate" | genuine, authentic, real, true | Applied to objects, persons, or expressions to evaluate authenticity or sincerity. Contrasts with counterfeit, fake, or insincere. Used in commercial, personal, and aesthetic contexts. | [CORE] |
| authentic | N/A | From Greek authentikos "original, genuine" | authentic, genuine, real, legitimate | Evaluates objects, documents, or representations as original or not counterfeit. Also applied to persons or conduct as sincere or true to character. Common in art, historical, and cultural contexts. | [CORE] |
| real | N/A | From Latin realis "relating to things" | real, actual, genuine, true | Evaluates existence or genuineness of objects, persons, or situations. Contrasts with imaginary, fake, or apparent. Fundamental term in ontological and everyday discourse. | [CORE] |
| valid | N/A | From Latin validus "strong, effective" | valid, sound, legitimate, well-founded | Used primarily in logical and legal contexts to evaluate arguments or documents. An argument is valid if its conclusion follows from premises; a document is valid if legally binding. Technical term with specific meanings in different domains. | [CORE] |
| sound | N/A | From Old English gesund "healthy, whole" | sound, valid, reliable, solid | Evaluates arguments, reasoning, or judgments as both valid and based on true premises. Also applied to physical objects as structurally intact. Used in logical, legal, and practical contexts. | [CORE] |
| reliable | N/A | rely + -able "able to be relied upon" | reliable, dependable, trustworthy, consistent | Evaluates sources, persons, or instruments as consistently producing accurate information or performance. Emphasizes consistency over time. Common in epistemic and practical contexts. | [CORE] |
| faithful | N/A | faith + -ful "full of faith" | faithful, accurate, loyal, true | Applied to representations or translations as accurately preserving the original. Also evaluates persons as loyal or constant. Used in aesthetic, religious, and personal contexts. | [CORE] |
| veridical | N/A | From Latin veridicus "truth-telling" (verus "true" + dicere "to say") | veridical, truthful, truth-telling | Technical term in philosophy and psychology for perceptions or statements that accurately represent reality. Primarily used in academic discourse about perception and cognition. Rare in everyday usage. | [MARGINAL] |
