| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. General truth / correctness in statements and claims | This grouping centers on expressions used to say that a statement, report, answer, or assumption is true or correct. In usage, these forms are common in confirmation, denial, rebuttal, clarification, and discussion of whether something is in fact the case. | **benar** — ‘true; correct; right’<br>**betul** — ‘correct; right; true; exact’<br>**kebenaran** — ‘truth; correctness; rightness’<br>**kebenarannya** — ‘its truth; the truth of it’<br>**tidak benar** — ‘not true; incorrect’<br>**kurang benar** — ‘not quite correct’<br>**benar bahwa ...** — ‘it is true that ...’<br>**tidak benar bahwa ...** — ‘it is not true that ...’<br>**memang benar** — ‘it is indeed true’<br>**memang betul** — ‘that is indeed correct’<br>**benar atau tidak** — ‘whether true or not’<br>**jawaban yang tepat** — ‘the correct answer’ | **tepat** can join this group when used for answers, diagnoses, or wording, but often extends into precision or appropriateness.<br>**sebenarnya** often introduces what is really the case, but functions partly as a discourse marker rather than a plain truth predicate.<br>**betul** overlaps strongly with **benar**, but is often more conversational in tone. | — |
| 2. Confirming, justifying, and correcting | These expressions are used when speakers do something with a claim or action: confirm it, justify it, or correct it. In actual usage, this grouping mixes truth-confirmation with moral/legal justification and with practical correction of mistakes. | **membenarkan** — ‘to justify; to confirm; to validate; to correct’<br>**pembenaran** — ‘justification’<br>**membenarkan diri** — ‘to justify oneself’<br>**membenarkan anggapan bahwa ...** — ‘to confirm the assumption that ...’<br>**membenarkan kabar / berita** — ‘to confirm news / a report’<br>**tidak ada yang membenarkan ...** — ‘nothing justifies ...’<br>**membetulkan** — ‘to correct; to set right; to fix’<br>**pembetulan** — ‘correction; rectification’ | **membenarkan** belongs both with truth-confirmation and with moral/legal justification.<br>**membetulkan** overlaps with this group only partly, since it also extends to physical fixing or straightening.<br>**pembenaran** is often more about giving reasons than about establishing factual truth. | — |
| 3. Precision, exactness, and getting something right | This grouping covers expressions used for exactness in wording, measurement, identification, timing, and selection. In usage, these forms often evaluate whether something is accurate, precise, or exactly fitting to the situation. | **tepat** — ‘accurate; precise; exact; appropriate’<br>**ketepatan** — ‘accuracy; precision; appropriateness’<br>**akurat** — ‘accurate’<br>**keakuratan** — ‘accuracy’<br>**dengan tepat** — ‘accurately; precisely’<br>**secara tepat** — ‘precisely; accurately’<br>**akurat dalam ...** — ‘accurate in ...’<br>**secara akurat** — ‘accurately’<br>**dengan akurat** — ‘accurately’<br>**tingkat ketepatan** — ‘level of accuracy’<br>**tingkat keakuratan** — ‘level of accuracy’<br>**tepat sekali** — ‘exactly right; very accurate’<br>**kurang tepat** — ‘not quite accurate / somewhat inappropriate’<br>**tidak tepat** — ‘inaccurate; inappropriate’<br>**kurang akurat** — ‘less accurate’<br>**tidak akurat** — ‘inaccurate’ | **tepat** often overlaps with appropriateness, not just factual accuracy.<br>**akurat** is narrower in usage and more strongly tied to factual or representational accuracy.<br>**jawaban yang tepat**, **istilah yang tepat**, and **diagnosis yang tepat** sit between correctness and precision. | — |
| 4. Targeting, timing, and practical fit within the *tepat* family | Within actual Indonesian usage, many *tepat* expressions cluster around whether an action reaches the right target, happens at the right time, or suits a practical purpose. These are related in form and usage, even though they are not all about truth in a narrow sense. | **tepat sasaran** — ‘well-targeted; on target’<br>**ketepatan sasaran** — ‘targeting accuracy’<br>**agar tepat sasaran** — ‘so that it is well-targeted’<br>**belum tepat sasaran** — ‘not yet well-targeted’<br>**kurang tepat sasaran** — ‘insufficiently targeted’<br>**tidak tepat sasaran** — ‘mistargeted’<br>**tepat waktu** — ‘on time; punctual’<br>**ketepatan waktu** — ‘punctuality; timeliness’<br>**tepat pada waktunya** — ‘right on time’<br>**tepat guna** — ‘fit for practical use’<br>**teknologi tepat guna** — ‘appropriate technology’<br>**tepat langkah** — ‘to take the right step’<br>**tepat janji** — ‘true to one’s word’ | **tepat sasaran** can also be grouped with accuracy/evaluation.<br>**tepat waktu** is clearly part of the *tepat* family but is mainly about timing.<br>**tepat janji** shifts toward reliability and character rather than exactness. | — |
| 5. Conformity with rules, facts, standards, or expectations | This grouping includes expressions used when one thing is evaluated against another standard: a rule, procedure, fact, document, expectation, or need. In usage, these forms are especially common in formal, bureaucratic, legal, academic, and evaluative settings. | **sesuai** — ‘appropriate; in accordance; suitable; consistent with’<br>**kesesuaian** — ‘conformity; correspondence; consistency; suitability’<br>**sesuai dengan ...** — ‘in accordance with ...’<br>**sesuai aturan / sesuai prosedur / sesuai fakta** — ‘according to the rules / procedure / facts’<br>**tidak sesuai dengan ...** — ‘not in accordance with ...’<br>**kurang sesuai** — ‘not quite appropriate’<br>**sesuai harapan** — ‘as expected’<br>**sesuai kebutuhan** — ‘according to need; as needed’<br>**kesesuaian antara X dan Y** — ‘correspondence between X and Y’<br>**uji kesesuaian** — ‘conformity test; fit test’<br>**menyesuaikan** — ‘to adjust; to adapt; to make conform’<br>**penyesuaian** — ‘adjustment; adaptation’<br>**bersesuaian** — ‘to correspond; to be in agreement’ | **sesuai** overlaps with **tepat** and **cocok**, but in usage it is often more formal and standard-based.<br>**sesuai fakta** comes close to truth/correctness language.<br>**sesuai harapan** is more about matching expectations than matching facts. | — |
| 6. Everyday fit, match, and compatibility | These expressions are used for whether things go together, suit each other, or match in practice. Compared with **sesuai**, this grouping is often more everyday and less tied to formal standards, though it also appears in technical matching contexts. | **cocok** — ‘suitable; fitting; matching; compatible’<br>**kecocokan** — ‘compatibility; suitability; match’<br>**cocok untuk ...** — ‘suitable for ...’<br>**cocok dengan ...** — ‘to match ...; to be compatible with ...’<br>**tidak cocok dengan ...** — ‘not compatible with ...’<br>**kurang cocok** — ‘not quite a good fit’<br>**cocok sekali** — ‘fits perfectly’<br>**kecocokan antara X dan Y** — ‘compatibility between X and Y’<br>**tingkat kecocokan** — ‘degree of match’<br>**mencocokkan** — ‘to match; to compare; to fit together’<br>**pencocokan** — ‘matching; comparison; alignment’ | **cocok** can refer to personal compatibility, practical suitability, or evidential matching.<br>**mencocokkan** overlaps with verification and comparison, not just suitability.<br>Some uses of **cocok** come close to **mirip**, but **cocok** usually implies fit rather than mere resemblance. | — |
| 7. Authenticity, genuineness, and falsification | This grouping covers expressions used to judge whether an object, document, signature, identity, or work is genuine or fake. In usage, these forms are common in legal, administrative, commercial, artistic, and verification contexts. | **asli** — ‘genuine; authentic; original; real’<br>**keaslian** — ‘authenticity; originality; genuineness’<br>**palsu** — ‘fake; false; counterfeit’<br>**asli atau palsu** — ‘genuine or fake’<br>**palsu atau asli** — ‘fake or genuine’<br>**dipastikan asli** — ‘confirmed to be genuine’<br>**masih asli** — ‘still original’<br>**keaslian dokumen / tanda tangan / karya** — ‘the authenticity of a document / signature / work’<br>**meragukan keaslian ...** — ‘to doubt the authenticity of ...’<br>**memeriksa keaslian ...** — ‘to check the authenticity of ...’<br>**memalsukan** — ‘to falsify; to forge; to counterfeit’<br>**pemalsuan** — ‘falsification; forgery; counterfeiting’<br>**diduga palsu** — ‘suspected to be fake’<br>**terbukti palsu** — ‘proven to be fake’ | **asli** also has uses meaning ‘native’ or ‘original’ beyond verification of genuineness.<br>**sejati** sometimes overlaps with authenticity, but is usually more elevated and less practical than **asli**.<br>**tanda tangan sah** may involve both authenticity and legal validity, so it also overlaps with the validity group. | — |
| 8. Legal, procedural, and formal validity | These expressions are used when something is recognized as valid, legitimate, or acceptable under law, procedure, institutional authority, or technical criteria. In usage, this is a strongly formal cluster, especially common in legal, bureaucratic, academic, and administrative language. | **sah** — ‘valid; legitimate; lawful’<br>**absah** — ‘valid; legitimate’<br>**keabsahan** — ‘validity; legitimacy’<br>**valid** — ‘valid’<br>**validitas** — ‘validity’<br>**validasi** — ‘validation’<br>**kevalidan** — ‘validity’<br>**mengesahkan** — ‘to legalize; to ratify; to validate’<br>**pengesahan** — ‘ratification; legalization; formal approval’<br>**mengabsahkan** — ‘to validate; to legitimize’<br>**pengabsahan** — ‘validation; legitimation’<br>**memvalidasi** — ‘to validate’<br>**tidak sah** — ‘invalid; illegitimate’<br>**tidak absah** — ‘invalid’<br>**tidak valid** — ‘invalid’<br>**belum valid** — ‘not yet valid’<br>**sah secara hukum** — ‘legally valid’<br>**sah menurut hukum** — ‘valid according to law’<br>**sah menurut agama** — ‘valid according to religion’<br>**tidak sah secara hukum** — ‘legally invalid’<br>**dianggap sah** — ‘considered valid’<br>**dinyatakan sah** — ‘declared valid’<br>**dianggap absah** — ‘considered valid’<br>**dianggap valid** — ‘considered valid’<br>**keabsahan dokumen / bukti / data** — ‘the validity of a document / evidence / data’<br>**menguji keabsahan ...** — ‘to test the validity of ...’<br>**mempertanyakan keabsahan ...** — ‘to question the validity of ...’<br>**validitas data / instrumen / konstruk** — ‘the validity of data / an instrument / a construct’<br>**uji validitas** — ‘validity test’<br>**memiliki validitas tinggi** — ‘to have high validity’<br>**valid secara statistik** — ‘statistically valid’<br>**valid secara ilmiah** — ‘scientifically valid’<br>**bukti yang sah** — ‘valid evidence’<br>**alat bukti yang sah** — ‘legally valid means of evidence’<br>**dokumen sah** — ‘valid document’<br>**tanda tangan sah** — ‘valid signature’<br>**pernikahan sah / perkawinan sah** — ‘valid marriage’<br>**anak sah** — ‘legitimate child’<br>**ahli waris yang sah** — ‘lawful heir’<br>**wakil yang sah** — ‘lawful representative’<br>**pemilik yang sah** — ‘lawful owner’ | **sah** and **absah** overlap heavily, but **absah** is often more formal/technical in usage.<br>**valid** overlaps with **sah/absah**, but is especially common in research, technical, and bureaucratic settings.<br>**tanda tangan sah** may also involve authenticity, not only validity.<br>**sah menurut agama** belongs here by usage, though it is tied to religious procedure rather than state law. | — |
| 9. Reliability and dependability | This grouping concerns whether a person, system, method, or source can be relied on consistently. In usage, it is related to evaluation and trust, but it does not directly assert that a particular statement is true. | **andal** — ‘reliable; dependable’<br>**keandalan** — ‘reliability; dependability’<br>**mengandalkan** — ‘to rely on; to depend on’<br>**diandalkan** — ‘can be relied on; dependable’<br>**andal dalam ...** — ‘reliable in ...’<br>**cukup andal** — ‘fairly reliable’<br>**kurang andal** — ‘less reliable’<br>**tidak andal** — ‘unreliable’<br>**keandalan sistem / mesin / sumber data** — ‘the reliability of a system / machine / data source’<br>**tingkat keandalan** — ‘level of reliability’<br>**tepat janji** — ‘true to one’s word; keeps promises’ | **tepat janji** fits here in practice, though formally it belongs to the *tepat* family.<br>**andal** can matter in evaluating evidence or sources, but it is about dependability rather than truth itself.<br>**mengandalkan** is about the act of relying, not the property of being true or valid. | — |
