# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1.1a | βγαίνει η αλήθεια στη φόρα | vgaíni i alítheia sti fóra | [CORE] | Highly idiomatic construction treating truth as hidden entity that emerges. στη φόρα (literally "to the surface") is the standard locative complement. This is the unmarked expression for truth becoming known without external agent. |
| 1.1b | βγήκε η αλήθεια | vgíke i alítheia | [CORE] | Aorist form of 1.1a. |
| 1.1c | θα βγει η αλήθεια | tha vgi i alítheia | [CORE] | Future form of 1.1a. |
| 1.1d | έρχεται η αλήθεια στο φως | érchete i alítheia sto fos | [CORE] | Alternative to βγαίνω construction, using φως "light" as metaphorical target. Slightly more formal register than βγαίνει στη φόρα. |
| 1.1e | ήρθε η αλήθεια στο φως | írthe i alítheia sto fos | [CORE] | Aorist form of 1.1d. |
| 1.1f | αποκαλύπτεται η αλήθεια | apokalýptete i alítheia | [CORE] | Passive construction implying revelation without specifying agent. More formal than βγαίνω constructions. Common in journalistic and narrative contexts. |
| 1.1g | αποκαλύφθηκε η αλήθεια | apokalýfthike i alítheia | [CORE] | Aorist passive form of 1.1f. |
| 1.1h | γίνεται γνωστή η αλήθεια | gínete gností i alítheia | [CORE] | Standard inchoative construction with γίνομαι + adjective. Less idiomatic than βγαίνω constructions but more productive with other adjectives. |
| 1.1i | έγινε γνωστή η αλήθεια | égine gností i alítheia | [CORE] | Aorist form of 1.1h. |
| 1.2a | αποδεικνύεται αληθινή η κατηγορία | apodikníete alithiní i katigoría | [CORE] | Passive of αποδεικνύω "prove," used when statement's truth is established through evidence or events. Adjective agrees with subject. |
| 1.2b | αποδείχθηκε αληθινή | apodíchthike alithiní | [CORE] | Aorist passive form of 1.2a. |
| 1.2c | επιβεβαιώνεται η πληροφορία | epivaióte i pliροforía | [CORE] | Passive of επιβεβαιώνω "confirm." Common in journalistic contexts for information verification. Does not take truth-domain adjective; confirmation itself implies truth. |
| 1.2d | επιβεβαιώθηκε | epivaiόthike | [CORE] | Aorist passive form of 1.2c. |
| 1.2e | βγήκε σωστό | vgíke sostó | [CORE] | Colloquial construction for predictions, guesses, or claims being verified as correct. βγαίνω here means "turn out" rather than "come out." |
| 1.2f | βγήκαν σωστές οι προβλέψεις | vgíkan sostés i provlépseis | [CORE] | Extended form of 1.2e with explicit subject. |
| 1.3 | [NO COMMON EXPRESSION] | — | [GAP] | NO COMMON EXPRESSION EXISTS for objects spontaneously becoming genuine. Authenticity is typically established through verification (see causative constructions) rather than spontaneous change. |
| 2.1a | αποκαλύπτεται το ψέμα | apokalýptete to pséma | [CORE] | Parallel to truth revelation but less common. Lies more typically described as being actively exposed by agents. |
| 2.1b | αποκαλύφθηκε το ψέμα | apokalýfthike to pséma | [CORE] | Aorist form of 2.1a. |
| 2.1c | βγήκε το ψέμα στη φόρα | vgíke to pséma sti fóra | [CORE] | Same construction as truth emergence. Can be used for lies being discovered, though less frequent than for truth. |
| 2.1d | βγαίνουν τα ψέματα στη φόρα | vgaínoun ta psémata sti fóra | [CORE] | Plural form of 2.1c. |
| 2.2a | αποδεικνύεται ψευδής ο ισχυρισμός | apodikníete psevdís o ischyrismós | [CORE] | Parallel to becoming true construction. ψευδής (formal) or ψεύτικος (colloquial) used as predicate adjective. |
| 2.2b | αποδείχθηκε ψευδής | apodíchthike psevdís | [CORE] | Aorist form of 2.2a. |
| 2.2c | διαψεύδεται η φήμη | diapsévdete i fími | [CORE] | Passive of διαψεύδω "disprove." Specifically marks refutation of claims or rumors. More formal register. |
| 2.2d | διαψεύστηκε | diapsévstike | [CORE] | Aorist passive form of 2.2c. |
| 2.3a | γίνεται άκυρο το έγγραφο | gínete ákyro to éngrafo | [CORE] | Standard inchoative with γίνομαι. Common in administrative/legal contexts for documents losing validity. |
| 2.3b | έγινε άκυρη η ψήφος | égine ákyri i psífos | [CORE] | Aorist form of 2.3a with different subject. |
| 2.3c | ακυρώνεται το συμβόλαιο | akyróte to symvóleo | [CORE] | Passive of ακυρώνω. Implies external agent causing invalidation, though agent may be unspecified. |
| 2.3d | ακυρώθηκε | akyrόthike | [CORE] | Aorist passive form of 2.3c. |
| 3.1a | γίνεται σωστή η απάντηση | gínete sostí i apántisi | [MARGINAL] | Uncommon construction. Answers are typically corrected by agents rather than spontaneously becoming correct. More natural to say "I corrected the answer" than "the answer became correct." |
| 3.1b | έγινε σωστό | égine sostó | [MARGINAL] | Aorist form of 3.1a. |
| 3.2a | διορθώνεται το λάθος | diorthόte to láthos | [CORE] | Passive of διορθώνω. Common construction implying correction without specifying agent. Used in editorial and educational contexts. |
| 3.2b | διορθώθηκε | diorthόthike | [CORE] | Aorist passive form of 3.2a. |
| 3.2c | σωστεύεται το λάθος | sostévete to láthos | [CORE] | Colloquial alternative to διορθώνομαι. Less formal register. |
| 3.2d | σωστεύτηκε | sostéftike | [CORE] | Aorist passive form of 3.2c. |
| 4.1a | βγήκε λάθος ο υπολογισμός | vgíke láthos o ypologismós | [CORE] | Common construction for calculations, predictions, or answers being discovered to be incorrect. λάθος functions as predicate adjective (invariant). |
| 4.1b | βγήκαν λάθος | vgíkan láthos | [CORE] | Plural form of 4.1a. |
| 4.1c | αποδείχθηκα λάθος | apodíchthika láthos | [CORE] | Used when person's position or claim is shown to be incorrect. λάθος invariant in this construction. |
| 4.1d | αποδεικνύεται λάθος | apodikníete láthos | [CORE] | Present form of 4.1c. |
| 5.1a | αποκαλύπτω την αλήθεια | apokalýpto tin alítheia | [CORE] | Standard transitive verb for truth revelation by agent. Common in investigative and narrative contexts. |
| 5.1b | αποκάλυψε την αλήθεια | apokálypse tin alítheia | [CORE] | Aorist form of 5.1a. |
| 5.1c | φέρνω την αλήθεια στο φως | férno tin alítheia sto fos | [CORE] | Metaphorical construction with φέρνω "bring." Emphasizes agent's active role in revelation. |
| 5.1d | έφερε την αλήθεια στο φως | éfere tin alítheia sto fos | [CORE] | Aorist form of 5.1c. |
| 5.1e | λέω την αλήθεια | léo tin alítheia | [CORE] | Basic light verb construction. Unmarked expression for truth-telling as speech act. |
| 5.1f | είπε την αλήθεια | ípe tin alítheia | [CORE] | Aorist form of 5.1e. |
| 5.2a | επιβεβαιώνω την πληροφορία | epivaióno tin pliροforía | [CORE] | Standard verb for confirmation/verification. Common in journalistic and administrative contexts. |
| 5.2b | επιβεβαίωσε την είδηση | epivαíose tin éidisi | [CORE] | Aorist form of 5.2a with different object. |
| 5.2c | βεβαιώνω την πληροφορία | vevaióno tin pliροforía | [CORE] | More formal than επιβεβαιώνω. Implies official or authoritative confirmation. Common in legal/administrative contexts. |
| 5.2d | βεβαίωσε τη γνησιότητα | vevaíose ti gnisiótita | [CORE] | Aorist form of 5.2c with different object. |
| 5.2e | αποδεικνύω ότι είναι αλήθεια | apodikníο óti íne alítheia | [CORE] | Standard verb for proving truth of proposition. Takes ότι-clause complement. |
| 5.2f | απέδειξε ότι είχε δίκιο | apédixe óti íche díkio | [CORE] | Aorist form of 5.2e with different complement. |
| 5.3a | βεβαιώνω τη γνησιότητα του εγγράφου | vevaióno ti gnisiótita tou engráfou | [CORE] | Official certification of authenticity. Genitive object typical in this construction. |
| 5.3b | βεβαίωσε την αυθεντικότητα | vevaíose tin afthentikótita | [CORE] | Aorist form of 5.3a with different object. |
| 5.3c | πιστοποιώ τη γνησιότητα | pistopoió ti gnisiótita | [CORE] | Alternative to βεβαιώνω, specifically for certification. Common in commercial and administrative contexts. |
| 5.3d | πιστοποίησε | pistopoíise | [CORE] | Aorist form of 5.3c. |
| 6.1a | ξεσκεπάζω το ψέμα | xeskepázo to pséma | [CORE] | Metaphorical "uncovering." Common in investigative and critical discourse. |
| 6.1b | ξεσκέπασε το ψέμα | xesképase to pséma | [CORE] | Aorist form of 6.1a. |
| 6.1c | πιάνω κάποιον στο ψέμα | piáno kápion sto pséma | [CORE] | Highly idiomatic. στο ψέμα obligatory. Common in narrative and confrontational contexts. |
| 6.1d | τον έπιασε στο ψέμα | ton épiase sto pséma | [CORE] | Aorist form of 6.1c. |
| 6.2a | διαψεύδω τη φήμη | diapsévdo ti fími | [CORE] | Formal verb for refutation. Common in journalistic and academic contexts. |
| 6.2b | διέψευσε τους ισχυρισμούς | diépsevse tous ischyrismούs | [CORE] | Aorist form of 6.2a with different object. |
| 6.2c | αποδεικνύω την κατηγορία ψευδή | apodikníο tin katigoría psevdí | [CORE] | Transitive construction with double accusative (object + predicate adjective). Formal register. |
| 6.2d | απέδειξε τον ισχυρισμό ψευδή | apédixe ton ischyrismó psevdí | [CORE] | Aorist form of 6.2c with different object. |
| 6.3a | ακυρώνω το έγγραφο | akyróno to éngrafo | [CORE] | Standard administrative/legal verb for invalidation. Implies institutional authority. |
| 6.3b | ακύρωσε το συμβόλαιο | akýrose to symvóleo | [CORE] | Aorist form of 6.3a with different object. |
| 6.3c | ακυρώνω την ψήφο | akyróno tin psífo | [CORE] | Electoral context. Common in voting and election discourse. |
| 6.3d | ακύρωσαν τις ψήφους | akýrosan tis psífous | [CORE] | Aorist plural form of 6.3c. |
| 7.1a | διορθώνω το λάθος | diorthόno to láthos | [CORE] | Standard correction verb. Common in educational and editorial contexts. |
| 7.1b | διόρθωσε τα λάθη | diόrthose ta láthi | [CORE] | Aorist form of 7.1a with plural object. |
| 7.1c | σωστεύω την απάντηση | sostévo tin apántisi | [CORE] | Colloquial alternative to διορθώνω. Less formal register. |
| 7.1d | σώστεψε το λάθος | sόstepse to láthos | [CORE] | Aorist form of 7.1c. |
| 7.2a | κάνω το λάθος σωστό | káno to láthos sostó | [MARGINAL] | Less common than διορθώνω/σωστεύω. Analytic causative with κάνω + adjective. |
| 7.2b | το έκανε σωστό | to ékane sostó | [MARGINAL] | Aorist form of 7.2a. |
| 8.1a | κάνω λάθος | káno láthos | [CORE] | Standard light verb construction for error-making. Extremely high-frequency. |
| 8.1b | έκανε λάθος | ékane láthos | [CORE] | Aorist form of 8.1a. |
| 8.1c | κάνω ορθογραφικό λάθος | káno orthografikó láthos | [CORE] | Extension with specific error types. Common in educational and technical contexts. |
| 8.1d | έκανε υπολογιστικό λάθος | ékane ypologistikó láthos | [CORE] | Aorist form of 8.1c with different error type. |
| 8.2a | με παραπλάνησε | me paraplánise | [CORE] | Indirect causation of error through misleading. Does not directly mean "cause to be wrong" but implies it. |
