# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Factual Accuracy Assessment | Terms used to evaluate whether statements, information, or beliefs correspond to facts or reality. These expressions are commonly used in contexts where the accuracy of claims is being verified, confirmed, or disputed. They contrast primarily with terms indicating error or falsehood, and are frequently found in epistemic contexts involving knowledge claims, information verification, and truth-telling. | doğru (true, correct), yanlış (wrong, false, incorrect), doğru olmak (to be true), yanlış olmak (to be wrong), doğru bilgi (correct information), yanlış bilgi (wrong information), doğru çıkmak (to turn out to be correct), yanlış çıkmak (to turn out to be wrong), doğrulamak (to verify, to confirm), yanlışlamak (to falsify, to refute), kesin (certain, definite), kesin bilgi (certain information), isabetli (accurate, apt), isabetsiz (inaccurate) | gerçek (can indicate both factual truth and ontological reality), sağlam (can indicate both factual soundness and physical solidity), doğruluk (can refer to both factual truth and moral honesty) | Overlaps with GROUP 2 (Reality and Authenticity Evaluation) particularly through "gerçek"; overlaps with GROUP 9 (Certainty and Definiteness) through "kesin" |
| GROUP 2: Reality and Authenticity Evaluation | Terms used to distinguish what is real, genuine, or authentic from what is fake, illusory, or counterfeit. These expressions are commonly applied to objects, identities, documents, and representations, evaluating their ontological status or authenticity rather than the truth-value of statements about them. They frequently appear in contexts involving authentication, verification of identity or origin, and detection of forgeries. | gerçek (real, genuine), sahte (fake, false, counterfeit), asıl (original, real, actual), özgün (original, authentic), gerçek olmak (to be real), sahte olmak (to be fake), gerçek kimlik (true identity), sahte çıkmak (to turn out to be fake), sahtelik (fakeness), sahteci (counterfeiter), sahtelemek (to counterfeit), gerçek dışı (unreal, unrealistic), hakiki (real, genuine, true), özgünlük (originality, authenticity) | gerçek (overlaps with factual truth assessment), doğru (can sometimes indicate genuineness, not just factual accuracy), sahih (primarily religious/legal authenticity, specialized usage) | Overlaps with GROUP 1 (Factual Accuracy Assessment) through "gerçek"; fuzzy boundary with authenticity vs. truth-value distinction |
| GROUP 3: Justification and Rightness in Disputes | Terms used to evaluate whether a person's position, claim, or action in a dispute or disagreement is justified or warranted. These expressions are commonly used when assessing who is right or wrong in conflicts, arguments, or moral situations. They focus on the standing or justification of persons rather than the truth-value of abstract propositions, and frequently appear with personal subjects in contexts of disagreement or moral evaluation. | haklı (right, justified), haksız (wrong, unjust), hak vermek (to agree with, to acknowledge someone is right), haklı olmak (to be right), haklı çıkmak (to turn out to be right), haksızlık (injustice, wrong), haklılık (rightness, justification), yerinde (appropriate, apt, justified) | doğru (can be used for both propositional truth and personal rightness), yanlış (can evaluate both statements and persons), hak (broader concept encompassing rights, truth, and deservingness) | Overlaps with GROUP 10 (Deservingness and Entitlement) through "hak" root; distinction between propositional truth and personal justification can be context-dependent |
| GROUP 4: Reliability and Trustworthiness | Terms used to evaluate whether sources, persons, information, or systems can be depended upon or trusted. These expressions assess the likelihood that something will perform as expected or provide accurate information consistently. They are commonly used in contexts involving source evaluation, credibility assessment, and judgments about dependability over time, often appearing with nouns like "kaynak" (source), "bilgi" (information), or references to persons. | güvenilir (reliable, trustworthy), güvenilirlik (reliability, trustworthiness), güvenilir olmak (to be reliable), güvenilir kaynak (reliable source), sağlam (sound, solid, reliable), sağlam kaynak (reliable source), sağlam kanıt (solid evidence), sağlamlık (soundness, reliability), inandırıcı (convincing, credible), inandırıcılık (convincingness, credibility), inandırıcı gelmek (to seem convincing) | sağlam (can indicate physical solidity or epistemic reliability), doğru (accurate information may be called reliable), geçerli (validity overlaps with reliability in some contexts) | Overlaps with GROUP 5 (Consistency and Coherence) through "sağlam"; overlaps with GROUP 8 (Reasonableness and Plausibility) through "inandırıcı" |
| GROUP 5: Consistency and Coherence | Terms used to evaluate whether statements, arguments, behaviors, or systems maintain internal coherence or consistency across instances. These expressions assess whether elements fit together logically or whether conduct remains stable over time. They are commonly used in logical analysis, evaluation of arguments, and assessment of behavioral patterns, often contrasting consistent patterns with contradictory or incoherent ones. | tutarlı (consistent, coherent), tutarsız (inconsistent, incoherent), tutarlılık (consistency, coherence), tutarsızlık (inconsistency, incoherence), tutarlı olmak (to be consistent) | düzgün (orderliness may overlap with consistency), sağlam (sound arguments may be called consistent), uygun (conformity may overlap with consistency) | Overlaps with GROUP 4 (Reliability and Trustworthiness) through consistency contributing to reliability assessment |
| GROUP 6: Validity and Effectiveness | Terms used to evaluate whether documents, arguments, rules, or claims are in force, legally binding, or logically sound according to established standards or procedures. These expressions assess formal validity rather than factual truth, commonly appearing in legal, administrative, and logical contexts where the question is whether something meets procedural or formal requirements to be considered valid or effective. | geçerli (valid, effective, in force), geçersiz (invalid, void), geçerlilik (validity, effectiveness), geçersizlik (invalidity), geçerli olmak (to be valid), meşru (legitimate, lawful), meşruiyet (legitimacy), meşrulaşmak (to become legitimate), meşrulaştırmak (to legitimize), sahih (authentic, valid - specialized religious/legal usage) | doğru (correct arguments may be called valid), hak (rights and legitimacy overlap), uygun (conformity to standards overlaps with validity) | Overlaps with GROUP 7 (Appropriateness and Conformity) through conformity to standards; distinction between formal validity and factual truth |
| GROUP 7: Appropriateness and Conformity | Terms used to evaluate whether actions, statements, or objects fit or conform to contextual standards, norms, rules, or circumstances. These expressions assess situational appropriateness rather than absolute truth or correctness, commonly appearing in contexts where the question is whether something is suitable for a particular situation, conforms to expectations, or meets contextual requirements. | uygun (appropriate, suitable, fitting), uygunsuz (inappropriate, unsuitable), uygunluk (appropriateness, suitability), uygunsuzluk (inappropriateness), yerinde (appropriate, apt, well-placed), isabetli (accurate, apt, well-aimed), isabetsiz (inaccurate, inappropriate), isabetlilik (accuracy, aptness), düzgün (proper, correct, orderly), düzgünlük (propriety, orderliness) | doğru (correctness may overlap with appropriateness), makul (reasonableness overlaps with appropriateness), geçerli (validity may overlap with conformity to standards) | Overlaps with GROUP 8 (Reasonableness and Plausibility) through "makul"; overlaps with GROUP 15 (Proper Conduct and Orderliness) through "düzgün"; fuzzy boundary between appropriateness and reasonableness |
| GROUP 8: Reasonableness and Plausibility | Terms used to evaluate whether claims, proposals, scenarios, or conduct fall within acceptable bounds of reason or common sense. These expressions assess whether something is believable, sensible, or within the range of what reasonable people would accept, rather than whether it is demonstrably true or false. They commonly appear in contexts of practical judgment, evaluation of proposals, and assessment of explanations. | makul (reasonable, sensible), makuliyet (reasonableness), makul olmak (to be reasonable), makul görünmek (to seem reasonable), akla yakın (plausible, reasonable), akla yakın olmak (to be plausible), akla yakın gelmek (to seem plausible) | doğru (what is true may be called reasonable), inandırıcı (convincingness overlaps with plausibility), uygun (appropriateness may overlap with reasonableness) | Overlaps with GROUP 7 (Appropriateness and Conformity) through reasonableness relating to appropriateness; overlaps with GROUP 4 (Reliability and Trustworthiness) through plausibility relating to credibility |
| GROUP 9: Certainty and Definiteness | Terms used to evaluate the degree of certainty, finality, or definiteness of knowledge, decisions, or states of affairs. These expressions mark epistemic commitment or the finalized status of decisions and situations, commonly appearing in contexts where the speaker assesses how settled or certain something is, often contrasting with doubt, uncertainty, or provisional status. | kesin (certain, definite, absolute), kesinlik (certainty, definiteness), kesinlikle (certainly, definitely), kesinleşmek (to become definite, to be finalized), kesinleştirmek (to finalize, to make definite), kesin olmak (to be certain), kesin karar (final decision), mutlak (absolute, unconditional), mutlaka (absolutely, certainly, definitely), mutlaklık (absoluteness) | doğru (what is true may be called certain), gerçek (reality may be contrasted with uncertainty), kesin bilgi (certain information overlaps with accurate information) | Overlaps with GROUP 1 (Factual Accuracy Assessment) through "kesin bilgi"; overlaps with GROUP 12 (Purity and Completeness) through "mutlak" indicating absoluteness |
