| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| benar | kebenaran | — | *ke- + benar + -an* | truth; correctness; rightness | A common abstract noun referring to truth in factual, moral, religious, or philosophical senses. It can denote both the truth of a statement and truth as a general principle. | [CORE] |
| benar | membenarkan | — | *meN- + benar + -kan* | to justify; to confirm; to validate; to correct | Commonly used when someone confirms that something is true or correct, or when an action or argument is justified. It is frequent in legal, moral, and argumentative contexts. | [CORE] |
| benar | pembenaran | — | *peN- + benar + -an* | justification | Refers to the act or basis of justifying a claim, action, or decision. It is common in formal writing, ethics, law, and public debate. | [CORE] |
| benar | sebenarnya | — | *se- + benar + -nya* | actually; in fact; the truth is | Very common in speech and writing to introduce what is really the case, often correcting an impression or misunderstanding. It often functions as a discourse marker tied to underlying truth contrast. | [CORE] |
| benar | benar-benar | — | reduplication of *benar* | really; truly; genuinely | Extremely common as an intensifier in everyday Indonesian. In many contexts it no longer directly evaluates truth, but strengthens assertion or emphasis. | [MARGINAL] |
| kebenaran | kebenarannya | — | *kebenaran + -nya* | its truth; the truth of it | Used when discussing whether a report, rumor, or statement is true. It is common in journalism and formal evaluation. | [CORE] |
| membenarkan | pembenaran | — | *peN- + benar + -an* | justification | This noun is closely tied to the verbal idea expressed by *membenarkan*. It denotes the act, process, or grounds of justifying. | [CORE] |
| betul | kebetulan | — | *ke- + betul + -an* | coincidence; by chance | Although historically related to *betul*, in modern Indonesian it usually means ‘coincidence’ rather than ‘correctness’. Its semantics are now largely separate from truth evaluation. | [MARGINAL] |
| betul | membetulkan | — | *meN- + betul + -kan* | to correct; to set right; to fix; to straighten | Commonly used for correcting mistakes in speech, writing, or data. It also extends to physically fixing or straightening something. | [CORE] |
| betul | pembetulan | — | *peN- + betul + -an* | correction; rectification | Common in editing, administration, and public notices for correcting names, figures, documents, or statements. It can also refer to practical repair or adjustment. | [CORE] |
| kebetulan | (no common derivation identified) |  |  |  |  |  |
| tepat | ketepatan | — | *ke- + tepat + -an* | accuracy; precision; appropriateness | A common abstract noun for exactness or fit in wording, timing, data, decisions, and analysis. It is frequent in technical, academic, and administrative contexts. | [CORE] |
| tepat | ketepatan sasaran | — | *ketepatan + sasaran* | targeting accuracy; precision of targeting | Common in policy evaluation and welfare distribution. It refers to whether benefits or interventions reach the correct recipients or objects. | [CORE] |
| tepat | tepat waktu | — | *tepat + waktu* | on time; punctual; timely | Very common for arriving, submitting, paying, or acting at the proper time. This is a major extension from exactness into timing. | [CORE] |
| tepat | ketepatan waktu | — | *ketepatan + waktu* | punctuality; timeliness | Used in administration, logistics, education, and performance evaluation. It refers to whether actions occur at the scheduled or proper time. | [CORE] |
| tepat | tepat guna | — | *tepat + guna* | appropriate-use; fit for practical use | Common in development and policy language, especially for tools or methods suited to local needs and conditions. It centers on suitability rather than truth. | [CORE] |
| tepat | teknologi tepat guna | — | *teknologi + tepat + guna* | appropriate technology | A well-established expression in development, education, and public policy. It refers to technology designed to be practical and suitable for local use. | [CORE] |
| tepat | tepat janji | — | *tepat + janji* | true to one’s word; keeps promises | Used in moral and character evaluation for someone who fulfills promises reliably. This is a lexicalized extension into reliability and conduct. | [CORE] |
| tepat | tepat langkah | — | *tepat + langkah* | to take the right step | Used in strategic, political, and advisory contexts for making an appropriate move or decision. It emphasizes appropriateness rather than factual correctness. | [CORE] |
| ketepatan | ketepatan sasaran | — | *ketepatan + sasaran* | targeting accuracy | A common formal expression in policy and program assessment. It evaluates whether targeting is accurate in practice. | [CORE] |
| ketepatan | ketepatan waktu | — | *ketepatan + waktu* | punctuality; timeliness | A frequent collocational extension of *ketepatan* in administrative and evaluative contexts. It refers specifically to exactness in timing. | [CORE] |
| tepat sasaran | ketepatan sasaran | — | *ke- + tepat + -an + sasaran* | targeting accuracy | This nominalized form is common in policy analysis and program evaluation. It refers to the degree to which targeting is correct. | [CORE] |
| sesuai | kesesuaian | — | *ke- + sesuai + -an* | conformity; correspondence; consistency; suitability | A formal noun referring to the degree to which one thing matches another, such as data with evidence or conduct with rules. It is common in auditing, evaluation, and academic writing. | [CORE] |
| sesuai | menyesuaikan | — | *meN- + sesuai + -kan* | to adjust; to adapt; to make conform | Very common in everyday and formal Indonesian for bringing something into conformity with circumstances, rules, or needs. It is strongly attested and central to the *sesuai* family. | [CORE] |
| sesuai | penyesuaian | — | *peN- + sesuai + -an* | adjustment; adaptation | Refers to the process of adjusting something to fit conditions, standards, or requirements. It is common in administration, economics, education, and everyday usage. | [CORE] |
| sesuai | bersesuaian | — | *ber- + sesuai + -an* | to correspond; to be in agreement | Used in formal or literary contexts when two things correspond or are mutually consistent. It is less common than *sesuai* itself but clearly attested. | [MARGINAL] |
| kesesuaian | (no common derivation identified) |  |  |  |  |  |
| cocok | kecocokan | — | *ke- + cocok + -an* | compatibility; suitability; match | Refers to the degree of fit between people, objects, categories, or evidence. It is used in both everyday and technical contexts. | [CORE] |
| cocok | mencocokkan | — | *meN- + cocok + -kan* | to match; to compare; to fit together | Very common for comparing one thing against another, such as records, data, descriptions, or samples. It is strongly established in both everyday and formal usage. | [CORE] |
| cocok | pencocokan | — | *peN- + cocok + -an* | matching; comparison; alignment | Used for the process of matching records, identities, forms, or data. It is common in administration, computing, and verification contexts. | [CORE] |
| kecocokan | (no common derivation identified) |  |  |  |  |  |
| asli | keaslian | — | *ke- + asli + -an* | authenticity; originality; genuineness | A common noun used for the authenticity of documents, signatures, artifacts, artworks, and academic work. It evaluates whether something is genuinely what it claims to be. | [CORE] |
| asli | mengaslikan | — | *meN- + asli + -kan* | to make original; to restore to original form | This form exists but is much less common than *keaslian* and often context-specific. It can be used when something is made or returned to an original state. | [UNCERTAIN] |
| keaslian | (no common derivation identified) |  |  |  |  |  |
| palsu | memalsukan | — | *meN- + palsu + -kan* | to falsify; to forge; to counterfeit | Common in legal, administrative, and journalistic contexts for forging documents, signatures, identities, or evidence. It is a well-established verbal derivative. | [CORE] |
| palsu | pemalsuan | — | *peN- + palsu + -an* | falsification; forgery; counterfeiting | Refers to the act or offense of falsifying documents, goods, identities, or records. It is frequent in legal and news reporting. | [CORE] |
| sah | mengesahkan | — | *meN- + sah + -kan* | to legalize; to ratify; to validate; to enact formally | Very common in law, government, and administration when an authority formally approves a law, result, document, or status. It is one of the central derivatives of *sah*. | [CORE] |
| sah | pengesahan | — | *peN- + sah + -an* | ratification; legalization; formal approval | Refers to the formal act of validating a regulation, agreement, identity, result, or institutional decision. It is frequent in legal and bureaucratic language. | [CORE] |
| sah | mensahkan | — | *meN- + sah + -kan* | to validate; to legalize | This variant occurs in usage, but *mengesahkan* is the standard and much more established form. It is therefore less central. | [MARGINAL] |
| keabsahan | (no common derivation identified) |  |  |  |  |  |
| absah | keabsahan | — | *ke- + absah + -an* | validity; legitimacy | A formal noun used in legal, academic, and evidential contexts for whether something is valid under relevant standards or procedures. It is common in formal prose. | [CORE] |
| absah | mengabsahkan | — | *meN- + absah + -kan* | to validate; to legitimize | Used in formal legal, institutional, and academic contexts when something is made valid or recognized as legitimate. It is clearly attested though more formal than *mengesahkan*. | [CORE] |
| absah | pengabsahan | — | *peN- + absah + -an* | validation; legitimation | Refers to the process or act of making something formally valid. It is used especially in legal and administrative settings. | [CORE] |
| valid | validitas | — | borrowing | validity | Very common in research methodology, testing, logic, and formal evaluation. It refers to the soundness or acceptability of instruments, arguments, or findings. | [CORE] |
| valid | validasi | — | borrowing | validation | Common in administration, computing, research, and quality control for the process of checking and confirming correctness or acceptability. It is strongly established in modern Indonesian. | [CORE] |
| valid | kevalidan | — | *ke- + valid + -an* | validity | Used especially in Indonesian academic writing, often alongside *validitas*, for the degree to which an instrument, item, or result is valid. It is clearly attested in formal educational and research contexts. | [CORE] |
| validitas | (no common derivation identified) |  |  |  |  |  |
| akurat | keakuratan | — | *ke- + akurat + -an* | accuracy | Refers to the degree of factual or representational accuracy in data, statements, models, or reports. It is common in technical and evaluative writing. | [CORE] |
| akurat | mengakuratkan | — | *meN- + akurat + -kan* | to make accurate | This form is not strongly established in ordinary usage and appears limited or awkward compared with paraphrastic alternatives. It should not be treated as a common derivative. | [UNCERTAIN] |
| keakuratan | (no common derivation identified) |  |  |  |  |  |
| andal | keandalan | — | *ke- + andal + -an* | reliability; dependability | A common noun in technical, scientific, and evaluative contexts for the reliability of machines, systems, data sources, or procedures. It can also refer to the trustworthiness of persons or institutions. | [CORE] |
| andal | mengandalkan | — | *meN- + andal + -kan* | to rely on; to depend on | Very common in everyday and formal Indonesian for placing reliance on a person, method, source, or system. It is a central and strongly attested derivative. | [CORE] |
| andal | diandalkan | — | *di- + andal + -kan* | can be relied on; dependable | Commonly used predicatively for persons, tools, or systems that are dependable. It is especially frequent in evaluative and descriptive contexts. | [CORE] |
| keandalan | (no common derivation identified) |  |  |  |  |  |
| mirip | kemiripan | — | *ke- + mirip + -an* | similarity; resemblance | Refers to the degree of resemblance between appearances, forms, narratives, or patterns. It is common in both everyday and formal comparison. | [CORE] |
| mirip | memiripkan | — | *meN- + mirip + -kan* | to liken; to make resemble | This form is attested but less common than *kemiripan* or predicate *mirip*. It is used when one thing is made or presented as resembling another. | [MARGINAL] |
| kemiripan | (no common derivation identified) |  |  |  |  |  |
| hakikat | hakiki | — | related borrowed form | essential; fundamental; true in essence | *Hakiki* is clearly used in Indonesian, but synchronically it is better treated as a related lexical form rather than a productive derivation transparently built from *hakikat*. It appears in philosophical, religious, and reflective discourse. | [MARGINAL] |
| jati diri | (no common derivation identified) |  |  |  |  |  |
| sejati | kesejatian | — | *ke- + sejati + -an* | authenticity; true nature; genuineness | This noun is attested in reflective, literary, and philosophical usage, but it is much less common than *sejati* itself. It tends to occur in elevated discourse about authenticity or essential nature. | [MARGINAL] |
