| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| doğru | Doğruyu söylemek gerekirse... | Doğruyu söylemek gerekirse... | To tell the truth... / If I'm being honest... | A fixed discourse-initial formula used to introduce a frank or potentially unwelcome statement. Functions as a hedging or sincerity marker rather than a propositional claim. Extremely common across spoken and written registers. The canonical collocation for the act of making a true statement; *doğru* takes the accusative as a definite noun object ("the truth"). Used in moral exhortation, legal contexts, and everyday speech. The variant *doğru söylemek* (without accusative) is also attested and common. | [CORE] |
| doğru | doğru söylemek | doğru söylemek | to say something correct, to tell the truth | Differs from *doğruyu söylemek* in that *doğru* here functions as a predicative adverb rather than a definite noun object; the construction is slightly less emphatic. Both forms are in common use. | [CORE] |
| doğru | Doğru mu yanlış mı? | Doğru mu yanlış mı? | True or false? / Right or wrong? | A fixed interrogative construction used in educational, evaluative, and rhetorical contexts to pose a binary epistemic or moral question. The paired structure is formulaic and appears in test formats, debates, and everyday speech. | [CORE] |
| doğru | doğru yanlış sorusu | doğru yanlış sorusu | a true/false question | A fixed nominal phrase used in educational contexts to describe a question format requiring a binary true-or-false judgment. The coordinate pair *doğru yanlış* functions as a compound modifier. | [CORE] |
| doğru | Ne kadar doğru? | Ne kadar doğru? | How accurate is it? / How true is that? | A common interrogative construction used to question the degree of accuracy or truth of a claim. Used in journalistic, analytical, and everyday contexts to introduce scrutiny of a statement. | [CORE] |
| doğru | Bu doğru değil. | Bu doğru değil. | This is not correct. / This is not true. | The standard negation construction for *doğru*, using the copular negation *değil*. One of the most basic and frequent constructions in the domain. Used across all registers. | [CORE] |
| doğru | Doğru söylüyorsun ama... | Doğru söylüyorsun ama... | You're right, but... / What you're saying is true, but... | A concessive construction used to acknowledge the truth of an interlocutor's statement while introducing a qualification or counterpoint. The *ama* (but) marks the concessive structure. Extremely common in conversational and argumentative discourse. | [CORE] |
| doğru | Doğrusu şu ki... | Doğrusu şu ki... | The truth of the matter is that... / To be honest... | A discourse marker construction using the possessive form *doğrusu* (its truth / the truth of it) followed by the demonstrative-complementizer sequence *şu ki*. Used to introduce a frank or corrective statement. Common in formal and informal speech. | [CORE] |
| doğru | Doğrusu, bilmiyorum. | Doğrusu, bilmiyorum. | Honestly, I don't know. / To tell the truth, I don't know. | *Doğrusu* used as a sentence-initial adverbial meaning "honestly" or "to tell the truth," followed by a statement of uncertainty or admission. Functions as a sincerity hedge. Very common in spoken Turkish. | [CORE] |
| doğru | Tam olarak doğru değil. | Tam olarak doğru değil. | Not exactly correct. / Not entirely true. | A hedged negation construction using *tam olarak* (exactly, precisely) to soften the denial. Used when a claim is partially but not fully accurate. Common in analytical and conversational registers. | [CORE] |
| doğru | Doğru yolda olmak | Doğru yolda olmak | To be on the right path / To be on track | A fixed idiomatic construction using *doğru* in its moral/directional sense. *Doğru yol* (the right/straight path) carries both literal and figurative meanings, with strong moral and religious resonances in Turkish cultural context. Used in moral, religious, and everyday discourse. The locative predicate construction combines *doğru yol* with the locative suffix *-da* and *olmak* (to be). *Doğru yoldasınız* ("You are on the right track") is a common form. | [CORE] |
| doğru | Doğruyu yanlıştan ayırt etmek | Doğruyu yanlıştan ayırt etmek | To distinguish truth from falsehood / To tell right from wrong | A standard periphrastic construction for the epistemic or moral capacity to discriminate between correct and incorrect. *Ayırt etmek* (to distinguish, to discern) is the operative verb. Used in educational, philosophical, and moral discourse. The construction uses the ablative of separation (*yanlıştan*) with *ayırt etmek*. | [CORE] |
| doğru | Bunu doğru bulmuyorum. | doğru bulmak | to find correct, to consider right, to approve of | Predicate construction in which *doğru* functions as a secondary predicate with *bulmak* (to find, to consider). Used to express evaluative judgment that something is correct or appropriate. *Bunu doğru bulmuyorum* ("I don't find this right / I don't approve of this"). | [CORE] |
| doğru | Tahmini doğru çıktı. | doğru çıkmak | to turn out to be correct, to prove true | Predicate construction used to describe a prediction, claim, or suspicion that is subsequently confirmed by events. *Tahmini doğru çıktı* ("His/her prediction turned out to be correct"). Common in everyday and journalistic language. | [CORE] |
