| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| totoo | totoong | totoong | *totoo* + ligature *-ng* | true; real; genuine | Common attributive form before nouns, as in *totoong balita* or *totoong pangalan*. It is one of the most frequent derived surface forms of *totoo* in ordinary speech and writing. | [CORE] |
| totoo | katotohanan | katotohanan | *ka-* + *totoo* + *-han* | truth; reality; fact | Standard abstract noun referring to truth or reality. It is widely used in formal, legal, journalistic, philosophical, and everyday contexts. | [CORE] |
| totoo | totohanan | totohanan | from *totoo* + nominal morphology | seriousness; for real; in earnest | Used especially in colloquial expressions contrasting seriousness with joking or pretending. It is less central than *katotohanan* and more restricted in function. | [MARGINAL] |
| totoo | magkatotoo | magkatotoo | *magka-* + *totoo* | come true; turn out to be true | Very common for hopes, predictions, fears, and expectations that become real or are confirmed. Typical use: *Sana magkatotoo*. | [CORE] |
| totoo | nagkatotoo | nagkatotoo | *nagka-* + *totoo* | came true; turned out to be true | Used for predictions, suspicions, and expectations that were later realized or confirmed. This is a common attested verbal form in actual use. | [CORE] |
| totoo | totohanin | totohanin | *totoo* + *-hin* | take seriously; do for real | Common colloquial verb used in warnings, challenges, or shifts from play to seriousness, as in *Huwag mong totohanin*. Its meaning often concerns seriousness rather than factual truth. | [CORE] |
| katotohanan | mga katotohanan | mga katotohanan | plural marker *mga* + *katotohanan* | facts; truths | Common plural nominal form in expository, academic, and journalistic writing. It refers to multiple facts or truths under discussion. | [CORE] |
| wasto | wastong | wastong | *wasto* + ligature *-ng* | proper; correct; appropriate | Very common attributive form before nouns, especially in educational, bureaucratic, and public-information language. Examples include *wastong gamit* and *wastong impormasyon*. | [CORE] |
| wasto | wastuhin | wastuhin | *wasto* + *-hin* | correct; rectify; put in proper form | Attested in editing, instruction, and administrative contexts for making something correct or proper. It is less common than paraphrases such as *itama*. | [MARGINAL] |
| tama | (no common derivation identified) | — | — | — | No common derivational form is directly supported in the supplied P1/P1b material. | [UNCERTAIN] |
| tumpak | (no common derivation identified) | — | — | — | No common derivational form is directly supported in the supplied P1/P1b material. | [UNCERTAIN] |
| eksakto | (no common derivation identified) | — | — | — | No common derivational form is directly supported in the supplied P1/P1b material. | [UNCERTAIN] |
| tiyak | (no common derivation identified) | — | — | — | No common derivational form is directly supported in the supplied P1/P1b material. | [UNCERTAIN] |
| sigurado | (no common derivation identified) | — | — | — | No common derivational form is directly supported in the supplied P1/P1b material. | [UNCERTAIN] |
| mapagkakatiwalaan | (no common derivation identified) | — | — | — | This item is itself morphologically complex, but no further common derivation is directly supported in the supplied material. | [UNCERTAIN] |
| maaasahan | (no common derivation identified) | — | — | — | This item is already derived in form, but no additional common derivation is directly supported in the supplied material. | [UNCERTAIN] |
| tapat | matapat | matapat | *ma-* + *tapat* | honest; faithful; sincere | Very common adjectival form for a person, statement, or intention judged to be honest or sincere. It is frequent in moral, relational, and political contexts. | [CORE] |
| matapat | (no common derivation identified) | — | — | — | No further common derivation is directly supported in the supplied P1/P1b material. | [UNCERTAIN] |
| tunay | (no common derivation identified) | — | — | — | No common derivational form is directly supported in the supplied P1/P1b material. | [UNCERTAIN] |
| peke | pekeng | pekeng | *peke* + ligature *-ng* | fake; counterfeit; bogus | Common attributive form before nouns, especially for documents, products, and identities. It is the normal modifying form in phrases like *pekeng dokumento*. | [CORE] |
| pekeng | (no common derivation identified) | — | — | — | This is already a ligatured attributive form; no further common derivation is directly supported in the supplied material. | [UNCERTAIN] |
| huwad | (no common derivation identified) | — | — | — | No common derivational form is directly supported in the supplied P1/P1b material. | [UNCERTAIN] |
