| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | meşrulaşmak | meşrulaşmak | [CORE] | Temporal adverbials (*zamanla*, *giderek*) frequently co-occur; subject typically a political movement, institution, authority, or practice; common in political, social, and journalistic discourse |
| 2 | yasalaşmak | yasalaşmak | [CORE] | Subject typically a legislative proposal; process is punctual rather than gradual; common in political and journalistic discourse |
| 3 | gerçekleşmek | gerçekleşmek | [CORE] | Subject typically a plan, dream, prediction, or event; meaning has shifted from "to become real" toward "to occur/happen" in general usage; fully lexicalized across all registers |
| 4 | özgürleşmek | özgürleşmek | [CORE] | Subject typically a collective or individual in a social or political context |
| 5 | geçersiz hale gelmek | geçersiz hale gelmek | [CORE] | Default strategy where *-laş-* is unavailable or marginal; *geçersizleşmek* is rare compared to this periphrastic alternative |
| 6 | geçerli hale gelmek | geçerli hale gelmek | [CORE] | Periphrastic strategy is the standard form for this item; most explicitly inchoative construction available for truth-domain adjectives lacking a morphological *-leş-* form |
| 7 | güvenilir hale gelmek | güvenilir hale gelmek | [CORE] | More natural than bare *güvenilir olmak* for the inchoative reading |
| 8 | doğru hale gelmek / doğruya dönüşmek | doğru hale gelmek / doğruya dönüşmek | [CORE] | Compositionally available via universal periphrastic strategy but not explicitly attested as a common expression in the data; no common expression for a claim actively becoming correct is attested |
| 9 | yanlış hale gelmek | yanlış hale gelmek | [CORE] | Compositionally available but not explicitly attested as a common expression in the data; no common expression is attested |
| 10 | haklı hale gelmek | haklı hale gelmek | [CORE] | Compositionally available but not attested as a common expression; resultative *çıkmak* construction is the natural form for this item |
| 11 | kanıtlanmış hale gelmek | kanıtlanmış hale gelmek | [CORE] | Past participle *kanıtlanmış* can fill the pre-*hale* slot; construction emphasizes transition into the resultant state |
| 12 | geçerli olmak | geçerli olmak | [CORE] | Ambiguous between stative and inchoative readings depending on tense and context; temporal frame triggers inchoative reading; typical subjects are laws, documents, rules, and agreements |
| 13 | meşru olmak | meşru olmak | [CORE] | Available alongside *meşrulaşmak* for the inchoative reading; *meşrulaşmak* is more explicitly dynamic |
| 14 | haklı olmak | haklı olmak | [CORE] | Temporal adverbial *sonunda* supports inchoative/resultative reading; closely related to *haklı çıkmak*; *haklı olmak* is slightly more stative |
| 15 | güvenilir olmak | güvenilir olmak | [CORE] | Bare *güvenilir olmak* is more stative; *güvenilir hale gelmek* is the more natural inchoative expression |
