| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| **1. ATTRIBUTION** Copular: Subject + BE + truth-domain adjective | *That is true.* | N/A | N/A | Occurs across all registers and text types; no observable restriction on subject type beyond the requirement that the subject be propositional, referential, or personal. The same pattern covers factual correspondence, genuineness, and legal standing without structural differentiation. **Attested alternates:** Subject + SEEM/APPEAR + adjective (epistemic hedge variant: *That seems true*); Subject + REMAIN + adjective (continuative: *The account remains accurate*). | [CORE] |
| **1. ATTRIBUTION** Copular: Subject + BE + truth-domain adjective | *The account is accurate.* | N/A | N/A | Predicative position is the unmarked site for truth-domain adjectives in English; no register restriction. Nominal subjects denoting accounts, claims, or reports are among the most frequent subject types in corpus data for this construction. Occurs across all registers (spoken, written, formal, informal); no observable restriction on which truth-domain adjective enters this frame. **Attested alternates:** Subject + SEEM/APPEAR + adjective; Subject + REMAIN + adjective. | [CORE] |
| **1. ATTRIBUTION** Copular: Subject + BE + truth-domain adjective | *The statement is true.* | N/A | N/A | The most frequent syntactic frame for propositional truth-evaluation in English; occurs across all registers. Copula slot extends to *prove*, *hold*, *remain*, *seem*, *ring* (*ring true/false*), with *ring true/false* restricted to informal and journalistic registers. | [CORE] |
| **1. ATTRIBUTION** Copular: Subject + BE + truth-domain adjective | *His testimony was truthful.* | N/A | N/A | Equally natural in past tense; legal and journalistic contexts are typical environments for *truthful* specifically. **Attested alternates:** Predicative use with *seem*, *appear*, *prove* as copula substitutes (*the account seems accurate*; *his testimony proved truthful*) — these add evidential nuance but share the same basic frame. | [CORE] |
| **1. ATTRIBUTION** Copular: *prove* + ADJ (copula-slot variant) | *The claim proved false.* | N/A | N/A | *Prove + ADJ* is fully idiomatic in formal and written registers; slightly more formal than *turn out to be*. No register restriction on subject NP type. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** Subject + BE + negative-prefixed adjective | *That is not accurate.* / *That is inaccurate.* | N/A | N/A | Both the free negator (*not* + adjective) and the prefixed form (*inaccurate*) are fully natural; the prefixed form tends toward formal and written registers. The two strategies are not always interchangeable in connotation: *disingenuous* and *spurious* carry implications beyond simple negation that *not genuine* and *not valid* do not fully replicate. **Attested alternates:** Subject + BE + HARDLY/SCARCELY + adjective (scalar near-negation: *That is hardly credible*); Subject + BE + FAR FROM + adjective (*That is far from accurate*). | [CORE] |
| **2. NEGATIVE ATTRIBUTION** Subject + BE + negative-prefixed adjective | *The claim is false.* | N/A | N/A | *False* is a root negative form rather than a prefixed derivative; it is the primary single-word negative counterpart to *true* and is unrestricted across registers. Prefixed forms (*untrue*, *inaccurate*, *invalid*, *illegitimate*) are available for most other core items. **Attested alternates:** As above. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** Prefixal negation | *The account is inaccurate.* | N/A | N/A | Prefixal negation is fully productive for Latinate bases (*inaccurate*, *incorrect*, *invalid*, *insincere*, *dishonest*, *illegitimate*, *implausible*); unavailable or marginal for native Germanic items (*fake*, *ersatz*) and fixed expressions (*bona fide*). Formal and written registers preferred; not all adjectives in the domain accept prefixation, so availability must be checked item by item. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** Prefixed negative adjective | *The document is inauthentic.* | N/A | N/A | Formal and written registers preferred; not all adjectives in the domain accept prefixation, so availability must be checked item by item. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** Sentential negation: NOT + adjective | *The argument is not valid.* | N/A | N/A | Sentential negation (*not*) is universally available across all items in the domain regardless of Latinate or Germanic origin; serves as the default strategy where prefixal forms are absent or marginal (*not genuine*, *not authentic*). Available for all adjectives in the domain without exception; the universal fallback strategy when prefixed forms are unavailable or unnatural. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** Periphrastic negation: NOT + adjective | *The claim is not genuine.* | N/A | N/A | Available for all adjectives in the domain without exception; the universal fallback strategy when prefixed forms are unavailable or unnatural. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** Lexically distinct antonym | *The claim is fake.* | N/A | N/A | Informal to neutral register; *fake*, *bogus*, *counterfeit* are not derivationally related to their positive counterparts and carry additional connotations (deliberate deception, material forgery) absent from simple negation. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** Antonym substitution | *(implied by pattern; no distinct example given beyond the pattern description)* | N/A | N/A | Antonym substitution (e.g., replacing *true* with *false*) is a fully productive third strategy; no additional example was provided beyond the pattern description. | [CORE] |
