# CLCA Protocol v3.4 — F4 Construction Table
# Language: Basque (eu)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | Hau egia da | hau egia da | This is truth / This is true | Standard predicative construction used across all registers. Appears in both spoken and written discourse. The article -a on predicate nominal is obligatory in standard usage. | [CORE] |
| ATTRIBUTION | Istorio hori gezurra da | istorio hori gezurra da | That story is a lie / That story is false | Same construction pattern. Fully productive with all truth-domain nominals. No register restrictions observed. | [CORE] |
| NEGATIVE ATTRIBUTION | Hau ez da egia | hau ez da egia | This is not truth / This is not true | Standard negation pattern. The particle *ez* position is fixed (pre-verbal). Used across all contexts without restriction. | [CORE] |
| NEGATIVE ATTRIBUTION | Zure esana ez da zuzena | zure esana ez da zuzena | Your statement is not correct | Same negation pattern applied to different predicate. Fully productive and unrestricted. | [CORE] |
| ADNOMINAL MODIFICATION | egiazko historia | egiazko historia | true story / real history | Standard attributive construction. The -ko/-zko suffix is obligatory for pre-nominal position. Absence of article distinguishes from predicative use. | [CORE] |
| ADNOMINAL MODIFICATION | gezurrezko agiri | gezurrezko agiri | false document / forged document | Same attributive pattern. Productive across all truth-domain adjectives. Common in formal/written registers. | [CORE] |
| BECOME / INCHOATIVE | Istorioa egia bihurtu da | istorioa egia bihurtu da | The story became truth / The story turned out to be true | Less common than specialized verbs. Used for general change-of-state but competes with domain-specific alternatives. | [MARGINAL] |
| BECOME / INCHOATIVE | Zuzena oker bihurtu da | zuzena oker bihurtu da | The correct (thing) became wrong / What was right became wrong | Generic inchoative construction. For errors, *okertu* is more idiomatic than *oker bihurtu*. | [MARGINAL] |
| CAUSATIVE | Datuak egiaztatu ditut | datuak egiaztatu ditut | I have verified the data / I verified the data | Lexicalized causative verb, highly frequent in formal/technical contexts. Standard verb for verification processes. | [CORE] |
| CAUSATIVE | Akatsa zuzendu behar dugu | akatsa zuzendu behar dugu | We must correct the error | Common lexicalized causative. Used across all registers for correction actions. Combines productively with modal *behar*. | [CORE] |
| ABSTRACT NOMINALIZATION | egiazkotasuna | egiazkotasuna | truthfulness / authenticity / veracity | Productive derivational pattern. Common in formal, philosophical, and analytical discourse. The -tasun suffix is highly productive. | [CORE] |
| ABSTRACT NOMINALIZATION | zuzentasuna | zuzentasuna | correctness / rightness / justice | Same productive pattern. Frequent in moral, legal, and evaluative contexts. No register restrictions. | [CORE] |
| AGENTIVE NOMINALIZATION | zuzentzaile | zuzentzaile | corrector / editor / proofreader | Productive agent nominalization. Common in professional/occupational contexts. The -tzaile suffix is regular for agent nouns from verbs. | [CORE] |
| AGENTIVE NOMINALIZATION | gezurlari | gezurlari | liar / one who lies | Lexicalized agent noun using -lari suffix. More common than hypothetical *gezurtzaile*. The -lari suffix indicates habitual agent. | [CORE] |
| VERB + NOUN COLLOCATIONS | egia esan | egia esan | to tell the truth / to speak truth | Highly frequent light verb construction. Used across all registers. Functions as semi-lexicalized unit with fixed NOUN+VERB order. | [CORE] |
| VERB + NOUN COLLOCATIONS | gezurra esan | gezurra esan | to tell a lie / to lie | Parallel construction to *egia esan*. Extremely common in all contexts. Standard expression for lying. | [CORE] |
| GENITIVE CONSTRUCTIONS | egiaren bila | egiaren bila | in search of truth / seeking truth | Common genitive construction with postposition *bila* (in search of). Frequent in philosophical and literary discourse. | [CORE] |
| GENITIVE CONSTRUCTIONS | egiaren alderdi | egiaren alderdi | aspect of truth / side of truth | Standard genitive for part-whole and abstract relations. Common in analytical discourse. Productive pattern. | [CORE] |
| LOCATIVE/MANNER ADVERBIALS | egiatan | egiatan | in truth / truly / really | Common adverbial expression. Used for emphasis and hedging across registers. The locative -an creates manner adverbials productively. | [CORE] |
| LOCATIVE/MANNER ADVERBIALS | zuzenean | zuzenean | directly / straight / live (broadcast) | Frequent adverbial with both spatial and manner meanings. Specialized meaning for live broadcasts is well-established. | [CORE] |
| INSTRUMENTAL ADVERBIALS | zuzentasunez | zuzentasunez | with correctness / rightly / justly | Productive instrumental case pattern for manner adverbials. Common in formal and evaluative discourse. | [CORE] |
| INSTRUMENTAL ADVERBIALS | zintzoki | zintzoki | honestly / sincerely | Alternative adverbial pattern using -ki suffix. More common for manner adverbs from adjectives than instrumental case. | [CORE] |
| REDUPLICATION FOR EMPHASIS | gezur-gezurra | gezur-gezurra | complete lie / total falsehood / blatant lie | Productive emphatic strategy. Common in spoken and informal registers for intensification. Hyphenated full reduplication is standard. | [CORE] |
| REDUPLICATION FOR EMPHASIS | zuzen-zuzen | zuzen-zuzen | very straight / completely correct / directly | Same emphatic pattern. Productive across truth-domain vocabulary. Functions as intensifier in multiple word classes. | [CORE] |
| MODAL NECESSITY CONSTRUCTIONS | zuzendu behar dut | zuzendu behar dut | I must correct / I need to correct | Standard modal construction. Extremely common across all registers. The *behar* auxiliary is obligatory for necessity modality. | [CORE] |
| MODAL NECESSITY CONSTRUCTIONS | frogatu behar da | frogatu behar da | it must be proven / it needs to be proven | Same modal pattern with intransitive auxiliary. Common in prescriptive and evaluative contexts. | [CORE] |
| POTENTIAL/EVALUATIVE ADJECTIVES | sinesgarria | sinesgarria | believable / credible / plausible | Highly productive -garri suffix for evaluative adjectives. Common in epistemic evaluation contexts across registers. | [CORE] |
| POTENTIAL/EVALUATIVE ADJECTIVES | frogagarria | frogagarria | provable / demonstrable / verifiable | Same productive pattern. Frequent in academic, legal, and analytical discourse. Indicates capability or worthiness. | [CORE] |
| PEJORATIVE NOMINALIZATIONS | gezurkeria | gezurkeria | lying / deceit / falsehood (habitual/collective) | Productive pejorative suffix. Common in moral evaluation contexts. Implies habitual or systematic negative behavior. | [CORE] |
| PEJORATIVE NOMINALIZATIONS | faltsukeria | faltsukeria | falseness / deceit / hypocrisy | Same pejorative pattern. Frequent with deception-related roots. Carries strong negative moral evaluation. | [CORE] |
| COMPARATIVE CONSTRUCTIONS | Hau hura bezain egia da | hau hura bezain egia da | This is as true as that | Standard equative comparison. Common across all registers. The *bezain* particle is obligatory for equality comparisons. | [CORE] |
| COMPARATIVE CONSTRUCTIONS | Zure erantzuna nirea bezain zuzena da | zure erantzuna nirea bezain zuzena da | Your answer is as correct as mine | Same equative pattern. Productive and unrestricted. No synthetic comparative forms exist for these adjectives. | [CORE] |
| EVIDENTIAL/APPEARANCE CONSTRUCTIONS | Gezurra dirudi | gezurra dirudi | It seems like a lie / It appears false | Standard evidential construction. Common for hedging and cautious assertions across registers. Marks epistemic stance based on appearance. | [CORE] |
| EVIDENTIAL/APPEARANCE CONSTRUCTIONS | Egiazko itxura du | egiazko itxura du | It has the appearance of being true / It seems genuine | Alternative evidential using *itxura* (appearance) + *eduki* (have). Common in evaluative contexts. Semantically parallel to *dirudi*. | [CORE] |
| EXPOSURE/REVELATION CONSTRUCTIONS | Egia agerian jarri dut | egia agerian jarri dut | I have exposed the truth / I put the truth in the open | Productive locative + motion verb construction. Common in investigative and revelatory contexts. *Agerian* combines with multiple verbs. | [CORE] |
