# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Indonesian (id)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| salah | kesalahan | N/A (Latin script) | ke- + salah + -an (nominalization) | error, mistake, fault, wrongdoing | Abstract noun referring to an error, mistake, or wrongdoing. Very common in everyday speech ("kesalahan saya" = "my mistake") and formal contexts ("kesalahan sistem" = "system error"). | [CORE] |
| salah | menyalahkan | N/A (Latin script) | meN- + salah + -kan (causative verb) | to blame, to fault, to accuse | Transitive verb meaning to blame someone or declare something wrong. Common in interpersonal contexts ("jangan menyalahkan orang lain" = "don't blame others") and evaluative discourse. | [CORE] |
| salah | disalahkan | N/A (Latin script) | di- + salah + -kan (passive voice) | to be blamed, to be faulted | Passive form indicating someone/something is blamed. Standard in discourse about responsibility ("dia selalu disalahkan" = "he is always blamed"). | [CORE] |
| salah | menyalahi | N/A (Latin script) | meN- + salah + -i (locative/applicative verb) | to violate, to break (rules), to go against | Transitive verb meaning to violate or break rules/norms. Common in legal and normative contexts ("menyalahi aturan" = "to violate rules"). | [CORE] |
| salah | salah-salah | N/A (Latin script) | salah + reduplication | if by mistake, lest, in case of error | Reduplicated form expressing caution or hypothetical error. Used in warnings ("salah-salah kamu terlambat" = "you might end up being late"). | [CORE] |
| salah | tersalah | N/A (Latin script) | ter- + salah (accidental passive) | mistaken, wrongly done (accidentally) | Indicates accidental error or mistake. Used when something is done wrong unintentionally ("tersalah ambil" = "took the wrong one by mistake"). | [CORE] |
| salah | penyalah | N/A (Latin script) | peN- + salah (agent noun) | abuser, misuser | Agent noun referring to one who misuses something. Common in compounds ("penyalah narkoba" = "drug abuser," "penyalahguna" = "abuser/misuser"). | [CORE] |
| salah | penyalahgunaan | N/A (Latin script) | peN- + salah + guna + -an (compound nominalization) | abuse, misuse | Noun referring to abuse or misuse of something. Very common in legal and social discourse ("penyalahgunaan kekuasaan" = "abuse of power"). | [CORE] |
| salah | menyalahgunakan | N/A (Latin script) | meN- + salah + guna + -kan (compound verb) | to abuse, to misuse | Verb meaning to abuse or misuse something. Common in legal and ethical contexts ("menyalahgunakan wewenang" = "to abuse authority"). | [CORE] |
