| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| kweli | ukweli | ukweli | *u-* abstract noun + *-kweli* “true” | truth | This is the main abstract noun corresponding to *kweli*. It is used for truth as a property of statements and for the actual facts of a matter. | [CORE] |
| kweli | mkweli | mkweli | *m-* person noun + *-kweli* | truthful person; honest person | This form refers to a person characterized by truthfulness. It is used in moral, religious, and everyday evaluation of character. | [CORE] |
| uongo | -ongo | -ongo | adjectival stem from *uongo* | false; deceitful; lying | This stem appears in agreeing forms referring to false or deceptive things or persons. It is less independent than *uongo* itself but is clearly part of ordinary usage. | [CORE] |
| uongo | mwongo | mwongo | *m-* person noun + *-ongo* | liar | This is the ordinary noun for a person who lies or is deceitful. It is common in everyday accusation and moral evaluation. | [CORE] |
| uongo | uongozi | uongozi | lexicalized derivative historically related to the same root family | guidance; leadership | In modern usage this means “leadership” or “guidance,” not “falsehood.” Because the semantic link to *uongo* ‘lie’ is not synchronically transparent for most speakers, it should be treated cautiously as a lexicalized related form rather than a productive truth/falsity derivation. | [UNCERTAIN] |
| -kweli | ukweli | ukweli | *u-* abstract noun + *-kweli* | truth | This is the central nominal derivative from the adjectival stem *-kweli*. It is widely used in everyday, formal, and philosophical contexts. | [CORE] |
| -kweli | mkweli | mkweli | *m-* person noun + *-kweli* | truthful person; honest person | This form denotes a person marked by truthfulness or honesty. It is common in moral and interpersonal evaluation. | [CORE] |
| -ongo | uongo | uongo | *u-* noun formation + *-ongo* | falsehood; lie | This is the main noun corresponding to the stem *-ongo*. It is the ordinary word for a lie or falsehood. | [CORE] |
| -ongo | mwongo | mwongo | *m-* person noun + *-ongo* | liar | This is the common personal noun built on the same stem. It refers to someone characterized by lying or deceit. | [CORE] |
| sahihi | usahihi | usahihi | *u-* abstract noun + *sahihi* | correctness; accuracy; precision | This noun is used in formal and semi-formal contexts for the quality of being correct or accurate. It is especially common in writing, reporting, measurement, and evaluation. | [CORE] |
| sahihi | -sahihi | -sahihi | adjectival stem use of *sahihi* | correct; proper; accurate | This stem appears with noun-class agreement in descriptive phrases. It is common in educational, administrative, and instructional language. | [CORE] |
| -sahihi | usahihi | usahihi | *u-* abstract noun + *-sahihi* | correctness; accuracy | This is the main abstract noun corresponding to the adjectival stem *-sahihi*. It is used where correctness or precision is explicitly assessed. | [CORE] |
| halisi | uhalisia | uhalisia | *u-* abstract noun + *halisi* | reality; realism; authenticity | This noun is used in literary, philosophical, and general evaluative contexts. Depending on context, it can refer to reality itself or to realism/authenticity in representation. | [CORE] |
| aminifu | uaminifu | uaminifu | *u-* abstract noun + *aminifu* | honesty; trustworthiness; faithfulness | This noun refers to the quality of being trustworthy, honest, or faithful. It is common in moral, religious, and social evaluation. | [CORE] |
| aminifu | mwaminifu | mwaminifu | *m-* person noun + *aminifu* | faithful person; trustworthy person; believer | This form refers to a person characterized by faithfulness or trustworthiness. In religious contexts it can also mean “believer.” | [CORE] |
| aminifu | waaminifu | waaminifu | plural person formation + *aminifu* | faithful people; trustworthy people; believers | This is the plural counterpart used for groups of faithful or trustworthy people. It is common in religious and moral discourse. | [CORE] |
| uaminifu | mwaminifu | mwaminifu | person noun related to the same derivational family | faithful person; trustworthy person | Although not directly formed from *uaminifu* in a productive synchronic rule, it belongs to the same well-attested derivational family and is the corresponding personal noun in common usage. | [MARGINAL] |
| kuaminika | aminika | aminika | stem/participle from *ku-aminika* | credible; trustworthy; reliable | This form is used adjectivally or participially for sources, testimony, institutions, and evidence. It is especially common in journalism and formal evaluation. | [CORE] |
| kuaminika | asiyeaminika | asiyeaminika | negative relative + *-aminika* | untrustworthy; not credible | This form is used for persons, reports, or sources judged not worthy of belief. It is common in journalism, legal commentary, and public evaluation. | [CORE] |
| kuaminika | kutoaminika | kutoaminika | *kuto-* negative infinitive + *-aminika* | lack of credibility; being untrustworthy | This form names the condition of not being credible or trustworthy. It appears mainly in formal discussion of institutions, testimony, and public figures. | [MARGINAL] |
| aminika | kuaminika | kuaminika | *ku-* infinitive + *aminika* | to be credible; to be trustworthy | This is the verbal infinitive corresponding to adjectival/participial *aminika*. It is used for people, institutions, reports, and evidence that can be trusted. | [CORE] |
| aminika | asiyeaminika | asiyeaminika | negative relative + *aminika* | untrustworthy; not credible | This form is common in evaluative contexts where a person or source is judged unreliable. It is especially natural in media and legal language. | [CORE] |
| asili | ya asili | ya asili | agreement form *ya* + *asili* | original; natural; authentic | This fixed expression is widely used for things considered natural, original, or authentic rather than artificial or imitative. It is common in product description and authenticity judgments. | [CORE] |
