# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Greek (el)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| αλήθεια (alítheia) — truth | αληθινός | alithinós | αληθ- (truth root) + -ινός (adjectival suffix marking material/quality) | true, genuine, real, authentic | Adjectival derivation marking something as conforming to reality or being authentic. Used attributively and predicatively across all registers. | [CORE] |
| αλήθεια (alítheia) — truth | αληθεύω | alithévo | αληθ- + -εύω (denominative verb suffix) | to tell the truth, to speak truly | Verbal derivation for the act of telling truth. Common across registers, often in contrast to lying. | [CORE] |
| αλήθεια (alítheia) — truth | αληθώς | alithós | αληθ- + -ώς (adverbial suffix) | truly, in truth, really | Adverbial derivation used for emphasis or confirmation of truth. Functions across all registers. | [CORE] |
| αλήθεια (alítheia) — truth | αληθινά | alithiná | αληθιν- (from αληθινός) + -ά (adverbial suffix) | truly, really, genuinely | Secondary adverbial derivation from the adjective αληθινός. Common in everyday speech and writing. | [CORE] |
| αλήθεια (alítheia) — truth | αληθινότητα | alithinótita | αληθιν- + -ότητα (abstract noun suffix) | truthfulness, genuineness, authenticity | Abstract noun derivation marking the quality of being true or genuine. Used in philosophical and evaluative discourse. | [CORE] |
| ψέμα (pséma) — lie | ψεματάκι | psematáki | ψεμα- + -τάκι (diminutive suffix) | little lie, white lie, fib | Diminutive form suggesting a minor or harmless lie. Common in everyday speech to minimize the seriousness of a falsehood. | [CORE] |
| ψεύτης (pséftis) — liar | ψευτιά | pseftiá | ψευτ- + -ιά (abstract/collective noun suffix) | lying, mendacity, lies (collective) | Abstract noun for the practice of lying or lies collectively. Common in everyday speech and moral discourse. | [CORE] |
| ψεύτης (pséftis) — liar | ψεύτικος | pséftikos | ψευτ- + -ικος (adjectival suffix) | false, fake, lying, deceptive | Adjectival form marking something as false or deceptive. Very common in everyday Greek for fake objects or false statements. | [CORE] |
| ψεύτης (pséftis) — liar | ψεύτρα | pséftra | ψευτ- + -ρα (feminine agent suffix) | (female) liar | Feminine form of ψεύτης. Used when referring to female liars, though ψεύτης can also be used generically. | [CORE] |
| ψευδής (pseudís) — false, lying | ψευδώς | psevdós | ψευδ- + -ώς (adverbial suffix) | falsely, mendaciously | Adverbial form marking manner of falsity. More formal register than everyday speech. | [CORE] |
| σωστός (sostós) — correct, right | σωστά | sostá | σωστ- + -ά (adverbial suffix) | correctly, rightly, properly | Adverbial derivation marking correct manner. Extremely common across all registers. | [CORE] |
| σωστός (sostós) — correct, right | σωστότητα | sostótita | σωστ- + -ότητα (abstract noun suffix) | correctness, rightness, propriety | Abstract noun for the quality of being correct. Used in evaluative and normative discourse. | [CORE] |
| σωστός (sostós) — correct, right | σωστεύω | sostévo | σωστ- + -εύω (denominative verb suffix) | to correct, to put right, to fix | Verbal derivation for the act of correcting or fixing. Common in everyday speech and technical contexts. | [CORE] |
| σωστός (sostós) — correct, right | διόρθωση | diórthosi | δι- (through) + ορθ- (straight/correct) + -ωση (action noun) | correction, amendment, rectification | Nominal form for the act of correcting. Common in educational, editorial, and administrative contexts. | [CORE] |
| λάθος (láthos) — error, mistake, wrong | λαθεμένος | latheménos | λαθ- + -εμένος (perfect passive participle) | mistaken, wrong, erroneous | Participial adjective marking something as containing error or being mistaken. Common in everyday usage. | [CORE] |
| λάθος (láthos) — error, mistake, wrong | λανθασμένος | lanthasménos | λανθ- (extended root) + -ασμένος (perfect passive participle) | mistaken, wrong, erroneous | Variant participial form, synonymous with λαθεμένος. Both forms are widely used. | [CORE] |
| λάθος (láthos) — error, mistake, wrong | λαθεύω | lathévo | λαθ- + -εύω (denominative verb suffix) | to make a mistake, to err | Verbal derivation for making errors. Common across registers. | [CORE] |
| λάθος (láthos) — error, mistake, wrong | λανθάνω | lantháno | λανθ- + -άνω (verb suffix) | to escape notice, to be hidden, to err unknowingly | Related verb with extended meaning of escaping notice or being unaware. More formal register. | [CORE] |
| ορθός (orthós) — correct, right, straight | ορθώς | orthós | ορθ- + -ώς (adverbial suffix) | correctly, rightly, properly | Adverbial derivation marking correct manner. Common across all registers. | [CORE] |
