# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Tamil (ta)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| உண்மை (uṇmai) | உண்மையான (uṇmaiyāṉa) | uṇmaiyāṉa | uṇmai (truth) + āṉa (adjectival suffix) | true, real, genuine, authentic | Primary adjectival form modifying nouns. Extremely productive and common in all registers of speech and writing. | [CORE] |
| உண்மை (uṇmai) | உண்மையாக (uṇmaiyāka) | uṇmaiyāka | uṇmai (truth) + āka (adverbial suffix) | truly, truthfully, really | Adverbial form indicating manner or degree. Used both for truth-evaluation and as general intensifier. | [CORE] |
| உண்மை (uṇmai) | உண்மையில் (uṇmaiyil) | uṇmaiyil | uṇmai (truth) + il (locative case marker) | in truth, actually, in reality | Functions as discourse marker and adverbial emphasizing actual truth or reality of a statement. | [CORE] |
| உண்மை (uṇmai) | உண்மைத்தன்மை (uṇmaittaṉmai) | uṇmaittaṉmai | uṇmai (truth) + taṉmai (quality/nature) | truthfulness, veracity, the quality of being true | Formal abstract noun for the property or quality of truth. Common in academic and legal registers. | [CORE] |
| உண்மை (uṇmai) | உண்மையற்ற (uṇmaiyaṟṟa) | uṇmaiyaṟṟa | uṇmai (truth) + aṟṟa (without - negative adjectival) | without truth, untrue, false | Negative adjectival form indicating absence of truth. Used in formal and written contexts. | [CORE] |
| உண்மை (uṇmai) | உண்மையின்மை (uṇmaiyiṉmai) | uṇmaiyiṉmai | uṇmai (truth) + iṉmai (absence/non-existence) | absence of truth, untruth, falsity | Abstract noun for the state of lacking truth. Formal and literary register. | [CORE] |
| பொய் (poy) | பொய்யான (poyyāṉa) | poyyāṉa | poy (lie) + āṉa (adjectival suffix) | false, fake, untrue, lying | Primary adjectival form for modifying nouns. Highly productive across all registers. | [CORE] |
| பொய் (poy) | பொய்யாக (poyyāka) | poyyāka | poy (lie) + āka (adverbial suffix) | falsely, untruthfully, as a lie | Adverbial form indicating manner of action or state. Common in both speech and writing. | [CORE] |
| பொய் (poy) | பொய்யில் (poyyil) | poyyil | poy (lie) + il (locative case marker) | in falsehood, in lies | Less common than poyyāka; used primarily in literary and formal contexts to indicate state of being in falsehood. | [CORE] |
| பொய் (poy) | பொய்மை (poymai) | poymai | poy (lie) + mai (abstract noun suffix) | falsehood, falsity, untruth | Classical Tamil abstract noun form. Used in literary and formal registers, particularly in classical literature. | [CORE] |
| பொய் (poy) | பொய்த்தன்மை (poyttaṉmai) | poyttaṉmai | poy (lie) + taṉmai (quality/nature) | falseness, the quality of being false | Formal abstract noun for the property of falseness. Used in analytical and academic discourse. | [CORE] |
| பொய் (poy) | பொய்யன் (poyyan) | poyyan | poy (lie) + aṉ (masculine agentive suffix) | liar (masculine) | Agentive noun referring to a male person who lies. Common in everyday speech for character judgment. | [CORE] |
| பொய் (poy) | பொய்யாள் (poyyāḷ) | poyyāḷ | poy (lie) + āḷ (person agentive suffix) | liar (gender-neutral/feminine) | Agentive noun referring to a person who lies. Used in everyday speech. | [CORE] |
| பொய் (poy) | பொய்யர் (poyyar) | poyyar | poy (lie) + ar (plural/honorific agentive suffix) | liars, false people (plural/honorific) | Plural or honorific form referring to people who lie. Used in moral condemnation. | [CORE] |
