| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| òtítọ́ | àìtọ́ | àìtọ́ | *à-* (negating prefix) + *ì-* (nominalizing) + *tọ́* (correct, straight); "the state of not being correct" | incorrectness, impropriety, wrongness | Used in moral and evaluative contexts to refer to the quality of being incorrect or improper. Appears in everyday speech and moral condemnation as a general negation of correctness, though less frequent than *irọ́* for the specific sense of falsehood. Also appears in legal and moral assessments and in the compound *ẹ̀rí àìtọ́*. | [CORE] |
| òtítọ́ | olòtítọ́ | olòtítọ́ | *olò-* (person-prefix, variant of *ẹni tó ni* "one who has/possesses") + *títọ́* (truthfulness); "one who possesses truth / a truthful person" | truthful person, honest person, one who tells the truth | Used to describe a person whose habitual conduct is characterized by truthfulness. Appears in moral assessments and in character evaluations in everyday and formal discourse. Also appears in proverbs contrasting truthful and deceptive persons. | [CORE] |
| òtítọ́ | òtítọ́ pátápátá | òtítọ́ pátápátá | *òtítọ́* (truth) + *pátápátá* (completely, entirely); "complete truth" | the whole truth, complete truth, nothing but the truth | Used in legal and moral contexts to assert that a statement is entirely truthful without omission or distortion. Appears in oath-taking and formal testimony contexts, parallel to the English legal formula. | [CORE] |
| òtítọ́ | ọ̀rọ̀ òtítọ́ | ọ̀rọ̀ òtítọ́ | *ọ̀rọ̀* (word, speech, matter) + *òtítọ́* (truth); "word/matter of truth" | true statement, truthful speech, words of truth | A productive nominal compound used to evaluate a statement or account as truthful. Appears in everyday speech, preaching, and legal contexts where the truthfulness of an utterance is being affirmed. | [CORE] |
| òtítọ́ | sọ òtítọ́ | sọ òtítọ́ | *sọ* (to say, speak) + *òtítọ́* (truth); "to speak truth" | to tell the truth, to speak truthfully | The most productive verbal collocation with *òtítọ́*, used across all registers to describe the act of making a truthful statement. Appears in everyday speech, legal testimony, and moral instruction. The standard verbal collocation for truth-telling; used in legal oaths, moral instruction, everyday assertions, and religious discourse. | [CORE] |
| òtítọ́ | ìsọ òtítọ́ | ìsọ òtítọ́ | *ì-* (nominalizing prefix) + *sọ* (to say) + *òtítọ́* (truth); "the act of speaking truth" | truth-telling, the act of speaking truthfully | The nominalized form of *sọ òtítọ́*, used to refer to truth-telling as a practice or virtue. Appears in moral and educational discourse. | [CORE] |
| òtítọ́ | ìtọ́ | ìtọ́ | *ì-* (nominalizer) + *tọ́* (straight/correct); bare nominalization of the root | straightness, correctness, rightness | The bare nominalization of the root *tọ́*; used in philosophical and moral discourse to refer abstractly to the quality of being correct. Less frequent in everyday speech than *òtítọ́* but attested in formal and literary registers. | [CORE] |
| òtítọ́ | tọ́tọ́ | tọ́tọ́ | Reduplication of *tọ́*; intensified form | very straight, very correct, truly right | The reduplicated form of the root, used as an intensifier in adjectival and adverbial function. Appears in *ọ̀nà tọ́tọ́* ("the very straight/correct path"). Reduplication here signals intensification rather than a new lexical category. | [CORE] |
| òtítọ́ | àtúntọ́ | àtúntọ́ | *à-* (nominalizer) + *tún* (again, re-) + *tọ́* (correct/straighten); "re-correcting" | correction, rectification, reform, amendment | Used in administrative, legal, and moral contexts to describe the act of correcting something previously wrong. The *tún* element marks iterative or restorative action. | [CORE] |
| òtítọ́ | òtítọ́ ni | òtítọ́ ni | *òtítọ́* (truth) + *ni* (copula/focus marker) | it is the truth; that is true | Fixed assertive expression used to affirm the truth of a statement; appears in everyday speech, legal testimony, and religious affirmation. | [CORE] |
| òtítọ́ | ìjẹ́ òtítọ́ | ìjẹ́ òtítọ́ | *ìjẹ́* (acknowledgment, admission; from *jẹ*, to accept/consume) + *òtítọ́* (truth) | acknowledgment of the truth, admission of truth | Used in legal and moral contexts for the act of formally admitting or acknowledging that something is true; appears in court proceedings and religious confession contexts. | [CORE] |
| òtítọ́ | ìwádìí òtítọ́ | ìwádìí òtítọ́ | *ìwádìí* (investigation, inquiry) + *òtítọ́* (truth) | investigation of the truth, truth inquiry, fact-finding | Used in legal, journalistic, and administrative contexts for the process of formally investigating what is true; appears in news media and official inquiry language. | [CORE] |
| òtítọ́ | ènìyàn òtítọ́ | ènìyàn òtítọ́ | *ènìyàn* (person) + *òtítọ́* (truth) | a truthful person, a person of truth | Attributive nominal construction used in character evaluation to describe someone consistently honest in speech and conduct. Appears in social and moral assessment contexts across registers. | [CORE] |
| irọ́ | sọ irọ́ | sọ irọ́ | *sọ* (to say, speak) + *irọ́* (lie, falsehood); "to speak a lie" | to tell a lie, to lie, to speak falsely | The primary verbal collocation with *irọ́*, highly productive across all registers. Used in moral condemnation, legal contexts, and everyday speech to describe the act of making a false statement. The direct antonym of *sọ òtítọ́*. | [CORE] |
| irọ́ | ìsọ irọ́ | ìsọ irọ́ | *ì-* (nominalizing prefix) + *sọ* (to say) + *irọ́* (lie); "the act of speaking a lie" | lying, the act of telling lies, deception through speech | The nominalized form of *sọ irọ́*, used to refer to lying as a practice or act. Appears in moral and legal discourse. | [CORE] |
| irọ́ | aláìrọ́ | aláìrọ́ | *al-* (agentive prefix, from *eni tó ní*) + *àì-* (negating) + *irọ́* (lie); "one who does not lie, one without falsehood" | truthful person, one who does not lie, honest person | Used as a nominal to describe a person who does not lie. Appears in moral commendation and in proverbs. Less common than *olòtítọ́* but attested in evaluative discourse. Also covers, in some usages, the sense of "one who is genuine/authentic." | [MARGINAL] |
