| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| உண்மை / *uṇmai* | உண்மை சொல் | uṇmai col | tell the truth, speak truthfully | The most basic and frequent verbal construction with *uṇmai*; used as an imperative, infinitive, or nominalized form across all registers. Appears in everyday speech, legal instruction, and moral exhortation. The verb *col* (to say/tell) is the default verbal complement of *uṇmai* in this construction. The finite forms *uṇmai collukiṟāṉ* (he is telling the truth), *uṇmai colluvēṉ* (I will tell the truth) are equally productive. | [CORE] |
| உண்மை / *uṇmai* | உண்மை சொல்லணும் | uṇmai collāṇum | (One) must tell the truth / You have to tell the truth | A very common deontic construction combining *uṇmai col* (to tell the truth) with the obligative suffix *-āṇum*. Appears in moral instruction, parental speech, and legal contexts. Extremely frequent in spoken Tamil. | [CORE] |
| உண்மை / *uṇmai* | உண்மை பேசு | uṇmai pēcu | speak the truth, talk honestly | Parallel to *uṇmai col* but with *pēcu* (to speak), which carries a slightly more sustained or conversational sense. Used in moral instruction and everyday speech. The two constructions (*uṇmai col* and *uṇmai pēcu*) are largely interchangeable in most contexts, though *pēcu* may emphasize the ongoing act of speaking rather than a single utterance. Appears in proverbs and moral exhortation: *uṇmai pēcu, nīti vāḻu* (speak truth, live justly). | [CORE] |
| உண்மை / *uṇmai* | அவர் உண்மை பேசுகிறார் | avar uṇmai pēcukiṟār | He/She is speaking the truth | A simple predicative construction combining *uṇmai* as a direct object with the verb *pēcu* (to speak). Common in everyday speech and in evaluations of testimony. Contrasts with *poy pēcu* (to speak falsely). | [CORE] |
| உண்மை / *uṇmai* | உண்மையை மறை | uṇmaiyai maṟai | hide the truth, conceal the truth | Accusative construction (*uṇmai* + *-ai*) with the verb *maṟai* (to hide, conceal); used in legal and moral condemnation of deliberate suppression of true information. The accusative marking on *uṇmai* is obligatory in this construction. | [CORE] |
| உண்மை / *uṇmai* | உண்மையை மறைக்கிறார்கள் | uṇmaiyai maṟaikkiṟārkaḷ | They are concealing the truth | A common accusatory construction combining *uṇmai* in the accusative (*uṇmaiyai*) with the verb *maṟai* (to conceal, to hide). Appears in journalistic, legal, and political discourse when alleging suppression of facts. | [CORE] |
| உண்மை / *uṇmai* | உண்மை மறைக்கப்பட்டது | uṇmai maṟaikkap-paṭṭatu | The truth was concealed / The truth was suppressed | Passive construction using *maṟai* (to conceal) in the Tamil passive (*-kkap-paṭu*). Used in legal, journalistic, and moral discourse to characterize deliberate suppression of truth. The active form *uṇmai maṟaittāṉ* (he concealed the truth) is equally common. | [CORE] |
| உண்மை / *uṇmai* | உண்மையை மூடி மறைத்தார்கள் | uṇmaiyai mūṭi maṟaittārkaḷ | They covered up the truth / They concealed the truth (by covering it) | A compound verb construction using *mūṭu* (to cover) + *maṟai* (to conceal) in sequence, intensifying the sense of deliberate suppression. The double verb construction is a natural Tamil pattern for expressing thoroughness of an action. Used in political and journalistic discourse. | [CORE] |
| உண்மை / *uṇmai* | உண்மையை அறி | uṇmaiyai aṟi | know the truth, find out the truth | Accusative construction with *aṟi* (to know, to come to know); used across registers to describe the epistemic act of arriving at knowledge of what is true. Common in investigative, legal, and philosophical contexts. | [CORE] |
| உண்மை / *uṇmai* | உண்மையை அறிய வேண்டும் | uṇmaiyai aṟiya vēṇṭum | One must know the truth / It is necessary to know the truth | A deontic construction using *aṟi* (to know) in the infinitive + *vēṇṭum* (must, it is necessary). Common in philosophical, investigative, and moral discourse expressing the obligation or necessity of attaining knowledge of truth. | [CORE] |
| உண்மை / *uṇmai* | உண்மையை உணர் | uṇmaiyai uṇar | realize the truth, come to feel/know the truth | Accusative construction with *uṇar* (to feel, to realize, to become aware of); distinct from *uṇmaiyai aṟi* in that *uṇar* implies a more experiential or affective process of coming to know, rather than purely cognitive acquisition. Common in literary and reflective writing. | [CORE] |
