| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| totoo | totoo | reduplicated form historically related to *toto* / emphatic native form | true; real; genuine; correct | *Totoo* is one of the most common Tagalog words for saying that a statement is true or that something is real rather than fake. It is used for factual claims, sincerity, and authenticity, as in *Totoo ba iyan?* or *totoong kaibigan*. | [CORE] |
| katotohanan | katotohanan | *ka-* + *totoo* + *-han*; “truth; reality; what is true” | truth; reality; fact | *Katotohanan* is a standard abstract noun used in formal and everyday contexts for “truth” or “the truth of the matter.” It appears in legal, philosophical, journalistic, and moral discourse, as in *ang katotohanan ng pangyayari*. | [CORE] |
| tama | tama | basic lexical form | correct; right; accurate | *Tama* is widely used to evaluate answers, judgments, actions, and statements as correct or right. It can refer to factual correctness, procedural correctness, or moral rightness depending on context, as in *Tama ang sagot mo* or *Hindi tama ang ginawa niya*. | [CORE] |
| wasto | wasto | basic lexical form | proper; correct; accurate; appropriate | *Wasto* is common in somewhat more formal usage for correctness, propriety, or proper form. It is often used for grammar, procedure, reasoning, and official conduct, as in *wastong gamit* or *wastong proseso*. | [CORE] |
| wastong | wastong | ligatured form of *wasto* before a following modifier | proper; correct; appropriate | *Wastong* is the attributive form commonly seen before nouns, especially in educational, bureaucratic, and public-information language. Typical phrases include *wastong baybay*, *wastong asal*, and *wastong impormasyon*. | [CORE] |
| tumpak | tumpak | basic lexical form | exact; accurate; precise; correct | *Tumpak* is used when emphasis falls on precision or exact match, especially in measurements, descriptions, and statements. It is common in expressions like *tumpak na sagot* or *tumpak ang sinabi mo*. | [CORE] |
| eksakto | eksakto | borrowing from Spanish/English “exact” | exact; exactly; precise | *Eksakto* is widely used in colloquial and semi-formal Tagalog for exactness or precise correspondence. It can evaluate numbers, timing, wording, or resemblance, as in *eksakto ang sukat* or *Eksakto!* in agreement. | [CORE] |
| tiyak | tiyak | basic lexical form | certain; definite; sure | *Tiyak* is used for certainty and definiteness, often in relation to whether something is established or reliable. It appears in statements like *Hindi pa tiyak ang resulta* or *tiyak na impormasyon*. | [CORE] |
| sigurado | sigurado | borrowing from Spanish *seguro* | sure; certain; guaranteed | *Sigurado* is very common in everyday speech for certainty, assurance, and reliability. It can refer to confidence in a claim, a dependable outcome, or a secure condition, as in *Sigurado ka ba?* or *siguradong panalo*. | [CORE] |
| mapagkakatiwalaan | mapagkakatiwalaan | *ma-pagka-tiwala-an*; “able to be trusted / worthy of trust” | trustworthy; reliable; dependable | This word is used for persons, institutions, sources, and testimony judged to be reliable or deserving of trust. It is common in discussions of character, media credibility, and social relations, as in *mapagkakatiwalaang saksi* or *mapagkakatiwalaang kaibigan*. | [CORE] |
| maaasahan | maaasahan | from *asa* with adjectival/abilitative morphology; “can be relied on” | reliable; dependable; trustworthy | *Maaasahan* is a common adjective for someone or something that can be counted on. It is used for people, services, information sources, and performance, as in *maaasahang empleyado* or *maaasahang datos*. | [CORE] |
| tapat | tapat | basic lexical form | honest; faithful; sincere; upright | *Tapat* evaluates a person’s character or speech as honest, loyal, or morally straight. It is used in interpersonal, moral, and political contexts, as in *tapat siyang tao* or *maging tapat sa pagsasalita*. | [CORE] |
| matapat | matapat | *ma-* + *tapat*; adjectival form | honest; faithful; sincere | *Matapat* is a very common descriptive form for a person, statement, or intention judged to be honest or sincere. It often appears in moral and relational contexts, such as *matapat na lingkod-bayan* or *matapat na pahayag*. | [CORE] |
| tunay | tunay | basic lexical form | real; genuine; true; authentic | *Tunay* is used for genuineness, authenticity, and real identity, often with nouns. It is common in phrases like *tunay na ginto*, *tunay na kaibigan*, and *tunay na dahilan*. | [CORE] |
| totohanan | totohanan | from *totoo* with nominal morphology; “realness / seriousness” | seriousness; for real; in earnest | *Totohanan* occurs in expressions like *sa totohanan* or in contrast with joking or pretending. It is less central than *katotohanan* and often concerns whether something is meant seriously or is actually real. | [MARGINAL] |
| pekeng | pekeng | ligatured form of *peke* | fake; counterfeit; bogus | *Pekeng* is the common attributive form used before nouns to mark something as not genuine. It is frequent in everyday and legal-commercial contexts, as in *pekeng dokumento* or *pekeng produkto*. | [CORE] |
| peke | peke | basic lexical form | fake; counterfeit; false | *Peke* is widely used for objects, documents, identities, and even emotions judged to be not genuine. It can also be used predicatively, as in *Peke iyan* or *peke ang pirma*. | [CORE] |
| huwad | huwad | basic lexical form | counterfeit; spurious; false; fake | *Huwad* is a more formal or literary term than *peke*, often used in legal, journalistic, and official contexts. It commonly modifies documents, testimony, identity, or art objects, as in *huwad na salapi* or *huwad na pagkakakilanlan*. | [CORE] |
| totoong | totoong | ligatured form of *totoo* | true; real; genuine | *Totoong* is the common attributive form before nouns and is very frequent in both speech and writing. It appears in phrases like *totoong balita*, *totoong pangalan*, and *totoong nangyari*. | [CORE] |
| akma | akma | basic lexical form | fitting; appropriate; suitable; apt | *Akma* is used when something matches, suits, or corresponds properly to a situation, standard, or model. It can evaluate wording, behavior, artistic form, or legal response, as in *akmang parusa* or *akmang paglalarawan*. | [CORE] |
| angkop | angkop | basic lexical form | appropriate; suitable; fitting | *Angkop* overlaps with *akma* and *wasto* but often emphasizes suitability to context or purpose. It is common in educational, moral, and formal registers, as in *angkop na kasuotan* or *angkop na pananalita*. | [CORE] |
