# F5 Opposition Table — Tamil (ta)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| உண்மை (uṇmai) | பொய் (poy) | uṇmai vs. poy | "truth, reality, fact" vs. "lie, falsehood, fake" | This is the primary lexical opposition in Tamil truth-domain vocabulary. உண்மை denotes correspondence to reality and factual truth, while பொய் denotes deliberate falsehood, lies, and inauthenticity. Both terms are extremely frequent across all registers and contexts. | lexical | [CORE] |
| உண்மையான (uṇmaiyāṉa) | பொய்யான (poyyāṉa) | uṇmaiyāṉa vs. poyyāṉa | "true, genuine, authentic" vs. "false, fake, untrue" | Adjectival forms of the primary opposition, used attributively to modify nouns. This opposition is equally productive and frequent as the nominal forms, appearing in all contexts where truth/falsity of objects, statements, or situations is evaluated. | lexical (derived) | [CORE] |
| மெய் (mey) | பொய் (poy) | mey vs. poy | "truth, reality, genuineness" vs. "lie, falsehood, fake" | மெய் is a more literary/classical term for truth emphasizing genuineness and essential reality, contrasting with பொய் for falsehood. This opposition is particularly common in philosophical, literary, and classical Tamil contexts, with மெய் carrying more metaphysical weight than உண்மை. | lexical | [CORE] |
| சரி (cari) | தப்பு (tappu) | cari vs. tappu | "correct, right, okay" vs. "wrong, mistake, error" | This opposition focuses on correctness versus error rather than truth versus falsehood. சரி evaluates factual correctness, appropriateness, and proper functioning, while தப்பு denotes mistakes, errors, and wrongness in both factual and moral senses. | lexical | [CORE] |
| சரியான (cariyāṉa) | தவறான (tavaṟāṉa) | cariyāṉa vs. tavaṟāṉa | "correct, right, proper" vs. "wrong, incorrect, mistaken" | Adjectival forms evaluating correctness versus incorrectness. தவறான is the formal/literary variant of தப்பான, both contrasting with சரியான to evaluate accuracy and appropriateness. | lexical (derived) | [CORE] |
| நியாயம் (niyāyam) | அநியாயம் (aṉiyāyam) | niyāyam vs. aṉiyāyam | "justice, fairness, rightness" vs. "injustice, unfairness, wrongness" | This opposition evaluates moral and legal fairness rather than factual truth. அநியாயம் is formed by adding the negative prefix அ- (a-) to நியாயம், creating a morphological negation that denotes injustice and unfairness. | morphological (negative prefix) | [CORE] |
| அசல் (acal) | நகல் (nakal) | acal vs. nakal | "original, genuine, authentic" vs. "copy, imitation, duplicate" | This opposition distinguishes genuine/original items from copies or imitations, particularly in commercial contexts. While both terms are neutral descriptors, அசல் carries positive connotations of authenticity while நகல் can imply inferior imitation depending on context. | lexical | [CORE] |
| உண்மை சொல்லு (uṇmai collu) | பொய் சொல்லு (poy collu) | uṇmai collu vs. poy collu | "tell the truth" vs. "tell a lie" | The primary constructional opposition for speech acts involving truth versus falsehood. Both constructions use the same verb சொல்லு (collu) "tell" with contrasting truth-domain nouns, representing the most frequent expressions for truth-telling versus lying. | constructional | [CORE] |
| உண்மை வெளிப்படு (uṇmai veḷippaṭu) | பொய் வெளிப்படு (poy veḷippaṭu) | uṇmai veḷippaṭu vs. poy veḷippaṭu | "truth comes out, is revealed" vs. "lie is exposed, falsehood is revealed" | Parallel constructions describing revelation or exposure, but with different pragmatic implications: உண்மை வெளிப்படு emphasizes truth emerging or being discovered, while பொய் வெளிப்படு emphasizes lies being exposed or unmasked, often with negative consequences for the deceiver. | constructional | [CORE] |
| உண்மையை ஒப்புக்கொள் (uṇmaiyai oppukkoḷ) | பொய்யை ஒப்புக்கொள் (poyyai oppukkoḷ) | uṇmaiyai oppukkoḷ vs. poyyai oppukkoḷ | "admit the truth" vs. "admit the lie/falsehood" | While both constructions use the same verb ஒப்புக்கொள் "admit, acknowledge," they have different pragmatic frequencies and implications. Admitting truth is morally positive, while admitting lies implies confession of wrongdoing. | constructional | [CORE] |
| உண்மையை மறை (uṇmaiyai maṟai) | உண்மையை வெளிப்படுத்து (uṇmaiyai veḷippaṭuttu) | uṇmaiyai maṟai vs. uṇmaiyai veḷippaṭuttu | "hide the truth" vs. "reveal the truth" | Constructional opposition between concealment and revelation of truth. மறை "hide, conceal" contrasts with வெளிப்படுத்து "reveal, bring to light" (causative form), representing opposite actions regarding truth disclosure. | constructional | [CORE] |
| இது உண்மை (itu uṇmai) | இது உண்மையில்லை (itu uṇmaiillai) | itu uṇmai vs. itu uṇmaiillai | "this is true" vs. "this is not true" | Basic predicative opposition between affirmation and negation of truth. The negative copula இல்லை (illai) creates the negation, representing the most fundamental constructional opposition in truth evaluation. | constructional (negation) | [CORE] |
| இது சரி (itu cari) | இது சரியில்லை (itu cariyillai) | itu cari vs. itu cariyillai | "this is correct" vs. "this is not correct" | Parallel to Opposition 12 but for correctness rather than truth. The same negative copula construction creates the opposition between affirmation and denial of correctness. | constructional (negation) | [CORE] |
| மெய்யான (meyyāṉa) | பொய்யான (poyyāṉa) | meyyāṉa vs. poyyāṉa | "true, real, genuine" vs. "false, fake, untrue" | Adjectival opposition parallel to உண்மையான vs. பொய்யான but with more literary/formal register. மெய்யான emphasizes genuineness and essential reality, particularly common in classical and philosophical contexts. | lexical (derived) | [CORE] |
| உண்மையாக (uṇmaiyāka) | பொய்யாக (poyyāka) | uṇmaiyāka vs. poyyāka | "truly, truthfully" vs. "falsely, untruthfully" | Adverbial opposition describing manner of action. Both use the same adverbializing suffix -ஆக (-āka) with contrasting truth-domain bases, representing the standard way to express truthful versus deceptive manner. | lexical (derived) | [CORE] |
| நேர்மை (nērmai) | கள்ளம் (kaḷḷam) | nērmai vs. kaḷḷam | "honesty, integrity, uprightness" vs. "deceit, fraud, dishonesty" | This opposition evaluates character and moral conduct rather than truth of statements. நேர்மை denotes moral straightforwardness and integrity, while கள்ளம் denotes deceitfulness and fraudulent character. | lexical | [CORE] |
| நேர்மையான (nērmaiyāṉa) | கபடமான (kapaṭamāṉa) | nērmaiyāṉa vs. kapaṭamāṉa | "honest, upright, straightforward" vs. "hypocritical, deceitful, duplicitous" | Adjectival opposition for character evaluation. நேர்மையான describes honest persons and conduct, while கபடமான describes hypocritical or duplicitous behavior, emphasizing pretense and hidden dishonesty. | lexical (derived) | [CORE] |
| நம்பகமான (nampakamāṉa) | நம்பமுடியாத (nampammuṭiyāta) | nampakamāṉa vs. nampammuṭiyāta | "trustworthy, reliable, credible" vs. "untrustworthy, unreliable" | Opposition evaluating trustworthiness and reliability. நம்பகமான is the positive adjectival form, while நம்பமுடியாத uses negative potential morphology (முடியாத "cannot") to express untrustworthiness. | morphological (negative potential) | [CORE] |
| சரி செய் (cari cey) | தப்பு செய் (tappu cey) | cari cey vs. tappu cey | "correct, fix, repair" vs. "make a mistake, do wrong" | Constructional opposition using the same light verb செய் (cey) "do, make" with contrasting bases. சரி செய் means to correct or fix errors, while தப்பு செய் means to commit errors or do wrong. | constructional | [CORE] |
| மெய் உணர்வு (mey uṇarvu) | பொய் உணர்வு (poy uṇarvu) | mey uṇarvu vs. poy uṇarvu | "true awareness, genuine consciousness, enlightenment" vs. "false perception, illusion, delusion" | Opposition in epistemological/philosophical domain. மெய் உணர்வு denotes genuine awareness or spiritual enlightenment, while பொய் உணர்வு denotes illusory or mistaken perception, particularly in philosophical contexts discussing reality versus appearance. | lexical (compound) | [CORE] |
| மெய் அறிவு (mey aṟivu) | பொய் அறிவு (poy aṟivu) | mey aṟivu vs. poy aṟivu | "true knowledge, genuine understanding" vs. "false knowledge, erroneous belief" | Epistemological opposition distinguishing genuine knowledge from false belief. Both compounds use அறிவு "knowledge" with contrasting truth-domain modifiers, common in philosophical and educational discourse about knowledge versus opinion. | lexical (compound) | [CORE] |
| மெய்யன்பு (meyyaṉpu) | பொய் நேசம் (poy nēcam) | meyyaṉpu vs. poy nēcam | "true love, genuine affection" vs. "false love, insincere affection" | Opposition evaluating sincerity of emotions and affections. மெய்யன்பு denotes genuine love, while பொய் நேசம் denotes insincere or pretended affection, common in discussions of authentic versus deceptive relationships. | lexical (compound) | [CORE] |
| மெய் நட்பு (mey naṭpu) | பொய் நட்பு (poy naṭpu) | mey naṭpu vs. poy naṭpu | "true friendship, genuine friendship" vs. "false friendship, fake friendship" | Parallel opposition for friendship rather than love. Both compounds use நட்பு "friendship" with contrasting modifiers, evaluating sincerity and genuineness of interpersonal bonds. | lexical (compound) | [CORE] |
| உண்மைத் தகவல் (uṇmait takaval) | பொய்த் தகவல் (poyt takaval) | uṇmait takaval vs. poyt takaval | "true information, factual information" vs. "false information, misinformation" | Opposition in information/media domain. Both compounds use தகவல் "information" with contrasting truth-domain modifiers, increasingly common in discussions of media credibility and misinformation. | lexical (compound) | [CORE] |
| உண்மை செய்தி (uṇmai ceyti) | பொய் செய்தி (poy ceyti) | uṇmai ceyti vs. poy ceyti | "true news" vs. "false news, fake news" | Parallel opposition for news/media content. Both use செய்தி "news" with contrasting modifiers, particularly prominent in contemporary discussions of fake news and media literacy. | lexical (compound) | [CORE] |
| உண்மைக் கதை (uṇmaik katai) | பொய்க் கதை (poyk katai) | uṇmaik katai vs. poyk katai | "true story, factual account" vs. "false story, fabricated narrative" | Opposition for narrative truth versus fiction. Both compounds use கதை "story" with contrasting modifiers, used to distinguish factual accounts from fabrications or lies. | lexical (compound) | [CORE] |
| உண்மை நிலை (uṇmai nilai) | பொய் நிலை (poy nilai) | uṇmai nilai vs. poy nilai | "true state of affairs, actual situation" vs. "false state, deceptive condition" | Opposition describing actual versus deceptive states of affairs. Both compounds use நிலை "state, condition" with contrasting modifiers, common in analytical and investigative contexts. | lexical (compound) | [CORE] |
| உண்மைப்படுத்து (uṇmaippaṭuttu) | பொய்யாக்கு (poyyākku) | uṇmaippaṭuttu vs. poyyākku | "verify, authenticate, make true" vs. "falsify, make false" | Causative opposition with asymmetric morphology. உண்மைப்படுத்து uses the -படுத்து causative suffix for verification, while பொய்யாக்கு uses the -ஆக்கு causative for falsification, showing that the two causative strategies are not equally productive across the opposition. | morphological (causative, asymmetric) | [CORE] for உண்மைப்படுத்து, [MARGINAL] for பொய்யாக்கு |
| மெய்ப்படுத்து (meyppaṭuttu) | (no clear opposite attested) | meyppaṭuttu | "prove, verify, authenticate" | மெய்ப்படுத்து is a common causative verb for proving or verifying, but there is no equally common or productive causative form for "making false" using மெய் as the base. This represents an asymmetry in the causative system. | morphological (causative, asymmetric) | [CORE] for மெய்ப்படுத்து, no clear opposite |
