| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| tosi | N/A (Latin script) | true, real (adjective/adverb; cognate with Estonian *tõsi*) | true, real, genuine, really | Used to predicate truth of statements and to intensify claims about reality. Appears in both propositional contexts (*se on tosi* — "it is true") and as an adverbial intensifier (*tosi hyvä* — "really good"). Functions both as an adjective (*tosi asia* — a true/real matter) and as an intensifying adverb in colloquial speech. Participates in productive derivation: *totuus* (truth), *todistaa* (to prove/witness), *toteuttaa* (to realize/implement). | [CORE] |
| totuus | N/A | truth (derived from *tosi* + nominalizing suffix *-uus*) | truth, the truth, truthfulness | The standard nominal form for truth as an abstract property or as a specific true state of affairs. Used in philosophical, legal, moral, and everyday discourse (*kertoa totuus* — "to tell the truth"). Appears in compounds such as *totuudenmukaisuus* (truthfulness, accuracy) and serves as a productive base for compounds such as *totuudenmukainen*. | [CORE] |
| aito | N/A | genuine, authentic (adjective; etymology debated, possibly from older Germanic borrowing) | genuine, authentic, real, original | Applied to objects, persons, emotions, documents, and cultural products to assert that they are not imitations or counterfeits (*aito nahka* — "genuine leather"; *aito suomalainen* — "a true/authentic Finn"; *aito allekirjoitus* — "genuine signature"; *aito tunne* — "genuine feeling"). Contrasts with *väärennös* (forgery) and *jäljitelmä* (imitation). Productive in derivation: *aitous* (authenticity), *aitoutua* (to become authentic). | [CORE] |
| aitous | N/A | genuineness, authenticity (from *aito* + *-uus* / *-us*) | authenticity, genuineness | Abstract noun denoting the quality of being genuine or authentic. Used in aesthetic, philosophical, and legal contexts when evaluating whether something is what it claims to be. Frequently appears in discussions of art authentication and personal identity. Closely related to *alkuperäisyys* (originality, provenance). | [CORE] |
| oikea | N/A | right, correct (adjective; also means "right" as in direction) | right, correct, proper, true, genuine, real | Used to evaluate correctness of answers, actions, and identities (*oikea vastaus* — "the correct answer"; *oikea henkilö* — "the right person"; *oikea ihminen* — "the right person"). Also used to mean "genuine" or "real" in contrast to imitation (*oikea nahka* — "real leather"). Overlaps semantically with *tosi* in some contexts but emphasizes normative or identificatory rightness rather than propositional truth. Derives *oikeellisuus* (correctness), *oikeus* (right, justice, court). | [CORE] |
| oikeellisuus | N/A | correctness, accuracy (derived from *oikea* + *-llinen* + *-uus* / *-llisuus*) | correctness, accuracy, propriety | Used in formal, administrative, linguistic, and legal contexts to evaluate whether something conforms to a standard or norm (*kielellinen oikeellisuus* — "linguistic correctness"). More formal and abstract than *oikea* itself. Distinct from *totuus* in that it emphasizes conformity to a rule rather than correspondence to fact. Overlaps with *pätevyys* in formal evaluation but emphasizes applicability and qualification. | [CORE] |
| todellinen | N/A | real, actual (derived from *tosi/tode-* + *-llinen*) | real, actual, genuine, true | Asserts that something exists or is the case in reality, as opposed to being apparent, imagined, or nominal (*todellinen syy* — "the real reason"; *todellinen elämä* — "real life"). Contrasts with *näennäinen* (apparent, seeming) and *kuvitteellinen* (imaginary). Derives *todellisuus* (reality). | [CORE] |
| todellisuus | N/A | reality (from *todellinen* + *-uus*) | reality, actuality | The standard term for reality as a domain against which claims or representations are evaluated. Used in philosophical, psychological, and everyday contexts (*todellisuudessa* — "in reality"). Appears in compounds and collocations evaluating correspondence between representation and fact. | [CORE] |
| luotettava | N/A | trustworthy, reliable (passive present participle of *luottaa* — "to trust"; from *luottaa* + *-ttava*, participial suffix) | reliable, trustworthy, dependable, credible | Applied to persons, sources, instruments, and institutions to assert that they can be trusted or depended upon to perform consistently or to report accurately (*luotettava lähde* — "a reliable source"; *luotettava henkilö* — "a trustworthy person"). Derives *luotettavuus* (reliability, trustworthiness). Contrasts with *epäluotettava* (unreliable). | [CORE] |
