# CLCA Protocol v3.2 — F1 VOCABULARY TABLE
# Language: Turkish (tr)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| doğru | N/A (Latin script) | straight, direct | true, correct, right, accurate | Used to evaluate statements as factually accurate or correct, and to describe conduct or actions as morally right or proper. Also functions as a postposition meaning "toward" and as an adverb meaning "directly," but the evaluative sense is central in epistemic and moral contexts. | [CORE] |
| yanlış | N/A (Latin script) | from root *yan-* (side, beside) + derivational suffix | wrong, false, incorrect, mistaken | Applied to statements that are factually inaccurate or to actions that are improper or morally wrong. Functions both as adjective and noun, commonly used in everyday speech and formal contexts alike. | [CORE] |
| gerçek | N/A (Latin script) | from Persian *gercek* | real, true, genuine, actual | Evaluates entities, statements, or representations with respect to genuineness and reality, distinguishing what is authentic from what is fake or illusory. Used both as noun ("truth," "reality") and adjective ("real," "genuine"). | [CORE] |
| sahih | N/A (Latin script) | from Arabic *ṣaḥīḥ* (sound, authentic) | authentic, genuine, sound, valid | Primarily used in religious and legal contexts to evaluate the authenticity of texts, traditions, or documents. Common in Islamic scholarship for classifying hadith and in legal discourse for valid documents. | [CORE] |
| hakikat | N/A (Latin script) | from Arabic *ḥaqīqa* (truth, reality) | truth, reality, essence, true nature | Refers to fundamental truth or the essential nature of something, often used in philosophical, religious, and literary contexts. Carries a sense of deeper or ultimate truth beyond surface appearances. | [CORE] |
| hak | N/A (Latin script) | from Arabic *ḥaqq* (right, truth, due) | right, truth, just, due | Evaluates both moral rightness and legal entitlement, also used to mean "truth" in elevated or religious discourse. Functions as noun in expressions like "hak etmek" (to deserve) and in legal/moral contexts. | [CORE] |
| düzgün | N/A (Latin script) | from *düz* (flat, smooth) + *-gün* (adjectival suffix) | proper, correct, orderly, decent | Used to evaluate conduct, appearance, or execution as proper, orderly, or meeting standards. Applied to both moral conduct and technical correctness in various domains. | [CORE] |
| sahte | N/A (Latin script) | from Persian *saxta* (fabricated) | fake, false, counterfeit, forged | Evaluates objects, documents, or representations as inauthentic or deliberately falsified. Commonly used for counterfeit goods, forged documents, and insincere behavior. | [CORE] |
| asıl | N/A (Latin script) | from Arabic *aṣl* (origin, root, original) | original, real, actual, essential | Distinguishes what is original or fundamental from what is derivative or secondary. Used to identify the true or primary instance of something versus copies or imitations. | [CORE] |
| güvenilir | N/A (Latin script) | *güven* (trust) + *-ilir* (passive potential suffix) | reliable, trustworthy, dependable | Evaluates persons, sources, or objects with respect to reliability and trustworthiness. Commonly used for assessing credibility of information sources and dependability of people or systems. | [CORE] |
| kesin | N/A (Latin script) | from Arabic *qaṭʿ* (cutting, decisive) | certain, definite, absolute, precise | Used to evaluate statements or knowledge as certain, definite, or beyond doubt. Also describes boundaries or decisions as firm and final. | [CORE] |
| mutlak | N/A (Latin script) | from Arabic *muṭlaq* (absolute, unrestricted) | absolute, unconditional, total | Evaluates truth, power, or properties as absolute and unconditional, without qualification or restriction. Common in philosophical and formal discourse. | [CORE] |
| yanıltıcı | N/A (Latin script) | *yanılt-* (causative of "to err") + *-ıcı* (agentive suffix) | misleading, deceptive, delusive | Evaluates statements, appearances, or representations as likely to cause error or false belief. Used for information or presentations that create false impressions. | [CORE] |
| isabetli | N/A (Latin script) | from Arabic *iṣāba* (hitting the mark) + Turkish *-li* (having) | accurate, apt, well-aimed, correct | Evaluates judgments, assessments, or actions as hitting the mark or being appropriate to the situation. Implies both accuracy and appropriateness. | [CORE] |
| tutarlı | N/A (Latin script) | *tut-* (to hold) + *-ar* (aorist) + *-lı* (having) | consistent, coherent, logical | Evaluates statements, arguments, or behavior as internally consistent and coherent. Used for logical consistency and reliability of conduct over time. | [CORE] |
| geçerli | N/A (Latin script) | *geç-* (to pass) + *-er* (aorist) + *-li* (having) | valid, effective, current | Evaluates documents, arguments, or rules as valid and in force. Common in legal and formal contexts for validity of documents, tickets, or logical arguments. | [CORE] |
