# F3 — SEMANTIC GROUPS TABLE
# Language: Hebrew (he)

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Factual Correspondence Terms | This group contains expressions used to evaluate whether statements, claims, or representations correspond to actual states of affairs. These terms are primarily used in contexts of verification, correction, and factual assessment. They focus on the relationship between what is said or represented and what is the case, rather than on moral qualities or personal sincerity. | אמת (emet) "truth" - used for factual accuracy; נכון (nakhon) "correct, right" - standard confirmation of factual correctness; שקר (sheker) "falsehood, lie" - indicates non-correspondence with facts; ברור (barur) "clear, obvious" - indicates manifest factual clarity; מוכח (mukhaḥ) "proven, demonstrated" - indicates established factual status; מדויק (meduyak) "precise, exact" - emphasizes fine-grained factual accuracy; זה נכון (ze nakhon) "that's correct"; לא נכון (lo nakhon) "not correct"; זה שקר (ze sheker) "this is a lie"; עובדה מוכחת (uvda mukhaḥat) "proven fact" | צודק (tsodek) "right, correct" - overlaps with this group in factual contexts but also belongs to Group 3 (moral/justice domain); אמיתי (amiti) "true, genuine" - overlaps with Group 2 (authenticity) but also used for factual truth | ברור (barur) also appears in Group 9 (epistemic certainty) and Group 11 (discourse management); שקר (sheker) also appears in Group 4 (dishonesty) with both factual and moral dimensions |
| GROUP 2: Authenticity and Genuineness Terms | This group contains expressions used to distinguish genuine, original, or real entities from fake, counterfeit, or imitation ones. These terms are commonly applied to objects, artworks, materials, and personal identity, focusing on whether something is what it purports to be rather than on propositional truth. The contrast is typically between authentic/real versus fake/artificial. | אמיתי (amiti) "true, genuine, real" - primary term for genuineness; אותנטי (otenti) "authentic" - emphasizes originality and genuineness; מזויף (mezuyaf) "forged, fake" - indicates deliberate falsification; מציאותי (metsi'uti) "real, realistic" - indicates reality versus imagination; דומה (dome) "similar, resembling" - used in comparisons of genuineness; זה אמיתי (ze amiti) "this is real"; לא אמיתי (lo amiti) "not real, fake"; זה מזויף (ze mezuyaf) "this is fake"; כסף מזויף (kesef mezuyaf) "counterfeit money"; סיפור אמיתי (sipur amiti) "true story" | אמת (emet) "truth" - primarily in Group 1 but appears in constructions emphasizing genuineness (e.g., אמת לאמיתה "absolute truth"); תעודה מזויפת (te'uda mezuyefet) "forged document" - involves both factual falsity and material forgery | דומה (dome) is marginal to this group, primarily a comparison term used in authenticity contexts but not itself an authenticity term; מציאותי (metsi'uti) also appears in Group 10 (practicality) with different aspects of "real" |
| GROUP 3: Reliability and Trustworthiness Terms | This group contains expressions used to assess whether persons, sources, or information can be relied upon or trusted. These terms focus on dependability and credibility rather than immediate factual accuracy, often involving judgments about character, consistency, or institutional authority. They are common in contexts of testimony, information evaluation, and personal relationships. | אמין (amin) "reliable, trustworthy"; נאמן (ne'eman) "faithful, loyal, reliable"; מהימן (meheyman) "reliable, credible"; אמינות (aminut) "reliability, credibility"; נאמנות (ne'emanut) "faithfulness, loyalty"; מהימנות (meheymanut) "reliability, credibility"; מקור אמין (makor amin) "reliable source"; עד מהימן (ed meheyman) "credible witness"; אדם אמין (adam amin) "reliable person"; נאמן לדבריו (ne'eman lidvarav) "true to one's word" | אמת (emet) in constructions like להעיד עדות אמת (leha'id edut emet) "to give true testimony" - involves both factual truth and reliability; נאמן למטרה (ne'eman lamatara) "faithful to the cause" - overlaps with loyalty/commitment contexts | Terms from root א-מ-נ appear across Groups 1, 3, 6, and 11, showing semantic diversification within a single root family |
| GROUP 4: Honesty and Sincerity Terms | This group contains expressions used to evaluate the sincerity and honesty of speakers or actors, focusing on whether they are being truthful in their intentions and communications rather than on the factual accuracy of their statements. These terms emphasize the moral quality of straightforwardness and the absence of deception in personal conduct and speech. | כנה (kene) "honest, sincere"; יושר (yosher) "honesty, integrity, uprightness"; שקרן (shakran) "liar, habitual liar"; שקרנות (shakranut) "lying, mendacity"; להיות כנה (lihyot kene) "to be honest"; בכנות (bikhnut) "honestly, in honesty"; ביושר (beyosher) "honestly, with integrity"; לנהוג ביושר (linhog beyosher) "to act with integrity"; תשובה כנה (tshuva kena) "honest answer" | שקר (sheker) "falsehood, lie" - primarily in Group 1 but also used for moral condemnation of dishonesty; לשקר (leshaker) "to lie" - involves both factual falsity and moral dishonesty; דובר שקרים (dover shkarim) "speaker of lies" - character judgment overlapping with moral assessment | Several terms show movement from literal truth-evaluation to discourse-marking functions (Group 11), including להיות כנה (lihyot kene) used as discourse marker |
| GROUP 5: Justice and Moral Rightness Terms | This group contains expressions used to evaluate whether actions, claims, or situations are morally right, just, or justified. These terms combine assessments of correctness with moral and ethical dimensions, often appearing in contexts of dispute resolution, moral argumentation, and social justice. They indicate not just factual correctness but moral legitimacy or fairness. | צדק (tsedek) "justice, righteousness"; צודק (tsodek) "right, just, correct"; צדיק (tsadik) "righteous person"; צדקה (tsedaka) "charity, righteousness"; מוצדק (mutsдak) "justified, warranted"; הצדקה (hatsдaka) "justification"; צדק חברתי (tsedek ḥevrati) "social justice"; אתה צודק (ata tsodek) "you're right"; זה לא מוצדק (ze lo mutsдak) "this is not justified"; לעשות צדק (la'asot tsedek) "to do justice" | צודק (tsodek) - also used in purely factual contexts (Group 1) without moral connotation; להצדיק (lehatsдik) "to justify" - can be purely logical (Group 7) or moral | Gradient boundaries between factual and moral domains (Groups 1 and 5); מוצדק (mutsдak) has dual moral/logical application appearing also in Group 7 |
| GROUP 6: Belief and Faith Terms | This group contains expressions related to believing, trusting, or having faith in claims, persons, or doctrines. These terms focus on the epistemic or devotional stance of the believer rather than on the truth-value of what is believed. They are common in religious discourse but also appear in everyday contexts of accepting or rejecting claims. | אמונה (emuna) "faith, belief, trust"; להאמין (leha'amin) "to believe, to trust"; מאמין (ma'amin) "believer"; אמן (amen) "amen, so be it"; אמונה עיוורת (emuna iveret) "blind faith"; אני מאמין ש... (ani ma'amin she...) "I believe that..."; קשה להאמין (kashe leha'amin) "hard to believe"; להאמין או לא להאמין (leha'amin o lo leha'amin) "believe it or not"; לאבד את האמונה (le'abed et ha'emuna) "to lose faith" | אמונה תמימה (emuna temima) "simple faith" - can be positive (pure faith) or negative (naivety); אמונת חכמים (emunat ḥakhamim) "trust in sages" - combines belief with institutional authority (Group 3) | Religious contexts favor this group; terms from root א-מ-נ appear across Groups 1, 3, 6, and 11 |
| GROUP 7: Validity and Logical Soundness Terms | This group contains expressions used to evaluate the validity of arguments, the soundness of reasoning, or the legal/formal status of documents and claims. These terms are primarily used in logical, legal, and administrative contexts to assess whether something meets formal criteria or follows proper procedures, distinct from both factual truth and moral rightness. | תקף (takef) "valid, in force"; טיעון תקף (ti'un takef) "valid argument"; זה לא תקף (ze lo takef) "this is not valid"; תקף עד... (takef ad...) "valid until..."; מוצדק (mutsдak) "justified, warranted" (in logical contexts); הצדקה (hatsдaka) "justification" (in logical contexts) | מוצדק (mutsдak) - also appears in Group 5 (moral justification); צודק בטענתו (tsodek beta'anato) "right in one's claim" - can be logical or moral | Legal contexts favor this group; מוצדק (mutsдak) shows dual moral/logical application |
| GROUP 8: Precision and Exactness Terms | This group contains expressions emphasizing fine-grained accuracy, exactness, and attention to detail. These terms are used when the focus is on the degree of correspondence or the level of specificity rather than on simple truth or falsity. They are common in technical, scientific, and careful descriptive contexts. | מדויק (meduyak) "precise, exact"; יותר מדויק (yoter meduyak) "more precise"; זה לא מדויק (ze lo meduyak) "this is not precise"; להיות מדויק (lihyot meduyak) "to be precise"; יותר נכון (yoter nakhon) "more correct" | נכון (nakhon) - primarily in Group 1 but appears in comparative constructions emphasizing precision; אמת מדעית (emet mada'it) "scientific truth" - involves both factual truth and precision | Scientific contexts favor this group; boundary with Group 1 is gradient regarding degree versus simple truth |
| GROUP 9: Certainty and Epistemic Confidence Terms | This group contains expressions indicating the degree of certainty, confidence, or definiteness with which something is known or asserted. These terms focus on the epistemic status of knowledge claims rather than on their truth-value, marking how sure the speaker is about what they claim. | ודאי (vadai) "certain, sure"; בוודאי (bevadai) "certainly, surely"; זה ודאי (ze vadai) "this is certain"; לא ודאי (lo vadai) "not certain, uncertain"; ברור (barur) "clear, obvious" (in epistemic contexts); ברור לחלוטין (barur leḥalutin) "completely clear" | ברור (barur) - also in Group 1 (factual clarity) but used here for epistemic certainty; מוכח (mukhaḥ) - indicates both factual establishment (Group 1) and epistemic certainty | ברור (barur) shows gradient membership across Groups 1, 9, and 11 |
