| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| **1. ATTRIBUTION** — Predicative: NP/NOUN/ADJECTIVE + copula *da* (3sg of *izan*) | *Egia da* | N/A | "It is true." | Ubiquitous in everyday speech as a bare propositional evaluation. No register restriction; functions as a complete utterance. Standard predicative pattern for inherent or definitional properties; used across all registers. No restriction on nominal or adjectival predicates in this domain. | [CORE] |
| **1. ATTRIBUTION** — Predicative: NP/NOUN/ADJECTIVE + copula *da* (3sg of *izan*) | *Egia da hori.* | Egia da hori. | "That is true." | Standard copular attribution; used across all registers for asserting truth or genuineness. No structural difference between nominal and adjectival bases in this pattern. | [CORE] |
| **1. ATTRIBUTION** — Predicative: NP/NOUN/ADJECTIVE + copula *da* (3sg of *izan*) | *Gezurra da* | N/A | "It is a lie / It is false." | Equally common as the negative pole of truth attribution. Functions as a complete utterance in conversational and formal registers alike. | [CORE] |
| **1. ATTRIBUTION** — Predicate-adjectival copular | *Egiazkoa da agiri hori.* | Egiazkoa da agiri hori. | "That document is genuine." | Equally standard; adjectival bases (*egiazkoa*, *benetakoa*, *sinesgarria*, *zuzena*) participate without restriction. Copula *da* is obligatory throughout. | [CORE] |
| **1. ATTRIBUTION** — Predicative: ADJECTIVE + *da* | *Zilegi da* | N/A | "It is lawful / It is permissible." | Frequent in legal, ethical, and administrative discourse; the *da* copula is the unmarked choice for deontic and truth-domain adjectives. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Syntactic: *ez* + copula | *Ez da egia* | N/A | "It is not true." | Standard negation of propositional truth; preverbal *ez* is obligatory and not subject to variation in this function. Applies uniformly across the truth-domain vocabulary without restriction. Standard in all registers. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Syntactic: *ez* + copula | *Ez da egia hori.* | Ez da egia hori. | "That is not true." | Standard negation pattern for all copular attributions; *ez* immediately precedes the finite verb *da*. Applies uniformly across the truth-domain vocabulary without restriction. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Syntactic: *ez* + predicate complex | *Ez da sinesgarria.* | Ez da sinesgarria. | "It is not credible." | Same structural pattern; equally idiomatic. No variation in negation strategy is attested within this construction type. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — Postposed-predicate word order | *Ziurra ez da* | N/A | "It is not certain." (also: *ziurra ez* as reduced form) | The postposed-predicate word order (*ziurra ez da*) is attested but less frequent than the canonical *ez da ziurra*; the reduced form *ziurra ez* is further restricted to informal or elliptical contexts. | [MARGINAL] |
| **2. NEGATIVE ATTRIBUTION** — Lexical: *ez-* + ADJECTIVE | *Ez-fidagarria da* | N/A | "It is unreliable / It is not trustworthy." | Semi-lexicalized forms; not freely productive with all adjectives. Attested forms (*ez-fidagarria*, *ez-sinesgarria*, *ez-zilegia*) appear to be restricted to a closed or near-closed set. | [MARGINAL] |
| **3. ADNOMINAL MODIFICATION** — *-zko* relational adjective | *Egiazko lekukotasuna* | Egiazko lekukotasuna | "True / genuine testimony." | Standard in formal, legal, and written registers; the *-zko* relational adjective is the expected adnominal modifier in these domains. Pre-nominal attributive; modifier appears in indefinite form (article *-a* dropped). Attested for *egiazko*, *gezurrezko*, *baliozko*, *jatorrizko*, *itxurazko*. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — *-zko* relational adjective | *Egiazko informazioa* | N/A | "True information / Genuine information." | The obligatory pattern for prenominal modification in this domain; the indefinite attributive form (*-zko*, *-ko*, *-tako*, *-ezko*) is required before a head noun. Highly frequent across all registers. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — *-zko* relational adjective | *Gezurrezko agiria* | N/A | "A false / forged document." | Common in legal and administrative contexts; *gezurrezko* is the regular adnominal form of *gezur*. No attested variation in the modifier-precedes-head order. | [CORE] |
