# CLCA Protocol v3.1 — F6 Naturalness Table
# Language: Quechua (qu)

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1 | chiqanyay | chiqanyay | [MARGINAL] | Less common than causative **chiqanchay**; emphasizes natural emergence of truth rather than active verification |
| 2 | llulla kasqan rikurin | llulla kasqan rikurin | [CORE] | Standard expression using nominalized **llulla kasqan** + appearance verb **rikuriy** |
| 2 (alt) | llulla kaq sutichakun | llulla kaq sutichakun | [CORE] | Alternative using substantivizer **llulla kaq** + **sutichakuy** "to become clear" |
| 3 | allinyay | allinyay | [CORE] | Highly productive and frequent; applies across physical, moral, and functional domains |
| 4 | mana allinman tukuy | mana allinman tukuy | [CORE] | Standard periphrastic construction with directional + **tukuy** "to become/turn into" |
| 4 (alt1) | wañuy | wañuy | [CORE] | Used for deterioration of organic matter |
| 4 (alt2) | ismuy | ismuy | [CORE] | Specific to organic decay |
| 5 | pantay | pantay | [CORE] | Base verb already has inchoative semantics |
| 6 | hunt'achikuy | hunt'achikuy | [CORE] | Causative-reflexive emphasizing process of completion |
| 6 (alt) | hunt'ay | hunt'ay | [CORE] | More common for physical filling but extends to abstract completion |
| 7 | ch'usaqyay | ch'usaqyay | [CORE] | More common for passive emptying |
| 7 (alt) | ch'usaqchakuy | ch'usaqchakuy | [CORE] | Causative-reflexive suggests more active or agentive emptying |
| 8 | chiqanchay | chiqanchay | [CORE] | Highly productive causative; common in legal, administrative, and investigative contexts |
| 9 | llullachiy | llullachiy | [CORE] | Two related meanings: causing someone to lie or deceiving someone |
| 10 | allinchay | allinchay | [CORE] | Extremely productive and frequent; one of most common verbs in everyday speech |
| 11 | waqllichiy | waqllichiy | [CORE] | Separate lexical item, not derived from **mana allin** |
| 11 (alt1) | wañuchiy | wañuchiy | [CORE] | Causative of **wañuy** "to die" |
| 11 (alt2) | ismuchiy | ismuchiy | [CORE] | Causative of **ismuy** "to rot" |
| 12 | pantachiy | pantachiy | [CORE] | Common in contexts of giving wrong directions or providing false information |
| 13 | chiqanchakuy | chiqanchakuy | [CORE] | Emphasizes personal involvement or benefit in verification |
| 14 | llullachakuy | llullachakuy | [CORE] | Used in moral and philosophical discourse for psychological self-deception |
| 15 | allinchakuy | allinchakuy | [CORE] | Very common in contexts of self-improvement, preparation, and moral reform |
| 16 | chiqanpi qhipakuy | chiqanpi qhipakuy | [MARGINAL] | Periphrastic construction; no simple verb exists |
| 16 (alt) | chiqan kayta qatiy | chiqan kayta qatiy | [MARGINAL] | Periphrastic using nominalized state + "continue" |
| 17 | allin kayta qatiy | allin kayta qatiy | [MARGINAL] | Periphrastic construction; no simple verb exists |
| 17 (alt) | allinlla kay | allinlla kay | [CORE] | Limitative **-lla** suggests stability or unchanging state |
| 18 | ama pantaychu | ama pantaychu | [CORE] | Standard prohibitive; most direct and common expression |
| 18 (alt) | pantaymanta qhispiy | pantaymanta qhispiy | [CORE] | Used when someone narrowly avoids or is saved from error |
| 19 | ama llullakychu | ama llullakychu | [CORE] | Standard prohibitive for preventing one's own lying |
| 19 (alt1) | llullamanta qhispiy | llullamanta qhispiy | [CORE] | For avoiding being deceived |
| 19 (alt2) | ama llullachiwankichu | ama llullachiwankichu | [CORE] | Direct address preventing someone from deceiving the speaker |
| 20 | allinyashan | allinyashan | [CORE] | Progressive **-sha-** highly productive with all dynamic verbs |
| 20 (alt1) | chiqanyashan | chiqanyashan | [MARGINAL] | Less common than **allinyashan** |
| 20 (alt2) | allinchaykashan | allinchaykashan | [CORE] | Double progressive marking for emphasis on ongoing process |
| 21 | allinyapun | allinyapun | [CORE] | Perfective **-pu-** extremely common with inchoative and causative verbs |
| 21 (alt1) | chiqanyapun | chiqanyapun | [CORE] | Adds sense of completion or definitiveness |
| 21 (alt2) | allinchapun | allinchapun | [CORE] | Very frequent with causative verbs |
| 22 | allinchapayay | allinchapayay | [MARGINAL] | Repetitive **-paya-** less common than progressive or perfective marking |
| 23 | chiqanchanakuy | chiqanchanakuy | [CORE] | Reciprocal **-naku-** productive with transitive verbs including causatives |
| 24 | llullachinakuy | llullachinakuy | [CORE] | Describes mutual deception or situation where multiple parties lie to each other |
| 25 | wiñaypaq chiqan | wiñaypaq chiqan | [CORE] | Uses temporal modification for stability concept |
| 25 (alt) | mana tikrakuq chiqan | mana tikrakuq chiqan | [CORE] | Uses negative participle for unchanging quality |
| 26 | tikrakuq chiqan | tikrakuq chiqan | [UNCERTAIN] | Not attested in materials but structurally possible; concept not commonly expressed |
