| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| 真 | zhēn | true, genuine (single morpheme; functions as root in many compounds) | true, real, genuine, authentic | Used across everyday, philosophical, and legal registers to assert that something corresponds to fact or is not counterfeit. Appears as a free morpheme ("这是真的") and as a productive bound root in compounds such as 真实、真相、真理. Contrasts with 假 (jiǎ). | [CORE] |
| 假 | jiǎ | false, fake, borrowed (single morpheme) | false, fake, counterfeit, artificial | Directly contrasts with 真 in evaluations of authenticity, sincerity, and factual accuracy. Used to describe forgeries, lies, and inauthentic objects or claims in commercial, legal, and everyday contexts. Productive in compounds such as 假冒 and 假话. Also participates in compounds such as 假设. | [CORE] |
| 真实 | zhēnshí | true + solid/real | truthful, authentic, real, factual | Describes statements, accounts, or depictions that accurately reflect reality. Frequently used in journalism, legal testimony, and literary and aesthetic criticism to evaluate fidelity to fact (e.g., 真实报道 — truthful reporting; 真实感, a sense of realism). More explicitly evaluative than 真 alone. | [CORE] |
| 虚假 | xūjiǎ | empty/hollow + false | false, fictitious, fraudulent, deceptive | Used in formal and legal registers to characterize statements, claims, advertising, or representations that are deliberately misleading or without factual basis. Common in legal and regulatory language (e.g., 虚假广告, false advertising). Carries a stronger negative connotation than 假 alone. | [CORE] |
| 正确 | zhèngquè | upright/correct + certain/precise | correct, right, accurate | Evaluates statements, answers, methods, or conduct as conforming to a standard or being free from error. Widely used in educational, technical, and moral contexts. Does not carry strong connotations of authenticity but focuses on correctness relative to a norm. Contrasts with 错误 (cuòwù). | [CORE] |
| 错误 | cuòwù | wrong/mistaken + error/mistake | wrong, erroneous, mistaken, error, incorrect | Applied to statements, beliefs, actions, or judgments that deviate from what is correct or true. Used in both factual and moral evaluations. Functions as both noun and adjective. Productive in compounds and common across all registers. Contrasts with 正确 as its standard antonym. | [CORE] |
| 准确 | zhǔnquè | standard/level + certain/precise | accurate, precise, exact | Emphasizes precision and exactness, often in technical, scientific, or measurement contexts. Also used to evaluate the accuracy of translations, descriptions, and predictions. Overlaps with 正确 but foregrounds degree of exactness and closeness to a target rather than mere correctness. | [CORE] |
| 可靠 | kěkào | can + lean on/depend on | reliable, dependable, trustworthy | Evaluates sources, persons, equipment, or information as worthy of trust or consistent in performance. Used in evaluations of evidence, witnesses, and character. Focuses on consistency and trustworthiness over time rather than a single instance of accuracy. Common in everyday speech and technical contexts alike. | [CORE] |
| 真相 | zhēnxiàng | true + appearance/face/reality | the truth, the true state of affairs, the facts | Refers to the actual facts of a matter, especially when they are hidden, concealed, or contested. Frequently appears in investigative, legal, and journalistic contexts (e.g., 揭露真相, to expose/reveal the truth). Functions as a noun referring to a state of affairs rather than a property of a statement. Implies a contrast with a misleading surface appearance. | [CORE] |
| 真理 | zhēnlǐ | true + principle/reason | truth (as a principle), universal truth | Refers to truth understood as an objective principle or law, rather than a particular true statement. Prominent in philosophical, political, and moral discourse. Distinguished from 真相 by its more abstract and general character. | [CORE] |
| 事实 | shìshí | matter/affair + solid/real | fact, the facts, reality | Denotes an actual state of affairs or an established datum, as opposed to opinion or conjecture. Central to legal argumentation (事实认定, finding of fact) and everyday discourse. Often used in the phrase 事实上 (in fact, as a matter of fact). | [CORE] |
| 真伪 | zhēnwěi | true + false/spurious | authenticity, genuineness vs. forgery, true or false | A compound that frames the question of whether something is genuine or counterfeit, typically applied to documents, artworks, historical artifacts, or claims. Common in legal, archival, and connoisseurship contexts. Often appears in the phrase 辨别真伪 (to distinguish the genuine from the fake). Functions as a compound noun denoting the evaluative dimension itself. | [CORE] |
| 伪造 | wěizào | false/spurious + to make/fabricate | to forge, to fabricate, forgery, counterfeit | Refers specifically to the deliberate creation of false documents, signatures, currency, evidence, or objects. A key term in criminal law (伪造文书, document forgery). Implies intentional deception rather than mere error, distinguishing it from inaccuracy. | [CORE] |
| 冒充 | màochōng | to risk/pretend + to fill/act as | to impersonate, to pass off as, to pose as | Describes the act of falsely presenting oneself or an object as something it is not. Used in legal and everyday contexts (e.g., 冒充警察, impersonating a police officer). Focuses on the act of misrepresentation of identity or nature. | [CORE] |
| 名副其实 | míng fù qí shí | name + matches/corresponds to + its + reality | living up to one's name, worthy of the title, genuine | A fixed four-character expression (成语) used to affirm that a label, title, or reputation accurately corresponds to the actual qualities of the person or thing. Applied to persons, institutions, or objects in evaluative and commendatory contexts. Its negation 名不副实 is equally common. | [CORE] |
| 名不副实 | míng bù fù shí | name + not + matches + reality | not living up to one's name, undeserving of the title, in name only | The negative counterpart of 名副其实; asserts that a label or reputation does not correspond to actual qualities. Used in evaluative criticism of persons, institutions, or products. Functions as a fixed idiomatic expression common in both formal writing and colloquial speech. | [CORE] |
