# CLCA Protocol v3.2 — F1 VOCABULARY TABLE
# Language: Korean (ko)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| 진실 | jinsil | true + real/actual | truth, truthfulness, reality | Used to denote factual accuracy and genuine state of affairs. Commonly appears in both everyday and formal contexts when discussing what is actually the case or what corresponds to reality. | [CORE] |
| 거짓 | geojit | false/fake | lie, falsehood, untruth | Refers to statements or representations that are false or deceptive. Used as both noun and adjectival modifier in expressions like "거짓말" (lie, literally "false speech"). | [CORE] |
| 사실 | sasil | matter + real/actual | fact, truth, reality | Denotes objective facts or actual circumstances. Frequently used in discourse to mark statements as factual or to introduce verifiable information. | [CORE] |
| 진짜 | jinjja | etymology unclear, possibly "true + thing" | real, genuine, authentic | Colloquial term for genuineness or authenticity, often contrasted with fake or imitation. Also used as intensifier in informal speech. | [CORE] |
| 가짜 | gajja | false + thing | fake, counterfeit, imitation | Refers to objects or representations that are not genuine or authentic. Commonly used for counterfeit goods or false identities. | [CORE] |
| 정확하다 | jeonghwakhada | correct/precise + to be | accurate, precise, exact | Describes statements, measurements, or representations that correspond exactly to reality or standards. Used across technical, academic, and everyday contexts. | [CORE] |
| 옳다 | olda | basic morpheme | right, correct, proper | Evaluates correctness in moral, logical, or procedural senses. Used for both factual correctness and ethical rightness. | [CORE] |
| 그르다 | geureuda | basic morpheme | wrong, incorrect, mistaken | Indicates error or incorrectness in judgment, action, or statement. Less common in modern usage than its negative form "그르지 않다" or alternatives. | [MARGINAL] |
| 틀리다 | teullida | to differ/deviate | wrong, incorrect, mistaken | Indicates factual error or deviation from correct answer or standard. Commonly used in educational and evaluative contexts. | [CORE] |
| 맞다 | matda | to fit/match | correct, right, accurate | Indicates correctness or correspondence with facts or standards. Used for answers, statements, and physical fit or match. | [CORE] |
| 정직 | jeongjik | upright + straight | honesty, integrity, uprightness | Refers to moral quality of truthfulness and straightforwardness in conduct. Used primarily in ethical and character evaluation contexts. | [CORE] |
| 솔직 | soljik | straightforward + direct | frank, honest, candid | Describes direct and truthful communication without concealment. Emphasizes openness in expression rather than moral character per se. | [CORE] |
| 정당하다 | jeongdanghada | correct/proper + appropriate + to be | legitimate, justified, rightful | Evaluates actions, claims, or positions as properly grounded or morally/legally justified. Common in legal, political, and ethical discourse. | [CORE] |
| 타당하다 | tadanghada | appropriate + fitting + to be | valid, reasonable, sound | Assesses logical validity or reasonableness of arguments, claims, or decisions. Used in analytical and argumentative contexts. | [CORE] |
| 진정 | jinjeong | true + genuine | genuine, sincere, true | Emphasizes authenticity of feelings, intentions, or nature. Often used to distinguish genuine from superficial or pretended states. | [CORE] |
| 허위 | heowi | empty/false + false | false, fraudulent, untrue | Formal term for falsehood, especially in legal contexts. Commonly appears in compounds like "허위사실" (false facts) or "허위진술" (false testimony). | [CORE] |
| 참 | cham | basic morpheme | true, real, genuine | Native Korean word for truth or genuineness. Used both independently and as prefix meaning "true/real" in compounds. | [CORE] |
| 거짓말 | geojinmal | false + speech | lie, falsehood | Standard term for deliberate false statement. Most common everyday word for lying in Korean. | [CORE] |
| 진위 | jinwi | true + false | truth or falsehood, authenticity | Formal term used when discussing verification of truth versus falsehood. Common in phrases like "진위를 가리다" (to determine truth from falsehood). | [CORE] |
| 실제 | silje | real/actual + occasion/instance | reality, actuality, practice | Refers to actual state of affairs as opposed to theory or appearance. Often contrasts with hypothetical or nominal situations. | [CORE] |
| 본질 | bonjil | root/origin + quality/substance | essence, nature, substance | Philosophical and analytical term for fundamental nature or essential characteristics. Used when discussing what something fundamentally is. | [CORE] |
| 진실성 | jinsilseong | truth + quality/nature | truthfulness, veracity, authenticity | Abstract noun denoting the quality of being truthful or genuine. Used in formal evaluation of statements or character. | [CORE] |
| 신빙성 | sinbingseong | trust/believe + rely + quality | credibility, reliability, trustworthiness | Evaluates whether statements, sources, or evidence can be trusted or believed. Common in journalistic and investigative contexts. | [CORE] |
| 확실하다 | hwaksilhada | firm/certain + real + to be | certain, sure, definite | Indicates high degree of certainty or reliability. Used for both epistemic certainty and factual definiteness. | [CORE] |
| 명백하다 | myeongbaekhada | bright/clear + white + to be | obvious, clear, evident | Describes facts or truths that are clearly apparent or indisputable. Used when evidence or reality is unmistakable. | [CORE] |
| 그럴듯하다 | geureoldeuthada | be so + seem + to be | plausible, likely, probable | Indicates appearance of truth or reasonableness without confirmation. Can suggest something seems true but may not be. | [CORE] |
| 진본 | jinbon | true + original/root | original, authentic copy, genuine article | Refers to authentic original as opposed to copy or forgery. Used primarily for documents, artworks, and artifacts. | [CORE] |
| 모조 | mojo | imitate + make | imitation, counterfeit, replica | Denotes deliberately made copies or imitations. Often used for counterfeit goods or reproductions. | [CORE] |
| 진리 | jilli | true + principle/reason | truth, verity, universal truth | Used in philosophical, religious, and scientific discourse to denote fundamental or universal truths. Common in expressions like "진리를 추구하다" (to pursue truth). | [CORE] |
| 진심 | jinsim | true + heart/mind | sincerity, genuine heart, true feelings | Describes authentic feelings or intentions. Used in interpersonal contexts to emphasize that one's words or actions reflect genuine sentiment, as in "진심으로 감사합니다" (I sincerely thank you). | [CORE] |
| 진의 | jinui | true + meaning/intention | true intention, real meaning | Refers to the actual intent behind words or actions. Common in formal discourse when clarifying what someone really meant, e.g., "진의를 파악하다" (to grasp the true intention). | [CORE] |
| 진가 | jinga | true + value/worth | true worth, real value | Denotes the genuine value or merit of something, often revealed over time or upon closer examination. Used in expressions like "진가를 발휘하다" (to demonstrate one's true worth). | [CORE] |
| 진면목 | jinmyeonmok | true + face + eye | true character, real nature | Refers to someone's or something's authentic character or nature, especially when revealed in challenging circumstances. Literary and formal register. | [CORE] |
| 진상 | jinsang | true + situation/appearance | truth, real situation, actual facts | Used in investigative, journalistic, and legal contexts to refer to the actual facts of a case or situation. Common in "진상을 밝히다" (to reveal the truth). | [CORE] |
| 진품 | jinpum | true + item/product | genuine article, authentic item | Used for authentic products, artworks, or artifacts as opposed to counterfeits or reproductions. Common in art dealing and authentication contexts. | [CORE] |
| 진술 | jinsul | true + state/narrate | statement, testimony, deposition | Legal and formal term for statements made, especially in court or official proceedings. Used in "진술서" (written statement) and "진술하다" (to testify). | [CORE] |
| 진단 | jindan | true + judge/determine | diagnosis, assessment | Medical and analytical term for determining the true nature of a condition or situation. Used in healthcare and organizational analysis. | [CORE] |
| 진보 | jinbo | advance + step | progress, advancement | Denotes forward movement or improvement in social, political, or technological domains. Also used as political term for progressive ideology. | [CORE] |
| 진화 | jinhwa | advance + change | evolution, development | Scientific term for biological evolution; also used metaphorically for development or advancement of ideas, technology, or society. | [CORE] |
| 진행 | jinhaeng | advance + go | progress, proceeding, advancement | Describes ongoing processes or events. Used for project progress, disease progression, or event proceedings. Very common in "진행 중" (in progress). | [CORE] |
| 진출 | jinchul | advance + exit/emerge | advance, entry, expansion | Describes entering new markets, fields, or territories. Common in business and sports contexts, e.g., "해외 진출" (overseas expansion). | [CORE] |
| 진입 | jinip | advance + enter | entry, entrance, penetration | Formal term for entering a space, market, or field. Used in traffic contexts ("진입로" - access road) and business/military contexts. | [CORE] |
| 진통 | jintong | labor + pain OR true + pain | labor pains; growing pains | Medical term for childbirth contractions; metaphorically used for difficulties accompanying change or development. | [CORE] |
| 진지 | jinji | advance + ground/position | camp, position, base | Military term for fortified position or base. Also used metaphorically for one's position or stance. | [CORE] |
| 진지하다 | jinjihada | serious + to be | serious, earnest, sincere | Describes serious attitude or earnest approach to matters. Used for both demeanor and treatment of subjects. | [CORE] |
| 진중하다 | jinjunghada | careful/prudent + heavy + to be | prudent, cautious, deliberate | Describes careful, measured behavior or approach. Used to characterize thoughtful, non-impulsive conduct. | [CORE] |
| 진귀하다 | jingwihada | rare + precious + to be | rare, precious, valuable | Describes rare and valuable items or experiences. Used for treasures, rare artifacts, or exceptional opportunities. | [CORE] |
| 진수 | jinsu | true + essence/marrow | essence, quintessence, best part | Refers to the essential or finest aspect of something. Used in expressions like "예술의 진수" (the essence of art). | [CORE] |
| 진액 | jinaek | true + liquid/essence | essence, sap, vital fluid | Refers to essential fluids or concentrated essence. Used in traditional medicine and metaphorically for essential elements. | [CORE] |
