# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1.1a | הדבר נהיה אמת | ha-davar nihyah emet | [MARGINAL] | Unnatural — "the thing became true" |
| 1.1b | הטענה נעשתה נכונה | ha-te'anah ne'estah nkhonah | [MARGINAL] | Unnatural — "the claim became correct" |
| 1.2a | האמת התגלתה | ha-emet hitgaltah | [CORE] | Very common — "the truth was revealed / came to light" |
| 1.2b | התברר שהוא צודק | hitbarar she-hu tsodek | [CORE] | Extremely frequent — "it became clear that he was right" |
| 1.2c | נמצא שזה נכון | nimtsa she-ze nakhon | [CORE] | Common in formal/investigative contexts — "it was found that this is correct" |
| 1.2d | התברר שהסיפור אמיתי | hitbarar she-ha-sipur amiti | [CORE] | Standard expression — "it became clear that the story is true" |
| 1.2e | הדבר התברר | ha-davar hitbarar | [CORE] | Common — "the matter became clear / was clarified" |
| 1.3a | הדבר אושר | ha-davar ushar | [CORE] | Formal/official confirmation — "the thing was confirmed" |
| 1.3b | העובדה אוששה | ha-uvdah ushshah | [CORE] | Formal verification — "the fact was confirmed" |
| 1.3c | הוכח שזה אמת | hukhakh she-ze emet | [CORE] | Standard for proof — "it was proved that this is true" |
| 2.1a | הדבר נהיה שקר | ha-davar nihyah sheker | [MARGINAL] | Unnatural — "the thing became false" |
| 2.1b | הטענה נעשתה לא נכונה | ha-te'anah ne'estah lo nkhonah | [MARGINAL] | Unnatural — "the claim became incorrect" |
| 2.2a | הדבר הוכח כשקר | ha-davar hukhakh ka-sheker | [CORE] | Standard — "the thing was proved (to be) false" |
| 2.2b | התברר שזה לא נכון | hitbarar she-ze lo nakhon | [CORE] | Very common — "it became clear that this is not correct" |
| 2.2c | הטענה הופרכה | ha-ta'anah hofrekha | [CORE] | Standard refutation — "the claim was refuted" |
| 2.2d | נמצא שהוא טעה | nimtsa she-hu ta'ah | [CORE] | Common — "it was found that he erred" |
| 2.2e | התברר שהסיפור מזויף | hitbarar she-ha-sipur mezuyaf | [CORE] | Standard — "it became clear that the story is forged" |
| 2.3a | המקור איבד את אמינותו | ha-makor ibed et aminuto | [CORE] | Standard — "the source lost its reliability" |
| 2.3b | הוא איבד את האמון | hu ibed et ha-emun | [CORE] | Common — "he lost the trust" |
| 3.1a | הוא עשה את זה אמת | hu asah et ze emet | [MARGINAL] | Unnatural — "he made it true" |
| 3.1b | היא שמה את זה נכון | hi samah et ze nakhon | [MARGINAL] | Unnatural — "she made it correct" |
| 3.1c | הוא תיקן את הטעות | hu tiken et ha-ta'ut | [CORE] | Standard for correction — "he corrected the mistake" |
| 3.1d | היא תיקנה את התשובה | hi tiknah et ha-tshuvah | [CORE] | Common in educational contexts — "she corrected the answer" |
| 3.2a | הוא הוכיח שזה אמת | hu hokhiakh she-ze emet | [CORE] | Standard — "he proved that this is true" |
| 3.2b | היא הראתה שהוא צודק | hi her'atah she-hu tsodek | [CORE] | Common — "she showed that he is right" |
| 3.2c | הם הוכיחו את נכונות הטענה | hem hokhikhu et nekhonut ha-ta'anah | [CORE] | Formal proof — "they proved the correctness of the claim" |
| 3.2d | הניסוי אישר את התיאוריה | ha-nisuy ishar et ha-te'oryah | [CORE] | Scientific/formal — "the experiment confirmed the theory" |
| 3.3a | הוא גילה את האמת | hu gilah et ha-emet | [CORE] | Very common — "he revealed/discovered the truth" |
| 3.3b | החקירה הביאה את האמת לאור | ha-khakirah hevi'ah et ha-emet la-or | [CORE] | Formal/journalistic — "the investigation brought the truth to light" |
| 3.3c | היא חשפה את השקר | hi khisfah et ha-sheker | [CORE] | Common — "she exposed the lie" |
