| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| Factual Correspondence Terms | Terms used to affirm or deny that statements, claims, or representations correspond to actual states of affairs in the world. These expressions are primarily used in evaluating whether what is said or claimed matches reality, often in contexts of verification, confirmation, or denial of factual claims. | totoo (true, real), katotohanan (truth, reality, fact), hindi totoo / di-totoo (not true, false), totoo ba (is it true?), sa totoo lang (to be honest, truthfully), walang-katotohanan (without truth, baseless), bulaán (false, untrue, fabricated), kasinungalingan (lie, falsehood), kathâ (fiction, invention, fabrication), kathang-isip (imagination, figment of imagination) | tunay (genuine, authentic) — overlaps with this group but emphasizes authenticity/genuineness rather than pure factual correspondence; makatotohanan (realistic, true-to-life) — extends into aesthetic evaluation of verisimilitude | Primarily used in evaluating whether what is said or claimed matches reality, in contexts of verification, confirmation, or denial of factual claims |
| Authenticity and Genuineness Terms | Terms used to distinguish genuine, authentic, or real items and qualities from fake, counterfeit, or spurious ones. These expressions focus on whether something is what it purports to be, commonly used in evaluating the authenticity of objects, feelings, character, or nature rather than the truth of statements. | tunay (genuine, authentic), tunay na pagmamahal (true love), tunay na kalikasan (true nature, real character), peke (fake, counterfeit, phony), huwad (false, counterfeit, spurious), huwad na dokumento (false document), pagkapeke (fakeness, state of being fake), magpeke-peke (to pretend, to act fake), katunayan (proof, evidence, verification), patunayan (to prove, to verify) | totoo (true, real) — can be used for both factual truth and genuine existence; diwa (essence, spirit, true meaning) — refers to essential nature but more abstract | Focus on whether something is what it purports to be, used in evaluating authenticity of objects, feelings, character, or nature rather than truth of statements |
| Correctness Evaluation Terms | Terms used to evaluate whether statements, answers, judgments, actions, or decisions are correct, right, or proper according to standards, rules, or appropriateness. These expressions are primarily used in instructional, evaluative, and decision-making contexts to assess accuracy or rightness. | tama (correct, right), tama ka (you're right), tama ba (is it correct?), tamang sagot (correct answer), mali (wrong, incorrect), mali ka (you're wrong), pagkakamali (mistake, error), wasto (correct, proper, accurate), wastong paraan (correct method), hustó (exact, just right, fitting), itama (to correct, to fix), pagtitama (correction, act of correcting) | tama na (that's enough) — semantic shift from correctness to sufficiency; tamang panahon (right time) — extends to temporal appropriateness; tumama (to hit, to be correct) — dual meaning: physical hitting and correctness | Primarily used in instructional, evaluative, and decision-making contexts to assess accuracy or rightness according to standards, rules, or appropriateness |
| Honesty and Truthfulness in Conduct Terms | Terms describing the moral quality of honesty, sincerity, and faithfulness in speech and behavior. These expressions evaluate character and conduct, focusing on whether persons are honest in what they say, faithful to commitments, and sincere in intentions, commonly used in moral discourse and character evaluation. | tapat (honest, faithful, loyal), matapat (honest, sincere, truthful), katapatan (honesty, sincerity, loyalty), magtapat (to confess, to be honest), tapat sa salita (true to one's word), tapatang loob (honest heart, sincere intentions), sinungaling (liar), magsinungaling (to lie, to tell lies), pagsisinungaling (lying, act of lying), walang-katapatan (without honesty, dishonest), tapat na sagot (honest answer) | tapat sa tungkulin (faithful to duty) — extends from honesty to duty fulfillment; kasinungalingan (lie, falsehood) — overlaps with factual falsity group | Evaluate character and conduct, focusing on whether persons are honest in what they say, faithful to commitments, and sincere in intentions |
| Trust and Reliability Terms | Terms used to evaluate whether persons or sources can be trusted, relied upon, or have confidence placed in them. These expressions focus on the reliability and dependability of persons or information sources, commonly used in assessing character and evaluating the credibility of sources. | mapagkakatiwalaan (trustworthy, reliable, dependable), magtiwala (to trust, to have confidence in), pagtitiwala (trust, confidence), ipagkatiwala (to entrust), sigurado (sure, certain), sigurado ka ba (are you sure?), magsigurado (to make sure, to ensure), hindi mapagkakatiwalaan (not trustworthy, unreliable) | tapat (honest, faithful) — honesty contributes to trustworthiness but is distinct; katapatan (honesty, loyalty) — related to but not identical with trustworthiness | Focus on reliability and dependability of persons or information sources, used in assessing character and evaluating credibility of sources |
| Resemblance and Similarity Terms | Terms used to indicate that one thing resembles, looks like, or is similar to another in appearance, character, or nature. These expressions are primarily used in making comparisons and describing likeness, with some specifically focused on physical appearance. | katulad (similar, like, same as), katulad mo (like you), kamukha (resembles in appearance, looks like), kamukha mo (looks like you), kawangis (resemblance, likeness, similarity), walang katulad (without equal, incomparable), walang kamukha (has no resemblance) | makatotohanan (realistic, true-to-life) — describes resemblance to reality but in aesthetic contexts | Primarily used in making comparisons and describing likeness, with some specifically focused on physical appearance |
| Emphatic Confirmation and Reality Markers | Terms and particles used to emphasize the reality, truth, or certainty of statements, often functioning as discourse markers to strengthen affirmations or express surprise. These expressions are extremely common in conversational contexts for confirming, emphasizing, or questioning the reality of claims. | talaga (really, truly, indeed), talaga ba (really? is that so?), totoo nga (truly, indeed), talaga nga (really indeed), totoo naman (it's true though), totoo pa (still true, moreover), totoo rin (also true), napakatotoo (very true, extremely real), oo talaga (yes really) | sigurado (sure, certain) — expresses certainty but less emphatic/conversational; totoo (true, real) — can function as simple truth term or emphatic marker depending on context | Extremely common in conversational contexts for confirming, emphasizing, or questioning the reality of claims; often function as discourse markers |
| Sufficiency and Cessation Markers | Terms that have shifted from correctness or exactness meanings to indicate sufficiency, adequacy, or to signal that something should stop or end. These expressions are used to mark boundaries, indicate when enough has been done or said, or call for cessation of actions. | tama na (that's enough, stop now), tama na yan (that's enough of that), tama na po (that's enough, polite), hustó na (that's enough, just right now), hustó lang (just right, just enough) | tama (correct) — base meaning is correctness, but "tama na" has shifted to sufficiency; hustó (exact, just right) — can indicate both exactness and sufficiency | Terms have shifted from correctness or exactness meanings to indicate sufficiency or cessation; used to mark boundaries or call for cessation of actions |
| Essence and True Nature Terms | Terms used to refer to the fundamental nature, essential meaning, or underlying spirit of something, commonly employed in philosophical, interpretive, or analytical contexts when discussing what something fundamentally is or means. | diwa (essence, spirit, true meaning), diwa ng (essence of, spirit of), tunay na kalikasan (true nature, real character), ang tunay na kulay (the true colors, real character) | tunay (genuine, authentic) — can refer to true nature but more commonly to authenticity; katotohanan (truth) — abstract truth rather than essential nature | Commonly employed in philosophical, interpretive, or analytical contexts when discussing what something fundamentally is or means |
| Physical Impact and Hitting Terms | Terms derived from correctness roots but used to describe physical hitting, striking, or being affected by something. These expressions show semantic extension from evaluative correctness to physical action and impact. | tamaan (to be hit, to be struck, to be affected), tumama (to hit, to strike) [also: to be correct] | tumama — maintains dual meaning (correctness + hitting) | Small, specialized group showing polysemy of the tama root; semantic extension from evaluative correctness to physical action and impact |
| (Ungrouped Items) | Items that do not fit cleanly into the above groups or show characteristics that make grouping problematic. | magkatotoo (to come true, to be realized) — describes fulfillment of predictions/dreams rather than truth evaluation; pagtotoo (act of being truthful, truthfulness) — nominalized action form with limited usage; ikatotoo (to cause to be true, to make real) — causative form with marginal usage; totoo lamang (only true, merely true) — formal/literary usage with limited distribution; paninindigan ng katotohanan (standing for truth, upholding truth) — fixed expression about defending truth; kawalang-katapatan (lack of honesty, dishonesty) — formal expression with limited usage; kahuwaran (model, example, pattern) — derived from huwad (false) but has undergone complete semantic shift; pagkakamali-mali (repeated mistakes) — emphasizes pattern of errors; totoo kaya (I wonder if it's true) — expresses speculation; kung totoo (if true) — conditional construction; parang hindi totoo (seems unreal) — expression of disbelief; tama ang daan (on the right path) — metaphorical extension; tama ang oras (the time is right) — temporal appropriateness; may tama ka (you have a point) — acknowledges partial correctness | N/A | Items resist grouping because they: represent grammatical constructions rather than semantic units; show semantic shifts that distance them from core meanings; have marginal or specialized usage; function primarily as discourse markers or particles |
