# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1.1 | The rumor became true. | The rumor became true. | NATURAL | General inchoative verb expressing change of state. Fully productive with all truth-domain adjectives. Neutral register. |
| 1.1 | The claim became false over time. | The claim became false over time. | NATURAL | Same construction as above. |
| 1.1 | His testimony became unreliable. | His testimony became unreliable. | NATURAL | Same construction as above. |
| 1.1 | The document became invalid after the deadline. | The document became invalid after the deadline. | NATURAL | Same construction as above. |
| 1.2 | Her prediction came true. | Her prediction came true. | NATURAL | Highly specialized construction limited to predictions, wishes, dreams, hopes, and fears. Very common in narrative contexts. |
| 1.2 | My worst fears came true. | My worst fears came true. | NATURAL | Same construction as above. |
| 1.2 | The prophecy came true. | The prophecy came true. | NATURAL | Same construction as above. |
| 1.2 | *The claim came false. | *The claim came false. | UNNATURAL | Cannot be used with other truth-domain adjectives. Ungrammatical. |
| 1.3 | The story turned out to be true. | The story turned out to be true. | NATURAL | Emphasizes discovery or revelation of a pre-existing state rather than actual change. Very common in narrative and explanatory contexts. |
| 1.3 | His alibi turned out to be false. | His alibi turned out to be false. | NATURAL | Same construction as above. |
| 1.3 | The painting turned out to be genuine. | The painting turned out to be genuine. | NATURAL | Same construction as above. |
| 1.3 | The document turned out to be counterfeit. | The document turned out to be counterfeit. | NATURAL | Same construction as above. |
| 1.4 | The theory proved true. | The theory proved true. | NATURAL | Emphasizes evidential basis for the change in epistemic status. "To be" is optional and often omitted. |
| 1.4 | His claims proved false. | His claims proved false. | NATURAL | Same construction as above. |
| 1.4 | The method proved reliable. | The method proved reliable. | NATURAL | Same construction as above. |
| 1.4 | The document proved authentic. | The document proved authentic. | NATURAL | Same construction as above. |
| 1.5 | The account grew more accurate with each revision. | The account grew more accurate with each revision. | NATURAL | "Grow" emphasizes gradual change. Typically used with comparative forms. |
| 1.5 | His testimony got less reliable over time. | His testimony got less reliable over time. | NATURAL | "Get" is more neutral. Typically used with comparative forms. |
| 1.5 | The distinction grew less clear. | The distinction grew less clear. | NATURAL | Same construction as above. |
| 1.6 | The claim remained true despite challenges. | The claim remained true despite challenges. | NATURAL | Expresses continuation of state rather than change. "Remain" is more formal than "stay." |
| 1.6 | His testimony stayed consistent. | His testimony stayed consistent. | NATURAL | Same construction as above. "Stay" is less formal. |
| 1.6 | The document remained valid. | The document remained valid. | NATURAL | Same construction as above. |
| 1.6 | The account stayed accurate. | The account stayed accurate. | NATURAL | Same construction as above. |
| 2.1 | The claim became false. | The claim became false. | NATURAL | Same construction as positive inchoative but with negative adjectives. Fully productive. |
| 2.1 | The document became invalid. | The document became invalid. | NATURAL | Same construction as above. |
| 2.1 | His testimony became unreliable. | His testimony became unreliable. | NATURAL | Same construction as above. |
| 2.1 | The account became inaccurate. | The account became inaccurate. | NATURAL | Same construction as above. |
| 2.2 | The license ceased to be valid. | The license ceased to be valid. | NATURAL | Formal construction emphasizing definite cessation. More common with "valid," "reliable," and similar terms. |
| 2.2 | The claim ceased to be true. | The claim ceased to be true. | MARGINAL | Less common with "true/false" than with other truth-domain terms. |
| 2.2 | The method ceased to be reliable. | The method ceased to be reliable. | NATURAL | Same construction as first example. |
| 2.3 | The ticket expired. | The ticket expired. | NATURAL | Specialized verb for loss of validity through passage of time. Common with documents, licenses, tickets. |
| 2.3 | The license expired. | The license expired. | NATURAL | Same construction as above. |
| 2.3 | The passport expired. | The passport expired. | NATURAL | Same construction as above. |
| 2.3 | *The truth expired. | *The truth expired. | UNNATURAL | Cannot be used with other truth-domain concepts. Ungrammatical. |
| 2.4 | The claim turned out to be false. | The claim turned out to be false. | NATURAL | Same construction as positive revelation but with negative adjectives. Very common in narrative contexts. |
| 2.4 | The painting turned out to be fake. | The painting turned out to be fake. | NATURAL | Same construction as above. |
| 2.4 | The document turned out to be counterfeit. | The document turned out to be counterfeit. | NATURAL | Same construction as above. |
| 2.4 | His story turned out to be untrue. | His story turned out to be untrue. | NATURAL | Same construction as above. |
| 2.5 | The theory proved false. | The theory proved false. | NATURAL | Same construction as positive evidential but with negative adjectives. Emphasizes evidential basis. |
| 2.5 | The document proved counterfeit. | The document proved counterfeit. | NATURAL | Same construction as above. |
| 2.5 | His claims proved spurious. | His claims proved spurious. | NATURAL | Same construction as above. |
| 2.5 | The method proved unreliable. | The method proved unreliable. | NATURAL | Same construction as above. |
| 3.1 | The evidence made his claim true. | The evidence made his claim true. | NATURAL | General analytic causative construction. "Make" is neutral register. Fully productive. |
| 3.1 | The new data made the theory false. | The new data made the theory false. | NATURAL | Same construction as above. |
| 3.1 | The revision made the account more accurate. | The revision made the account more accurate. | NATURAL | Same construction as above. |
| 3.1 | The forgery made the document invalid. | The forgery made the document invalid. | NATURAL | Same construction as above. |
| 3.2 | The evidence rendered his claim true. | The evidence rendered his claim true. | NATURAL | Formal register equivalent of "make." More common in written and technical contexts. |
| 3.2 | The discovery rendered the theory false. | The discovery rendered the theory false. | NATURAL | Same construction as above. |
| 3.2 | The error rendered the results invalid. | The error rendered the results invalid. | NATURAL | Same construction as above. |
| 3.2 | The forgery rendered the document inauthentic. | The forgery rendered the document inauthentic. | NATURAL | Same construction as above. |
| 3.3 | He falsified the records. | He falsified the records. | NATURAL | Lexical causative meaning "make false" or "prove false." Two distinct senses depending on context. |
| 3.3 | The data falsified the hypothesis. | The data falsified the hypothesis. | NATURAL | Technical usage in philosophy of science meaning "prove false through evidence." |
| 3.3 | They falsified the documents. | They falsified the documents. | NATURAL | Meaning "fraudulently alter." |
| 3.4 | The test validated the theory. | The test validated the theory. | NATURAL | Lexical causative meaning "make valid" or "confirm validity." Very common in technical, legal, and everyday contexts. |
| 3.4 | The signature validates the document. | The signature validates the document. | NATURAL | Same construction as above. |
| 3.4 | The evidence validated his claims. | The evidence validated his claims. | NATURAL | Same construction as above. |
| 3.4 | The system validates the data. | The system validates the data. | NATURAL | Same construction as above. |
| 3.5 | The error invalidated the results. | The error invalidated the results. | NATURAL | Lexical causative meaning "make invalid" or "nullify." Common in legal, scientific, and technical contexts. |
| 3.5 | The court invalidated the contract. | The court invalidated the contract. | NATURAL | Same construction as above. |
| 3.5 | The new evidence invalidated the theory. | The new evidence invalidated the theory. | NATURAL | Same construction as above. |
| 3.5 | The forgery invalidated the document. | The forgery invalidated the document. | NATURAL | Same construction as above. |
