| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| tosi | Se on tosi. | N/A | It is true. / That is true. / That's real. | Predicative use of *tosi* as a complement to *olla* (to be). The most basic propositional truth-attribution construction in Finnish. Used in both spoken and written registers across all contexts. | [CORE] |
| tosi | Onko se tosi? | N/A | Is it true? / Is that true? / Is that real? | Interrogative form of the predicative truth-assertion construction. Extremely common in everyday spoken Finnish when seeking confirmation of a surprising or unexpected claim. High frequency in spoken Finnish. | [CORE] |
| tosi | tosi vai tarua | N/A | true or legend; fact or fiction; real or mythical | A fixed contrastive phrase pairing *tosi* with *taru* (legend, myth, tale) in the partitive. Used as a heading or framing device in journalism, popular media, and everyday speech to introduce a question about whether something is real or legendary (*tosi vai tarua: toimiiko se?* — "fact or fiction: does it work?"). Functions as a formulaic phrase. | [CORE] |
| tosi | totta kai | N/A | of course; naturally; certainly | A fixed affirmative expression using the partitive form *totta* (of truth/true) combined with *kai* (surely, I suppose). Functions as a discourse particle asserting that something is obviously or naturally the case. Very high frequency in spoken Finnish. The particle *kai* adds a sense of self-evidence. Used across registers, slightly more colloquial than *luonnollisesti*. Note: *totta* is the partitive of *tosi/totuus*. | [CORE] |
| tosi | totta puhuen | N/A | to tell the truth; truthfully speaking; frankly | Fixed adverbial phrase using the adverbial participle of *puhua*. A participial construction using *totta* (partitive of truth) + *puhuen* (speaking, present participle of *puhua*). Functions as a sentence-initial or parenthetical adverbial signalling that the speaker is about to make a frank or honest statement, often with a slight concessive nuance. *Totta puhuen, en tiedä* (to tell the truth, I don't know). Common in both spoken and written Finnish. | [CORE] |
| tosi | ei totta sanaakaan | N/A | not a word of truth; not a true word | A negated construction asserting the complete absence of truth in a statement (*siinä ei ole totta sanaakaan* — "there is not a word of truth in that"). Uses the partitive *totta* + *sanaakaan* (not even a word, partitive of *sana* with the *-kaan* additive particle). Idiomatic in force. | [CORE] |
| tosi | perillä totuudesta | N/A | aware of the truth; in possession of the truth; knowing the truth | A postpositional construction using *perillä* (informed about, aware of, literally "at the destination") + the adessive/elative of *totuus*. Used to assert that someone knows or has access to the truth of a matter (*hän on perillä totuudesta* — "he is aware of the truth"). Common in journalistic and everyday discourse. | [CORE] |
| tosi | totuus on toisenlainen | N/A | the truth is different; the reality is otherwise | A predicative construction asserting that the actual truth diverges from what has been claimed or assumed (*mutta totuus on toisenlainen* — "but the truth is different"). Functions as a corrective or contrastive framing device in journalistic and argumentative discourse. | [CORE] |
| tosi | totuus tulee ilmi | N/A | the truth comes out; the truth comes to light | A construction using *tulla ilmi* (to come to light, to be revealed) with *totuus* as subject. *Tulla ilmi* is a fixed verb-particle construction meaning "to be revealed" or "to come to light." *Ennemmin tai myöhemmin totuus tulee ilmi* (sooner or later the truth will come out). Very common in journalistic, legal, and narrative discourse across all registers. | [CORE] |
| tosi | kertoa totuus | N/A | to tell the truth | The standard verb-object construction for the act of truth-telling (*kerro totuus* — "tell the truth"; *hän kertoi totuuden* — "he told the truth"). Uses *kertoa* (to tell, to narrate) with *totuus* in the accusative/genitive. High frequency across all registers. | [CORE] |
| tosi | totuus on karvas | N/A | the truth is bitter; truth is hard to swallow; truth hurts | A predicative construction using *karvas* (bitter) as a predicate of *totuus*. Functions as a semi-proverbial expression acknowledging that true information is often unwelcome or painful. *Totuus on karvas, mutta se on parempi kuin valhe* (the truth is bitter, but it is better than a lie). Attested in journalistic and everyday discourse. | [CORE] |
| tosi | totuus on jossain siellä | N/A | the truth is out there | A construction that has entered Finnish usage partly through the influence of the television series *The X-Files* (*Salaiset kansiot*). Used both seriously and ironically in journalistic and popular discourse to suggest that the truth exists but is hidden or difficult to access. Attested in Finnish media. | [MARGINAL] |
| tosi | puhua totta | N/A | to speak the truth; to tell the truth; to be truthful | A verb-object construction using *puhua* (to speak) + *totta* (partitive of *tosi/totuus*). The partitive *totta* is required. *Hän puhuu totta* (he/she is telling the truth). Distinct from *kertoa totuus* in that it emphasizes the manner of speaking (truthfully) rather than the disclosure of a specific truth. Contrasts with *puhua valhetta* (to tell a lie). High frequency in everyday and formal discourse. | [CORE] |
| tosi | sanoa suoraan | N/A | to say directly; to speak plainly; to be frank | A verb-adverb construction using *sanoa* (to say) + *suoraan* (directly, straight). While not derived from *tosi*, this construction functions as a near-synonym of *puhua totta* in contexts of frank truth-telling and frequently co-occurs with truth-evaluation vocabulary. Included here as an attested periphrastic alternative. High frequency in spoken Finnish. | [CORE] |
| tosi | olla totta | N/A | to be true; to be the case | The standard predicate construction for asserting truth in Finnish. The partitive *totta* (rather than nominative *tosi*) is required in this construction. *Se ei voi olla totta* (it cannot be true); *onko se totta?* (is it true?). Fundamental to everyday epistemic discourse across all registers. | [CORE] |
| tosi | sanoa totta | N/A | to say something true; to tell the truth | Collocation similar to *puhua totta* but focused on a specific utterance rather than a general disposition or ongoing act. *Hän sanoi totta* (what he/she said was true; he/she told the truth). Used across registers. | [CORE] |
| tosi | toden totta | N/A | truly; really; in all truth; indeed | Fixed adverbial phrase using genitive *toden* and partitive *totta* of the same base. Used for emphatic affirmation. *Se on toden totta niin* (it is truly so; it really is the case). Registers as slightly formal or literary compared to *tosiaan* or *oikeasti*. | [CORE] |
| tosi | tosi asia | N/A | a true matter; a fact; the real thing | Collocation used to assert that something is a genuine fact or a real concern. *Se on tosi asia* (that is a real fact; that is genuinely the case). Functions as a mild emphatic assertion. Used in everyday speech. | [CORE] |
| tosi | tosiasia on, että | N/A | the fact is that; the truth is that; it is a fact that | Very common discourse marker used to introduce a factual claim presented as incontrovertible. *Tosiasia on, että tilanne on vakava* (the fact is that the situation is serious). Used across registers from everyday speech to formal writing as a rhetorical framing device. | [CORE] |
