| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| 真 | 说真的 | shuō zhēn de | honestly; seriously speaking | Very common colloquial discourse marker used to introduce a sincere statement, opinion, or admission. It often signals that the speaker is being candid rather than joking or exaggerating. | [CORE] |
| 真 | 当真 | dàngzhēn | take seriously; believe to be true | Common in patterns like 别当真 “don’t take it seriously” or 你还当真了 “you actually believed it.” Although lexicalized, it functions very often in larger syntactic constructions rather than as a simple isolated adjective. | [CORE] |
| 真 | 千真万确 | qiān zhēn wàn què | absolutely true; unquestionably true | Fixed idiomatic expression used to strongly affirm truth or certainty. Common in speech and writing when emphasizing that something is beyond doubt. | [CORE] |
| 真 | 真有此事 | zhēn yǒu cǐ shì | this really happened; such a thing really exists/existed | Conventional phrase used to confirm that a reported event is real. It appears in both spoken surprise and more formal narrative contexts. | [CORE] |
| 假 | 弄虚作假 | nòng xū zuò jiǎ | engage in fraud; fake things; falsify | Very common fixed expression in official, media, and evaluative language for dishonest fabrication or falsification. It is especially frequent in criticism of data, credentials, procedures, or reporting. | [CORE] |
| 假 | 以假乱真 | yǐ jiǎ luàn zhēn | pass off the fake as real; confuse the fake with the genuine | Common idiom for imitations or deceptions so convincing that they are mistaken for the real thing. Used for goods, art, appearances, and sometimes figurative social deception. | [CORE] |
| 假 | 假的真不了，真的假不了 | jiǎ de zhēn bù liǎo, zhēn de jiǎ bù liǎo | what is fake cannot become real, and what is real cannot become fake | Established proverbial saying used to express confidence that truth and falsity will eventually be distinguished. It is rhetorical and somewhat proverbial in tone. | [MARGINAL] |
| 真实 | 反映真实情况 | fǎnyìng zhēnshí qíngkuàng | reflect the real situation | Very common formal collocation in journalism, administration, and research. It is used when evaluating whether a report, account, or dataset corresponds to actual conditions. | [CORE] |
| 真实 | 真实地反映 | zhēnshí de fǎnyìng | reflect truthfully / realistically | Common in formal writing for describing accurate representation of facts, life, or conditions. It is especially frequent in criticism, reporting, and policy language. | [CORE] |
| 真实 | 缺乏真实性 | quēfá zhēnshíxìng | lack authenticity / lack truthfulness | Common evaluative phrase for reports, narratives, performances, or evidence judged insufficiently true to reality. Because it contains the derivative 真实性, it is phrase-level but partly overlaps with P2a material. | [MARGINAL] |
| 虚假 | 存在虚假宣传 | cúnzài xūjiǎ xuānchuán | there is false advertising / deceptive promotion | Very common regulatory and consumer-protection phrasing. It is used in official findings, complaints, and media reports about misleading promotional claims. | [CORE] |
| 虚假 | 发布虚假信息 | fābù xūjiǎ xìnxī | disseminate false information | Highly frequent in legal, media, and internet-governance contexts. It refers to the act of issuing or spreading false or deceptive information. | [CORE] |
| 虚假 | 虚假陈述 | xūjiǎ chénshù | false statement; misrepresentation | Common legal and regulatory expression for a statement that is false or misleading. It is especially established in securities law, consumer law, and formal complaints. | [CORE] |
| 正确 | 作出正确判断 | zuòchū zhèngquè pànduàn | make a correct judgment | Common in education, management, and formal evaluation. It is used for decisions, assessments, and reasoning processes judged to be right. | [CORE] |
| 正确 | 树立正确观念 | shùlì zhèngquè guānniàn | establish correct ideas/concepts | Very common in educational, political, and moral discourse. It often concerns values, attitudes, or ways of understanding rather than narrow factual correctness. | [CORE] |
| 正确 | 正确对待 | zhèngquè duìdài | treat properly; handle correctly | Common in formal and semi-formal discourse for adopting an appropriate attitude or response toward a person, issue, or criticism. It extends correctness into practical conduct. | [CORE] |
| 错误 | 犯错误 | fàn cuòwù | make a mistake; commit an error | Extremely common expression in both everyday and formal language. It can refer to factual, procedural, moral, or political mistakes depending on context. | [CORE] |
| 错误 | 承认错误 | chéngrèn cuòwù | admit one’s mistake | Common in interpersonal, institutional, and political contexts. It often implies taking responsibility for a wrong action or judgment. | [CORE] |
| 错误 | 纠正错误 | jiūzhèng cuòwù | correct an error | Very common in education, editing, administration, and political discourse. It refers to rectifying mistaken views, actions, or technical errors. | [CORE] |
| 准确 | 准确把握 | zhǔnquè bǎwò | grasp accurately | Common in formal writing for accurately understanding or capturing a situation, concept, or policy requirement. It is especially frequent in analytical and bureaucratic registers. | [CORE] |
| 准确 | 准确表达 | zhǔnquè biǎodá | express accurately | Common in education, writing instruction, translation, and communication contexts. It refers to wording that precisely conveys intended meaning. | [CORE] |
| 准确 | 准确无误 | zhǔnquè wúwù | accurate and error-free | Fixed evaluative expression used for data, operations, records, and statements. It emphasizes both precision and absence of mistakes. | [CORE] |
| 属实 | 情况是否属实 | qíngkuàng shìfǒu shǔshí | whether the situation is true | Very common in reporting, investigation, and official inquiry. It is used when the factual status of a claim or allegation is under examination. | [CORE] |
| 属实 | 举报内容属实 | jǔbào nèiróng shǔshí | the reported content is verified as true | Common in disciplinary, administrative, and media contexts. It often appears after investigation of complaints or accusations. | [CORE] |
| 属实 | 尚未证实是否属实 | shàngwèi zhèngshí shìfǒu shǔshí | it has not yet been confirmed whether it is true | Common journalistic phrasing when a report remains unverified. It marks caution and incomplete confirmation. | [CORE] |
| 失实 | 报道严重失实 | bàodào yánzhòng shīshí | the report is seriously inaccurate | Common in official rebuttals and media criticism. It is used when a report is said to diverge substantially from the facts. | [CORE] |
| 失实 | 与事实不符，内容失实 | yǔ shìshí bù fú, nèiróng shīshí | inconsistent with the facts; the content is inaccurate | Conventional formal phrasing in rebuttals, notices, and corrections. It often appears in written denunciations of inaccurate reporting. | [CORE] |
