| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| *true* | *come true* | N/A | (of a hope, dream, or prediction) to be realized or fulfilled | Used with subjects that are wishes, dreams, predictions, or fears; *her dream came true*; *the worst fears came true*. A fixed verbal idiom; *true* is not substitutable here. Noted in P1b Step 3 as a peripheral extension where the truth-domain sense recedes. | [CORE] |
| *true* | *ring true* | N/A | to seem genuine, accurate, or believable; to have the quality of truth | Used of statements, explanations, and accounts; *his explanation didn't quite ring true*. Derived from the practice of testing coins by their sound. Contrasts with *ring false* and *ring hollow*. | [CORE] |
| *true* | *hold true* | N/A | to remain valid or applicable; to continue to be the case | Used of principles, rules, and generalizations; *this observation holds true across all cases*; *the same holds true for the second group*. A semi-fixed verbal phrase. Used in general and formal registers. | [CORE] |
| *true* | *prove true* | N/A | to turn out to be correct or accurate; to be confirmed as accurate | Used of predictions, suspicions, and claims; *the prediction proved true*; *his fears proved true when the results were announced*. Compositional but conventionally used. | [CORE] |
| *true* | *true to one's word* | N/A | keeping one's promise; doing what one said one would do | Used predicatively; *she was true to her word and returned the money*. A fixed prepositional phrase functioning as a predicate complement. Applied to persons who fulfill commitments they have made. Used across all registers to commend reliability and integrity. | [CORE] |
| *true* | *tried and true* | N/A | tested and proven reliable through experience | Used in general registers as an attributive phrase; *they relied on tried and true methods*. Noted in P1b Step 3 as a peripheral extension predicating reliability rather than propositional truth. | [CORE] |
| *true* | *true to one's nature* | N/A | behaving in accordance with one's fundamental character | Used in general and literary registers; *he was true to his nature, always choosing the harder path*. A variant of the *true to X* pattern; compare *true to form*, *true to type* (documented in P1b). | [CORE] |
| *true* | *as true as* | N/A | just as accurate or genuine as (something used as a standard of comparison); used in comparative constructions to assert the truth of something by analogy | Used in general and literary registers, often in fixed similes such as *as true as steel*, *as true as I'm standing here*. Common in informal and rhetorical speech. The pattern is productive but individual instances vary in frequency. | [CORE] |
| *true* | *it is true that* | N/A | it is a fact that; it is the case that; a concessive or assertive construction acknowledging the truth of a proposition | Used in general and formal registers, often as a concessive before a contrasting claim; *it is true that the evidence is limited, but the conclusion still follows*. Functions both as a straightforward assertion and as a concessive opener before a contrasting point. A highly frequent syntactic frame. | [CORE] |
| *true* | *only too true* | N/A | unfortunately or regrettably accurate; regrettably and entirely accurate | Used in general registers to acknowledge an unwelcome truth with emphasis; *that description is only too true*. The construction carries a tone of resigned acknowledgment. More emphatic than *too true* alone. Common in informal and journalistic usage. | [CORE] |
| *true* | *be true of* | N/A | to apply to or be the case for (a particular subject) | Used in general and formal registers to predicate a property of a class or individual; *this is true of most languages*. A standard predicative construction. | [CORE] |
| *true* | *the same is true of* | N/A | the same applies to; the same situation or property holds for | Used in general and academic registers as a discourse connective extending a claim to a new subject; *the same is true of the other cases examined*. | [CORE] |
| *true* | *true enough* | N/A | admittedly correct; fair enough; accurate as far as it goes; sufficiently true; used to acknowledge partial or qualified truth | Already documented in P1b (1.17). Used as a concessive or qualifying expression; *true enough, the plan had its flaws*. Functions as a discourse marker of qualified agreement. Common in argumentation and debate across all registers. | [CORE] |
| *true* | *too good to be true* | N/A | so favorable as to be implausible or likely to be deceptive | Used in general registers to express skepticism about an apparently advantageous situation; *the offer seemed too good to be true*. A fixed evaluative phrase. | [CORE] |
| *true* | *dream come true* | N/A | something desired that has been realized | Used in general registers as a fixed nominal phrase; *winning the award was a dream come true*. A nominalized form of *come true* (C1.1 above). | [CORE] |
| *true* | *out of true* | N/A | not straight; not properly aligned; deviating from the correct position or shape | Used in carpentry, engineering, and mechanics; *the wheel is out of true*; *the frame has gone out of true*. Applies the root to geometric alignment rather than propositional truth. Used in engineering, carpentry, and mechanical contexts to describe a surface, wheel, or component that is not correctly aligned or level. | [CORE] |
| *true* | *the true story* | N/A | the actual account of events, as opposed to a fictional or distorted version | A fixed attributive construction used in publishing, journalism, and everyday speech to signal that a narrative is factual rather than invented. Extremely common in book and film titles and promotional contexts. | [CORE] |
| *true* | *true to say* | N/A | accurate to state; correct to assert | Used as a parenthetical or introductory phrase to acknowledge the accuracy of a statement, often before introducing a qualification; *it is true to say that progress has been made, but...*. Common in formal and journalistic writing. | [CORE] |
| *true* | *that's true* | N/A | that is correct; I agree with that; used to acknowledge or agree with a statement | A fixed conversational response used to affirm the accuracy or correctness of a preceding statement; *"The deadline is tomorrow." "That's true."* One of the most frequent truth-affirming expressions in spoken English. | [CORE] |
| *true* | *too true* | N/A | unfortunately very accurate; regrettably correct | Already documented in P1b (1.18). Cross-reference only. | [CORE] |
| *true* | *true enough, but* | N/A | that is correct as far as it goes; however | A concessive construction used to acknowledge the partial validity of a claim before introducing a counterpoint or qualification. Common in argumentation and debate across all registers. | [CORE] |
| *true* | *true to life* | N/A | accurately representing real life; realistic | Documented in P1b Root 2, item 18. Used in aesthetic and literary evaluation; *a true-to-life portrayal*. | [CORE] |
| *true* | *true to form* | N/A | behaving in the way that is expected or typical of someone | Documented in P1b Root 2, item 19. Used in everyday speech; *true to form, he arrived late*. | [CORE] |
| *true* | *true to type* | N/A | conforming to the expected characteristics of a category or kind | Documented in P1b Root 2, item 20. Used in biological, agricultural, and everyday contexts. | [CORE] |
| *true* | *true north* | N/A | geographic north; figuratively, a reliable guiding principle or orientation | Documented in P1b Root 2, item 21. Used in navigation and figuratively in leadership discourse. | [CORE] |
| *true* | *true copy* | N/A | an exact, certified copy of a document | Documented in P1b Root 2, item 22. Legal and administrative term. | [CORE] |
| *true* | *true bill* | N/A | a grand jury's endorsement that sufficient evidence exists to bring an indictment | Documented in P1b Root 2, item 23. Legal term, primarily US. | [CORE] |
| *true* | *true-blue* | N/A | staunchly loyal; genuinely committed to a cause or party | Documented in P1b Root 2, item 24. Used in everyday and political English. | [CORE] |
