| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| benar | Benar atau tidak, kabar itu sudah tersebar luas. | N/A | True or not, the news has already spread widely. | Concessive framing using the *benar atau tidak* binary to bracket a claim whose truth is set aside while a consequence is asserted. Common in journalistic and conversational registers. | [CORE] |
| benar | Benar atau tidak, hal itu perlu diselidiki. | N/A | True or not, the matter needs to be investigated. | A suspension-of-judgment construction using *benar atau tidak* (true or not) to bracket the truth value of a claim while asserting that it warrants attention regardless. Common in journalistic and investigative discourse. | [CORE] |
| benar | Kalau benar demikian, kita harus segera bertindak. | N/A | If that is indeed the case, we must act immediately. | Conditional construction *kalau benar* (if true / if indeed) used to introduce a course of action contingent on the truth of a prior claim. Common in spoken and written deliberative discourse. | [CORE] |
| benar | Kalau benar demikian, maka... | N/A | If that is indeed the case, then... | A conditional construction used in argumentation and formal discourse to introduce a consequence that follows if a prior claim is accepted as true. *Kalau benar demikian* (if truly so) is a fixed conditional opener. Common in legal reasoning, journalistic commentary, and formal debate. | [CORE] |
| benar | Memang benar bahwa angka kemiskinan menurun. | N/A | It is indeed true that poverty rates have declined. | *Memang benar bahwa* is a fixed concessive-affirmative frame used to acknowledge a fact before introducing a qualification or contrast. *Memang* reinforces the truth claim. Common in formal argumentation and journalism. | [CORE] |
| benar | Memang benar bahwa harga terus naik. | N/A | It is indeed true that prices keep rising. | A confirmation construction using *memang* (indeed, as expected) + *benar* + *bahwa* (that) to introduce a factual claim that is being affirmed, often in response to a prior assertion or in the context of acknowledging an uncomfortable truth. *Memang benar* functions as a fixed affirmative unit. | [CORE] |
| benar | Memang benar demikian. | N/A | It is indeed the case. / That is indeed so. | A concessive or confirmatory construction combining *memang* (indeed, as expected) with *benar* and the demonstrative *demikian* (thus, so). Used in formal and journalistic registers to confirm a claim, often after it has been questioned or disputed. | [CORE] |
| benar | Benarkah ia yang melakukan itu? | N/A | Is it really true that he did that? / Did he really do that? | *Benar* + *-kah* (interrogative enclitic) forms a yes/no question challenging or seeking confirmation of a truth claim. Common in spoken and journalistic registers. | [CORE] |
| benar | Ia benar dalam hal ini. | N/A | He is right about this / correct on this point. | *Benar dalam hal* (correct/right in the matter of) restricts the scope of a truth attribution to a specific domain or point. Common in debate, commentary, and academic writing. | [CORE] |
| benar | Tidak ada yang benar-benar tahu apa yang terjadi. | N/A | No one truly knows what happened. | *Tidak ada yang benar-benar* (no one truly / nothing really) combines negation with the intensifier *benar-benar* to assert the complete absence of genuine knowledge or certainty. Common in journalistic and narrative registers. | [CORE] |
| benar | Tidak ada yang benar-benar tahu. | N/A | Nobody really knows. / No one truly knows. | A construction combining negation (*tidak ada yang*) with the intensifier *benar-benar* to express that genuine knowledge of something is absent. Common in journalistic and conversational registers when discussing uncertain matters. | [CORE] |
