# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| Factual Correctness Evaluation | Terms used to evaluate whether statements, beliefs, or information align with facts or reality. These expressions focus on the accuracy of propositional content rather than moral rightness or authenticity. Commonly used in contexts of verification, correction, error identification, and knowledge assessment. Distinguished from moral evaluation and from assessments of genuineness or authenticity. | doğru (true, correct), yanlış (wrong, false, incorrect), doğruluk (truth, correctness), yanlışlık (wrongness, incorrectness), doğrulamak (to verify, to confirm), yanlışlamak (to falsify, to prove wrong), doğrulama (verification, confirmation), yanlışlama (falsification, refutation), hatalı (erroneous, faulty), hata (error, mistake), hatasız (flawless, error-free), yanılmak (to be mistaken, to err), yanılma (error, mistake, being mistaken), yanılgı (error, fallacy, misconception), isabetli (accurate, apt, on target), isabet (hit, accuracy, aptness), isabetsiz (inaccurate, inapt, off-target), doğru olmak (to be true, to be correct), yanlış olmak (to be wrong, to be incorrect), doğru çıkmak (to turn out to be true/correct), yanlış çıkmak (to turn out to be wrong), hata yapmak (to make a mistake), yanlış anlamak (to misunderstand), yanlış bilmek (to know incorrectly), doğru kabul etmek (to accept as true), doğru bulmak (to find correct, to consider right) | doğru: Also used for spatial directness and moral rightness; hak: Can indicate factual truth but more commonly used for rights and justice; gerçek: Overlaps but emphasizes reality/authenticity over mere correctness | Distinguished from moral evaluation and from assessments of genuineness or authenticity |
| Reality and Authenticity Assessment | Terms distinguishing what is real, genuine, or authentic from what is fake, artificial, or merely apparent. These expressions evaluate ontological status and authenticity rather than propositional accuracy. Used in contexts of authentication, distinguishing originals from copies, identifying counterfeits, and evaluating whether something is what it appears or claims to be. Often applied to objects, identities, and experiences. | gerçek (real, true, genuine), sahte (fake, counterfeit, false), gerçeklik (reality, realness, actuality), sahtelik (fakeness, counterfeitness, fraudulence), gerçekten (really, truly, actually), asıl (original, genuine, essential), özgün (original, authentic, genuine), özgünlük (originality, authenticity), taklit (imitation, copy, fake), taklitçi (imitator, copyist, mimic), taklit etmek (to imitate, to copy), hakiki (real, genuine, true, authentic), doğal (natural, genuine, authentic), yapay (artificial, synthetic, man-made), doğallık (naturalness, genuineness), yapaylık (artificiality, artificialness), sahtekâr (fraud, swindler, counterfeiter), sahtekârlık (fraud, swindling, counterfeiting), gerçek olmak (to be real, to be true), sahte olmak (to be fake, to be counterfeit), sahte çıkmak (to turn out to be fake), gerçek hayat (real life, actual life), gerçek kimlik (true identity, real identity), gerçek yüz (true face, real nature), asıl kimlik (true identity, original identity), sahte para (counterfeit money), sahte belge (forged document), taklit ürün (imitation product) | gerçek: Also used for factual truth, not just ontological reality; doğru: Can indicate genuineness in some contexts (doğru dürüst); hakikat: Overlaps but more elevated/philosophical | Evaluates ontological status and authenticity rather than propositional accuracy |
| Trustworthiness and Reliability Evaluation | Terms evaluating whether persons, sources, information, or objects can be depended upon or trusted. These expressions assess reliability, dependability, and consistency rather than truth content per se. Used in contexts of source evaluation, character assessment, product quality, and determining what or whom one can rely upon. Distinguished from evaluations of honesty (which focus on truthful intent) and from factual accuracy. | güvenilir (reliable, trustworthy, dependable), güvenilirlik (reliability, trustworthiness, dependability), güvenilmez (unreliable, untrustworthy), güvenilmezlik (unreliability, untrustworthiness), sağlam (solid, sound, reliable, robust), sağlamlık (solidity, soundness, reliability), sağlamlaşmak (to become solid/sound, to be strengthened), sağlamlaştırmak (to solidify, to strengthen), inandırıcı (convincing, credible, believable), inandırıcılık (convincingness, credibility, persuasiveness), tutarlı (consistent, coherent, logical), tutarlılık (consistency, coherence), tutarsız (inconsistent, incoherent, contradictory), tutarsızlık (inconsistency, incoherence), güvenilir olmak (to be reliable, to be trustworthy), güvenilir kaynak (reliable source), güvenilir bilgi (reliable information), sağlam olmak (to be solid, to be sound), sağlam kanıt (solid evidence), sağlam delil (solid evidence), sağlam kaynak (reliable source), inandırıcı olmak (to be convincing, to be credible), inandırıcı gelmek (to seem convincing), tutarlı olmak (to be consistent), tutarlı davranmak (to behave consistently) | sağlam: Can refer to physical solidity as well as epistemic reliability; inandırıcı: Focuses on persuasive power, which may not correlate with actual truth | Distinguished from evaluations of honesty (which focus on truthful intent) and from factual accuracy |
| Honesty and Moral Character | Terms evaluating the moral character of persons, particularly regarding truthfulness, integrity, and sincerity in speech and action. These expressions assess whether someone habitually tells the truth and acts with integrity, rather than evaluating specific statements or claims. Used in character descriptions, moral judgments, and evaluations of personal conduct. Distinguished from factual accuracy (which concerns statements) and from justice/fairness (which concerns treatment of others). | dürüst (honest, truthful, sincere), dürüstlük (honesty, truthfulness, integrity), dürüstçe (honestly, truthfully), yalancı (liar, lying, false), yalancılık (lying as practice, mendacity), sahtekâr (fraud, swindler, counterfeiter), sahtekârlık (fraud, swindling, counterfeiting), doğrucu (truthful person, honest person), doğrulukçu (advocate of truth, principled person), dürüst olmak (to be honest, to be truthful), dürüst davranmak (to behave honestly), dürüst insan (honest person) | doğruluk: Can refer to both factual truth and moral honesty; sahte/sahtekâr: Overlap with authenticity assessment but also imply moral failing | Distinguished from factual accuracy (which concerns statements) and from justice/fairness (which concerns treatment of others) |
| Deception and Misleading | Terms describing statements, appearances, or actions that cause or are likely to cause false beliefs, whether intentionally or not. These expressions focus on the misleading effect rather than simply being false. Used in contexts of warning about misinformation, identifying propaganda, exposing deception, and analyzing how appearances can mislead. Distinguished from simple falsity by emphasis on the causal relationship to false belief. | yanıltıcı (misleading, deceptive, deceiving), yanıltmak (to mislead, to deceive, to lead astray), yanıltma (deception, misleading), yalan (lie, falsehood, untruth), yalanlamak (to deny, to refute, to give the lie to), yalanlama (denial, refutation), yanıltıcı olmak (to be misleading), yanıltıcı bilgi (misleading information), yalan söylemek (to tell a lie, to lie), yalan olmak (to be a lie), yalan çıkmak (to turn out to be a lie), yalan yanlış (false and incorrect), yalan dolan (lies and deceit) | yanlış: Simple incorrectness vs. misleading effect; sahte: Counterfeit objects may mislead but emphasis is on inauthenticity | Distinguished from simple falsity by emphasis on the causal relationship to false belief |
| Doubt and Suspicion | Terms expressing or describing states of uncertainty, doubt, or suspicion regarding truth, reliability, or trustworthiness. These expressions indicate epistemic caution or lack of confidence rather than asserting falsity. Used in contexts of expressing reservations, questioning claims, indicating uncertainty, and describing suspicious circumstances. Can apply to both epistemic doubt (uncertainty about truth) and moral suspicion (distrust of persons). | şüpheli (doubtful, suspicious, dubious, suspect), şüphe (doubt, suspicion), şüphecilik (skepticism, doubtfulness), şüpheci (skeptic, skeptical, doubter), şüphelenmek (to suspect, to doubt, to be suspicious), şüphelenme (suspicion, doubting), şüphesiz (doubtless, undoubtedly, without doubt), kuşkulu (doubtful, questionable, dubious), kuşku (doubt, suspicion), kuşkusuz (doubtless, undoubtedly), kuşkulanmak (to doubt, to suspect, to be suspicious), şüpheli olmak (to be suspicious, to be doubtful), şüpheli görünmek (to look suspicious), şüpheli kişi (suspicious person, suspect), kuşkulu olmak (to be doubtful, to be questionable), kuşkulu görünmek (to look doubtful) | şüpheli/kuşkulu: Can indicate both epistemic doubt and moral suspicion | Can apply to both epistemic doubt (uncertainty about truth) and moral suspicion (distrust of persons) |
| Certainty and Definiteness | Terms expressing or describing high degrees of confidence, certainty, or definiteness regarding truth or decisions. These expressions indicate absence of doubt, finality of determination, or precision of specification. Used in contexts of emphatic assertion, final decisions, precise measurements, and confident claims. Contrasts with expressions of doubt and uncertainty. | kesin (certain, definite, absolute, precise), kesinlik (certainty, definiteness), kesinlikle (certainly, definitely, absolutely), kesinleşmek (to become definite, to be finalized), kesinleştirmek (to finalize, to confirm, to make definite), şüphesiz (doubtless, undoubtedly, without doubt), kuşkusuz (doubtless, undoubtedly), kesin olmak (to be certain, to be definite), kesin bilgi (definite information), kesin cevap (definite answer), kesin karar (final decision) | şüphesiz/kuşkusuz: Formed from doubt terms but express opposite meaning | Contrasts with expressions of doubt and uncertainty |
| Rights, Justice, and Fairness | Terms evaluating whether actions, situations, or treatments conform to principles of justice, fairness, and rightful entitlement. These expressions assess moral and legal rightness in terms of what is due, fair, or just, rather than factual accuracy or authenticity. Used in legal contexts, moral disputes, political discourse, and everyday judgments about fair treatment. Distinguished from factual truth evaluation and from honesty assessment. | hak (right, truth, justice), haklı (right, justified, in the right), haksız (unjust, unfair, wrong, unrightful), haklılık (rightness, justification), haksızlık (injustice, unfairness, wrong), hakketmek (to deserve, to merit, to earn), hakkaniyet (fairness, equity, justice), adil (just, fair, equitable), adalet (justice, fairness), adaletli (just, fair, equitable), adaletsiz (unjust, unfair), adaletsizlik (injustice, unfairness), hak vermek (to agree with, to side with), hak yemek (to violate someone's rights), hakkı olmak (to have the right, to be entitled), haksızlık etmek (to wrong someone), hak iddia etmek (to claim a right), hak aramak (to seek justice), hak ve adalet (right and justice), hakkını almak (to get one's due), hakkını helal etmek (to forgive someone's debt/wrong), hakkını vermek (to give credit, to do justice to), hak ettiği değer (deserved value), hak sahibi (rightful owner, rights holder), hak gözetmek (to respect rights), haklı olmak (to be right, to be justified), haklı çıkmak (to turn out to be right), haksız çıkmak (to turn out to be wrong), haksız yere (unjustly, wrongly), adil olmak (to be just, to be fair), adil davranmak (to act justly) | hak: Also used for truth in some contexts, but primarily justice-oriented; hakikat: Related etymologically but focuses on truth/reality rather than justice; doğru: Can indicate moral rightness but more commonly factual correctness | Distinguished from factual truth evaluation and from honesty assessment |
| Validity and Legitimacy | Terms evaluating whether something meets required standards, conditions, or norms to be accepted or recognized as proper, lawful, or applicable. These expressions assess conformity to established criteria, legal requirements, or accepted procedures rather than factual truth or moral rightness. Used in legal, administrative, logical, and temporal contexts to determine whether something "counts" or is "in force." Distinguished from truth evaluation and from moral justice. | geçerli (valid, current, applicable), geçerlilik (validity, applicability), geçersiz (invalid, inapplicable, void), geçersizlik (invalidity, voidness), meşru (legitimate, lawful, rightful), meşruiyet (legitimacy, lawfulness), meşrulaştırmak (to legitimize, to make legitimate), meşrulaşmak (to become legitimate), geçerli olmak (to be valid, to be current), geçerli sayılmak (to be considered valid), meşru olmak (to be legitimate, to be lawful), meşru savunma (legitimate defense, self-defense), meşru hak (legitimate right, lawful right) | None clearly identified; this group is relatively distinct | Distinguished from truth evaluation and from moral justice |
