| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. Basic statement-truth and fact-matching language | These expressions are used most directly for saying that a statement, belief, report, or proposition matches what is the case. They are especially common in everyday correction, testimony, logic, journalism, and general argument. In use, they often contrast with forms for precision, plausibility, or authenticity, which evaluate something in narrower or different ways. | truth; true; the truth; tell the truth; the whole truth; nothing but the truth; untrue; true statement; true belief; true proposition; hold true; prove true; be true of; truth value; truth conditions; ground truth | right — often used the same way in conversation, but also extends into moral and practical judgment.; correct — overlaps strongly here, though often sounds more procedural or answer-focused.; in truth — belongs here, but is also a discourse-marking phrase.; truthfully / truthful — often shift from factual correctness toward honesty in speaking. | In use, they often contrast with forms for precision, plausibility, or authenticity, which evaluate something in narrower or different ways. |
| 2. Answer-checking, correction, and getting-things-right language | These expressions are common where people evaluate answers, interpretations, procedures, or judgments as right or wrong. They are especially frequent in classrooms, instructions, editing, workplace feedback, and ordinary conversation. Compared with the first group, this set often sounds more practical and task-oriented than purely propositional. | correct; correctly; correction; correctness; incorrect; incorrectly; right; be right; be right about; get it right; set right; put right; right answer; correct answer; correct interpretation; right interpretation; right conclusion | right judgment — can be factual, practical, or moral depending on context.; properly — often joins this group in procedural settings, but also belongs with norm-based usage.; accurate account — often used in correction contexts, though it emphasizes closeness to fact rather than simply “the right answer.” | Compared with the first group, this set often sounds more practical and task-oriented than purely propositional. |
| 3. Precision and exact-specification language | These expressions are used where small differences matter: measurement, wording, quotation, technical description, mathematics, and formal definition. In practice they often contrast with broader terms like *true* or *correct*: something may be broadly correct without being exact or precise. | accurate; accuracy; accurately; inaccuracy; inaccurate; exact; exactly; exactness; exact copy; exact match; exact words; to be exact; precise; precisely; precision; precise definition; precise measurement; accurate to; accurate to within; degree of accuracy; level of accuracy | true copy; certified true copy; faithful reproduction; faithful rendering; true to life These often involve close matching, but in use they may stress fidelity to an original rather than numerical or verbal precision. | In practice they often contrast with broader terms like *true* or *correct*: something may be broadly correct without being exact or precise. |
| 4. Genuineness, originality, and not-being-fake language | These expressions are used for distinguishing genuine things, identities, materials, documents, or experiences from imitations, substitutes, or deceptive copies. They are common in commerce, law, art, branding, online identity talk, and interpersonal judgments about sincerity. In use they often contrast with *fake*, *counterfeit*, and *forgery*, rather than with *false* in the narrow statement sense. | genuine; genuinely; genuineness; authentic; authentically; authenticity; authenticate; authentication; real; really; reality; the real thing; the real deal; real name; real identity; real person; real gold / real leather / real wood; genuine article; genuine leather / genuine signature; authentic voice; authentic self; authentic experience | ring true — often used for felt authenticity, but also for plausibility.; true — can enter this group in phrases like “a true copy” or “his true nature.”; real concern — may mean genuine concern, but also serious concern.; keep it real — belongs here colloquially, though it also shades into personal-style language. | In use they often contrast with *fake*, *counterfeit*, and *forgery*, rather than with *false* in the narrow statement sense. |
| 5. Fake, forged, and deceptive-imitation language | These expressions are used when something is presented as genuine but is not. They are especially common in legal, commercial, forensic, journalistic, and everyday accusatory contexts. In practice they pair closely with the previous group, often as direct opposites. | fake; fakery; fakeness; counterfeit; counterfeit money; counterfeit goods; counterfeit bill / note; counterfeit document; forgery; art forgery; commit forgery; guilty of forgery; charge with forgery; forge; forged; fake ID; fake news; fake smile; fake it; fake it till you make it | untrue — usually not used for objects or artifacts, so it does not fit naturally here.; inauthentic — often belongs here, but can also describe style, identity, or behavior without deliberate deception.; semblance — may suggest only appearance rather than active fakery. | In practice they pair closely with the previous group, often as direct opposites. |
| 6. Reliability, trust, and believability of sources or accounts | These expressions are used when evaluating whether a person, source, witness, method, or account can be depended on or believed. They are common in journalism, law, research, politics, and everyday social judgment. In use, they often sit between factual truth and social trust: a source may be *credible* or *trustworthy* even before its claims are fully verified. | reliable; reliability; reliable source; reliable information; reliable witness; reliable method; highly reliable; trustworthy; trustworthiness; trustworthy source; trustworthy person; trustworthy information; seem trustworthy; credible; credibility; credible account; credible witness; credible explanation; credible threat; have a ring of truth; ring true | sound; sound reasoning; sound judgment — often belong here, but focus more on quality of reasoning than on source trust.; truthful — overlaps when evaluating speakers, but usually stresses honesty more than dependability.; plausibility-like uses of credible are present in practice, though no separate P1 item names that directly. | In use, they often sit between factual truth and social trust: a source may be *credible* or *trustworthy* even before its claims are fully verified. |
| 7. Honesty and candid-speaking language | These expressions are used for speaking sincerely, not deceiving, or openly admitting what one really thinks. They are common in interpersonal exchange, testimony, moral evaluation, and discourse-marking phrases. In use, they often concern the speaker’s manner or character rather than only the truth-status of a proposition. | truthful; truthfully; truthfulness; tell the truth; truth be told; the truth; nothing but the truth; untruth; untruthful; true to his/her word; trustworthy; faithful (in personal-loyalty uses) | truth / true — central here in some contexts, but more broadly used than honesty alone.; trustworthy — often extends beyond honesty to reliability.; faithful — may refer to loyalty rather than truthfulness.; genuine concern — can suggest sincerity, but not specifically truth-telling. | In use, they often concern the speaker’s manner or character rather than only the truth-status of a proposition. |
| 8. Faithfulness to an original, source, or lived reality | These expressions are used for translations, reproductions, portraits, performances, and adaptations that preserve or resemble an original closely. They are common in art criticism, translation, literary discussion, and descriptive evaluation. In use, they differ from simple factual truth by focusing on resemblance, preservation, or fidelity. | faithful; faithfully; faithfulness; faithful to; faithful to the original; faithful reproduction; faithful rendering; remain faithful to; true to life; be true to life; true likeness; true copy; certified true copy; authentic account; ring true; verisimilitude; sense of verisimilitude; achieve verisimilitude | accurate description; accurate account — often overlap, but these can focus more on factual correctness than source-fidelity.; authentic — may refer to originality rather than faithful reproduction.; semblance — can involve resemblance, but often with doubt or incompleteness. | In use, they differ from simple factual truth by focusing on resemblance, preservation, or fidelity. |
| 9. Appearance-of-truth, realism, and seeming-convincing language | These expressions are used when something seems true, lifelike, or believable without necessarily being directly verified. They are common in literary criticism, narrative evaluation, journalism, and everyday reactions to stories or details. In practice they often mark intuitive plausibility or surface resemblance rather than established fact. | ring true; have a ring of truth; semblance; semblance of; a semblance of order; a semblance of normality; bear some semblance to; verisimilitude; air of verisimilitude; sense of verisimilitude; true to life; seem genuine; credible account; credible explanation | credible — often belongs with source-believability rather than literary realism.; authentic — may indicate actual genuineness, not just appearance.; realistic would fit this area in English generally, but it is not in the provided P1/P2 set. | In practice they often mark intuitive plausibility or surface resemblance rather than established fact. |
