| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | **X egia dela egiaztatu da / X egia dela egiaztatu dute** | — | **supported** | From the supplied material, Basque does not show a dedicated simple inchoative pattern meaning “become true” with the listed vocabulary alone. What is clearly supported is a **procedural shift into confirmed truth-status** through **egiaztatu**. This encodes not spontaneous becoming, but confirmation or establishment as true. |
| 2 | **egia agerian jarri / egia azaleratu / egia aurkitu / egia jakin** | — | **supported** | These are the clearest dynamic expressions in the dataset for movement from concealment or uncertainty toward truth being available, known, or public. They do **not** literally mean “X becomes true”; rather, they mean that **the truth becomes known, found, or revealed**. |
| 3 | **(no common expression identified)** | — | **unsupported** | Using only the supplied vocabulary, no clearly supported common expression meaning “X becomes false” or “X turns into a lie” is established. The dataset strongly supports **attribution** (*gezurra da*, *faltsua da*, *okerra da*) and **lying expressions** (*gezurra esan*, *gezurretan ari*), but not a dedicated inchoative “become false” pattern. |
| 4 | **X zuzendu da / Y-k X zuzendu du** | — | **supported** | For the **zuzen** family, the dynamic meaning is well supported through **zuzendu**. This is the main way to encode movement into a correct state. This is better supported than any simple “become correct” construction with bare **zuzen**. |
| 5 | **X okerra da / X oker idatzi da / X oker ahoskatu da** | — | **partially supported** | The context supports **wrong-state attribution** and adverbial incorrect performance with **oker**. However, no dedicated inchoative “become wrong” construction is securely established. The dynamic reading is usually inferred from context or from the event verb phrase such as **oker idatzi** or **oker ahoskatu**. |
| 6 | **Y-k X egiaztatu du** | — | **supported** | This is the clearest causative-like dynamic in the truth domain from the supplied material. **egiaztatu** does not literally mean “make true,” but rather **check and establish as true/valid**. It is especially procedural, administrative, legal, or technical. |
| 7 | **Y-k X zuzendu du** | — | **supported** | This is the strongest supported caused-change pattern in the dataset for the correctness domain. It directly encodes a transition from an incorrect or defective form to a corrected one. |
| 8 | **Y-k egia agerian jarri du / Y-k egia azaleratu du** | — | **supported** | These constructions encode caused disclosure rather than caused truth itself. The truth is treated as something hidden that can be **made public**, **surfaced**, or **exposed**. |
| 9 | **X gezurretan ari da / X gezurra esan du** | — | **supported** | These are dynamic in the sense of **engaging in deception**. They do not mean “become false,” but they do encode entry into or performance of a falsehood-related act. |
| 10 | **X egia da / X ez da egia** | — | **supported** | The most basic way Basque encodes stable truth status in the supplied material is simple attribution. No special stability marker is needed: the copular pattern itself presents the proposition as holding in a stable way. |
| 11 | **X benetakoa da / X egiazkoa da / X ez da benetakoa** | — | **supported** | Again, the supplied material supports **state attribution** more clearly than change into that state. So for **benetako** and **egiazko**, stable classification is well supported, but a dedicated “become genuine/real” pattern is not securely established here. |
| 12 | **X zuzena da / X ez da zuzena** | — | **supported** | As with truth and genuineness, the stable state is encoded by ordinary attribution. Dynamic change is more naturally expressed with **zuzendu** than with a bare “become correct” construction. |
| 13 | **egia bilatu / egia aurkitu / egia jakin / sinetsi** | — | **supported** | These expressions show important truth-related dynamics: **egia bilatu**: movement toward truth through search; **egia aurkitu**: arrival at truth through discovery; **egia jakin**: transition from not knowing to knowing; **sinetsi**: acceptance of something as true. They are dynamic, but they concern **access to truth**, not truth changing in itself. |
