# F5 Opposition Table — Yoruba (yo)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| òtítọ́ | irọ́ | òtítọ́ / irọ́ | truth / lie, falsehood | òtítọ́ refers to statements or representations that correspond to reality, while irọ́ refers to statements known to be false or deliberate misrepresentation. This is the primary lexical opposition in the truth domain. | lexical | [CORE] |
| tọ́ | kò tọ́ | tọ́ / kò tọ́ | to be correct, true / to not be correct, not true | tọ́ affirms the correctness or truth of statements, while kò tọ́ negates it using the standard negative marker kò. This is the basic morphological negation of the stative verb. | morphological | [CORE] |
| sọ òtítọ́ | pa irọ́ / purọ́ | sọ òtítọ́ / pa irọ́, purọ́ | tell the truth / tell a lie | sọ òtítọ́ describes the act of speaking truthfully, while pa irọ́ (or purọ́) describes the act of lying. These are the primary verbal expressions for truthful versus deceptive speech. | lexical | [CORE] |
| olótítọ́ | apurọ́ / ẹlẹ́rọ́ | olótítọ́ / apurọ́, ẹlẹ́rọ́ | truthful person / liar | olótítọ́ characterizes persons who habitually speak truthfully, while apurọ́ and ẹlẹ́rọ́ characterize persons who habitually lie. These are agentive nominalizations expressing opposite character traits. | lexical | [CORE] |
| gbàgbọ́ | kò gbàgbọ́ | gbàgbọ́ / kò gbàgbọ́ | to believe, trust / to not believe, not trust | gbàgbọ́ expresses acceptance of statements as true or confidence in reliability, while kò gbàgbọ́ negates this using the standard negative marker. This is morphological negation of the epistemic verb. | morphological | [CORE] |
| agbàgbọ́ | aláìgbàgbọ́ | agbàgbọ́ / aláìgbàgbọ́ | believer / unbeliever, skeptic | agbàgbọ́ characterizes persons who believe, while aláìgbàgbọ́ characterizes persons who lack belief, using the negative possessive prefix oní-àì-. This opposition is particularly common in religious contexts. | morphological | [CORE] |
| dájú | kò dájú | dájú / kò dájú | to be certain, sure / to not be certain, not sure | dájú expresses epistemic certainty, while kò dájú expresses uncertainty or lack of certainty. This is standard morphological negation of the certainty predicate. | morphological | [CORE] |
| òdodo | àìṣe òdodo | òdodo / àìṣe òdodo | righteousness, justice / unrighteousness, injustice | òdodo refers to moral and legal correctness, while àìṣe òdodo (literally "not doing righteousness") refers to violation of moral standards. The contrast uses the negative prefix àì- with the verbal construction. | morphological | [CORE] |
| ìwà rere | ìwà búburú | ìwà rere / ìwà búburú | good character / bad character | ìwà rere describes virtuous conduct patterns, while ìwà búburú describes immoral conduct patterns. These are fixed compounds using the general evaluative adjectives rere "good" and búburú "bad." | lexical | [CORE] |
| ṣe déédé | àìṣedéédé | ṣe déédé / àìṣedéédé | to do correctly / incorrectness, not doing correctly | ṣe déédé describes accurate execution, while àìṣedéédé refers to failure to meet proper standards, using the negative prefix àì-. This opposition focuses on procedural correctness. | morphological | [CORE] |
