| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| உண்மை | பொய் | uṇmai / poy | truth, reality / falsehood, lie | This is the clearest basic lexical opposition in the data: what is true or real versus what is false or deceptive. It appears repeatedly across P1–P4 in both standalone and constructional use. | lexical | [CORE] |
| உண்மையான | பொய்யான | uṇmaiyāṉa / poyyāṉa | true, real, genuine / false, fake, untrue | These are directly opposed adjectival forms built from the truth vs falsehood bases. The contrast is explicitly supported in adnominal modification patterns such as true information versus false accusation. | lexical | [CORE] |
| மெய் | பொய் | mey / poy | true, real / falsehood, lie | The context explicitly notes மெய் in contrasts such as true versus false or real versus illusory. This is an established elevated/literary opposition. | lexical | [CORE] |
| மெய்யான | பொய்யான | meyyāṉa / poyyāṉa | true, real, genuine / false, fake, untrue | Although less colloquial on the மெய் side, the data supports மெய்யான as a true/real adjective and பொய்யான as its false counterpart. The opposition is semantic and register-sensitive rather than perfectly symmetrical in usage frequency. | lexical | [MARGINAL] |
| சரி | தவறு | cari / tavaṟu | correct, right, okay / mistake, error, wrong, fault | The semantic grouping explicitly notes that தவறு often contrasts directly with சரி. This opposition covers practical correctness versus error, and can extend into moral evaluation depending on context. | lexical | [CORE] |
| சரியான | தவறான | cariyāṉa / tavaṟāṉa | correct, proper, accurate / wrong, incorrect, mistaken | These are parallel adjectival forms used to evaluate information, judgments, and actions as correct versus incorrect. The opposition is clearly supported in P1 and P2. | lexical | [CORE] |
| நம்பகமான | நம்பகத்தன்மையை இழக்கு | nampakamāṉa / nampakattaṉmaiyai iḻakku | reliable, trustworthy / lose credibility | The data supports a contrast between being reliable and losing reliability/credibility. This is not a neat lexical antonym pair, but it is a clear oppositional structure in evaluative use. | constructional | [CORE] |
| ஒற்றுமை காணப்படுகிறது | ஒற்றுமை இல்லை | oṟṟumai kāṇappaṭukiṟatu / oṟṟumai illai | similarity/agreement is seen / there is no agreement/consistency | These two constructions oppose the presence versus absence of agreement or correspondence. The contrast is explicitly given in P2b and P3. | constructional | [CORE] |
| அசல் | போலி | asal / pōli | original, authentic, genuine / fake, counterfeit, bogus | This is a clear authenticity opposition in the domain of objects, documents, and versions. The context repeatedly frames these as genuine versus non-genuine. | lexical | [CORE] |
| நிஜமான | போலி | nijamāṉa / pōli | real, genuine, actual / fake, counterfeit, bogus | The data supports நிஜமான for real/genuine things and போலி for fake ones. This is especially natural in everyday and media language about authenticity. | lexical | [CORE] |
| உண்மையில்லை | உண்மை | uṇmaiyillai / uṇmai | not true / truth, reality | This is a morphological negation of the truth predicate using இல்லை. It is explicitly documented as a common way to deny factual correctness or reality. | morphological | [CORE] |
