| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. Everyday truth / “what is really the case” | This cluster covers forms used when speakers talk about whether something is true, real, or actually the case. In practice, these are common in conversation, reporting, correction of appearances, and demands for honesty. | உண்மை (uṇmai); உண்மையான (uṇmaiyāṉa); உண்மையில் (uṇmaiyil); உண்மையாக (uṇmaiyāka); உண்மையா? (uṇmaiyā?); உண்மையில்லை (uṇmaiyillai); உண்மையைச் சொல் (uṇmaiyaic col); உண்மை பேசு (uṇmai pēcu); உண்மை தெரிந்து கொள் (uṇmai terintu koḷ); உண்மை வெளிவரு (uṇmai veḷivaru); உண்மை தெரியவரு (uṇmai teriyavaru); நிஜம் (nijam); நிஜமான (nijamāṉa); நிஜம் சொல்லு (nijam collu); நிஜமா? (nijamā?); நிஜமாகவே (nijamākavē) | நிஜம் often overlaps with colloquial emphasis on actuality rather than formal truth evaluation.; உண்மை also extends into more formal and institutional uses. | In practice, these are common in conversation, reporting, correction of appearances, and demands for honesty. |
| 2. Falsehood, lying, and factual denial | These expressions are used when rejecting truth, accusing someone of lying, or describing something as false, fake, or baseless. They appear in everyday accusation, media language, legal-style criticism, and public argument. | பொய் (poy); பொய்யான (poyyāṉa); பொய் சொல் (poy col); பொய் பேசு (poy pēcu); பொய் குற்றச்சாட்டு (poy kuṟṟaccāṭṭu); பொய் வாக்குறுதி (poy vākkuruṭi); பொய்யாகி போ (poyyāki pō); உண்மையற்ற (uṇmaiyaṟṟa); உண்மைக்கு புறம்பாக (uṇmaikku puṟampāka); உண்மைக்கு மாறாக (uṇmaikku māṟāka); உண்மைக்குப் புறம்பான (uṇmaikkup puṟampāṉa); உண்மைக்கு மாறான (uṇmaikku māṟāṉa) | போலி belongs partly here, but in usage it is often more about non-genuine objects/documents than lying in speech.; உண்மையற்ற can describe claims, depictions, or allegations rather than deliberate lying. | They appear in everyday accusation, media language, legal-style criticism, and public argument. |
| 3. Correctness, propriety, and “okay/right” in practical use | This group centers on **சரி** and related expressions used for answers, actions, procedures, adequacy, and conversational agreement. In actual use, these forms range from strict correctness to broader senses like “okay,” “acceptable,” or “working properly.” | சரி (cari); சரியான (cariyāṉa); சரித்தன்மை (carittaṉmai); சரியாக (cariyāka); சரியில்லை (cariyillai); சரியல்ல (cariyalla); சரியா? (cariyā?); சரிதான் (caritāṉ); சரி என்று சொல் (cari eṉṟu col); சரி என்று ஒப்பு கொள் (cari eṉṟu oppu koḷ); சரி இல்லை (cari illai); சரி ஆகு (cari āku); சரி வரவில்லை (cari varavillai); சரிவர (carivara); சரிவரச் செய் (carivarac cey) | சரி overlaps with factual correctness, practical adequacy, and interpersonal assent.; சரியான can also shade into “proper” or “appropriate,” not just “correct.” | In actual use, these forms range from strict correctness to broader senses like “okay,” “acceptable,” or “working properly.” |
| 4. Error, mistake, and fault | These forms are used when identifying something as wrong, mistaken, or faulty, whether in information, action, judgment, or conduct. In usage, this group often contrasts directly with **சரி** and sometimes also with moral evaluation. | தவறு (tavaṟu); தவறான (tavaṟāṉa); தவறு செய் (tavaṟu cey); தவறு பண்ணு (tavaṟu paṇṇu); தவறு கண்டுபிடி (tavaṟu kaṇṭupiṭi); தவறு ஒப்பு கொள் (tavaṟu oppu koḷ); தவறுக்கு மன்னிப்பு கேள் (tavaṟukku maṉṉippu kēḷ) | தவறு can refer to factual error or moral fault depending on context.; தவறான overlaps with “incorrect” but may also imply impropriety. | In usage, this group often contrasts directly with **சரி** and sometimes also with moral evaluation. |
| 5. Verification, confirmation, and reliability of information or sources | This cluster gathers expressions used when checking, confirming, establishing, or trusting information, testimony, or sources. These are especially common in administrative, journalistic, academic, and procedural settings. | உறுதி (uṟuti); உறுதியான (uṟudiyāṉa); உறுதி செய் (uṟuti cey); உறுதி அளி (uṟuti aḷi); உறுதி பெறு (uṟuti peṟu); உறுதி படுத்து (uṟuti paṭuttu); நம்பகமான (nampakamāṉa); நம்பகத்தன்மை (nampakattaṉmai); நம்பகமான ஆதாரம் (nampakamāṉa ātāram); நம்பகமான தகவல் (nampakamāṉa takaval); நம்பகமான சாட்சி (nampakamāṉa cāṭci); நம்பகத்தன்மை கொண்ட (nampakattaṉmai koṇṭa); நம்பகத்தன்மையை இழக்கு (nampakattaṉmaiyai iḻakku); நம்பகத்தன்மையை கேள்விக்குட்படுத்து (nampakattaṉmaiyai kēḷvikkkuṭpaṭuttu); சரிபார் (caripār); சரிபார்ப்பு (caripārppu); சரிபார்க்க (caripārkka) | சரிபார் belongs here because it is used for checking correctness, though it is built from the **சரி** family.; உறுதி can refer to certainty, assurance, or confirmation, not only factual verification. | These are especially common in administrative, journalistic, academic, and procedural settings. |
| 6. Matching, agreement, and comparison between versions/accounts | These expressions are used when one thing is checked against another for likeness, agreement, fit, or consistency. They are common in comparison of texts, reports, appearances, and source-based checking. | ஒத்த (otta); ஒற்றுமை (oṟṟumai); ஒத்துப் போ (ottup pō); ஒத்துவரு (ottuvaru); ஒத்துப் பார்க்க (ottup pārkka); ஒற்றுமை காணப்படுகிறது (oṟṟumai kāṇappaṭukiṟatu); ஒற்றுமை இல்லை (oṟṟumai illai); மூலத்துடன் ஒப்பிட்டு பார் (mūlattuṭaṉ oppiṭṭu pār) | ஒத்துவரு may refer to factual agreement, practical suitability, or personal fit.; ஒற்றுமை also has a broader “unity” use outside strict comparison. | They are common in comparison of texts, reports, appearances, and source-based checking. |
| 7. Authentic vs fake objects, documents, and versions | This group is about whether an item is genuine, original, or counterfeit. In usage, these forms are especially common in commerce, bureaucracy, legal reporting, media, and document verification. | போலி (pōli); அசல் (asal); மூலம் (mūlam); போலி ஆவணம் (pōli āvaṇam); போலி சான்றிதழ் (pōli cāṉṟitaḻ); போலி செய்தி (pōli ceyti); போலி கணக்கு (pōli kaṇakku); அசல் நகல் (asal nakal); அசல் பிரதியை காண்பி (asal piratiyai kāṇpi); மூலத்தின் அடிப்படையில் (mūlattiṉ aṭippaṭaiyil); மூலத்துடன் ஒப்பிட்டு பார் (mūlattuṭaṉ oppiṭṭu pār); நிஜமான (nijamāṉa) | போலி செய்தி overlaps with falsehood in public discourse, not just counterfeit objects.; நிஜமான can describe actual situations as well as genuine objects.; மூலம் is broader than authenticity alone; it also means source or basis. | In usage, these forms are especially common in commerce, bureaucracy, legal reporting, media, and document verification. |
| 8. Literary, philosophical, and religious “true/real” language built on மெய் | This cluster contains forms that are not the most ordinary everyday way to say “true,” but are established in formal, literary, philosophical, and religious usage. They often point to essential meaning, realization, doctrine, or ultimate reality rather than just everyday factual correctness. | மெய் (mey); மெய்யான (meyyāṉa); மெய்மை (meymai); மெய்ப்பொருள் (meypporuḷ); மெய்ப்பொருள் காண் (meypporuḷ kāṇ); மெய்யியல் (meyyiyal); மெய்ப்பொருளியல் (meypporuḷiyal); மெய்யுணர்வு (meyyuṇarvu); மெய்யுணர்வு அடை (meyyuṇarvu aṭai); மெய்ஞ்ஞானம் (meyññāṉam); மெய்ஞ்ஞானம் பெறு (meyññāṉam peṟu); மெய்யென்று கொள் (meyyeṉṟu koḷ); மெய்யுரை (meyyurai); மெய்நிலை (meynilai); மெய்யுரு (meyyuru); மெய்வழி (meyvazhi) | மெய் itself is highly polysemous and does not always point to truth.; மெய்ப்பொருள் can be literary-exegetical rather than philosophical in a narrow sense. | They often point to essential meaning, realization, doctrine, or ultimate reality rather than just everyday factual correctness. |
| 9. Moral fairness, justice, and justified conduct | These expressions are used when evaluating actions, decisions, treatment, or social order in terms of fairness, justice, or righteousness. In practice, this group is distinct from simple factual truth or practical correctness. | நீதி (nīti); நியாயம் (niyāyam); தர்மம் (tarmam); நீதி கேள் (nīti kēḷ); நீதி வழங்கு (nīti vaḻaṅku); நீதிக்காக போராடு (nītikkāka pōrāṭu); நியாயம் கேள் (niyāyam kēḷ); நியாயம் பேசு (niyāyam pēcu); நியாயம் இல்லை (niyāyam illai); தர்மம் காப்பாற்று (tarmam kāppāṟṟu); தர்மத்தின் வழி நட (tarmattiṉ vaḻi naṭa) | நியாயம் often bridges fairness and reasonableness, so it can also apply to arguments or prices.; தர்மம் is more tradition- and religion-weighted than the others. | In practice, this group is distinct from simple factual truth or practical correctness. |
| 10. Essence, principle, and underlying meaning | These forms are used when speakers or writers focus on the core point, essential substance, or underlying principle of something. They are common in explanation, interpretation, philosophy, and summary-style discourse. | மெய்ப்பொருள் (meypporuḷ); தத்துவம் (tattuvam); சாரம் (cāram); தத்துவம் பேசு (tattuvam pēcu); தத்துவ ரீதியாக (tattuva rītiyāka); சாரம் என்ன? (cāram eṉṉa?); சாராம்சமாக சொன்னால் (cārāmcamāka coṉṉāl); மெய்ப்பொருள் காண் (meypporuḷ kāṇ) | தத்துவம் பேசு may be serious or lightly ironic in actual use.; மெய்ப்பொருள் also belongs with the formal **மெய்** cluster above. | They are common in explanation, interpretation, philosophy, and summary-style discourse. |
| 11. Figurative representation and non-literal expression | This is a small, more specialized grouping around literary explanation and figurative use. It appears mainly in interpretive or rhetorical discussion rather than ordinary truth-evaluation. | உருவகம் (uruvakam); உருவகமாகப் பயன்படுத்து (uruvakamākap payaṉpaṭuttu); உருவகமாகச் சொல் (uruvakamākac col) | உருவகம் can interact with discussions of surface meaning vs deeper meaning, but its main usage here is literary/rhetorical. | It appears mainly in interpretive or rhetorical discussion rather than ordinary truth-evaluation. |
| 12. Peripheral மெய் expressions tied to body, feeling, grammar, or technical usage | Some **மெய்** forms do not group naturally with truth/reality talk, even though they share the same lexical base. Their usage belongs instead to bodily sensation, emotional absorption, grammar, or modern technical vocabulary. | மெய்சிலிர்ப்பு (meycilirppu); மெய்சிலிர்க்கிறது (meycilirkkiratu); மெய்மறத்தல் (meymaṟattal); மெய்மறந்து (meymaṟantu); மெய்மறந்து போ (meymaṟantu pō); மெய்ப்பாடு (meyppāṭu); மெய்யெழுத்து (meyyeḻuttu); உயிர்மெய் (uyirmey); மெய்நிகர் (meynīkar / meynikar); மெய்நிகர் உண்மை (meynīkar uṇmai / meynikar uṇmai); மெய்நிகர் வகுப்பு (meynīkar vakuppu); மெய்நிகர் சந்திப்பு (meynīkar cantippu); மெய்நிகர் மூலம் நடத்தப்படும் வகுப்பு (meynīkar mūlam naṭattappaṭum vakuppu) | மெய்நிகர் உண்மை contains **உண்மை**, but in usage it is a technical label rather than ordinary truth talk.; மெய்ப்பாடு is tied to classical poetics, not general truth evaluation. | Their usage belongs instead to bodily sensation, emotional absorption, grammar, or modern technical vocabulary. |
| (Ungrouped Items) | (no clear grouping identified) | சரித்தன்மை (carittaṉmai); உண்மைச் சாட்சி (uṇmaic cāṭci); மெய்சாட்சி (meycāṭci); மெய்க்கீர்த்தி (meykkīrtti); மெய்ப்படம் (meyppaṭam) | A few items are present but do not form a strong broader cluster beyond their immediate local usage: சரித்தன்மை (carittaṉmai) — formal noun, but not part of a large everyday family; உண்மைச் சாட்சி (uṇmaic cāṭci) — narrow legal/moral use; மெய்சாட்சி (meycāṭci) — specialized moral/religious use; மெய்க்கீர்த்தி (meykkīrtti) — historical/inscriptional usage; மெய்ப்படம் (meyppaṭam) — uncertain/limited attestation in the provided material | A few items are present but do not form a strong broader cluster beyond their immediate local usage. |
