# CLCA Protocol v3.4 — P4b Construction Usage & Constraints
# Language: Swahili (sw)

---

## Construction Usage Table

| Construction Type | Example | Transliteration | Translation | Naturalness | Usage Notes | Attested Alternates |
|---|---|---|---|---|---|---|
| **1. Attribution** (*ni* + truth predicate) | *Habari hii ni kweli.* | Habari hii ni kweli. | "This news is true." | [CORE] | Extremely common across all registers — conversational, journalistic, legal. No restriction on subject type; *ni* is invariant across noun classes. | *Hati hii ni halisi.* (same pattern, different predicate) |
| **1. Attribution** (*ni* + truth predicate) | *Hati hii ni halisi.* | Hati hii ni halisi. | "This document is genuine." | [CORE] | Frequent in commercial and legal contexts when authenticating documents or goods. | *Hati hii ni sahihi.* (near-synonymous in document contexts) |
| **2. Negative Attribution** (*si* + truth predicate) | *Hii si kweli.* | Hii si kweli. | "This is not true." | [CORE] | Direct negation of attribution; fully parallel to *ni* construction. Occurs in all registers including informal speech. | *Hii si sahihi.* (same pattern) |
| **2. Negative Attribution** (*si* + truth predicate) | *Bidhaa hizi si halisi; ni bandia.* | Bidhaa hizi si halisi; ni bandia. | "These goods are not genuine; they are fake." | [CORE] | The contrastive pairing *halisi … bandia* is characteristic of commercial and legal discourse; the two-clause structure reinforces the denial with a positive counter-assertion. | *Hizi si za kweli; ni za bandia.* (genitive variant, same semantic content) |
| **3a. Adnominal — bare adjective modifier** | *Dhahabu halisi* | Dhahabu halisi | "Genuine gold." | [CORE] | Standard noun-phrase pattern for attributive modification; no linker required. Frequent in commercial, legal, and everyday descriptive contexts. No agreement morphology on the modifier. | *Dhahabu sahihi* (near-synonymous in some contexts) |
| **3b. Adnominal — genitive modifier** | *Shahidi wa uongo* | Shahidi wa uongo | "A false witness." | [CORE] | Required when the modifier is a noun rather than a bare adjective-type item; linker (*wa/ya/la/za* etc.) must agree with the head noun's class. Frequent in legal and religious discourse. | *Ushahidi wa uongo* (same pattern, different head noun class → *wa* retained here by class agreement) |
| **4. Become / Inchoative** (*-ika/-eka*) | *Ukweli ulidhihirika baada ya uchunguzi.* | Ukweli ulidhihirika baada ya uchunguzi. | "The truth became evident after the investigation." | [CORE] | Common in narrative and journalistic contexts where a state of affairs is presented as emerging without foregrounding an external agent. Restricted to bases that admit the *-ika/-eka* derivation; not attested for *kweli* or *halisi* directly. | — |
| **4. Become / Inchoative** (*-ika/-eka*) | *Alidanganyika kwa urahisi.* | Alidanganyika kwa urahisi. | "He/she was easily taken in / became deceived." | [CORE] | Presents the subject as entering a state of deception without specifying an agent; common in narrative contexts. Distinct from the passive (*kudanganywa*), which foregrounds an external agent. | *Alidanganywa* (passive, agent-foregrounding alternate — see §8) |
| **5. Causative** (*-sha/-isha*) | *Mwalimu alisahihisha makosa ya wanafunzi.* | Mwalimu alisahihisha makosa ya wanafunzi. | "The teacher corrected the students' errors." | [CORE] | Standard in educational and editorial contexts. The causative suffix is productive across truth-domain bases that admit an external agent. No causative from *kweli* itself is attested. | *Mwalimu alirudi makosa* (non-causative periphrastic, less precise) |
| **5. Causative** (*-sha/-isha*) | *Serikali inahalalisha mkataba huo.* | Serikali inahalalisha mkataba huo. | "The government is legitimizing that contract." | [CORE] | Characteristic of legal and political discourse; the causative construction foregrounds the agent's authority to bring about a legitimate state. *Kuthibitisha* functions similarly in verification contexts. | *Serikali inathibitisha mkataba huo* (verification rather than legitimization) |
| **6. Abstract Nominalization** (*u-* prefix) | *Ukweli wa jambo hili haujulikani.* | Ukweli wa jambo hili haujulikani. | "The truth of this matter is not known." | [CORE] | Highly productive pattern; *u-* nominals are the standard form for abstract reference to truth-domain properties. Appear as heads of genitive phrases specifying domain. Common across all formal registers. | *Kweli ya jambo hili* (less formal, bare noun variant attested but less common for abstract reference) |
| **6. Abstract Nominalization** (*u-* prefix) | *Uhalali wa uchaguzi unapingwa mahakamani.* | Uhalali wa uchaguzi unapingwa mahakamani. | "The legitimacy of the election is being contested in court." | [CORE] | Characteristic of legal and political discourse; *uhalali* is the standard nominal for legitimacy claims in formal contexts. The genitive phrase specifying domain (*wa uchaguzi*) is a regular and frequent extension. | *Haki ya uchaguzi* (partially overlapping in meaning but distinct in focus) |
| **7a. Agentive Nominalization** (*m-/mw-* + stem) | *Yeye ni muongo wa hali ya juu.* | Yeye ni muongo wa hali ya juu. | "He/she is a consummate liar." | [CORE] | Lexicalized agentive nominals (*muongo*, *mwaminifu*, *mdanganyifu*) are common and idiomatic. The *-fu* suffix marks habitual or characterological quality. Plural formed by *wa-* replacement (*waongo*, *waaminifu*). | *Yeye ni mdanganyifu* (alternate agentive nominal, slightly different nuance — deceiver vs. liar) |
| **7b. Agentive Nominalization** (relative clause periphrasis) | *Tunahitaji mtu wa kuaminiwa.* | Tunahitaji mtu wa kuaminiwa. | "We need a trustworthy person / a person to be trusted." | [CORE] | Used where no lexicalized agentive nominal exists (e.g., no single-word "truth-teller"). The periphrastic form is natural and not marked as unusual. Common in everyday and formal speech. | *Tunahitaji mtu anayesema kweli* (alternate periphrastic — relative clause with active verb, also attested per P4a) |
| **8. Passive** (*-wa* suffix) | *Habari imethibitishwa na vyanzo vingi.* | Habari imethibitishwa na vyanzo vingi. | "The news has been confirmed by multiple sources." | [CORE] | Standard construction in journalistic and legal discourse for reporting verification outcomes. Agent introduced by *na*; agent expression is optional. Highly productive across all transitive and causative truth-domain verbs. | *Vyanzo vingi vimethibitisha habari* (active alternate, agent-foregrounding) |
| **8. Passive** (*-wa* suffix) | *Nilidanganywa na maneno yake.* | Nilidanganywa na maneno yake. | "I was deceived by his/her words." | [CORE] | Common in personal narrative and testimony contexts. Distinct from the inchoative *alidanganyika* (§4) in that the agent (*na maneno yake*) is expressed. The contrast between passive and inchoative is semantically significant in this domain. | *Alidanganyika* (inchoative alternate — no agent expressed, see §4) |
| **9. Adverbial Truth-Asserting Phrase** (*kwa* + noun) | *Kwa kweli, sikujua chochote.* | Kwa kweli, sikujua chochote. | "Honestly, I knew nothing." | [CORE] | Common sentence-initial sincerity marker across all registers including informal speech. Reduplication (*kwa kweli kweli*) intensifies the sincerity claim and is also widely attested. Not morphologically integrated into the verb complex. | *Kwa kweli kweli, sikujua chochote* (reduplicated intensified variant) |
| **9. Adverbial Truth-Asserting Phrase** (*kwa* + noun) | *Kwa dhahiri, tatizo hili ni kubwa.* | Kwa dhahiri, tatizo hili ni kubwa. | "Evidently, this problem is serious." | [CORE] | Functions as an evidential marker of self-evidence rather than a sincerity marker; characteristic of argumentative and expository discourse. Sentence-initial position is typical. | *Ni dhahiri kwamba* (alternate evidential construction — see §10, more formal) |
