# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Truth-Telling and Speech Acts | Terms and constructions used when describing the act of speaking truthfully or falsely, focusing on the communicative act itself rather than the content's correspondence to reality. These expressions center on what people do when they speak—whether they tell truth or lies—and are commonly used in moral evaluations of speech behavior and in contexts of testimony or reporting. | სიმართლე თქვა (simart'le t'qva) "to tell the truth"; ტყუილი თქვა (ṭq'uili t'qva) "to tell a lie"; სიმართლე ამბობს (simart'le ambobs) "tells the truth" (habitual); ტყუილი ამბობს (ṭq'uili ambobs) "tells lies" (habitual); ჭეშმარიტი სიტყვა თქვა (č'ešmarit'i sit'q'va t'qva) "to speak a true word"; უტყუარი (uṭq'uari) "truthful, honest"; მატყუარა (maṭq'uara) "liar, deceiver"; ტყუილმოთქმელი (ṭq'uilmotxmeli) "liar, one who speaks lies"; გულწრფელად ამბობს (gulc'rpelad ambobs) "speaks sincerely" | გულწრფელი (gulc'rpeli) "sincere, honest" — appears in both Group 1 (Truth-Telling) when characterizing speech acts and Group 11 (Sincerity) when characterizing feelings/persons, bridging communicative honesty and emotional authenticity | Distinguished by focus on the speech act itself. Terms pattern with verbs of speaking (თქვა t'qva "say," ამბობს ambobs "tells") and are used to evaluate speakers' honesty or dishonesty. Common in moral discourse about communication and in legal contexts concerning testimony. |
| GROUP 2: Correctness and Error in Statements | Terms used to evaluate whether statements, answers, or judgments are factually correct or incorrect, without necessarily implying moral evaluation of the speaker. These expressions focus on accuracy of content and are commonly used in educational, technical, and everyday contexts where getting facts right matters, such as answering questions, following instructions, or making accurate assessments. | სწორი (sc'ori) "correct, right"; სწორი პასუხი (sc'ori p'asuxi) "correct answer"; სწორად (sc'orad) "correctly"; სწორად გააკეთა (sc'orad gaak'et'a) "did it correctly"; მცდარი (mcdari) "false, erroneous, mistaken"; მცდარი აზრი (mcdar azri) "wrong opinion"; არასწორი (arasc'ori) "incorrect, wrong"; მართებული (mart'ebuli) "correct, proper, justified"; ზუსტი (zusti) "precise, accurate, exact"; ზუსტი პასუხი (zusti p'asuxi) "precise answer" | მართალი (mart'ali) "right, correct, just" — appears in Group 2 (Correctness) for factual accuracy and Group 7 (Moral Rightness) for ethical evaluation, bridging epistemic and moral domains | Distinguished from Group 1 by focus on factual accuracy rather than speaker honesty. Terms commonly appear in educational contexts (correct/incorrect answers), technical instructions (doing something correctly), and evaluations of accuracy. The term მცდარი specifically implies error or mistake rather than deliberate deception. |
| GROUP 3: Reality and Genuineness | Terms distinguishing what is real, genuine, or authentic from what is fake, counterfeit, or merely apparent. These expressions focus on ontological status—whether something actually exists or is what it appears to be—and are used across contexts from commercial authentication (genuine vs. counterfeit goods) to philosophical discourse about reality versus appearance, to everyday evaluations of authenticity in relationships and character. | ნამდვილი (namdvili) "real, genuine, actual"; ნამდვილად (namdvilad) "really, truly, actually"; ნამდვილობა (namdviloba) "reality, genuineness"; ნამდვილი მეგობარი (namdvili megobari) "true friend"; ნამდვილი სახე (namdvili saxe) "true face, real nature"; ყალბი (q'albi) "false, fake, counterfeit"; ყალბი ფული (q'albi p'uli) "counterfeit money"; რეალური (realuri) "real, actual"; რეალობა (realoba) "reality"; ავთენტური (avt'ent'uri) "authentic, genuine"; ბუნებრივი (bunebrivi) "natural, genuine"; ხელოვნური (xelovnuri) "artificial, man-made" | ჭეშმარიტი (č'ešmarit'i) "true, genuine" — appears in Group 3 (Reality and Genuineness) when modifying concrete nouns, Group 4 (Truth as Correspondence) in abstract truth contexts, and Group 18 (Religious Discourse) in theological contexts; usage context determines which semantic domain is activated. ნამდვილი (namdvili) "real, genuine" — appears in Group 3 (Reality and Genuineness) for ontological status and Group 11 (Sincerity) when modifying relationships/emotions; semantic focus shifts from ontology to authenticity of feeling | Centers on authenticity and reality status. Terms pattern with nouns denoting objects (counterfeit money), persons (true friend), and abstract qualities (real nature). Distinguished from correctness (Group 2) by focus on being versus seeming, and from truth-correspondence (Group 4) by focus on ontological rather than propositional status. |
| GROUP 4: Truth as Correspondence and Verification | Terms and constructions used when discussing whether statements correspond to facts or reality, and processes of verifying or confirming such correspondence. These expressions appear in contexts of investigation, fact-checking, evidence evaluation, and formal verification, focusing on the relationship between claims and states of affairs rather than on speaker honesty or ontological status. | სიმართლე (simart'le) "truth" (as correspondence to fact); ჭეშმარიტება (č'ešmarit'eba) "truth, veracity"; ჭეშმარიტი (č'ešmarit'i) "true" (corresponding to reality); სიმართლეს შეესაბამება (simart'les sheesabameba) "corresponds to the truth"; დამოწმება (damoc'meba) "verification, attestation"; დაადასტურა (daadast'ura) "confirmed, verified"; ფაქტი (p'ak't'i) "fact"; ფაქტია რომ (p'ak't'ia rom) "it is a fact that"; ობიექტური (obiek't'uri) "objective"; ობიექტური რეალობა (obiek't'uri realoba) "objective reality" | ჭეშმარიტი (č'ešmarit'i) "true, genuine" — appears in Group 3 (Reality and Genuineness) when modifying concrete nouns, Group 4 (Truth as Correspondence) in abstract truth contexts, and Group 18 (Religious Discourse) in theological contexts. სანდო (sando) "reliable, trustworthy" — appears in Group 4 (Truth as Correspondence) when modifying sources/information and Group 8 (Reliability) when characterizing persons; focus shifts between epistemic and character evaluation | Distinguished by focus on verification and correspondence relations. Terms commonly appear in investigative contexts, evidentiary discourse, and formal verification procedures. The concept of "objective reality" and fact-based verification is central to this group. |
| GROUP 5: Deception and Concealment | Terms describing acts of deceiving, misleading, or concealing truth from others, focusing on the deliberate manipulation of others' beliefs rather than simple error or mistake. These expressions are used in contexts of fraud, betrayal, manipulation, and cover-ups, carrying strong negative moral connotations and implying intentional action to create false beliefs in others. | მოტყუება (moṭq'ueba) "deception, deceit"; მოატყუა (moaṭq'ua) "deceived (someone)"; მოტყუებული (moṭq'uebuli) "deceived, deluded"; მატყუარა (maṭq'uara) "deceiver, liar, fraud"; მატყუარებელი (maṭq'uarebeli) "deceiver, one who deceives"; გატყუება (gaṭq'ueba) "deceiving, cheating"; სიმართლე დამალა (simart'le damala) "hid the truth"; სიმართლე დაფარა (simart'le dap'ara) "covered the truth"; თვითმოტყუება (tviṭmoṭq'ueba) "self-deception" | | Characterized by intentionality and moral culpability. Distinguished from simple error (Group 2) by deliberate intent, and from lying (Group 1) by broader scope including non-verbal deception and concealment. The reflexive form თვითმოტყუება "self-deception" extends the pattern to self-directed deception. |
| GROUP 6: Precision and Exactness | Terms emphasizing precision, exactness, and specificity in measurements, statements, or descriptions, focusing on degree of accuracy and detail rather than simple correctness. These expressions are common in technical, scientific, and careful everyday discourse where fine-grained accuracy matters, such as giving exact times, precise measurements, or specific details. | ზუსტი (zusti) "precise, exact, accurate"; ზუსტად (zustad) "precisely, exactly, accurately"; ზუსტი დრო (zusti dro) "exact time"; ზუსტი ინფორმაცია (zusti inp'ormaciа) "accurate information"; ზუსტად ისე (zustad ise) "exactly so"; ზუსტად რომ ვთქვათ (zustad rom vt'qvat) "to be precise"; სიზუსტე (sizuste) "precision, accuracy" | | Distinguished from general correctness (Group 2) by emphasis on degree of accuracy and specificity. Terms commonly appear with measurements, times, technical specifications, and contexts requiring careful specification. The construction ზუსტად რომ ვთქვათ "to be precise" functions as a discourse marker for introducing exact formulations. |
| GROUP 7: Moral and Legal Rightness | Terms evaluating actions, persons, or situations as morally right or wrong, just or unjust, extending beyond factual correctness to ethical and legal evaluation. These expressions are central to moral discourse, legal judgment, and evaluations of fairness, focusing on what ought to be rather than what is, and commonly appearing in contexts of justice, righteousness, and moral character assessment. | მართალი (mart'ali) "right, just, righteous"; მართალი ადამიანი (mart'ali adamiani) "righteous person"; სამართლიანი (samart'liani) "just, fair"; სამართლიანობა (samart'lianoba) "justice, fairness"; სამართლიანი გადაწყვეტილება (samart'liani gadac'q'vet'ileba) "just decision"; უსამართლო (usamart'lo) "unjust, unfair"; უსამართლობა (usamart'loba) "injustice, unfairness"; სამართალი (samart'ali) "law, justice"; გამართლება (gamart'leba) "justification, vindication"; გამართლებული (gamart'lebuli) "justified, vindicated" | მართალი (mart'ali) "right, correct, just" — appears in Group 2 (Correctness) for factual accuracy and Group 7 (Moral Rightness) for ethical evaluation, bridging epistemic and moral domains | This group extends the მართ- root from factual correctness into moral and legal domains. Distinguished from factual correctness (Group 2) by normative rather than descriptive focus. Terms commonly appear in legal contexts (just decisions, law), moral evaluations (righteous person), and political discourse (justice, fairness). |
| GROUP 8: Reliability and Trustworthiness | Terms characterizing persons, sources, or information as worthy of trust and confidence, focusing on dependability and credibility rather than truth per se. These expressions are used when evaluating whether someone or something can be relied upon, commonly appearing in contexts of source evaluation, character assessment, and judgments about the credibility of testimony or information. | სანდო (sando) "reliable, trustworthy, credible"; სანდო წყარო (sando c'q'aro) "reliable source"; სანდო ინფორმაცია (sando inp'ormaciа) "reliable information"; სანდო ადამიანი (sando adamiani) "reliable person"; სანდოობა (sandooba) "reliability, trustworthiness"; უტყუარი (uṭq'uari) "truthful, infallible"; უტყუარი წყარო (uṭq'uari c'q'aro) "infallible source" | სანდო (sando) "reliable, trustworthy" — appears in Group 4 (Truth as Correspondence) when modifying sources/information and Group 8 (Reliability) when characterizing persons; focus shifts between epistemic and character evaluation | Distinguished from truth-correspondence (Group 4) by focus on trustworthiness of sources rather than truth of propositions. Terms commonly appear in evidentiary contexts (reliable sources), character evaluations (trustworthy person), and assessments of information credibility. The term უტყუარი emphasizes infallibility or complete reliability. |
| GROUP 9: Emphatic Truth Affirmation | Expressions used to emphatically affirm or question the truth or reality of statements, functioning as intensifiers or confirmation-seeking devices in discourse. These constructions are highly frequent in conversational Georgian and serve pragmatic functions of emphasis, confirmation, or expressing surprise, rather than making substantive claims about truth or reality. | მართლაც (mart'lac) "really, truly, indeed"; მართლაც რომ (mart'lac rom) "really that" (emphatic); მართლაც? (mart'lac?) "really?" (question); ნამდვილად (namdvilad) "really, truly, actually"; ნამდვილად რომ (namdvilad rom) "really that" (emphatic); ნამდვილად? (namdvilad?) "really?" (question); ჭეშმარიტად (č'ešmarit'ad) "truly, genuinely"; ჭეშმარიტად რომ (č'ešmarit'ad rom) "truly that" (emphatic); მართალია რომ (mart'alia rom) "it is true that" (concessive); სიმართლეა? (simart'lea?) "is it true?" | | Characterized by pragmatic/discourse function rather than semantic content. Terms function as intensifiers, confirmation markers, or question particles. The construction with რომ (rom) "that" is particularly productive for emphasis. Distinguished from substantive truth claims by primarily pragmatic function in managing discourse and expressing speaker stance. |
| GROUP 10: Truth-Seeking and Discovery | Terms and constructions describing processes of searching for, discovering, or revealing truth, focusing on investigative and revelatory activities rather than static truth states. These expressions are common in investigative contexts, philosophical inquiry, legal discovery, and narratives of revelation, emphasizing the dynamic process of bringing hidden truth to light. | სიმართლე გაარკვია (simart'le gaark'via) "to find out the truth"; სიმართლე გამოარკვია (simart'le gamoark'via) "to discover the truth"; სიმართლე იძიოს (simart'le iʒios) "to search for the truth"; სიმართლის ძიება (simart'lis ʒieba) "search for truth"; ჭეშმარიტების ძიება (č'ešmarit'ebis ʒieba) "quest for truth"; სიმართლე გამოაჩინა (simart'le gamoač'ina) "to reveal the truth"; სიმართლე გამოვლინდა (simart'le gamovlinda) "the truth was revealed"; ჭეშმარიტების გამოვლენა (č'ešmarit'ebis gamovlena) "revelation of truth"; ნამდვილი სახე გამოაჩინა (namdvili saxe gamoač'ina) "to show one's true face" | | Characterized by dynamic verbs of searching (იძიოს iʒios), discovering (გაარკვია gaark'via), and revealing (გამოაჩინა gamoač'ina). Distinguished from static truth-correspondence (Group 4) by focus on process and activity. Common in investigative, philosophical, and narrative contexts. |
| GROUP 11: Sincerity and Authenticity of Expression | Terms evaluating the genuineness and sincerity of feelings, expressions, or relationships, focusing on whether emotions and communications are heartfelt and authentic rather than merely factually accurate. These expressions are common in personal, emotional, and relational contexts, emphasizing the quality of being genuine in feeling and expression rather than correctness of content. | გულწრფელი (gulc'rpeli) "sincere, honest, frank"; გულწრფელად (gulc'rpelad) "sincerely, honestly"; გულწრფელობა (gulc'rpeloba) "sincerity, honesty"; გულწრფელი სიტყვა (gulc'rpeli sit'q'va) "sincere word"; გულწრფელი გრძნობები (gulc'rpeli grʒnobebi) "sincere feelings"; ნამდვილი სიყვარული (namdvili siq'varuli) "true love"; ჭეშმარიტი სიყვარული (č'ešmarit'i siq'varuli) "true love"; ნამდვილი მეგობარი (namdvili megobari) "true friend"; ჭეშმარიტი მეგობარი (č'ešmarit'i megobari) "true friend" | გულწრფელი (gulc'rpeli) "sincere, honest" — appears in Group 1 (Truth-Telling) when characterizing speech acts and Group 11 (Sincerity) when characterizing feelings/persons, bridging communicative honesty and emotional authenticity. ნამდვილი (namdvili) "real, genuine" — appears in Group 3 (Reality and Genuineness) for ontological status and Group 11 (Sincerity) when modifying relationships/emotions; semantic focus shifts from ontology to authenticity of feeling | Distinguished from factual truth (Group 4) by focus on emotional authenticity and from general genuineness (Group 3) by specific application to feelings and relationships. The term გულწრფელი literally means "pure-hearted" and emphasizes inner authenticity. Common in evaluations of love, friendship, and emotional expression. |
| GROUP 12: Doubt and Skepticism | Terms and constructions expressing doubt, uncertainty, or skepticism about claims, focusing on epistemic distance or reservation rather than outright denial. These expressions are used when speakers wish to question, cast doubt on, or distance themselves from the truth or reliability of statements, commonly appearing in critical discourse, cautious evaluations, and contexts of uncertainty. | ვითომ (vitom) "supposedly, allegedly"; ვითომ მართალია (vitom mart'alia) "supposedly it's true"; ვითომ ნამდვილია (vitom namdvilia) "supposedly it's real"; ეჭვი მაქვს (ečvi mak'vs) "I have doubt"; ეჭვქვეშ დგას (ečvk'veš dgas) "it stands under doubt"; არ მჯერა (ar mjera) "I don't believe (it)" | | Characterized by expressions of epistemic reservation. The particle ვითომ is particularly important for marking reported or alleged status without commitment to truth. Distinguished from outright denial by expressing uncertainty or distance rather than negation. Common in critical discourse and cautious speech. |
| GROUP 13: Naturalness versus Artificiality | Terms contrasting what occurs naturally or is inherent with what is artificially created or contrived, focusing on the source or manner of production rather than truth or genuineness per se. These expressions are common in scientific discourse (natural vs. artificial phenomena), aesthetic evaluations (natural vs. affected behavior), and commercial contexts (natural vs. synthetic products). | ბუნებრივი (bunebrivi) "natural, genuine"; ბუნებრივად (bunebrivad) "naturally"; ბუნებრივი მოვლენა (bunebrivi movlena) "natural phenomenon"; ბუნებრივი პროდუქტი (bunebrivi p'roduk't'i) "natural product"; ხელოვნური (xelovnuri) "artificial, man-made"; ხელოვნურად (xelovnurad) "artificially"; ხელოვნური ინტელექტი (xelovnuri int'elek't'i) "artificial intelligence"; ბუნებრივი და ხელოვნური (bunebrivi da xelovnuri) "natural and artificial" | | Forms a clear binary opposition between natural and artificial. Distinguished from genuineness (Group 3) by focus on mode of production rather than authenticity status. The term ბუნებრივი derives from ბუნება (buneba) "nature" and ხელოვნური from ხელოვნება (xelovneba) "art/craft," reflecting the natural/artificial distinction. |
| GROUP 14: Objectivity versus Subjectivity | Terms distinguishing objective, impartial perspectives from subjective, personal ones, focusing on the relationship between knower and known rather than truth per se. These expressions are common in academic, scientific, and analytical discourse where the distinction between objective facts and subjective opinions matters, and in contexts requiring impartial evaluation or acknowledging personal bias. | ობიექტური (obiek't'uri) "objective, impartial"; ობიექტურად (obiek't'urad) "objectively"; ობიექტურობა (obiek't'uroba) "objectivity"; ობიექტური რეალობა (obiek't'uri realoba) "objective reality"; ობიექტურად შეაფასა (obiek't'urad sheap'asa) "evaluated objectively"; სუბიექტური (subiek't'uri) "subjective, personal"; სუბიექტურად (subiek't'urad) "subjectively"; სუბიექტურობა (subiek't'uroba) "subjectivity"; სუბიექტური აზრი (subiek't'uri azri) "subjective opinion" | | Consists of borrowed terms forming a clear binary opposition. Distinguished from truth-correspondence (Group 4) by focus on perspective and bias rather than correspondence to facts. Common in academic discourse, scientific methodology discussions, and contexts requiring acknowledgment of viewpoint-dependence. |
