# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1 | Magkatotoo ang pangarap ko. | magkatotoo ang pangarap ko | [CORE] | Extremely common and natural for expressing fulfillment of predictions or dreams. |
| 1 | Nagkatotoo ang hula niya. | nagkatotoo ang hula niya | [CORE] | Extremely common and natural for expressing fulfillment of predictions or dreams. |
| 1 | Magkatotoo sana ang sinabi mo. | magkatotoo sana ang sinabi mo | [CORE] | Extremely common and natural for expressing fulfillment of predictions or dreams. |
| 2 | Tumama ang sagot ko. | tumama ang sagot ko | [CORE] | Common in contexts of guessing, prediction, or hitting targets (both literal and figurative). |
| 2 | Tumama ka sa hula mo. | tumama ka sa hula mo | [CORE] | Common in contexts of guessing, prediction, or hitting targets (both literal and figurative). |
| 3 | Nagkamali ako. | nagkamali ako | [CORE] | Extremely common and natural for expressing errors or mistakes. |
| 3 | Nagkamali siya sa pagkakaintindi. | nagkamali siya sa pagkakaintindi | [CORE] | Extremely common and natural for expressing errors or mistakes. |
| 3 | Huwag kang magkamali. | huwag kang magkamali | [CORE] | Extremely common and natural for expressing errors or mistakes. |
| 4 | — | — | [NO COMMON EXPRESSION] | No common inchoative form exists for "becoming genuine/authentic." |
| 5 | — | — | [NO COMMON EXPRESSION] | No common inchoative form exists for "becoming honest." |
| 6 | Ikatotoo mo ang pangako mo. | ikatotoo mo ang pangako mo | [MARGINAL] | Formal/literary; not common in everyday speech. |
| 7 | Itama mo ang pagkakamali. | itama mo ang pagkakamali | [CORE] | Extremely common and natural across all contexts. |
| 7 | Itinatama ko ang mali kong sagot. | itinatama ko ang mali kong sagot | [CORE] | Extremely common and natural across all contexts. |
| 7 | Itama mo ang iyong gawi. | itama mo ang iyong gawi | [CORE] | Extremely common and natural across all contexts. |
| 8 | Iwasto mo ang pagkakasulat. | iwasto mo ang pagkakasulat | [CORE] | Common in formal/technical contexts; natural but more formal than itama. |
| 8 | Iwasto ang mga mali. | iwasto ang mga mali | [CORE] | Common in formal/technical contexts; natural but more formal than itama. |
| 9 | Ihustó mo ang sukat. | ihustó mo ang sukat | [CORE] | Natural in contexts requiring precision or exact adjustment. |
| 9 | Ihustó ang timpla. | ihustó ang timpla | [CORE] | Natural in contexts requiring precision or exact adjustment. |
| 10 | Patunayan mo ang sinabi mo. | patunayan mo ang sinabi mo | [CORE] | Extremely common and natural across all contexts. |
| 10 | Pinatunayan niya ang katotohanan. | pinatunayan niya ang katotohanan | [CORE] | Extremely common and natural across all contexts. |
| 10 | Papatunayan ko na totoo ito. | papatunayan ko na totoo ito | [CORE] | Extremely common and natural across all contexts. |
| 11 | — | — | [NO COMMON CAUSATIVE FORM] | No common causative form exists for "causing someone to be honest." |
| 12 | — | — | [NO COMMON DEDICATED CAUSATIVE FORMS] | No common dedicated causative forms exist for falsification or making something false. |
| 13 | Nananatiling totoo ang sinabi ko. | nananatiling totoo ang sinabi ko | [CORE] | Natural and common for emphasizing persistence of truth. |
| 13 | Nananatili pa rin ang katotohanan. | nananatili pa rin ang katotohanan | [CORE] | Natural and common for emphasizing persistence of truth. |
| 14 | Nananatiling tama ang sagot ko. | nananatiling tama ang sagot ko | [CORE] | Natural for emphasizing persistence of correctness. |
| 14 | Nananatili ang wastong paraan. | nananatili ang wastong paraan | [CORE] | Natural for emphasizing persistence of correctness. |
| 15 | Hindi na totoo ang sinabi niya. | hindi na totoo ang sinabi niya | [CORE] | Standard and natural way to express cessation of truth. |
| 15 | Hindi na totoo iyon ngayon. | hindi na totoo iyon ngayon | [CORE] | Standard and natural way to express cessation of truth. |
| 16 | Hindi na tama ang dating sagot. | hindi na tama ang dating sagot | [CORE] | Standard and natural for expressing cessation of correctness. |
| 16 | Mali na ang lumang paraan. | mali na ang lumang paraan | [CORE] | Standard and natural for expressing cessation of correctness. |
| 17 | Nalaman kong totoo ang balita. | nalaman kong totoo ang balita | [CORE] | Extremely common and natural for expressing discovery of truth. |
| 17 | Natuklasan niya ang katotohanan. | natuklasan niya ang katotohanan | [CORE] | Extremely common and natural for expressing discovery of truth. |
| 17 | Nalaman na nila na mali sila. | nalaman na nila na mali sila | [CORE] | Extremely common and natural for expressing discovery of truth. |
| 18 | Sinusuri kung totoo ang balita. | sinusuri kung totoo ang balita | [CORE] | Natural and common for expressing verification processes. |
| 18 | Tinitingnan kung tama ang sagot. | tinitingnan kung tama ang sagot | [CORE] | Natural and common for expressing verification processes. |
| 18 | Sinisigurado kong totoo ito. | sinisigurado kong totoo ito | [CORE] | Natural and common for expressing verification processes. |
| 19 | Panatilihin natin ang katotohanan. | panatilihin natin ang katotohanan | [CORE] | Natural in moral and political discourse about defending truth. |
| 19 | Ipagtanggol ang katotohanan. | ipagtanggol ang katotohanan | [CORE] | Natural in moral and political discourse about defending truth. |
| 19 | Panindigan ang katotohanan. | panindigan ang katotohanan | [CORE] | Natural in moral and political discourse about defending truth. |
| 20 | Ilantad ang katotohanan. | ilantad ang katotohanan | [CORE] | Natural and common for expressing revelation or disclosure of truth. |
| 20 | Ihayag mo ang totoo. | ihayag mo ang totoo | [CORE] | Natural and common for expressing revelation or disclosure of truth. |
| 20 | Ipakita ang tunay na mukha. | ipakita ang tunay na mukha | [CORE] | Natural and common for expressing revelation or disclosure of truth. |
| 21 | Itago ang katotohanan. | itago ang katotohanan | [CORE] | Natural and common for expressing concealment of truth. |
| 21 | Ikubli ang totoo. | ikubli ang totoo | [CORE] | Natural and common for expressing concealment of truth. |
| 21 | Tinatago niya ang tunay na dahilan. | tinatago niya ang tunay na dahilan | [CORE] | Natural and common for expressing concealment of truth. |
| 22 | Binaluktot niya ang katotohanan. | binaluktot niya ang katotohanan | [CORE] | Natural for expressing distortion or corruption of truth. |
| 22 | Sinira ang katotohanan. | sinira ang katotohanan | [CORE] | Natural for expressing distortion or corruption of truth. |
| 23 | Tanggapin mo ang katotohanan. | tanggapin mo ang katotohanan | [CORE] | Natural and common for expressing acceptance of truth. |
| 23 | Kilalanin ang totoo. | kilalanin ang totoo | [CORE] | Natural and common for expressing acceptance of truth. |
| 23 | Tinanggap niya na mali siya. | tinanggap niya na mali siya | [CORE] | Natural and common for expressing acceptance of truth. |
| 24 | Tinanggihan niya ang katotohanan. | tinanggihan niya ang katotohanan | [CORE] | Natural and common for expressing denial of truth. |
| 24 | Itinanggi ang totoo. | itinanggi ang totoo | [CORE] | Natural and common for expressing denial of truth. |
| 24 | Ayaw niyang tanggapin na mali siya. | ayaw niyang tanggapin na mali siya | [CORE] | Natural and common for expressing denial of truth. |
| 25 | Nag-aalinlangan ako sa katotohanan ng balita. | nag-aalinlangan ako sa katotohanan ng balita | [CORE] | Natural and common for expressing doubt or uncertainty. |
| 25 | Nagdududa siya kung totoo iyon. | nagdududa siya kung totoo iyon | [CORE] | Natural and common for expressing doubt or uncertainty. |
| 25 | Nag-aalinlangan kung tama ang desisyon. | nag-aalinlangan kung tama ang desisyon | [CORE] | Natural and common for expressing doubt or uncertainty. |
