| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| სიმართლე / simartle | სიცრუე / sicrue | simartle / sicrue | truth / lie, falsehood | P3 explicitly states that sicrue "contrasts directly with simartle" and both are described as the primary everyday words for their respective concepts in moral and legal discourse. The parallel constructions simarṭle tqva ("told the truth") and sicrue tqva ("told a lie") are documented in P2b as directly parallel verb-object constructions, and simarṭlis tqma / sicruis tqma are documented as parallel genitive nominals in P2a and P1b. The paired formula sicrue da mot'q̇ueba (P2b) and the construction sicrues ambobs ("is telling a lie") stand in direct opposition to simartles vambob ("I am telling the truth") documented in P2b. | lexical | [CORE] |
| სიმართლე / simartle | სიყალბე / siq̇albe | simartle / siq̇albe | truth, correctness / falseness, falsehood, inauthenticity, fraud | P1 explicitly identifies siq̇albe as the antonym of simartle. Both are abstract nouns formed by the si-...-e circumfix on their respective roots (mart- and q̇alb-), making the opposition morphologically parallel as well as lexically established. P1 item #11 explicitly states that siq̇albe "contrasts directly with simartle." The two nominals occupy opposite poles of the truth/falsity dimension and appear in parallel constructional slots (e.g., simartle gamarjvebs vs. siq̇albe gamoašk'aravda). Both are placed in overlapping but distinct groups in P3 (Group 3 for simartle, Group 1 for siq̇albe), reflecting that their primary contexts of use differ even as they form a structural pair. | lexical; morphological (parallel si-...-e formations on contrasting roots) | [CORE] |
| ჭეშმარიტება / č̣ešmariteba | სიცრუე / sicrue | č̣ešmariteba / sicrue | truth (abstract, philosophical) / lie, falsehood | The construction ჭეშმარიტება ნახევარი სიცრუეა (č̣ešmariteba naxevari sicrueaˈ, "a half-truth is a lie") documented in P2b directly opposes the two terms within a single predication. Both terms are used in moral discourse about honest speech, though č̣ešmariteba carries a more elevated register than simartle in the same opposition. | lexical | [UNCERTAIN] |
| ჭეშმარიტება / č̣ešmariteba | სიყალბე / siq̇albe | č̣ešmariteba / siq̇albe | truth (in its philosophically and theologically marked sense) / falseness, falsehood, inauthenticity | P1 identifies siq̇albe as the antonym of č̣ešmariteba as well as of simartle. The contrast is asymmetric: č̣ešmariteba is the more philosophically and theologically marked term for truth, while siq̇albe is primarily legal and material in its register distribution. | lexical | [CORE] |
| ჭეშმარიტება / č̣ešmariteba | მტყუარობა / mt'q̇uaroba | č̣ešmariteba / mt'q̇uaroba | truth, truthfulness / habitual untruthfulness, the quality of being a liar | P1 item #2 explicitly lists mtkuaroba as a contrast for č̣ešmariteba. The two nominals occupy opposite poles of the truthfulness dimension at the level of abstract property. | lexical | [CORE] |
| ნამდვილი / namdvili | ყალბი / q̇albi | namdvili / q̇albi | genuine, real, authentic / false, fake, counterfeit, forged | P2b documents the directly parallel constructions ნამდვილი აღმოჩნდა (namdvili aġmočnda, "turned out to be genuine") and ყალბი აღმოჩნდა (q̇albi aġmočnda, "turned out to be fake/forged") using the same inchoative verb, establishing them as the primary adjectival opposition in authentication contexts. P3 notes that namdvili appears across Groups 1, 5, and 6 while q̇albi appears across Groups 1 and 5, confirming their parallel distribution. P1, P1b, P2b, and P3 consistently treat namdvili and q̇albi as the central opposing adjectives in this domain. The contrast is documented across parallel collocations: namdvili oqro ("real gold") vs. q̇albi oqro ("fake gold"); namdvili megobari ("true friend") vs. q̇albi ɣimili ("false smile"). P3 Group 5 explicitly identifies q̇albi and p'ik't'iuri as the opposites of namdvili and avt'enturi. P1 item #5 describes namdvili as asserting genuine character "as opposed to a copy, imitation, or pretense," which is precisely the domain of q̇albi. | lexical | [CORE] |
| ავთენტური / avtentiuri | ყალბი / q̇albi | avtentiuri / q̇albi | authentic, genuine (formal/technical) / false, fake, forged | Both terms are used in legal, archival, and administrative contexts to characterize documents and artifacts, and they occupy opposing positions on the genuine–forged axis in those registers. P3 places avtentiuri in Group 1 (document authentication) alongside namdvili, while q̇albi is the primary term for the forged or counterfeit pole in the same group. | lexical | [CORE] |
| სწორი / sc̣ori | მცდარი / mcdari | sc̣ori / mcdari | correct, right, accurate / erroneous, mistaken, wrong | P3 places both in Group 2 (factual correctness vocabulary) as the primary adjectival pair for correct vs. erroneous in epistemic evaluation of statements, beliefs, and judgments. P1 notes that mcdari "implies error rather than deliberate deception," distinguishing it from sicrue, while sc̣ori is the standard term for factual correctness of answers and statements. | lexical | [CORE] |
| ყალბი / q̇albi | მცდარი / mcdari | q̇albi / mcdari | false, fake, counterfeit, forged (implying deliberate deception) / erroneous, mistaken, wrong, incorrect (honest error) | P2a explicitly distinguishes these two terms: q̇albi implies deliberate falsification or intent to deceive, while mcdari describes honest mistakes or errors without implying intent. Both terms can be applied to statements or conclusions that are not true, but they carry different implications about the agent's responsibility. The documentation notes this distinction explicitly in the entry for mcdari. | lexical | [CORE] |
