# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Tagalog (tl)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| totoo | totoo ba yan? | totoo ba yan | Is that true? / Is that for real? | Standard question form seeking confirmation of truth claims. Extremely common in everyday conversation when expressing doubt or seeking verification. | [CORE] |
| totoo | totoo nga | totoo nga | it's really true / indeed it is | Emphatic confirmation using particle "nga." Very common for strong affirmation of truth. | [CORE] |
| totoo | hindi totoo | hindi totoo | not true / false / unreal | Standard full negation form. More emphatic than contracted "di-totoo." | [CORE] |
| totoo | sa totoo lang | sa totoo lang | to be honest / truthfully / actually | Fixed conversational phrase introducing frank or honest statements. Extremely common discourse marker for emphasizing sincerity. | [CORE] |
| totoo | totoo naman | totoo naman | it's true though / actually it is true | Concessive acknowledgment using particle "naman." Common in argumentative discourse when acknowledging a point before contrasting. | [CORE] |
| totoo | kung totoo | kung totoo | if true / if it's real | Conditional construction expressing hypothetical truth. Common in expressing doubt or considering possibilities. | [CORE] |
| totoo | totoo pa | totoo pa | still true / even true / moreover | Emphasizes continued or additional truth using particle "pa." Used to add emphasis or introduce further confirmation. | [CORE] |
| totoo | totoo rin | totoo rin | also true / true as well | Acknowledges additional truth using particle "rin/din." Common in adding confirmatory information. | [CORE] |
| totoo | totoo kaya | totoo kaya | I wonder if it's true / could it be true? | Expresses speculation or doubt using particle "kaya." Common in expressing uncertainty while considering possibilities. | [CORE] |
| totoo | totoo lamang | totoo lamang | only true / merely true / just the truth | Emphasizes simplicity or mere truth using formal particle "lamang." More formal or literary usage. | [MARGINAL] |
| totoo | sa katotohanan | sa katotohanan | in truth / in reality / actually | Formal or emphatic way to introduce true state of affairs. Used when contrasting appearance with reality. | [CORE] |
| totoo | ang katotohanan ay | ang katotohanan ay | the truth is / in truth | Formal construction introducing truth statements. Common in formal discourse and explanations. | [CORE] |
| totoo | walang katotohanan | walang katotohanan | without truth / baseless / false | Describes claims lacking factual basis. Used to dismiss unfounded statements or accusations. | [CORE] |
| totoo | totoo ang sinabi ko | totoo ang sinabi ko | what I said is true | Construction affirming truth of one's own statements. Common in defending one's claims. | [CORE] |
| totoo | totoo ang balita | totoo ang balita | the news is true | Construction affirming truth of reports or news. Common in confirming information. | [CORE] |
| totoo | hindi ko alam kung totoo | hindi ko alam kung totoo | I don't know if it's true | Expression of uncertainty about truth. Common in expressing doubt or lack of knowledge. | [CORE] |
| totoo | parang hindi totoo | parang hindi totoo | seems unreal / like it's not true | Expression of disbelief or unreality using "parang" (like/seems). Common in expressing surprise or skepticism. | [CORE] |
| totoo | totoo ba talaga | totoo ba talaga | is it really true? / for real? | Emphatic question combining "ba" and "talaga" for strong emphasis. Very common in expressing surprise or seeking strong confirmation. | [CORE] |
| tunay | tunay na pagmamahal | tunay na pagmamahal | true love / genuine love | Fixed expression describing authentic love. Very common in romantic and emotional contexts. | [CORE] |
| tunay | tunay na kaibigan | tunay na kaibigan | true friend / genuine friend | Common expression describing authentic friendship. Frequently used in evaluating relationships. | [CORE] |
