| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| αληθής (*alithís*) | Αληθώς ανέστη | Alithós anésti | Truly He is risen / He is risen indeed | The liturgical response to "Χριστός ανέστη" (Christ is risen) in the Eastern Orthodox Easter service. A fixed formulaic exchange used annually at Pascha; the adverbial form αληθώς (from αληθής) is preserved here in a context where it would not appear in everyday speech. Functions as a complete ritual speech act. | [CORE] |
| αληθής (*alithís*) | αληθής αξία | alithís aksía | true value, real value, intrinsic value | A semi-fixed collocation used in financial, economic, and philosophical discourse to refer to the actual or intrinsic value of an asset or thing as opposed to its nominal or market value. Already noted in P1b; documented here as a recognized collocational unit in financial registers. | [CORE] |
| αληθής (*alithís*) | αληθής αγάπη | alithís agápi | true love | A fixed collocation used in literary, religious, and everyday contexts to describe love that is genuine and deep as opposed to superficial or feigned. Already noted in P1b; functions as a recognized formulaic phrase in both secular and Christian discourse. | [CORE] |
| αληθής (*alithís*) | αληθής λόγος | alithís lógos | true account, true word, truthful statement | Used in philosophical and religious discourse to designate a statement or account that corresponds to reality. In Christian theological contexts, participates in discussions of the Logos. Less fixed than αληθής αγάπη; more compositional, but attested as a recognized collocation in formal registers. | [MARGINAL] |
| αληθής (*alithís*) | Η κατάθεσή του κρίθηκε αληθής. | I katáthesí tu krítike alithís. | His testimony was judged to be true. | Predicative use of αληθής in a passive judicial construction. This pattern — [noun phrase] + κρίνεται/κρίθηκε + αληθής — is characteristic of legal and formal registers where a claim or statement is evaluated for truth-value by an authority. | [CORE] |
| αληθής (*alithís*) | Ο ισχυρισμός αποδείχθηκε αληθής. | O ishirismós apodíhthike alithís. | The claim proved to be true. | Predicative construction combining αληθής with αποδείχθηκε (was proven). Common in legal, journalistic, and scientific registers to indicate that a previously contested claim has been established as true. | [CORE] |
| αληθής (*alithís*) | Δεν είναι αληθής η πληροφορία. | Den íne alithís i pliroforia. | The information is not true. | Standard negated predicative construction. Used in formal and journalistic registers to deny the truth of a piece of information. More formal than the equivalent construction with ψεύτικος or αληθινός. | [CORE] |
| αληθής (*alithís*) | αληθής ως προς τα πράγματα | alithís os pros ta prágmata | true with respect to the facts; accurate as regards the facts | A formal prepositional construction used in philosophical and legal registers to specify the domain or object of a truth-claim. The prepositional phrase ως προς (with respect to) restricts the scope of the predication. | [CORE] |
| αληθής (*alithís*) | αληθής κατά τεκμήριο | alithís katá tekmírio | presumed true; true by presumption | A legal construction used to describe a claim or fact that is treated as true in the absence of contrary evidence. Appears in legal texts and judicial reasoning. | [CORE] |
| αληθής (*alithís*) | αληθής ή ψευδής | alithís í psevdís | true or false | A fixed binary construction used in logic, philosophy, and everyday contexts to present the two possible truth-values of a proposition. Appears in educational, philosophical, and quiz contexts. | [CORE] |
| αληθής (*alithís*) | εν μέρει αληθής | en méri alithís | partly true, partially true | A formal construction used in legal, journalistic, and philosophical registers to indicate that a claim is true in some respects but not entirely. The prepositional phrase εν μέρει (in part) is formal in register. | [CORE] |
| αλήθεια (*alíthia*) | Αλήθεια; | Alíthia? | Really? / Is that true? / Seriously? | Used as a discourse particle expressing surprise or requesting confirmation. Extremely frequent in spoken Greek across all age groups and registers. Functions as a complete utterance with rising intonation. | [CORE] |
| αλήθεια (*alíthia*) | Αλήθεια, ήθελα να σε ρωτήσω… | Alíthia, íthela na se rotíso… | By the way, I wanted to ask you… | Used as a topic-shift or topic-introduction particle at the start of a turn or clause. The truth-evaluation meaning is bleached; the function is purely discourse-organizational. Extremely common in spoken Greek. | [CORE] |
| αλήθεια (*alíthia*) | στ' αλήθεια | st' alíthia | truly, honestly, in truth | A fixed adverbial phrase (contraction of εις την αλήθεια) used to introduce a sincere or frank statement. Already documented in P1b. Functions as a sentence adverb or discourse marker signaling sincerity. | [CORE] |
| αλήθεια (*alíthia*) | Η αλήθεια είναι ότι… | I alíthia íne óti… | The truth is that… | A fixed clausal frame used to introduce a frank, corrective, or concessive statement. Already documented in P1b. Extremely common in both spoken and written Greek; functions as a discourse-framing device. | [CORE] |
| αλήθεια (*alíthia*) | λέω την αλήθεια | léo tin alíthia | to tell the truth | The standard colloquial expression for telling the truth. Already documented in P1b. Used in everyday speech, legal contexts, and moral discourse. The construction is fully transparent but functions as the canonical expression for this act. | [CORE] |
| αλήθεια (*alíthia*) | αλήθεια ή ψέμα | alíthia í pséma | truth or lie; true or false | A binary framing used in everyday speech and game contexts. Already documented in P1b. Also used rhetorically to demand a definitive answer. | [CORE] |
| αλήθεια (*alíthia*) | αλήθεια ή τόλμη | alíthia í tólmi | truth or dare | The name of the party game "truth or dare" as used in Greek. Already documented in P1b. A recognized fixed phrase in contemporary colloquial usage. | [CORE] |
| αλήθεια (*alíthia*) | μισή αλήθεια | misí alíthia | half-truth | A fixed collocation used in everyday and journalistic discourse to describe a statement that is technically accurate but misleading by omission. Already documented in P1b. Carries negative evaluative force. | [CORE] |
| αλήθεια (*alíthia*) | πικρή αλήθεια | pikrí alíthia | bitter truth, hard truth | A fixed collocation used to describe a truth that is unpleasant or painful to acknowledge. Already documented in P1b. Common in everyday speech and literary contexts. | [CORE] |
| αλήθεια (*alíthia*) | γυμνή αλήθεια | gimní alíthia | naked truth, plain truth, bare truth | A fixed collocation used to describe truth presented without embellishment or concealment. Already documented in P1b. Used in rhetorical and literary contexts to emphasize directness. | [CORE] |
| αλήθεια (*alíthia*) | αλήθεια του Θεού | alíthia tu Theú | God's truth; I swear to God it's true | Used in religious discourse and as an emphatic oath in everyday speech. Already documented in P1b. "Αλήθεια του Θεού!" functions as a strong assertion of truthfulness, invoking divine witness. | [CORE] |
| αλήθεια (*alíthia*) | αλήθεια και δικαιοσύνη | alíthia ke dhikiosíni | truth and justice | A paired formula used in legal, political, and moral discourse. Already documented in P1b. Functions as a recognized value-pair in official and rhetorical contexts. | [CORE] |
| αλήθεια (*alíthia*) | αλήθεια και ψέμα | alíthia ke pséma | truth and lies; truth and falsehood | A paired formula framing the binary opposition between truthfulness and deception. Already documented in P1b. Common in everyday speech, journalism, and moral discourse. | [CORE] |
| αλήθεια (*alíthia*) | Για να λέμε την αλήθεια… | Ya na léme tin alíthia… | To tell the truth… / To be honest… / Truthfully speaking… | A fixed discourse-framing phrase used to introduce a frank or candid statement, often one that the speaker might otherwise hesitate to make. Functions as a hedging or sincerity-marking device. Very common in spoken Greek. | [CORE] |
| αλήθεια (*alíthia*) | Αν θέλεις την αλήθεια… | An thélis tin alíthia… | If you want the truth… / If you want my honest opinion… | A fixed conditional frame used to introduce a frank personal assessment or opinion. Functions as a sincerity marker and hedging device. Common in spoken Greek across registers. | [CORE] |
| αλήθεια (*alíthia*) | Πες μου την αλήθεια. | Pes mu tin alíthia. | Tell me the truth. | A direct imperative construction used to demand truthful disclosure. Functions as a canonical speech act of demanding truth. Extremely common in everyday speech, interrogation contexts, and interpersonal confrontation. | [CORE] |
| αλήθεια (*alíthia*) | Η αλήθεια πονάει. | I alíthia ponái. | The truth hurts. | A fixed proverbial expression used to acknowledge that truthful statements can be painful. Functions as a semi-proverbial utterance in everyday speech. Corresponds to the English "the truth hurts." | [CORE] |
| αλήθεια (*alíthia*) | Η αλήθεια βγαίνει πάντα στο φως. | I alíthia vgéni pánda sto fos. | The truth always comes to light. / Truth will out. | A proverbial construction treating αλήθεια as a subject with agentive properties. Used in everyday moral discourse and journalism to assert the inevitability of truth being revealed. Functions as a cliché or proverb. | [CORE] |
