# CLCA Protocol v3.4 — F4 Construction Table
# Language: Quechua (qu)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| ATTRIBUTION | kayqa chiqaqmi | kayqa chiqaq-mi | this is true | Extremely common in everyday discourse; copula *kay* regularly omitted in present tense with validator suffixes carrying predicative function. Used for both permanent and temporary states. | [CORE] |
| ATTRIBUTION | payqa llulla runam | pay-qa llulla runa-m | he/she is a liar | Standard pattern for character attribution; nominal predicates with -mi validator are unmarked constructions for identity/classification statements. | [CORE] |
| NEGATIVE ATTRIBUTION | kayqa mana chiqaqchu | kayqa mana chiqaq-chu | this is not true | Standard negation pattern; *mana* + predicate + -chu is the unmarked negative construction. The -chu suffix is obligatory in emphatic/categorical negation. | [CORE] |
| NEGATIVE ATTRIBUTION | payqa mana allin runachu | pay-qa mana allin runa-chu | he/she is not a good person | Common in evaluative statements about persons; same structural pattern as above, highly productive across all predicate types. | [CORE] |
| ADNOMINAL MODIFICATION | chiqaq simi | chiqaq simi | true word, truthful speech | Unmarked and highly productive pattern for all modification; no agreement marking required. Used freely in all registers and contexts. | [CORE] |
| ADNOMINAL MODIFICATION | llulla runa | llulla runa | lying person, liar | Standard pattern for character description; prenominal position is fixed and obligatory for attributive modification. | [CORE] |
| BECOME/INCHOATIVE | allinyay | allin-ya-y | to become good, to improve | Highly productive with stative bases; common in discourse about change, improvement, and development. Used across all semantic domains. | [CORE] |
| BECOME/INCHOATIVE | chiqaqyay | chiqaq-ya-y | to become true, to be verified | Standard pattern for expressing verification processes; frequently used in epistemic contexts where truth-status changes. | [CORE] |
| CAUSATIVE | chiqanchay | chiqaq-ncha-y | to verify, to authenticate | Common in formal/institutional contexts; the -ncha- variant (with epenthetic -n-) appears with certain roots, possibly phonologically conditioned. | [CORE] |
| CAUSATIVE | allinyachiy | allin-ya-chi-y | to make good, to improve, to fix | Extremely common in practical contexts; stacking of -ya- + -chi- is productive and creates "cause to become" semantics systematically. | [CORE] |
| ABSTRACT NOMINALIZATION | yachay | yacha-y | knowledge, knowing | Infinitive-as-noun is unmarked pattern; extremely common in abstract discourse. No formal distinction between infinitive and nominal use. | [CORE] |
| ABSTRACT NOMINALIZATION | pantana | panta-na | place/means of error | Less frequent than infinitive nominalization; -na creates more specialized instrumental/locative meanings, restricted to certain semantic contexts. | [MARGINAL] |
| AGENTIVE NOMINALIZATION | llullaq | llulla-q | liar, one who lies | Highly productive for agent/characteristic description; used freely for both habitual agents and adjectival modification. | [CORE] |
| AGENTIVE NOMINALIZATION | chiqanchaq | chiqaq-ncha-q | verifier, one who authenticates | Common in institutional/formal contexts; -q freely combines with all verbal derivations including causatives. | [CORE] |
| MANNER ADVERBIAL | chiqaqta rimay | chiqaq-ta rima-y | to speak truthfully | Standard and obligatory pattern for manner modification; -ta on evaluative terms is the unmarked adverbial strategy. | [CORE] |
| MANNER ADVERBIAL | allinta ruway | allin-ta ruwa-y | to do well, to do properly | Extremely common in all contexts; this specific collocation (*allinta ruway*) is particularly frequent as a general directive. | [CORE] |
| EVIDENTIAL/VALIDATOR | chiqaqmi | chiqaq-mi | it is true (I assert) | Evidential marking is obligatory in main clauses; -mi marks direct knowledge/personal assertion, used in all assertive contexts. | [CORE] |
