| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| egia | egiazko | — | *egia* “truth” + *-zko* adjectival suffix | true; genuine; real | Common adjective for something considered true or genuine, including statements, feelings, and objects. It is a standard and transparent derivation from *egia*. | [CORE] |
| egia | egiaz | — | *egia* “truth” + adverbial/instrumental ending | truly; really; in truth | Very common adverb used to affirm sincerity or factuality. It is one of the most ordinary truth-related derivatives of *egia*. | [CORE] |
| egia | egiazki | — | *egia* “truth” + adverbial suffix *-zki* | truly; genuinely | This adverb is attested but more marked than *egiaz*, especially in literary, formal, or older styles. It is not as common in everyday present-day usage. | [MARGINAL] |
| egia | egiazkotasun | — | *egiazko* “true, genuine” + *-tasun* “-ness” | truthfulness; authenticity; veracity | Used in formal and evaluative contexts for the quality of being true or genuine. It appears especially in philosophical, literary, and analytical prose. | [CORE] |
| egia | egiaztatu | — | truth-related base + verbalizing suffix | verify; confirm; ascertain | Very common verb in administrative, legal, and technical language for checking whether something is true or valid. It is a central modern derivative in the *egi-* family. | [CORE] |
| egia | egiaztapen | — | *egiaztatu* + nominal suffix | verification; confirmation | Common noun in bureaucratic and technical contexts for a formal act or result of verification. It is especially frequent in procedural language. | [CORE] |
| egia | egiaztatze | — | *egiaztatu* + action noun | verifying; verification | Refers to the process of verification, especially in instructions, protocols, and technical documentation. It is a standard action noun from *egiaztatu*. | [CORE] |
| egia | egiaztatagiri | — | *egiaztatu* + *agiri* “document” | certificate; proof document; verification document | Used in official and administrative settings for a document that certifies or verifies a fact or status. It is well supported in formal usage. | [CORE] |
| egia | egiatan | — | *egia* + locative/adverbial ending | in truth; actually | Attested as an adverbial form, but much less common than *egiaz* or *benetan*. It is mainly associated with formal, literary, or somewhat archaizing usage. | [MARGINAL] |
| egiazko | egiazkotasun | — | *egiazko* “true, genuine” + *-tasun* “-ness” | truthfulness; authenticity; veracity | This abstract noun denotes the quality of being true or genuine. It is used in formal evaluative contexts and is a clear derivation from *egiazko*. | [CORE] |
| egiaz | (no common derivation identified) |  |  |  |  |  |
| egiazki | (no common derivation identified) |  |  |  |  |  |
| benetako | (no common derivation identified) |  |  |  |  |  |
| benetan | benetako | — | *benetan* “really, truly” + adjectival *-ko* | real; genuine; true; authentic | Very common adjective for distinguishing something real or genuine from something false, apparent, or imitated. It is a standard and well-established derivation. | [CORE] |
| zinez | (no common derivation identified) |  |  |  |  |  |
| egoki | (no common derivation identified) |  |  |  |  |  |
| zuzen | zuzentasun | — | *zuzen* “right/correct” + *-tasun* “-ness” | correctness; rectitude; fairness | Common abstract noun for correctness, propriety, or rectitude. It is used in moral, linguistic, and institutional contexts. | [CORE] |
| zuzen | zuzendu | — | *zuzen* + verbal suffix | correct; straighten; amend; direct | Very common verb for correcting mistakes, straightening things, or directing activity. It is widely used in education, editing, administration, and everyday speech. | [CORE] |
| zuzen | zuzentze | — | *zuzendu* + action noun | correction; correcting | Standard action noun for the act or process of correcting. It is common in school, editorial, and procedural contexts. | [CORE] |
| zuzen | zuzenketa | — | *zuzen* + nominal suffix | correction; amendment | Used for textual corrections, official amendments, and repair of errors. It is common in publishing, administration, and education. | [CORE] |
| zuzen | zuzentzaile | — | *zuzendu* + agentive suffix | corrector; proofreader; examiner | Refers to a person who corrects texts, exams, or errors. It is well established in educational and editorial settings. | [CORE] |
| zuzen | zuzentarau | — | *zuzen* + *arau* “rule” | directive | Common institutional term for an official directive or guiding regulation. It is especially frequent in administrative and legal language. | [CORE] |
| zuzen | zuzendari | — | *zuzendu* + agentive suffix | director; manager | Standard noun for a director or manager, including school heads, company managers, and film or theatre directors. It is a very common derivative in modern Basque. | [CORE] |
| zuzen | zuzendaritza | — | *zuzendari* + abstract/collective suffix | management; direction; leadership; directing | Used for administrative leadership and also artistic direction. It is common in institutional and media-related contexts. | [CORE] |
| zuzen | zuzenean | — | *zuzen* + adverbial ending | directly; live | Very common adverb meaning “directly,” and in media contexts “live.” It is widely used in both everyday and formal language. | [CORE] |
| zuzen | zuzeneko | — | *zuzen* + *-eko/-ko* | direct; live | Common adjective for direct connection, direct consequence, or live performance/broadcast. It is especially frequent in media and event language. | [CORE] |
| zuzen | zuzenbide | — | *zuzen* “right” + *bide* “way” | law; jurisprudence; right | Standard and very common term for law as a discipline and normative system. It is central in legal, academic, and institutional usage. | [CORE] |
| zuzena | (no common derivation identified) |  |  |  |  |  |
| zuzentasun | (no common derivation identified) |  |  |  |  |  |
| oker | (no common derivation identified) |  |  |  |  |  |
| faltsu | (no common derivation identified) |  |  |  |  |  |
| gezur | gezurrezko | — | *gezur* “lie, falsehood” + *-zko* adjectival suffix | false; fake; bogus | Common adjective for false accusations, fake identities, bogus documents, and fabricated claims. It is a transparent and widely used derivation from *gezur*. | [CORE] |
| gezur | gezurretan | — | *gezur* + adverbial/pluralized locative form | lying; falsely | Very common form in expressions such as *gezurretan ari da* “he/she is lying.” It is especially frequent in spoken language. | [CORE] |
| gezur | gezurti | — | *gezur* + agentive/characterizing suffix | liar | Common noun and adjective for a person who lies. It is widely used in everyday accusation, moral judgment, and literary characterization. | [CORE] |
| gezur | gezurrez | — | *gezur* + adverbial/instrumental ending | falsely; by lying | Attested in more formal or literary usage to indicate falsity or deception in manner. It is less colloquial than *gezurretan*. | [MARGINAL] |
| gezur | gezur-detektagailu | — | *gezur* “lie” + *detektagailu* “detector” | lie detector | Used literally for a polygraph and figuratively for supposed lie-detecting means. It is established in policing, media, and popular discourse. | [CORE] |
| gezurrezko | (no common derivation identified) |  |  |  |  |  |
| fidagarri | (no common derivation identified) |  |  |  |  |  |
| sinesgarri | (no common derivation identified) |  |  |  |  |  |
| sinetsi | (no common derivation identified) |  |  |  |  |  |
| autentiko | (no common derivation identified) |  |  |  |  |  |
| jator | (no common derivation identified) |  |  |  |  |  |
| itxurazko | (no common derivation identified) |  |  |  |  |  |
| antzeko | (no common derivation identified) |  |  |  |  |  |
| berdin | (no common derivation identified) |  |  |  |  |  |
| identiko | (no common derivation identified) |  |  |  |  |  |
| funtsean | (no common derivation identified) |  |  |  |  |  |
