| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| doğru | doğru | straight, direct (from Proto-Turkic / Old Turkic *toğru*) | true, correct, right, accurate | Used across everyday, moral, logical, and epistemic contexts to affirm that a statement, action, or direction conforms to fact or norm. Participates in productive derivation: *doğruluk* (truthfulness, accuracy), *doğrulamak* (to verify/confirm), *doğrultmak* (to straighten/correct). One of the most semantically broad evaluative terms in Turkish. | [CORE] |
| yanlış | yanlış | oblique, off to the side (from *yan*, side + *-lış*) | wrong, incorrect, false, mistaken | The primary antonym of *doğru*; applied to statements, beliefs, actions, and representations judged to deviate from correctness. Used across factual, moral, and procedural contexts. Productive in derivation: *yanlışlık* (error, wrongness), *yanlışlamak* (to falsify, to show as wrong). Widely used in both colloquial and formal registers. | [CORE] |
| gerçek | gerçek | real, genuine (etymology debated; possibly from Persian *gark* or *gird* + Turkic suffix, or native Turkic) | real, true, genuine, actual | Emphasizes ontological or factual reality rather than mere correctness; used to assert that something is not illusory, fabricated, or simulated — applied to persons, objects, events, and statements. Contrasts with *sahte* (fake) and *yalan* (lie). Used in philosophical, legal, journalistic, and everyday contexts: *gerçek kimlik* (true identity), *gerçek değer* (real value). Also functions as a noun meaning "the truth" or "reality." Derives *gerçeklik* (reality, genuineness) and *gerçekten* (truly, really), *gerçekleşmek* (to come true, to materialize). | [CORE] |
| hakikat | hakikat | truth, reality, the true nature of something (from Arabic *ḥaqīqa*, true nature, reality) | truth, reality, the true nature (of something) | Used in philosophical, religious, literary, and formal registers to refer to deep or fundamental truth, often with a stronger ontological weight than *doğru* or *gerçek*, and often contrasted with surface appearance. More formal and elevated in register than *gerçek*. Appears in expressions like *hakikati söylemek* (to tell the truth), *hakikate ulaşmak* (to reach the truth), *hakikati aramak* (to seek the truth). | [CORE] |
| hak | hak | right, due, truth, God (in Islamic usage) (from Arabic *ḥaqq*) | right, truth, justice, entitlement | Polysemous term covering both "what is true" and "what is rightfully owed"; used in legal, moral, religious, and epistemic contexts. Functions both as a noun denoting what is correct or just and as a base for derivation: *haklı* (in the right, justified), *haksız* (unjust, wrong), *hak vermek* (to concede that someone is right), *hakkaniyet* (equity). | [CORE] |
| haklı | haklı | having right or justice (*hak* + adjectival suffix *-lı*, possessing) | right, justified, in the right, having a valid claim, correct (of a person) | Used to affirm that a person's position, action, or claim is justified or correct. Applied in both moral and epistemic evaluation. *Haklısın* ("You are right/justified") is a common everyday use; *haklı çıkmak* (to be proven right) is a common collocation. Contrasts with *haksız* (unjustified, wrong). Carries both epistemic (being correct) and moral (being justified) senses. | [CORE] |
| haksız | haksız | without right or justice (*hak*, right/justice + *-sız*, without) | unjust, wrongful, unfair, unrightful | Applied to actions, decisions, or persons judged to violate standards of justice or rightful entitlement. *Haksız kazanç* (unjust enrichment) is a legal term; *haksız eleştiri* (unfair criticism) is common in everyday use. Participates in the productive *hak-* family alongside *haklı* (rightful, justified). | [CORE] |
| sahte | sahte | false, counterfeit (from Arabic *saḥt*, forbidden/invalid, via Ottoman; or from Persian *sāḵte* / *sākhta* — made, fabricated) | fake, counterfeit, forged, spurious, false | Applied to objects, documents, identities, and representations that are presented as genuine but are not. Common in legal and commercial contexts: *sahte belge* (forged document), *sahte para* (counterfeit money), *sahte kimlik* (false identity). Less commonly extended to abstract claims than *yanlış* or *asılsız*. Does not typically apply to abstract propositions. | [CORE] |
| gerçek dışı | gerçek dışı | outside of the real (*gerçek* + *dışı*, outside of) | unreal, fictitious, contrary to fact | A compositional expression used to characterize claims, scenarios, or representations that do not correspond to reality. Appears in legal and philosophical discourse, e.g., *gerçek dışı beyan* (false/fictitious declaration). Less lexicalized than *sahte* or *yanlış* but conventionally used. | [CORE] |
| doğruluk | doğruluk | straightness, correctness, the quality of being correct/true (*doğru* + nominal suffix *-luk*) | truth, truthfulness, accuracy, correctness, integrity | The nominalized form of *doğru*, used to refer to the property or quality of being true or accurate. Appears in moral discourse (*doğruluk erdemi*, the virtue of truthfulness) and in technical contexts (measurement accuracy), as well as in contexts of honesty of character. Productive base for further derivation. | [CORE] |
| yalan | yalan | lie, falsehood (native Turkic origin) | lie, falsehood, untruth | Refers specifically to a deliberate false statement, carrying a stronger moral charge than *yanlış*. Used as a noun and predicate adjective to characterize statements as deliberately false. Used in moral, legal, and everyday contexts: *yalan söylemek* (to tell a lie), *yalancı* (liar). Participates in compounds such as *yalan beyan* (false declaration) in legal registers. Contrasts with *doğru* and *gerçek*. | [CORE] |
| asılsız | asılsız | without foundation (*asıl*, foundation/origin + *-sız*, without) | unfounded, baseless, groundless | Applied to claims, accusations, or allegations that lack evidentiary or factual basis. Frequent in legal and journalistic contexts: *asılsız iddia* (unfounded allegation). Implies not merely that something is wrong but that it lacks any supporting ground. | [CORE] |
| özgün | özgün | belonging to one's own essence (*öz*, essence/self + *-gün*; "of one's own essence," original) | original, authentic, genuine, unique | Used in aesthetic and intellectual contexts to describe works, ideas, or expressions that are not derivative or imitative. *Özgün eser* (original work) is standard in copyright and literary discourse. Contrasts with *taklit* (imitation). Distinct from *orijinal* (which is a loanword also in use) in carrying a stronger connotation of intrinsic authenticity. Derives *özgünlük* (originality, authenticity). Common in literary criticism and academic writing. | [CORE] |
| özgünlük | özgünlük | *özgün* + *-lük* (abstract noun suffix) — the quality of being original/authentic | originality, authenticity, genuineness | Used as an abstract noun in aesthetic, academic, and critical discourse to name the property of being original or authentic. Appears in evaluative judgments about art, literature, and intellectual work. | [CORE] |
| orijinal | orijinal | original (loanword from French/English *original*) | original, authentic (of an object or document) | Used especially in commercial, legal, and everyday contexts to distinguish an authentic item from a copy or imitation: *orijinal ürün* (original/genuine product). Overlaps with *özgün* but tends toward concrete objects rather than creative originality. Widely used in colloquial speech. | [CORE] |
| güvenilir | güvenilir | trustworthy, reliable (*güven*, trust + passive *-il-* + potential participial suffix *-ir* — "that can be trusted") | reliable, trustworthy, credible | Applied to persons, sources, institutions, and information judged to be dependable and accurate. *Güvenilir kaynak* (reliable source) is a standard collocation in journalism and academic discourse. Derives from *güvenmek* (to trust) and participates in the broader *güven-* derivational family. Contrasts with *güvenilmez* (unreliable, untrustworthy). Common in journalistic, legal, and everyday evaluative contexts. | [CORE] |
| güvenilmez | güvenilmez | not trustworthy (*güven* + passive *-il-* + negative potential *-mez* — "that cannot be trusted") | unreliable, untrustworthy, not credible | The direct negation of *güvenilir*, used to characterize persons, sources, or data that cannot be depended upon. Appears in evaluative contexts across legal, journalistic, and everyday registers, including legal testimony evaluation and journalistic source assessment. Morphologically transparent and productive. | [CORE] |
| inanılır | inanılır | *inan-* (to believe) + passive *-ıl-* + potential *-ır* — "that can be believed" | believable, credible, plausible | Used to evaluate whether a claim, story, or person is credible or plausible. Somewhat less formal than *güvenilir* and more focused on the believability of a specific claim or account. | [CORE] |
| geçerli | geçerli | valid, in force (*geçer*, passes/is accepted + adjectival suffix *-li* — "having currency/acceptance") | valid, legitimate, applicable, in effect, current, accepted | Used in legal, logical, and administrative contexts to indicate that something meets the required conditions for acceptance or force: *geçerli sözleşme* (valid contract), *geçerli argüman* (valid argument), *geçerli pasaport* (valid passport). Contrasts with *geçersiz* (invalid). Carries both procedural and epistemic senses. Participates in *geçerlilik* (validity). | [CORE] |
| geçersiz | geçersiz | invalid, not in force (*geçer* + *-siz*, without — "without currency/acceptance") | invalid, void, null, not applicable, not accepted | The antonym of *geçerli*; used in legal, administrative, and logical contexts to declare that something fails to meet required conditions or is no longer in force. *Geçersiz oy* (invalid ballot), *geçersiz sözleşme* (void contract) are standard collocations. Also used informally to dismiss an argument or claim. | [CORE] |
| meşru | meşru | lawful, legitimate (from Arabic *mašrūʿ*, legislated, permitted, from *šarīʿa*) | legitimate, lawful, rightful, valid | Used in legal, political, and moral contexts to evaluate whether an action, authority, or claim is sanctioned by law, norm, or recognized principle. *Meşru müdafaa* (legitimate self-defense) is a fixed legal expression. Distinct from *yasal* (legal) in that *meşru* can extend to moral or political legitimacy beyond strict legality. Contrasts with *gayri meşru* (illegitimate). Participates in *meşruiyet* (legitimacy) and *meşrulaştırmak* (to legitimize). | [CORE] |
| meşruiyet | meşruiyet | *meşru* + Arabic abstract suffix *-iyyet* — the quality of being lawful/legitimate | legitimacy, lawfulness | Used as an abstract noun in political, legal, and philosophical discourse to name the property of being legitimate or rightfully authorized. Central to discussions of political authority and legal validity. | [CORE] |
| yasal | yasal | pertaining to law (*yasa*, law + adjectival suffix *-l*) | legal, lawful, statutory | Refers specifically to conformity with written law, as opposed to broader moral or political legitimacy. *Yasal düzenleme* (legal regulation), *yasal hak* (legal right) are standard collocations. Often contrasted with *meşru* in discussions where legality and legitimacy diverge. | [CORE] |
| adil | adil | just, fair (from Arabic *ʿādil*, just) | fair, just, equitable | Applied to persons, processes, and outcomes evaluated against standards of fairness and impartiality. *Adil yargılama* (fair trial) is a fixed legal expression. Overlaps with *hakkaniyetli* but is more widely used across registers. | [CORE] |
| hakkaniyetli | hakkaniyetli | possessing equity (*hakkaniyet*, equity/fairness, from Arabic *ḥaqq* + Persian/Ottoman nominal suffix, + Turkish *-li*) | equitable, fair, just | More formal and legalistic than *adil*; used especially in judicial and administrative contexts where equitable treatment is at issue. *Hakkaniyetli karar* (equitable decision) is a standard collocation in legal writing. Less frequent in colloquial speech than *adil*. | [CORE] |
| tarafsız | tarafsız | without a side (*taraf*, side/party + *-sız*, without) | impartial, neutral, unbiased, objective | Applied to persons, institutions, and judgments that are not aligned with any particular interest or party. *Tarafsız hakem* (impartial arbitrator), *tarafsız basın* (neutral press) are common collocations. Used in legal, journalistic, and everyday evaluative contexts. | [CORE] |
| nesnel | nesnel | pertaining to the object (*nesne*, object + adjectival suffix *-l*) | objective | Used in philosophical, scientific, and evaluative discourse to characterize judgments or facts that are independent of personal perspective. Contrasts with *öznel* (subjective). A relatively modern coinage in Turkish, associated with academic and intellectual registers rather than everyday speech. | [CORE] |
| öznel | öznel | pertaining to the self/subject (*öz*, self/essence + adjectival suffix *-el*) | subjective | The antonym of *nesnel*; used to characterize evaluations, experiences, or judgments that depend on the perspective of an individual subject. Appears in philosophical, aesthetic, and academic discourse. Like *nesnel*, it is a modern Turkish coinage and is more formal than colloquial. | [CORE] |
| yanıltıcı | yanıltıcı | causing to err, misleading (*yanılt-*, causative of *yanılmak*, to err + agentive/adjectival *-ıcı*) | misleading, deceptive, fallacious | Applied to statements, representations, or actions that lead others to form false beliefs or into error, whether intentionally or not. *Yanıltıcı reklam* (misleading advertisement) is a standard legal and regulatory collocation. Implies an effect on the receiver's epistemic state rather than simply the falsity of content. Common in legal (consumer protection, advertising law) and journalistic contexts. | [CORE] |
| aldatıcı | aldatıcı | causing to be deceived (*aldat-*, causative of *aldamak*, to deceive + agentive *-ıcı* — "causing deception") | deceptive, deceitful, fraudulent, misleading | Stronger than *yanıltıcı* in implying intentional deception; applied to persons, acts, and representations. *Aldatıcı davranış* (deceptive conduct), *aldatıcı reklam* (deceptive advertising) appear in legal and moral discourse. Overlaps with *yanıltıcı* but carries a clearer implication of intent to deceive. | [CORE] |
| asıl | asıl | root, origin, foundation, original (from Arabic *aṣl*, root, origin) | original, genuine, fundamental, essential; also: the real/true one | Used to identify the genuine, foundational, or original instance of something as opposed to a copy, derivative, or surface appearance. *Asıl mesele* (the real issue), *asıl nüsha* (the original copy/document), *asıl belge* (original document). Also functions as an adverb meaning "actually" or "in fact," reinforcing claims about what something truly is. | [CORE] |
| sahici | sahici | genuine, real (possibly from *sahih*, Arabic *ṣaḥīḥ*, sound/correct, + Turkish adjectival suffix; or independently formed) | genuine, authentic, real | Used in everyday and literary contexts to affirm that something is truly what it appears to be, without pretense or artificiality. *Sahici duygu* (genuine feeling), *sahici bir insan* (a genuine person). Somewhat more colloquial and affective in tone than *gerçek* or *özgün*; more informal and affectively warm than *gerçek* or *hakiki*. Less common in formal or legal registers. | [CORE] |
| sahih | sahih | sound, correct, authentic (from Arabic *ṣaḥīḥ*) | authentic, valid, sound, correct | Primarily used in religious (Islamic), historical, legal, and scholarly contexts to evaluate the authenticity or soundness of texts, traditions, or documents. *Sahih hadis* (authentic hadith) is a fixed expression in Islamic scholarship. Less common in secular everyday speech, where *gerçek* or *özgün* are preferred; more domain-specific than *doğru*. Survives in some formal and archaic registers. | [MARGINAL] |
