# F5 Opposition Table — Tagalog (tl)

| Term A | Term B | Transliteration A | Transliteration B | Translation A | Translation B | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-------------------|-------------------|---------------|---------------|---------------------|---------------|------------------|
| totoo | hindi totoo | totoo | hindi totoo | true, real | not true, untrue | Standard morphological negation using the negative particle *hindi* to negate the truth-value of the base term. This is the unmarked, most emphatic negation pattern. | morphological | [CORE] |
| totoo | di-totoo | totoo | di-totoo | true, real | untrue, false, not real | Negation using the contracted prefix *di-* attached directly to the base. Less emphatic and more colloquial than *hindi totoo*. | morphological | [CORE] |
| totoo | kasinungalingan | totoo | kasinungalingan | true, real | lie, falsehood, untruth | Lexical opposition between truth and deliberate falsehood/lying. *Kasinungalingan* specifically denotes intentional false statements rather than mere incorrectness. | lexical | [CORE] |
| totoo | kathâ | totoo | kathâ | true, real | fiction, invention, fabrication | Lexical opposition between reality/truth and fictional or invented content. *Kathâ* emphasizes creative invention or fabrication. | lexical | [CORE] |
| totoo | kathang-isip | totoo | kathang-isip | true, real | imaginary, fictional, figment of imagination | Lexical opposition between reality and products of imagination. *Kathang-isip* specifically emphasizes mental invention without basis in reality. | lexical | [CORE] |
| totoo | gawâ-gawâ | totoo | gawâ-gawâ | true, real | made-up, fabricated, artificial, contrived | Lexical opposition between what is real/natural and what is artificially constructed or fabricated. *Gawâ-gawâ* emphasizes the artificial or contrived nature. | lexical | [CORE] |
| tunay | hindi tunay | tunay | hindi tunay | genuine, authentic, true | not genuine, not authentic, fake | Standard morphological negation of genuineness/authenticity using *hindi*. | morphological | [CORE] |
| tunay | peke | tunay | peke | genuine, authentic, true | fake, counterfeit, imitation, phony | Lexical opposition between genuine/authentic and fake/counterfeit. *Peke* specifically denotes fraudulent imitations or counterfeits. | lexical | [CORE] |
| tunay | huwad | tunay | huwad | genuine, authentic, true | false, fake, counterfeit, spurious | Lexical opposition between genuine and counterfeit/false. *Huwad* is more formal register than *peke* and emphasizes falseness or spuriousness. | lexical | [CORE] |
| tunay | palabás | tunay | palabás | genuine, authentic, true | pretense, show, act, facade | Lexical opposition between genuine nature and outward pretense or show. *Palabás* emphasizes deceptive appearances that conceal true nature. | lexical | [CORE] |
| tunay | kunwari | tunay | kunwari | genuine, authentic, true | pretend, feign, as if, supposedly | Lexical opposition between genuine and pretended/feigned. *Kunwari* marks actions or statements as not genuine or as imaginative play. | lexical | [CORE] |
| tama | mali | tama | mali | correct, right, proper | wrong, incorrect, mistaken, erroneous | Primary lexical opposition in the correctness domain. These are the unmarked antonyms for correctness vs. incorrectness across factual, moral, and practical contexts. | lexical | [CORE] |
| tama | hindi tama | tama | hindi tama | correct, right, proper | not correct, wrong, improper | Morphological negation of correctness using *hindi*. Functionally equivalent to *mali* but constructed through negation. | morphological | [CORE] |
| wasto | hindi wasto | wasto | hindi wasto | correct, proper, accurate | not correct, improper | Morphological negation of the more formal correctness term *wasto* using *hindi*. | morphological | [CORE] |
| tapat | hindi tapat | tapat | hindi tapat | sincere, honest, truthful, faithful | not honest, unfaithful, disloyal | Morphological negation of honesty/sincerity using *hindi*. | morphological | [CORE] |
| tapat | sinungaling | tapat | sinungaling | sincere, honest, truthful, faithful | liar, deceitful | Lexical opposition between honest/truthful persons and liars/deceitful persons. Contrasts character dispositions toward truth. | lexical | [CORE] |
| tapat | bulaán | tapat | bulaán | sincere, honest, truthful, faithful | false, deceitful, lying | Lexical opposition between honest/truthful and deceitful/lying. *Bulaán* characterizes persons or things by falsehood or deception. | lexical | [CORE] |
| lantád | lihim | lantád | lihim | exposed, open, evident, clear | secret, hidden, concealed, covert | Primary lexical opposition between what is openly visible/evident and what is deliberately hidden/secret. Contrasts revelation with concealment. | lexical | [CORE] |
| may katotohanan | walang katotohanan | may katotohanan | walang katotohanan | has truth, there is truth to it | without truth, baseless, groundless | Constructional opposition using existential predicates *may* (has/there is) vs. *walang* (without/there is no) with the abstract noun *katotohanan* (truth). Asserts presence vs. absence of truth. | constructional | [CORE] |
| may katunayan | walang katunayan | may katunayan | walang katunayan | has proof, there is evidence | without proof, unproven, baseless | Constructional opposition using existential predicates with the abstract noun *katunayan* (proof/evidence). Asserts presence vs. absence of supporting evidence. | constructional | [CORE] |
| may katapatan | walang katapatan | may katapatan | walang katapatan | has honesty, has loyalty, faithful | without honesty, disloyal, unfaithful | Constructional opposition using existential predicates with the abstract noun *katapatan* (honesty/loyalty). Asserts presence vs. absence of honesty or loyalty. | constructional | [CORE] |
| may lihim | walang lihim | may lihim | walang lihim | has a secret, there's something hidden | no secrets, nothing hidden | Constructional opposition using existential predicates with *lihim* (secret). Asserts presence vs. absence of concealed information. | constructional | [CORE] |
| tama ka | mali ka | tama ka | mali ka | you're right, you're correct | you're wrong, you're mistaken | Constructional opposition using pronominal attribution with the primary correctness antonyms. Extremely common in conversational agreement/disagreement. | constructional (based on lexical opposition) | [CORE] |
| totoo ba? | totoo nga | totoo ba | totoo nga | is it true? really? | it's really true, indeed true | Constructional opposition between interrogative (using particle *ba*) and emphatic affirmation (using particle *nga*). Contrasts questioning with confirming truth-value. | constructional | [CORE] |
| tama ba? | tama nga | tama ba | tama nga | is it correct? am I right? | indeed correct, that's right, exactly | Constructional opposition between interrogative and emphatic affirmation for correctness. Contrasts seeking confirmation with providing confirmation. | constructional | [CORE] |
| akma | hindi akma | akma | hindi akma | fitting, appropriate, suitable | not fitting, inappropriate | Morphological negation of appropriateness/fit using *hindi*. | morphological | [CORE] |
