# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Greek (el)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| αλήθεια (alítheia) | ψέμα (pséma) | alítheia vs. pséma | truth vs. lie | Core lexical opposition between truth and falsehood in speech acts. Both terms function as nouns denoting the content of statements, with αλήθεια marking correspondence to facts and ψέμα marking deliberate misrepresentation. | lexical | [CORE] |
| αληθεύω (alithévo) | ψεύδομαι (psévomai) | alithévo vs. psévomai | to tell the truth vs. to lie | Verbal opposition for truth-telling versus lying actions. Both are denominative verbs derived from the noun roots, marking the speech acts of telling truth or telling lies. | lexical | [CORE] |
| αληθινός (alithinós) | ψευδής (pseudís) | alithinós vs. pseudís | true/genuine vs. false/lying | Adjectival opposition marking true/genuine versus false/lying quality, applicable to statements, objects, and persons. ψευδής is more formal/learned than the colloquial alternative ψεύτικος. | lexical | [CORE] |
| αληθινός (alithinós) | ψεύτικος (pséftikos) | alithinós vs. pséftikos | true/genuine vs. false/fake | Adjectival opposition marking true/genuine versus false/fake, with ψεύτικος being the more colloquial alternative to ψευδής. Both contrast with αληθινός but differ in register. | lexical | [CORE] |
| γνήσιος (gnísios) | πλαστός (plastós) | gnísios vs. plastós | genuine/authentic vs. fake/forged | Opposition between genuine/authentic and fake/forged, specifically for objects and documents. πλαστός carries connotation of deliberate fabrication for deception, particularly in legal contexts. | lexical | [CORE] |
| γνήσιος (gnísios) | κίβδηλος (kívdilos) | gnísios vs. kívdilos | genuine vs. counterfeit/adulterated | Opposition between genuine and counterfeit/adulterated, with κίβδηλος originally applied to debased coins and now to spurious objects. More formal/literary than πλαστός. | lexical | [MARGINAL] |
| γνήσιος (gnísios) | νόθος (nóthos) | gnísios vs. nóthos | genuine/legitimate vs. spurious/illegitimate | Opposition between genuine/legitimate and spurious/illegitimate, with νόθος originally marking illegitimate birth and extending to questionable provenance of objects. Formal/archaic register. | lexical | [MARGINAL] |
| αυθεντικός (afthentikós) | πλαστός (plastós) | afthentikós vs. plastós | authentic/original vs. fake/forged | Opposition between authentic/original and fake/forged, particularly for artworks, documents, and artifacts. αυθεντικός emphasizes verified provenance and originality. | lexical | [CORE] |
| σωστός (sostós) | λάθος (láthos) | sostós vs. láthos | correct/right vs. wrong/mistaken | Opposition between correct/right and wrong/mistaken, applicable to actions, answers, and procedures. λάθος functions as both adjective and noun marking error. | lexical | [CORE] |
| ορθός (orthós) | λάθος (láthos) | orthós vs. láthos | correct/right/straight vs. wrong/erroneous | Opposition between correct/right/straight and wrong/erroneous. ορθός is more formal than σωστός and emphasizes conformity to standard or rule. | lexical | [CORE] |
| ακριβής (akrivís) | λάθος (láthos) | akrivís vs. láthos | accurate/precise/exact vs. wrong/erroneous | Opposition between accurate/precise/exact and wrong/erroneous, with ακριβής emphasizing precision and detailed correspondence rather than simple correctness. | lexical | [CORE] |
| δίκαιος (díkaios) | άδικος (ádikos) | díkaios vs. ádikos | just/fair/righteous vs. unjust/unfair | Opposition between just/fair/righteous and unjust/unfair, marking moral and legal evaluation. άδικος is morphologically derived via α- privative prefix. | morphological | [CORE] |
| έγκυρος (énkyros) | άκυρος (ákyros) | énkyros vs. ákyros | valid/legitimate vs. invalid/void | Opposition between valid/legitimate and invalid/void, specifically for legal and administrative documents, contracts, and arguments. άκυρος formed via α- privative prefix. | morphological | [CORE] |
| ειλικρινής (eilikrinís) | υποκριτής (ipokritís) | eilikrinís vs. ipokritís | sincere/honest vs. hypocrite/pretender | Opposition between sincere/honest (adjective) and hypocrite/pretender (noun), marking authenticity versus insincerity in character and conduct. Asymmetric in part of speech but semantically opposed. | lexical | [CORE] |
| ειλικρίνεια (eilikríneia) | υποκρισία (ipokrisía) | eilikríneia vs. ipokrisía | sincerity/honesty vs. hypocrisy/pretense | Nominal opposition between sincerity/honesty and hypocrisy/pretense, marking quality of character and conduct. Both are abstract nouns derived from their respective adjectival/nominal bases. | lexical | [CORE] |
| πραγματικός (pragmatikós) | εικονικός (eikonikós) | pragmatikós vs. eikonikós | real/actual vs. virtual/notional/apparent | Opposition between real/actual and virtual/notional/apparent, distinguishing what exists in reality from what exists only in representation or appearance. Particularly relevant in contemporary digital contexts. | lexical | [CORE] |
| πραγματικότητα (pragmatikótita) | ψευδαίσθηση (psevdaísthisi) | pragmatikótita vs. psevdaísthisi | reality/actuality vs. illusion/false perception | Opposition between reality/actuality and illusion/false perception, marking the distinction between what actually exists and what is merely perceived or imagined. | lexical | [CORE] |
| βέβαιος (vévaios) | αμφίβολος (amfívolos) | vévaios vs. amfívolos | certain/sure/reliable vs. doubtful/dubious/ambiguous | Opposition between certain/sure/reliable and doubtful/dubious/ambiguous, marking epistemic stance regarding confidence in claims or information. | lexical | [CORE] |
| βεβαιότητα (vevaiótita) | αμφιβολία (amfivolía) | vevaiótita vs. amfivolía | certainty/sureness vs. doubt/uncertainty | Nominal opposition between certainty/sureness and doubt/uncertainty, marking degree of epistemic confidence. Both are abstract nouns derived from their adjectival bases. | lexical | [CORE] |
| ουσιαστικός (ousiastikós) | εικονικός (eikonikós) | ousiastikós vs. eikonikós | substantial/essential/real vs. virtual/notional/apparent | Opposition between substantial/essential/real and virtual/notional/apparent, distinguishing what has genuine substance from what is merely nominal or surface-level. | lexical | [CORE] |
| λέω την αλήθεια (léo tin alítheia) | λέω ψέματα (léo psémata) | léo tin alítheia vs. léo psémata | tell the truth vs. tell lies | Constructional opposition between truth-telling and lying using light verb λέω "say/tell" with contrasting objects. Note obligatory plural ψέματα in the lying construction. | constructional | [CORE] |
| κάνω το σωστό (káno to sostó) | κάνω λάθος (káno láthos) | káno to sostó vs. káno láthos | do the right thing vs. make a mistake | Constructional opposition between doing the right thing and making a mistake, using light verb κάνω "do/make" with contrasting objects. Note article present with σωστό but absent with λάθος. | constructional | [CORE] |
| βγαίνει η αλήθεια στη φόρα (vgaíni i alítheia sti fóra) | κρύβω την αλήθεια (krývo tin alítheia) | vgaíni i alítheia sti fóra vs. krývo tin alítheia | the truth comes out/to light vs. hide the truth | Constructional opposition between truth emerging/coming to light and truth being hidden, using metaphorical constructions of revelation versus concealment. | constructional | [CORE] |
| αποκαλύπτω την αλήθεια (apokalýpto tin alítheia) | κρύβω την αλήθεια (krývo tin alítheia) | apokalýpto tin alítheia vs. krývo tin alítheia | reveal/uncover the truth vs. hide the truth | Constructional opposition between revealing/uncovering truth and hiding truth, marking active agent roles in disclosure versus concealment. | constructional | [CORE] |
| βεβαιώνω (vevaióno) | ακυρώνω (akyróno) | vevaióno vs. akyróno | confirm/certify vs. invalidate/cancel | Verbal opposition between confirming/certifying and invalidating/canceling, used in legal and administrative contexts to mark institutional authority over validity status. | lexical | [CORE] |
| βεβαίωση (vevaíosi) | ακύρωση (akýrosi) | vevaíosi vs. akýrosi | confirmation/certification vs. cancellation/invalidation | Nominal opposition between confirmation/certification and cancellation/invalidation, marking the acts or documents of validation versus invalidation in administrative contexts. | lexical | [CORE] |
| διορθώνω το λάθος (diorthóno to láthos) | κάνω λάθος (káno láthos) | diorthóno to láthos vs. káno láthos | correct the mistake vs. make a mistake | Constructional opposition between correcting a mistake and making a mistake, marking the remedial action versus the error-producing action. | constructional | [CORE] |
| η γυμνή αλήθεια (i gymní alítheia) | μισή αλήθεια (misí alítheia) | i gymní alítheia vs. misí alítheia | the naked truth vs. half-truth | Constructional opposition between "naked truth" (complete, unvarnished truth) and "half-truth" (partially true but misleading statement), marking degree of completeness in truth-telling. | constructional | [CORE] |
| άσπρο ψέμα (áspro pséma) | μαύρο ψέμα (mávro pséma) | áspro pséma vs. mávro pséma | white lie vs. black lie | Constructional opposition using color metaphors: "white lie" (harmless, well-intentioned) versus "black lie" (serious, malicious). Color symbolism marks moral evaluation of deception. | constructional | [CORE] |
| αληθοφάνεια (alithofáneia) | αλήθεια (alítheia) | alithofáneia vs. alítheia | verisimilitude/appearance of truth vs. actual truth | Opposition between verisimilitude/appearance of truth and actual truth, distinguishing what seems true or plausible from what is genuinely true. | lexical | [CORE] |
| αληθοφανής (alithofanís) | αληθινός (alithinós) | alithofanís vs. alithinós | truth-like/plausible vs. genuinely true | Adjectival opposition between truth-like/plausible and genuinely true, marking the distinction between appearance and reality in truth evaluation. | lexical | [CORE] |
| πραγματικός κόσμος (pragmatikós kósmos) | εικονικός κόσμος (eikonikós kósmos) | pragmatikós kósmos vs. eikonikós kósmos | real world vs. virtual world | Constructional opposition between "real world" and "virtual world," particularly relevant in contemporary digital and gaming contexts, marking actual versus simulated environments. | constructional | [CORE] |
| πραγματική ζωή (pragmatikí zoí) | εικονική πραγματικότητα (eikonikí pragmatikótita) | pragmatikí zoí vs. eikonikí pragmatikótita | real life vs. virtual reality | Constructional opposition between "real life" and "virtual reality," marking the distinction between lived experience and simulated/digital experience. | constructional | [CORE] |
