| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | 그것은 사실이다. | *geugeoseun sasirida* | “That is a fact / That is true.” | Common in neutral-to-formal assertion, reporting, and argumentation. **사실이다** is especially standard for factual claims, while alternants such as **진실이다, 정확하다, 옳다, 유효하다** vary by domain (truth, accuracy, correctness, legal/administrative validity). | [CORE] |
| ATTRIBUTION | 네 말이 옳다. | *ne mari olta* | “What you said is right.” | Natural in everyday evaluation of statements, judgments, or decisions. Compared with **사실이다**, **옳다** is more about correctness or rightness than bare factuality. | [CORE] |
| NEGATIVE ATTRIBUTION | 그 말은 사실이 아니다. | *geu mareun sasiri anida* | “That statement is not true / not a fact.” | Very common as the basic negated counterpart to factual attribution in speech, writing, and public discourse. Attested alternates include **A-지 않다**, **사실과 다르다**, and formal **허위이다**, which differ in tone and register. | [CORE] |
| NEGATIVE ATTRIBUTION | 그 보도는 사실과 다르다. | *geu bodoneun sasilgwa dareuda* | “That report differs from the facts / is untrue.” | Frequent in journalism, official correction, and dispute contexts where mismatch with facts is emphasized rather than simple negation. It is somewhat more contrastive and report-like than **사실이 아니다**. | [CORE] |
| ADNOMINAL MODIFICATION | 진정한 사랑 | *jinjeonghan sarang* | “true/genuine love” | Very natural in descriptive and evaluative noun phrases, especially for authenticity, sincerity, or essence. Attested alternates include **진실한, 정확한, 정당한, 타당한, 유효한** depending on semantic domain. | [CORE] |
| ADNOMINAL MODIFICATION | 정확한 정보 | *jeonghwakan jeongbo* | “accurate information” | Common in informational, administrative, and educational contexts. This pattern is highly productive with quality adjectives before nouns, while copular nouns may also appear in broader syntax as **N인 N**. | [CORE] |
| BECOME / INCHOATIVE | 계약이 무효가 되었다. | *gyeyagi muhyoga doeeotda* | “The contract became invalid.” | Standard for status change in legal, institutional, and formal contexts. **되다** is broadly usable for change of validity/status, while attested alternate **N으로 드러나다** is used when falsity or truth emerges through discovery. | [CORE] |
| BECOME / INCHOATIVE | 그 주장은 거짓으로 드러났다. | *geu jujangeun geojiseuro deureonatda* | “That claim turned out to be false.” | Natural when later evidence reveals the real status of a claim, report, or person. Compared with **되다**, **드러나다** is more about revelation than simple change. | [CORE] |
| CAUSATIVE (OR ABSENCE) | 사실을 확인하다. | *sasireul hwaginhada* | “Confirm the facts.” | Very common in journalism, administration, law, and everyday checking. Attested alternates include **밝히다, 무효로 하다, 정정하다**; usage depends on whether the act is verification, revelation, invalidation, or correction. | [CORE] |
| CAUSATIVE (OR ABSENCE) | 결정을 무효로 했다. | *gyeoljeongeul muhyoro haetda* | “They invalidated the decision.” | Natural in legal, bureaucratic, and formal decision-making contexts. This is a lexical/periphrastic way to express causation in this domain rather than a dedicated morphological causative pattern. | [CORE] |
| ABSTRACT NOMINALIZATION | 정확성이 중요하다. | *jeonghwakseongi jungyohada* | “Accuracy is important.” | Very common in formal writing, evaluation, and technical discussion. Attested alternates include **N+성**, **N+도**, and more limited **A-ㅁ/음** forms, with **-성** especially productive for abstract qualities. | [CORE] |
| ABSTRACT NOMINALIZATION | 그의 진실성이 느껴진다. | *geuui jinsilseongi neukkyeojinda* | “His sincerity/authenticity is felt.” | Natural in evaluative or literary-register description of personal quality or authenticity. Compared with **정확성**, **진실성** is somewhat more character- or discourse-oriented than technical. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | 거짓말쟁이 | *geojinmaljaengi* | “liar” | A common lexicalized noun in everyday speech for a person who lies. The P4a note explicitly indicates no equally standard productive positive counterpart; attested descriptive alternates are **정직한 사람** and **진실한 사람** rather than a parallel agent noun. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | 정직한 사람 | *jeongjikhan saram* | “honest person” | Natural as a descriptive phrase for a truthful or honest person across everyday and formal contexts. It is not a specialized agentive nominal in the same way as **거짓말쟁이**, so usage is broader but less lexically fixed. | [CORE] |
| EVIDENTIAL / ASSERTIVE CLAUSAL FRAME | 그가 떠난 것은 사실이다. | *geuga tteonan geoseun sasirida* | “It is true that he left.” | Very common in formal assertion, concession, and argumentative prose. This clausal nominalization frame is especially useful when the whole proposition, rather than a noun phrase, is being affirmed as fact; attested alternates include **부인할 수 없는 사실이다** and **사실상 ~이다**. | [CORE] |
| EVIDENTIAL / ASSERTIVE CLAUSAL FRAME | 이는 부인할 수 없는 사실이다. | *ineun buinhal su eomneun sasirida* | “This is an undeniable fact.” | Natural in emphatic formal writing, public statements, and persuasive discourse. It is stronger and more rhetorical than plain **사실이다**. | [CORE] |
| VERIFICATION / REVELATION CONSTRUCTION | 진실을 밝히다. | *jinsireul balkhida* | “Reveal the truth.” | Very common in journalism, investigations, law, and public accountability discourse. Attested alternates include **확인하다, 규명하다, N 여부를 확인하다**, with differences in whether the focus is exposing, verifying, or determining. | [CORE] |
