| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| tosi | totuus | totuus | *tot-* (allomorph of *tosi* before *-uus*) + *-uus* (abstract nominal suffix); also analysed as *tosi* (true) + nominalizing *-uus* (with stem alternation *tosi* → *totu-*) | truth | Abstract noun denoting the property of being true or a true state of affairs. Already documented as P1 item 2; cross-referenced here as the primary nominal derivation from *tosi*. | [CORE] |
| tosi | todella | todella | *tode-* (oblique stem of *tosi*) + adessive case *-lla*; also analysed as todellinen stem todel- + *-la* (adverbial suffix, adessive-origin) | really; truly; indeed; actually | A high-frequency adverb used to assert that something is genuinely or actually the case, or to intensify a claim (*hän on todella taitava* — "he is really skilled"; *todella tapahtui* — "it really happened"). One of the most common adverbs in Finnish discourse across all registers. Already documented in P1b (Root 1, item 11); cross-referenced here. | [CORE] |
| tosi | todellinen | todellinen | *tode-* + adjectival *-llinen* | real; actual; genuine | Adjective describing something that exists in reality as opposed to appearance or fiction. Already documented in P1b (Root 1, item 12); cross-referenced here. | [CORE] |
| tosi | todellisuus | todellisuus | *todellinen* + nominalizing *-uus* | reality; actuality | Abstract noun referring to the state of being real or the totality of what is real. Already documented in P1b (Root 1, item 13); cross-referenced here. | [CORE] |
| tosi | todistaa | todistaa | *tod-* (allomorph of *tosi* before vowel-initial suffixes) + *-istaa* (factitive/causative verbal suffix); also analysed as *tode-* / *tosi* + *-staa* (derivational verbal suffix) | to prove; to testify; to certify | Verb denoting the act of establishing something as true or of giving testimony. Already documented as P1 item 16; cross-referenced here as the primary verbal derivation from *tosi*. | [CORE] |
| tosi | todentaa | todentaa | *toden-* (genitive-stem allomorph of *tosi*) + *-taa* (causative verbal suffix); also analysed as *tode-* + causative *-ntaa* | to verify; to authenticate; to confirm as real; to validate | Used in technical, administrative, and IT security contexts for the process of verifying that something is genuine or that a claim is accurate. *Todentaa henkilöllisyys* (to verify identity); *kaksivaiheinen todentaminen* (two-factor authentication). Already documented in P1b (Root 1, item 17); cross-referenced here. | [CORE] |
| tosi | todentua | todentua | *tode-* + inchoative/reflexive *-ntua* | to come true; to be verified; to materialize | Describes a prediction or expectation that proves to be true. Already documented in P1b (Root 1, item 19); cross-referenced here. | [CORE] |
| tosi | tosiasia | tosiasia | *tosi* + *asia* (matter, thing) | fact | Compound noun referring to an established or undeniable fact. Already documented in P1b (Root 1, item 5); cross-referenced here as a productive compound base. | [CORE] |
| tosi | todenmukainen | todenmukainen | *toden* (genitive of *tosi*) + *mukainen* (conforming to, in accordance with) | true-to-life; realistic; verisimilar; accurate | Used in aesthetic and evaluative contexts to describe representations — literary, artistic, journalistic — that conform closely to reality. *Todenmukainen kuvaus* (a realistic/true-to-life portrayal). | [CORE] |
| tosi | todenperäinen | todenperäinen | *toden* (genitive of *tosi*) + *peräinen* (originating from, based on, from *perä*, back/origin) | true; factual; based on truth; genuine | Used to assert that a story, account, or claim is based on actual events or facts. *Todenperäinen tarina* (a true story; a story based on real events). Common in journalism and narrative contexts. | [CORE] |
| tosi | tosiaan | tosiaan | *tosi* + *-aan* (emphatic/adverbial clitic) | really; indeed; truly; actually | Common colloquial adverb used to affirm or confirm a statement, often with a nuance of mild surprise or emphasis. *Se on tosiaan niin* (it really is so; it is indeed the case). | [CORE] |
| tosi | tosiasiallinen | tosiasiallinen | *tosi* + *asia* (matter, fact) + *-llinen* (adjectival suffix) | factual; actual; de facto | Used in legal and administrative language to describe a situation as it actually exists in fact, as opposed to how it is formally or legally classified. *Tosiasiallinen tilanne* (the actual/de facto situation). | [CORE] |
| tosi | tosipohjainen | tosipohjainen | *tosi* + *pohjainen* (based on, from *pohja*, base/bottom) | fact-based; grounded in fact; evidence-based | Used in journalistic, political, and scientific discourse to describe reporting, policy, or argument grounded in verified facts. *Tosipohjainen journalismi* (fact-based journalism). | [CORE] |
| tosi | tositapahtuma | tositapahtuma | *tosi* + *tapahtuma* (event, occurrence) | real event; actual occurrence; true event | Used to assert that a described event actually occurred, as opposed to being fictional. *Perustuu tositapahtumiin* (based on true events) — common in film and literary contexts. | [CORE] |
