| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
|---|---|---|---|---|---|
| ATTRIBUTION | *The statement is true.* | N/A | “The statement is true.” | [CORE] | Common and idiomatic across everyday, academic, legal, and journalistic contexts. Adjective choice is domain-sensitive: *true* for propositions, *accurate* for descriptions, *valid* for arguments/documents, *credible/reliable* for sources or testimony. Alternate constructions attested in P4a: **NP + be + correct / right / accurate / valid / genuine / authentic / real / reliable / credible**. |
| ATTRIBUTION | *That explanation is credible.* | N/A | “That explanation is credible.” | [CORE] | Common when evaluating plausibility or trustworthiness rather than strict factual truth. More typical with explanations, witnesses, reports, and sources than with bare factual propositions. Alternate constructions attested in P4a: **NP + be + true / correct / right / accurate / valid / genuine / authentic / real / reliable**. |
| NEGATIVE ATTRIBUTION | *The claim is untrue.* | N/A | “The claim is untrue.” | [CORE] | Natural in formal and neutral evaluation of statements, claims, and allegations. English allows both analytic negation (*not true*) and lexical negatives (*untrue, false*), with some variation in tone and domain. Alternate constructions attested in P4a: **NP + be + not true / false / incorrect / inaccurate / invalid / fake / counterfeit / inauthentic / unreliable / untrustworthy**. |
| NEGATIVE ATTRIBUTION | *The document is fake.* | N/A | “The document is fake.” | [CORE] | Very common for objects, documents, artifacts, and identities judged not genuine. This pattern is restricted to genuineness/authenticity contexts rather than propositional falsity. Alternate constructions attested in P4a: **NP + be + counterfeit / inauthentic**. |
| ADNOMINAL MODIFICATION | *a true story* | N/A | “a true story” | [CORE] | Highly natural as a noun-modifying pattern in classification and description. Specific adjective–noun pairings are partly conventionalized, so not every adjective combines equally freely with every noun. Alternate constructions attested in P4a: **accurate/valid/genuine/authentic/real/reliable/credible/faithful/exact/precise + N**. |
| ADNOMINAL MODIFICATION | *an authentic document* | N/A | “an authentic document” | [CORE] | Common in legal, archival, commercial, and cultural contexts where genuineness matters. This use is more restricted to artifacts, records, signatures, and similar items than to abstract propositions. Alternate constructions attested in P4a: **true/correct/accurate/valid/genuine/real/reliable/credible/faithful/exact/precise + N**. |
| BECOME / INCHOATIVE | *The rumor proved true.* | N/A | “The rumor proved true.” | [CORE] | Natural for later confirmation of a prior report, suspicion, or belief. *Prove true* is especially common in somewhat formal or narrative styles; related resultative variants are also established. Alternate constructions attested in P4a: **NP + become / turn out + true / real / valid**. |
| BECOME / INCHOATIVE | *Her prediction came true.* | N/A | “Her prediction came true.” | [CORE] | Extremely common and idiomatic with predictions, hopes, fears, wishes, and dreams. This pattern is relatively fixed and does not extend equally to all noun types. Alternate constructions attested in P4a: **come true**; also **NP + prove / turn out + true** as listed in P4a. |
| CAUSATIVE (OR ABSENCE) | *The new evidence proved the claim true.* | N/A | “The new evidence proved the claim true.” | [CORE] | Natural in formal and expository contexts where evidence establishes the truth of a proposition. Adjective-based causatives are limited in range and are not equally productive across all truth-related meanings. Alternate constructions attested in P4a: **V + NP + right/valid**; lexical causatives **authenticate, validate, verify, correct**. |
| CAUSATIVE (OR ABSENCE) | *Experts authenticated the painting.* | N/A | “Experts authenticated the painting.” | [CORE] | Common in art, legal, forensic, and commercial settings involving genuineness. This is a lexical verb rather than a productive adjective-based causative and is restricted to authenticity contexts. Alternate constructions attested in P4a: **validate, verify, correct**. |
| ABSTRACT NOMINALIZATION | *the accuracy of the report* | N/A | “the accuracy of the report” | [CORE] | Very common in formal, evaluative, and institutional registers. These nominalizations are productive but strongly shaped by lexical convention, with different nouns preferred in different domains. Alternate constructions attested in P4a: **truth, correctness, validity, authenticity, reliability, credibility, faithfulness, exactness, precision**. |
| ABSTRACT NOMINALIZATION | *the authenticity of the signature* | N/A | “the authenticity of the signature” | [CORE] | Common in legal, archival, forensic, and art-related discourse. It is especially associated with documents, signatures, artifacts, and other items whose genuineness can be assessed. Alternate constructions attested in P4a: **truth, accuracy, correctness, validity, reliability, credibility, faithfulness, exactness, precision**. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | *She is a truth-teller.* | N/A | “She is a truth-teller.” | [MARGINAL] | Understandable and attested, but less common than periphrastic alternatives such as *truthful person* or *honest person*. It tends to appear in moral, rhetorical, or contrastive contexts rather than as a neutral everyday label. Alternate constructions attested in P4a: **truthful person, reliable source, credible witness**. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | *He is a liar.* | N/A | “He is a liar.” | [CORE] | Very common and idiomatic in everyday, legal, and literary use. Negative agent nouns are more lexicalized and frequent here than positive truth-agent forms. Alternate constructions attested in P4a: **forger**; less commonly **truth-teller**. |
| TRUTH-TELLING PREDICATE | *Please tell the truth.* | N/A | “Please tell the truth.” | [CORE] | One of the central English expressions for honesty in speech, common in everyday, parental, legal, and interrogative contexts. English strongly prefers this verbal construction over any simple verb meaning “truth.” Alternate constructions attested in P4a: **speak the truth**. |
| TRUTH-TELLING PREDICATE | *Truth be told, I was unsure.* | N/A | “Truth be told, I was unsure.” | [CORE] | A fixed idiomatic parenthetical used to introduce frankness or concession, especially in conversation and writing. It functions differently from literal truth-telling predicates and is restricted as a set phrase. Alternate constructions attested in P4a: **tell the truth**, **speak the truth**. |
| APPEARANCE-OF-TRUTH / PLAUSIBILITY | *His story rings true.* | N/A | “His story rings true.” | [CORE] | Common for intuitive judgments of plausibility or authenticity without full proof. It is idiomatic and especially natural with stories, explanations, and accounts. Alternate constructions attested in P4a: **have a ring of truth**, **seem credible**, **seem genuine**. |
| APPEARANCE-OF-TRUTH / PLAUSIBILITY | *The excuse seems credible.* | N/A | “The excuse seems credible.” | [CORE] | Natural in evaluative contexts where the speaker withholds full commitment and judges plausibility instead. This construction is especially common with excuses, explanations, testimony, and reports. Alternate constructions attested in P4a: **ring true**, **have a ring of truth**, **seem genuine**. |
| FIDELITY-TO-SOURCE CONSTRUCTION | *The translation is faithful to the original.* | N/A | “The translation is faithful to the original.” | [CORE] | Common in discussion of translations, adaptations, reproductions, and representations. It expresses fidelity to a source rather than factual truth, so its use is semantically restricted. Alternate constructions attested in P4a: **be true to + source/original/reality**. |
| FIDELITY-TO-SOURCE CONSTRUCTION | *The portrait is true to life.* | N/A | “The portrait is true to life.” | [CORE] | A well-established idiomatic expression for representational realism in art and description. It is restricted to depictions, portrayals, and similar representational contexts. Alternate constructions attested in P4a: **be faithful to + source/original/reality**. |
