| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| òtítọ́ | Sọ òtítọ́ | sọ òtítọ́ | speak the truth; tell the truth | The most basic and widely attested verbal construction with *òtítọ́*. The verb *sọ* (to say, to speak) combines with *òtítọ́* as its object to produce the standard expression for truth-telling. Appears in everyday speech, legal contexts, and moral instruction. | [CORE] |
| òtítọ́ | Ó sọ òtítọ́ fún mi | Ó sọ òtítọ́ fún mi | He/she told me the truth | The most productive verbal construction with *òtítọ́*. The verb *sọ* (to say/speak) takes *òtítọ́* as its object and *fún* introduces the beneficiary/recipient. Appears across all registers. | [CORE] |
| òtítọ́ | Sọ òtítọ́ nígbà gbogbo. | Sọ òtítọ́ nígbà gbogbo. | Always speak the truth. / Tell the truth at all times. | A fixed moral injunction used in parenting, religious instruction, and moral discourse. The construction *sọ òtítọ́ nígbà gbogbo* ("speak truth at all times") is a conventionalized imperative formula appearing in proverb-adjacent speech and moral teaching. | [CORE] |
| òtítọ́ | Ọ̀nà òtítọ́ | ọ̀nà òtítọ́ | the way of truth; the path of truth | A fixed nominal phrase used in moral and religious discourse to describe the course of conduct characterized by truthfulness and integrity. Appears in proverbs, preaching, and moral instruction. | [CORE] |
| òtítọ́ | Dúró sí òtítọ́ | dúró sí òtítọ́ | stand by the truth; hold to the truth; remain committed to the truth | A verbal phrase using *dúró* (to stand, to remain) with the directional *sí* (toward/by) and *òtítọ́*. Used in moral and legal contexts to describe steadfast commitment to truthfulness under pressure. | [CORE] |
| òtítọ́ | Ó dúró mọ́ òtítọ́. | Ó dúró mọ́ òtítọ́. | He/she stood by the truth. / He/she adhered to the truth. | A construction using *dúró mọ́* ("to stand by, to adhere to") expressing steadfast commitment to truth. Attested in moral, legal, and religious discourse as a description of integrity under pressure. | [CORE] |
| òtítọ́ | Gbà òtítọ́ | gbà òtítọ́ | accept the truth; receive the truth | Uses *gbà* (to accept, to receive) with *òtítọ́* as object. Describes the act of acknowledging or accepting a true statement, particularly when it is unwelcome or contrary to one's prior belief. Common in moral and religious discourse. | [CORE] |
| òtítọ́ | Òtítọ́ ni | òtítọ́ ni | it is the truth; that is true (emphatic) | A copular-focus construction using the focus marker *ni* to assert emphatically that something is true. The focus marker *ni* follows the predicate nominal to produce an emphatic identificational assertion. Extremely common in everyday and formal discourse. | [CORE] |
| òtítọ́ | Òtítọ́ kò ní kú | òtítọ́ kò ní kú | truth will not die; truth is imperishable | A proverbial expression asserting the indestructibility of truth. *Kò ní* is the negative future construction ("will not"); *kú* means "die." Appears in moral discourse and in legal contexts to assert that the truth will eventually emerge. Widely attested in Yoruba oral tradition and moral discourse. | [CORE] |
| òtítọ́ | Òtítọ́ ló ga | òtítọ́ ló ga | truth is what is supreme; truth is the highest | A focus construction (*ló* = *ni* + *o*, focus marker on subject) asserting the supremacy of truth over other values. Appears in proverbs and in moral and legal discourse. The verb *ga* means "to be high, to be supreme." | [CORE] |
| òtítọ́ | Fi òtítọ́ sọ̀rọ̀ | fi òtítọ́ sọ̀rọ̀ | speak with truth; speak truthfully | An instrumental construction using *fi* (to use, to employ) + *òtítọ́* + *sọ̀rọ̀* (to speak/talk). Describes the manner of speaking as characterized by truthfulness. Appears in moral instruction and in assessments of testimony. | [CORE] |
| òtítọ́ | Ẹni tó bá sọ òtítọ́ | ẹni tó bá sọ òtítọ́ | whoever speaks the truth; the one who tells the truth | A relative clause construction using *ẹni* (person/one) + *tó bá* (who/whoever, conditional relative) + *sọ òtítọ́*. Used in proverbial and moral discourse to introduce a general statement about truth-tellers. The *bá* element marks the conditional/generic reading. | [CORE] |
| òtítọ́ | Òtítọ́ ń gbani lọ́wọ́ | òtítọ́ ń gbani lọ́wọ́ | truth saves one; truth rescues a person | A proverbial construction in which *òtítọ́* is the subject of the verb *gbani lọ́wọ́* (to save/rescue a person; *gbà* + *ni* + *lọ́wọ́* "from hand/trouble"). Asserts the protective or salvific function of truth. Appears in moral and religious discourse. | [CORE] |
| òtítọ́ | Òtítọ́ ló ń gbani lọ́wọ́. | Òtítọ́ ló ń gbani lọ́wọ́. | It is truth that saves one. / Truth is what rescues a person. | A focus construction (*ló* = focus marker on *ni*) asserting the salvific or protective power of truth. Attested in moral and religious discourse; appears in proverb-like formulations and sermon language. | [CORE] |
| òtítọ́ | Jẹ́ kí òtítọ́ jẹ́ olùdarí rẹ | jẹ́ kí òtítọ́ jẹ́ olùdarí rẹ | let truth be your guide; allow truth to lead you | A hortative construction using *jẹ́ kí* (let/allow) + *òtítọ́* as subject + *jẹ́* (be/become) + *olùdarí* (guide/leader) + *rẹ* (your). Used in moral instruction and in religious preaching to urge commitment to truth as a guiding principle. | [CORE] |
| òtítọ́ | Òtítọ́ ni ó sọ | Òtítọ́ ni ó sọ | It is the truth that he/she spoke; What he/she spoke is the truth | A cleft construction using the focus particle *ni* to topicalize *òtítọ́*. Used in legal and argumentative contexts to assert emphatically that what was said was true. The focus structure places strong emphasis on the truthfulness of the statement. | [CORE] |
| òtítọ́ | Kò sí òtítọ́ nínú ọ̀rọ̀ rẹ̀ | Kò sí òtítọ́ nínú ọ̀rọ̀ rẹ̀ | There is no truth in his/her words; His/her words contain no truth | Uses the existential negative *kò sí* (there is not) with a locative phrase *nínú ọ̀rọ̀ rẹ̀* (in his/her words). Used in legal and everyday contexts to reject the truthfulness of a statement entirely. | [CORE] |
| òtítọ́ | Ẹ jẹ́ kí a sọ òtítọ́ | Ẹ jẹ́ kí a sọ òtítọ́ | Let us speak the truth; Let us tell the truth | A hortative construction using *jẹ́ kí* (let, allow that) with first-person plural *a*. Used in moral exhortation, preaching, and deliberative contexts to call for truthful speech. Widely attested in formal and semi-formal registers. | [CORE] |
| òtítọ́ | Ó jẹ́wọ́ òtítọ́ | Ó jẹ́wọ́ òtítọ́ | He/she confessed the truth; He/she admitted the truth | Uses the verb *jẹ́wọ́* (to confess, admit, acknowledge) with *òtítọ́* as object. Used in legal and religious contexts for the act of admitting or confessing what is true, particularly after prior concealment or denial. | [CORE] |
| òtítọ́ | Ó farahàn pé òtítọ́ ni | Ó farahàn pé òtítọ́ ni | It became clear that it is the truth; It turned out to be true | Uses the verb *farahàn* (to become clear, to appear, to be revealed) with the complementizer *pé* introducing the propositional content. Used in narrative and legal contexts when the truth of a matter is established after investigation or deliberation. | [CORE] |
